"Date","Open","High","Low","Close","Volume"
#2007-01-01#,40.64,41.13,40.5,41.03,3273700
#2007-01-02#,40.64,41.13,40.5,41.03,3273700
#2007-01-03#,41.03,41.89,41.01,41.58,4373000
#2007-01-04#,41.58,41.58,41.01,41.24,2861000
#2007-01-05#,41.2,41.81,41.14,41.47,3712500
#2007-01-08#,41.53,42.28,41.35,42.21,4579900
#2007-01-09#,42.2,42.51,42,42.1,2521600
#2007-01-10#,41.85,42.57,41.62,42.51,2872500
#2007-01-11#,42.48,42.61,42.28,42.39,2696600
#2007-01-12#,42.38,42.39,41.69,41.8,4447500
#2007-01-15#,42.38,42.39,41.69,41.8,4447500
#2007-01-16#,41.78,41.89,41.63,41.88,2391200
#2007-01-17#,41.92,42.03,41.63,41.7,1587200
#2007-01-18#,41.76,42.01,41.7,41.92,3171200
#2007-01-19#,41.8,42.04,41.62,41.75,2542300
#2007-01-22#,41.61,41.65,40.96,41.4,1478700
#2007-01-23#,41.49,41.74,40.64,40.68,2620900
#2007-01-24#,40.64,40.87,40.21,40.29,3337200
#2007-01-25#,40.09,40.41,39.68,39.95,2938200
#2007-01-26#,40.06,40.16,39.66,39.67,4109100
#2007-01-29#,39.85,40.69,39.66,40.39,5641200
#2007-01-30#,40.4,40.61,40.05,40.41,2956100
#2007-01-31#,40.29,40.78,40.1,40.67,2045900
#2007-02-01#,40.75,40.97,40.21,40.35,1635300
#2007-02-02#,40.52,41.16,40.3,41.1,1552200
#2007-02-05#,40.95,41.1,40.37,41,2171600
#2007-02-06#,41.16,41.47,40.93,41.1,1797900
#2007-02-07#,41.03,41.18,40.84,40.9,2254200
#2007-02-08#,40.9,41.1,40.59,40.71,1950200
#2007-02-09#,40.77,41,40.12,40.32,2009900
#2007-02-12#,40.44,40.46,39.5,39.58,2264321
#2007-02-13#,39.78,40.02,39.61,39.96,1667945
#2007-02-14#,40.21,40.45,40.03,40.11,2238623
#2007-02-15#,40.11,40.21,39.93,40.17,1546100
#2007-02-16#,40,40.66,39.83,40.47,2921000
#2007-02-19#,40,40.66,39.83,40.47,2921000
#2007-02-20#,40.58,40.88,40.3,40.39,2404300
#2007-02-21#,40.3,40.8,40.3,40.63,1072300
#2007-02-22#,40.58,40.75,40.33,40.52,1193300
#2007-02-23#,40.55,40.64,40.15,40.32,1484200
#2007-02-26#,40.35,40.69,40.19,40.38,1623148
#2007-02-27#,40.21,40.35,38.05,39.24,4373500
#2007-02-28#,39.13,39.8,39,39.04,3700100
#2007-03-01#,39,39.04,37.25,38.57,5127791
#2007-03-02#,40.25,40.25,38.5,39.1,3913400
#2007-03-05#,39,39.27,38.82,39.01,2592500
#2007-03-06#,39.11,39.51,38.75,39.25,2834500
#2007-03-07#,39.05,39.07,38.49,38.52,3436300
#2007-03-08#,38.86,39.09,38.5,38.76,2903700
#2007-03-09#,38.89,39.22,38.8,39.1,1444300
#2007-03-12#,39.19,39.71,39.1,39.57,2252200
#2007-03-13#,39.18,40.17,39.1,39.48,4349800
#2007-03-14#,39.72,40.05,39.49,39.87,3189600
#2007-03-15#,39.82,40.38,39.65,40.26,2018300
#2007-03-16#,40.3,40.38,39.91,40.1,2850200
#2007-03-19#,40.2,41.13,40.17,41,2946900
#2007-03-20#,40.94,41.1,40.77,40.99,1752500
#2007-03-21#,40.97,42.05,40.96,42,3173318
#2007-03-22#,41.94,42.12,41.57,41.81,2389025
#2007-03-23#,41.84,41.94,41.3,41.39,2024584
#2007-03-26#,41.28,41.5,40.23,41.2,2389300
#2007-03-27#,40.98,41.12,40.64,40.9,1944600
#2007-03-28#,40.71,40.91,40.32,40.8,1655700
#2007-03-29#,41.6,41.6,40.42,40.66,1817295
#2007-03-30#,40.59,41.16,40.29,41.11,2753176
#2007-04-02#,41.19,41.24,40.75,41,2376300
#2007-04-03#,41.25,41.83,41.22,41.48,2037325
#2007-04-04#,41.54,41.58,41.12,41.15,3020116
#2007-04-05#,41.07,41.17,40.56,40.69,1995000
#2007-04-06#,41.07,41.17,40.56,40.69,1995000
#2007-04-09#,40.87,41.08,40.68,41,1680200
#2007-04-10#,40.91,41.05,40.56,40.6,2007900
#2007-04-11#,40.54,40.65,39.735,40.04,3559355
#2007-04-12#,39.76,40.19,39.64,40.1,2664551
#2007-04-13#,41.98,41.98,39.7,40.13,2231890
#2007-04-16#,40.37,41.32,40.21,41.07,1972300
#2007-04-17#,41,41.54,40.61,41.54,1722900
#2007-04-18#,41.29,41.69,41.24,41.56,2424200
#2007-04-19#,41.85,41.85,41.28,41.6,1798500
#2007-04-20#,42.99,42.99,41.51,41.85,2463213
