"Date","Open","High","Low","Close","Volume"
#2005-01-03#,89.46,89.68,88.41,88.53,367200
#2005-01-04#,88.49,88.93,87.69,87.7,226100
#2005-01-05#,87.33,87.39,86.49,86.59,316400
#2005-01-06#,86.34,87.67,85.7,86.84,392300
#2005-01-07#,87.09,87.36,86.7,86.7,317700
#2005-01-10#,86.88,87.99,86.88,87.66,214900
#2005-01-11#,87.66,87.8,87.34,87.42,333500
#2005-01-12#,87.62,88.19,87.37,88.02,357700
#2005-01-13#,88.02,88.41,87.37,87.39,186800
#2005-01-14#,86.75,89.53,86.75,89.05,1032900
#2005-01-17#,86.75,89.53,86.75,89.05,1032900
#2005-01-18#,88.77,90.81,88.7,90.8,590700
#2005-01-19#,90.8,90.95,88.99,88.99,465200
#2005-01-20#,88.99,88.99,87.5,88.1,313900
#2005-01-21#,88,88,86.02,86.02,569500
#2005-01-24#,86.23,86.23,85.2,85.21,392900
#2005-01-25#,84.71,87.52,84.31,87.2,783700
#2005-01-26#,87.6,88.62,87.23,88.22,307200
#2005-01-27#,87.97,88.24,85.89,86.25,400000
#2005-01-28#,86.15,86.9,85.1,85.74,308400
#2005-01-31#,85.94,86.99,85.88,86.9,207800
#2005-02-01#,86.9,87.63,84.25,86.1,726900
#2005-02-02#,85.9,85.9,84.72,85.01,560700
#2005-02-03#,85.01,86.17,84.65,85.93,625200
#2005-02-04#,86.13,87.05,85.78,87.05,257500
#2005-02-07#,86.8,88.17,86.4,87.48,487200
#2005-02-08#,87.48,88.2,87.41,88.09,446700
#2005-02-09#,88.05,88.61,87.8,88.25,582500
#2005-02-10#,88.06,88.96,88,88.85,446100
#2005-02-11#,88.65,90.88,88.45,89.58,491700
#2005-02-14#,89.45,89.75,89.04,89.54,390400
#2005-02-15#,89.69,89.69,88.75,89.05,256000
#2005-02-16#,89.06,89.57,88.91,89.37,253700
#2005-02-17#,89.12,89.55,88.7,89.5,324800
#2005-02-18#,89.62,89.9,88.82,89.27,318700
#2005-02-21#,89.62,89.9,88.82,89.27,318700
