"Date","Open","High","Low","Close","Volume"
#2017-01-02#,115.33,115.76,113.54,114.61,1443062
#2017-01-03#,114.34,115.3,114.1,114.75,1434186
#2017-01-04#,114.71,115.63,114.3,114.98,871728
#2017-01-05#,114.78,115.74,114.5,115.69,1051677
#2017-01-06#,115.6,117.03,115.2,116.86,997199
#2017-01-09#,116.89,116.98,115.79,116.51,706442
#2017-01-10#,116.44,116.63,115.26,116.11,925509
#2017-01-11#,116.1,116.69,115.48,116.38,838513
#2017-01-12#,116.24,117.15,115.37,117.04,708052
#2017-01-13#,117.03,117.27,116.51,117.1,616349
#2017-01-16#,117.03,117.27,116.51,117.1,616349
#2017-01-17#,116.96,117.31,115.59,116.09,754380
#2017-01-18#,116.6,116.86,115.625,115.79,843087
#2017-01-19#,116.07,116.4,115.07,115.95,961792
#2017-01-20#,116.48,117.21,115.78,117.1,1376842
#2017-01-23#,117.05,117.45,116.23,117.1,1053798
#2017-01-24#,117.72,118.85,117.27,118.75,964560
#2017-01-25#,119.64,120.55,119.08,120.01,1442658
#2017-01-26#,120,120.11,118.38,118.46,1041571
#2017-01-27#,119.12,119.26,118.21,118.59,703010
#2017-01-30#,118.49,118.55,117.31,118.53,808377
#2017-01-31#,118.42,118.58,117.618,118.58,1207227
#2017-02-01#,118.49,118.99,117.39,117.71,922747
#2017-02-02#,117.21,118.19,116.43,117.83,743836
#2017-02-03#,118.54,119.25,118.32,118.37,828160
#2017-02-06#,118.09,118.17,117.28,117.89,757166
#2017-02-07#,118.24,118.59,117.2,117.48,790924
#2017-02-08#,111.9,117.66,111.9,116.55,2964334
#2017-02-09#,116.55,117.27,115.8,116.09,1718336
#2017-02-10#,116.56,117.55,115.89,117.53,1428133
#2017-02-13#,118.19,118.68,117.21,118.4,1357838
#2017-02-14#,118.16,118.87,117.535,118.84,1475192
#2017-02-15#,118.54,118.96,117.93,118.95,1031135
#2017-02-16#,119,119.329,118.37,119.24,874967
#2017-02-17#,119.24,119.87,118.195,119.86,2113438
#2017-02-20#,119.24,119.87,118.195,119.86,2113438
#2017-02-21#,119.42,120.54,118.81,119.87,1505708
#2017-02-22#,119.77,120.16,119.11,119.43,1254804
#2017-02-23#,119.49,120.98,119.06,120.7,1635059
#2017-02-24#,126.5,128.45,123.87,128.01,3478488
#2017-02-27#,126.95,127.58,125.37,125.85,2245847
#2017-02-28#,125.72,125.86,124.394,125.44,1932311
#2017-03-01#,125.89,125.89,124.18,124.53,2503414
#2017-03-02#,123.94,125.42,123.86,125.17,1543117
#2017-03-03#,125.38,126.67,124.71,126.45,1500620
#2017-03-06#,125.74,126.55,125.43,126.1,1045487
#2017-03-07#,126.44,126.49,125.29,125.4,1121920
#2017-03-08#,125.05,125.65,124.85,125.6,1469691
#2017-03-09#,125.93,126,124.27,124.76,1294830
#2017-03-10#,125.69,125.69,124.66,124.94,1282107
#2017-03-13#,124.77,125.08,124.45,124.95,2094595
#2017-03-14#,124.88,125.03,123.85,124.31,2018531
#2017-03-15#,124.93,125.36,124.175,124.67,1358309
#2017-03-16#,124.64,124.94,123.9,124.35,1259890
#2017-03-17#,124.5,124.63,123.69,123.92,1668084
#2017-03-20#,123.57,124.19,122.77,123.4,1380501
#2017-03-21#,123.53,123.799,120.95,121.05,1754168
#2017-03-22#,121.26,121.49,120.817,121.12,1571485
#2017-03-23#,121.3,122.07,119.9,119.99,1485320
#2017-03-24#,120.43,120.635,119.1,119.72,1890141
#2017-03-27#,118.85,119.06,117.79,118.45,2110567
#2017-03-28#,118.75,118.9,117.635,118,2695308
#2017-03-29#,117.83,118.14,116.77,117.88,4294900
#2017-03-30#,117.55,117.79,115.43,115.62,2093390
#2017-03-31#,115.5,116.39,115.3,115.99,4699786
#2017-04-03#,116.05,116.52,114.8,116.17,4074497
#2017-04-04#,115.69,116.78,115.69,116.03,1718284
#2017-04-05#,116.57,117.28,116.05,116.55,1881654
#2017-04-06#,116.04,117.86,115.56,117.81,3653592
#2017-04-07#,117.99,118.96,117.81,118.46,2562047
#2017-04-10#,118.55,119.3,118.04,118.62,2147198
#2017-04-11#,118.36,118.745,117.38,118.68,1673345
#2017-04-12#,118.23,118.38,117.51,117.83,1668004
#2017-04-13#,118.05,118.89,117.72,117.89,1115890
#2017-04-14#,118.05,118.89,117.72,117.89,1115890
#2017-04-17#,118.29,118.665,117.93,118.64,940191
#2017-04-18#,118.43,119.48,118.27,119.35,1719169
#2017-04-19#,119.66,119.73,118.7,118.97,1434399
#2017-04-20#,119.11,119.13,117.84,118.27,2790692
#2017-04-21#,118.48,118.73,117.925,118.36,2409515
#2017-04-24#,119.42,119.42,118.25,118.76,1748065
#2017-04-25#,118.92,119.38,118.61,119.08,2072290
#2017-04-26#,118.9,119.02,115.62,115.81,3963359
#2017-04-27#,123.34,125.74,123.15,125.61,4945719
#2017-04-28#,126.08,126.08,124.82,125.21,1943288
#2017-05-01#,125.55,125.67,124.72,125.52,1382038
#2017-05-02#,125.75,126.19,125.02,125.91,1427922
#2017-05-03#,126,126,125.09,125.6,936600
#2017-05-04#,125.93,126.12,125.47,125.95,971341
#2017-05-05#,126.48,126.48,125.7,126.14,755251
#2017-05-08#,126.15,126.35,125.55,126.17,974734
#2017-05-09#,126.22,127.08,125.905,126.73,1096983
#2017-05-10#,126.45,127.46,126.45,127.09,1378333
#2017-05-11#,126.84,127.19,126.08,126.88,978616
#2017-05-12#,126.87,126.87,126.14,126.51,793577
#2017-05-15#,126.33,127.64,126.01,127.63,1346496
#2017-05-16#,127.58,127.61,127.11,127.5,930721
#2017-05-17#,126.76,127.42,125.29,125.35,1472074
#2017-05-18#,125.2,125.83,124.22,125.15,1697268
#2017-05-19#,125.28,126.67,124.7,125.38,2704503
#2017-05-22#,125.5,127.28,125.16,127.16,1719844
#2017-05-23#,127.8,130.1,127.39,129.15,2670834
#2017-05-24#,139.71,140.25,136.41,137.83,5279842
#2017-05-25#,137.53,138.81,135.43,138.36,3528903
#2017-05-26#,138.03,139.86,136.83,138.56,2318291
#2017-05-29#,138.03,139.86,136.83,138.56,2318291
#2017-05-30#,138.48,140.2,138,140.05,2606337
#2017-05-31#,140.2,141.08,139.52,140.64,2387963
#2017-06-01#,140.55,141.675,140.27,141.33,1903064
#2017-06-02#,141.22,142.89,141.125,142.81,1522499
