"Date","Open","High","Low","Close","Volume"
#2017-01-02#,107.1,107.5499,104.699,105.58,1168489
#2017-01-03#,107.88,110.79,107.3,109.31,1903183
#2017-01-04#,109.5,110.5,108.4,109.87,1090853
#2017-01-05#,109.9,111.81,108.215,110.15,1348320
#2017-01-06#,110.29,111,108.91,109.38,1147753
#2017-01-09#,108.12,108.9,106.12,106.16,1811425
#2017-01-10#,106.81,110.609,106.81,108.9,2139026
#2017-01-11#,108.91,109.99,107.69,109.26,1538483
#2017-01-12#,109,109.35,105.33,106.54,1490947
#2017-01-13#,106.5,108.3,106.24,107.05,953646
#2017-01-16#,106.5,108.3,106.24,107.05,953646
#2017-01-17#,106.72,108.11,105.65,107.23,1219629
#2017-01-18#,107.47,111.3,107.09,111.02,2067511
#2017-01-19#,110.71,112.5,109.61,110.45,1614742
#2017-01-20#,110.98,111.945,110.44,111.19,1252302
#2017-01-23#,110.98,111.25,109.41,110.11,1312167
#2017-01-24#,111.15,114.47,110.525,113.61,1783756
#2017-01-25#,115,115.61,112.5901,114.26,3048053
#2017-01-26#,123.42,129.39,122.05,127.06,6527764
#2017-01-27#,126.6,128.64,125.2,128.26,2471217
#2017-01-30#,128.74,128.93,124.72,128.77,2762396
#2017-01-31#,129,129.6,124.13,126.51,3671240
#2017-02-01#,127.53,131.19,127.53,129.89,2868404
#2017-02-02#,127.34,128.9009,126.281,127.09,1764819
#2017-02-03#,127.82,129.6,127.82,128.65,1576429
#2017-02-06#,127.8,128.7183,125.88,126.31,1382357
#2017-02-07#,126.68,127.49,125.3975,126.24,1255041
#2017-02-08#,125.89,125.89,123.06,124.65,1863360
#2017-02-09#,125,126.64,123.77,125.44,1531925
#2017-02-10#,126.15,127.54,125.3948,127.12,1313726
#2017-02-13#,127.31,128.91,127.15,127.78,1789809
#2017-02-14#,127.24,129,126.06,128.79,953538
#2017-02-15#,128.5,129.57,127.185,129.18,1135234
#2017-02-16#,128.67,129.2788,126.43,127.86,989567
#2017-02-17#,126.95,126.95,125.02,126.03,1120698
#2017-02-20#,126.95,126.95,125.02,126.03,1120698
#2017-02-21#,126.65,129.52,126.44,128.93,1311905
#2017-02-22#,127.84,128.14,126.35,128.06,1125137
#2017-02-23#,129.06,129.86,120.34,120.9,3065963
#2017-02-24#,119.36,124.7,119.11,124.15,2269350
#2017-02-27#,124.71,128.86,124.21,128.21,1748867
#2017-02-28#,126.81,128.69,126,128.03,1539734
#2017-03-01#,130.79,134.28,130.77,133.36,2489110
#2017-03-02#,133.11,133.24,128.65,129.01,1962750
#2017-03-03#,129.01,130.15,126.92,128.72,1470844
#2017-03-06#,127.22,130.16,126.9,129.78,1443563
#2017-03-07#,129.37,130.5,127.46,128.15,1497110
#2017-03-08#,128.84,129.975,124.16,124.3,2010196
#2017-03-09#,124,125.22,120.59,121.98,3077047
#2017-03-10#,123.62,124.8,121.34,122.95,1453985
#2017-03-13#,122.98,125.06,122.98,124.2,1362806
#2017-03-14#,122.16,122.18,119.3,122.12,2049695
#2017-03-15#,123.2,127.04,122.76,126.35,2135101
#2017-03-16#,127,128.46,124.92,125.28,1369699
#2017-03-17#,125.72,126.78,125.15,125.19,977990
#2017-03-20#,124.47,125.84,123.01,124.99,950029
#2017-03-21#,125.33,125.75,119.59,120.01,1795441
#2017-03-22#,119.33,121.48,118.14,120.38,1394253
#2017-03-23#,119.7,122.48,119.43,120.82,1058618
#2017-03-24#,121.33,122.75,119.53,120.69,1259849
#2017-03-27#,117.455,120.01,115.1,119.56,1422380
#2017-03-28#,119.59,124.66,119.22,123.24,1636583
#2017-03-29#,123.06,125.03,122.57,123.64,1069554
#2017-03-30#,123.66,124.55,122.97,124.17,873688
#2017-03-31#,123.35,126.19,123.18,125.05,979314
#2017-04-03#,125.11,125.28,121.62,123.83,1258014
#2017-04-04#,123.12,124.89,122.73,123.77,831541
#2017-04-05#,125,126.765,120.28,121.06,1657547
#2017-04-06#,121.51,124.96,121.2,124,1263309
#2017-04-07#,123.59,125.43,123.0801,123.41,1264630
#2017-04-10#,124.37,126.57,123.94,125.96,1442285
#2017-04-11#,125.99,126.56,124.02,125.93,954204
#2017-04-12#,125.56,126.06,120.816,121.13,1505961
#2017-04-13#,121.32,123.21,119.25,119.29,1324175
#2017-04-14#,121.32,123.21,119.25,119.29,1324175
#2017-04-17#,120.01,120.97,119.05,120.95,1302928
#2017-04-18#,119.77,120.505,117.93,119.86,1339190
#2017-04-19#,120.96,122.59,118.979,119.45,2840120
#2017-04-20#,113.74,114.635,110.6,113.24,6931688
#2017-04-21#,112.9,113.25,108.82,111.46,3743439
#2017-04-24#,113.71,114.79,113.11,113.56,2589236
#2017-04-25#,114.35,115.23,112.53,113.3,2021258
#2017-04-26#,113.3,114.86,113.17,113.4,1534379
#2017-04-27#,112.89,113.4,108.01,109.52,2798810
#2017-04-28#,111.94,112.88,109.2252,109.66,2562314
#2017-05-01#,109.81,110,107.06,108.88,1640155
#2017-05-02#,108.98,109.78,107.62,108.62,1400893
#2017-05-03#,107.67,108.77,106.61,107.7,1434252
#2017-05-04#,107.7,107.93,105.73,107.36,1606037
#2017-05-05#,107.57,109.05,106.8482,108.96,1365250
#2017-05-08#,110.74,112.15,110.68,111.68,2212846
#2017-05-09#,112.02,112.55,111.07,111.7,1324199
#2017-05-10#,111.75,114.95,111.3673,114.23,1779940
#2017-05-11#,113.8,115.17,111.38,114.43,1491353
#2017-05-12#,113.6,113.6592,111.24,112.16,1200066
#2017-05-15#,113.1344,114.75,112.65,113.83,1333047
#2017-05-16#,113.68,114.02,110.62,111.72,1357993
#2017-05-17#,109.94,110.5,104.72,105.1,2397764
#2017-05-18#,104.21,107.4,102.73,106.5,2588699
#2017-05-19#,106.92,110.59,106.91,110.1,1706189
#2017-05-22#,110.68,111.26,109.19,110.6,1006998
#2017-05-23#,110.58,111.31,109.26,111.3,1047870
#2017-05-24#,111.21,113.35,110.27,110.81,1457946
#2017-05-25#,110.86,113.93,110.26,111.4,1684925
#2017-05-26#,111,111.86,109.95,111.17,787333
#2017-05-29#,111,111.86,109.95,111.17,787333
#2017-05-30#,110.73,112.07,109.97,110.65,1122125
#2017-05-31#,110.35,111.07,106.32,108.73,2129400
#2017-06-01#,109.58,112.36,109.0049,109.97,1759250
#2017-06-02#,109.66,109.71,108.16,108.49,1582747
#2017-06-05#,108.4,108.4,104.24,105.74,2856445
#2017-06-06#,105.05,106.59,103.48,106.32,1993843
#2017-06-07#,106.67,106.81,104.58,105.26,1496167
#2017-06-08#,105.13,108.08,104.87,106.54,1242857
#2017-06-09#,106.84,110.8,106.61,110.22,2118862
#2017-06-12#,110.67,112.5,109.92,111.82,1946524
#2017-06-13#,111.35,111.95,109.64,111.66,1614923
#2017-06-14#,111.24,111.24,104.07,104.81,3048774
#2017-06-15#,103.76,105.6743,102.86,103.49,2141304
#2017-06-16#,103.66,105.22,102.73,105.2,1882246
#2017-06-19#,105.64,107.45,105.38,106.95,1018160
#2017-06-20#,106.22,106.22,102.42,103.91,2093050
#2017-06-21#,104.26,104.74,100.621,101.62,1902782
#2017-06-22#,102.17,104.35,101.3,103.82,1377152
#2017-06-23#,104,105.755,103.28,104.85,1580009
#2017-06-26#,104.96,107.18,104.96,106.11,862372
#2017-06-27#,106.79,108.65,105.75,105.78,1292659
#2017-06-28#,107.09,109.09,106.82,108.49,1264341
#2017-06-29#,109.71,113.66,108.79,109.7,2428393
#2017-06-30#,110.71,113.87,110.515,112.71,2065235
#2017-07-03#,113.6,115.075,112.6,113.21,747904
#2017-07-04#,113.6,115.075,112.6,113.21,747904
#2017-07-05#,113.76,117.55,112.76,114.27,1906074
#2017-07-06#,114.18,115.395,111.92,112.35,2251166
#2017-07-07#,112.39,113.02,111.105,112.55,1024759
#2017-07-10#,112.06,114.65,111.09,113.54,1114824
#2017-07-11#,113.83,114.08,111.92,113.69,817543
#2017-07-12#,114.73,117.32,114.06,114.26,1258245
#2017-07-13#,116.1,116.1,113.34,114.74,1844270
#2017-07-14#,115.07,117.65,114.33,117.21,1260469
#2017-07-17#,118.62,119.44,117.16,117.79,1506042
#2017-07-18#,117.34,117.84,116.3,117.48,1723720
#2017-07-19#,117.48,119.19,117.04,118.7,1781705
#2017-07-20#,124,126.26,121.39,122.54,3581607
#2017-07-21#,120.75,121.53,119.25,119.31,1782197
#2017-07-24#,119.5,120.46,117.53,118.39,1355798
#2017-07-25#,119.77,122.96,119.69,121.18,1749359
#2017-07-26#,122.17,122.17,119.761,120.17,949536
#2017-07-27#,120.19,121.23,118.71,120.77,1087528
#2017-07-28#,120.61,120.94,119.03,119.73,1109360
#2017-07-31#,119.92,120.25,118.42,118.96,869708
#2017-08-01#,119.47,119.5679,115.67,116.56,1597830
#2017-08-02#,115.87,117.0396,114.06,115.03,1307115
#2017-08-03#,115.48,117.08,115.2061,116.31,1177313
#2017-08-04#,117.2,118.66,117.01,118.37,920644
#2017-08-07#,118.52,118.835,117.44,118.1,830539
#2017-08-08#,117.4,119.419,116.88,117.38,848730
#2017-08-09#,116.08,116.81,114.6,115.31,945180
#2017-08-10#,114.71,115.5,111.56,111.62,1697831
#2017-08-11#,111.42,112.25,110.7,111.54,982676
#2017-08-14#,113,113.67,111.99,112.2,1210578
#2017-08-15#,113.1,113.22,111.6,111.99,681931
#2017-08-16#,112.82,113.33,111.16,111.97,995912
#2017-08-17#,115.75,116,111.59,111.82,2070230
#2017-08-18#,112.96,113.21,110.651,111.86,1411868
#2017-08-21#,111.71,111.86,107.67,108.4,1366683
#2017-08-22#,109,112.56,109,112.44,1378650
#2017-08-23#,111.36,111.74,108.69,108.69,1019276
#2017-08-24#,109,109.76,107.33,107.61,973585
#2017-08-25#,108.05,108.39,106.52,107.26,1073001
#2017-08-28#,108.5,110.77,108.22,110.71,1338229
#2017-08-29#,109.58,115.84,109.43,114.94,2941873
#2017-08-30#,115.1,119.8,113.13,119.19,3207177
#2017-08-31#,119.59,120.71,117.54,118.06,1734265
#2017-09-01#,118.37,121.18,118.37,120.56,1646493
#2017-09-04#,118.37,121.18,118.37,120.56,1646493
#2017-09-05#,120.56,121.68,117.86,119.09,1508664
#2017-09-06#,120.46,121.43,119.79,121.16,1439456
#2017-09-07#,121.5,123.16,120.33,123.09,1871370
#2017-09-08#,123.5,128,123.5,126.69,2616453
#2017-09-11#,125.4,126.34,123.4475,125.03,2174607
#2017-09-12#,127.11,128.49,126.17,127.69,1418599
#2017-09-13#,127.5,129.63,126.11,128.82,1435196
#2017-09-14#,128.27,128.75,126.79,127.36,1301850
#2017-09-15#,127.15,128.82,126.97,128.1,1119491
#2017-09-18#,128.1,129.51,128.09,129.43,920101
#2017-09-19#,129.5,129.9599,128.12,129.89,846804
#2017-09-20#,130,132.3,129.72,130.74,1041624
#2017-09-21#,131.21,131.21,129.9,130.12,894847
#2017-09-22#,129.72,132.81,129.01,132.31,998025
#2017-09-25#,132.72,132.98,131.22,132.21,1023859
#2017-09-26#,132.4,134.57,132.0236,133.94,1040747
#2017-09-27#,134.63,137.12,134.15,135.69,1236709
#2017-09-28#,135.77,138.33,135.18,137.97,1039295
#2017-09-29#,137.96,139.98,136.96,138.74,1224408
#2017-10-02#,139.2,139.75,136.84,139.2,1368309
#2017-10-03#,139.71,142.71,138.98,142.71,1670161
#2017-10-04#,142.22,142.31,139.46,140.75,1654326
#2017-10-05#,141.54,143.145,140.81,141.98,997729
#2017-10-06#,141.43,143.0674,141,142.24,865296
#2017-10-09#,142.66,142.88,141.09,142.49,810836
#2017-10-10#,143.6,144.19,140.35,141.55,1105772
#2017-10-11#,141.83,142.44,140.9085,142.16,826267
#2017-10-12#,140.99,144.35,140.16,144.01,1120115
#2017-10-13#,144.9,145.56,143.43,144.21,885179
#2017-10-16#,145.89,146.67,144.45,145.79,1203988
#2017-10-17#,145.43,145.63,143.01,143.34,1525591
#2017-10-18#,144.07,144.6,142.16,144.32,1922436
#2017-10-19#,144.8,147.6,140.94,144.4,2955807
#2017-10-20#,144.81,146.69,144.03,144.4,2525019
#2017-10-23#,144.44,144.6425,141.2,141.48,1372425
#2017-10-24#,142.45,145.5,142.18,143.94,1420408
#2017-10-25#,143.25,144.1,138.19,138.91,2508062
#2017-10-26#,139.75,142.225,139.3,141.24,2020988
#2017-10-27#,141.34,146.06,141.34,145.94,1365757
