"Date","Open","High","Low","Close","Volume"
#2013-01-01#,43.1,44,43.05,43.9691,24213813
#2013-01-02#,44.98,45,44.22,44.66,31421123
#2013-01-03#,44.74,44.75,44.2,44.57,24228885
#2013-01-04#,44.45,45.43,44.44,45.36,24491604
#2013-01-07#,45.09,45.485,45.02,45.41,24457249
#2013-01-08#,45.4,45.5,44.96,45.5,19625226
#2013-01-09#,45.56,46.2,45.14,45.47,25923639
#2013-01-10#,45.89,46.16,45.53,46.15,23420153
#2013-01-11#,45.97,46.15,45.47,46.14,19723892
#2013-01-14#,45.89,46.18,45.48,45.88,19079465
#2013-01-15#,45.49,46.47,45.35,46.35,29905738
#2013-01-16#,45.91,46.83,45.57,46.82,43459526
#2013-01-17#,46.4,46.87,46.29,46.44,41097680
#2013-01-18#,46.38,46.6,46.18,46.46,28694707
#2013-01-21#,46.38,46.6,46.18,46.46,28694707
#2013-01-22#,46.25,46.55,46.13,46.54,24259226
#2013-01-23#,46.23,46.44,45.92,46.23,19112157
#2013-01-24#,46.24,46.8,46.08,46.37,20017415
#2013-01-25#,46.74,47.16,46.605,47.16,26014637
#2013-01-28#,46.84,47,46.48,46.64,19708169
#2013-01-29#,46.28,47.16,46.25,47.12,19910343
#2013-01-30#,47.04,47.35,46.96,47.13,18636633
#2013-01-31#,47.01,47.22,46.88,47.05,19541263
#2013-02-01#,47.4,48,47.21,47.85,24527532
#2013-02-04#,47.54,47.81,47.38,47.68,20828175
#2013-02-05#,47.94,48.8,47.93,48.79,28068446
#2013-02-06#,48.42,48.83,48.32,48.61,28286377
#2013-02-07#,48.65,48.75,47.9,48.23,21432016
#2013-02-08#,48.33,48.69,48.26,48.63,15219612
#2013-02-11#,48.51,48.9,48.38,48.66,13937728
#2013-02-12#,48.8,49.31,48.6,49.14,16393466
#2013-02-13#,49.35,49.45,48.5,48.68,21637319
#2013-02-14#,48.4,49.2899,48.37,49.22,18020155
#2013-02-15#,49.35,49.46,48.57,48.88,20016541
#2013-02-18#,49.35,49.46,48.57,48.88,20016541
#2013-02-19#,49.12,49.68,49.12,49.45,20450050
#2013-02-20#,49.35,49.54,48.36,48.61,24789397
#2013-02-21#,48.41,48.45,47.83,48.25,24445078
#2013-02-22#,48.63,48.91,48.41,48.91,23586192
#2013-02-25#,49.1,49.2,47.65,47.7,32776345
#2013-02-26#,48.22,48.26,46.85,47.6,39407782
#2013-02-27#,47.85,49.4,47.76,49.28,31932363
#2013-02-28#,49.16,49.55,48.75,48.92,24718064
#2013-03-01#,48.6,49.42,48.37,48.91,25925897
#2013-03-04#,48.73,49.14,48.33,49.1,17698510
#2013-03-05#,49.49,50.11,49.31,49.49,25565033
#2013-03-06#,49.88,50.19,49.62,50.03,19611229
#2013-03-07#,50.05,50.86,50.01,50.63,24252643
#2013-03-08#,50.59,50.85,49.61,50.2,32726854
#2013-03-11#,50.23,50.77,49.91,50.48,19473159
#2013-03-12#,50.35,50.67,50.05,50.28,18006118
#2013-03-13#,50.2901,50.43,50.11,50.16,16686257
#2013-03-14#,50.25,51,50.19,51,26380348
#2013-03-15#,49.97,50.29,49.15,50.02,60908739
#2013-03-18#,49.19,49.66,48.95,49.51,28017768
#2013-03-19#,49.65,49.99,48.68,49.2,24418504
#2013-03-20#,49.57,49.64,49.04,49.12,19388482
#2013-03-21#,48.79,49.23,48.35,48.35,23543287
#2013-03-22#,48.63,49,48.34,48.78,22799985
#2013-03-25#,49.04,49.32,48.16,48.52,23582710
#2013-03-26#,48.74,48.97,48.32,48.64,16420085
#2013-03-27#,48.2,48.31,47.56,47.77,26534597
#2013-03-28#,47.84,47.93,47.28,47.46,27519846
#2013-03-29#,47.84,47.93,47.28,47.46,27519846
#2013-04-01#,47.55,47.99,47.49,47.83,17449299
#2013-04-02#,48.01,48.38,47.875,48.28,17276418
#2013-04-03#,48.03,48.07,46.53,46.85,33475105
#2013-04-04#,46.96,47.5399,46.9,47.49,21516666
#2013-04-05#,46.79,48.04,46.75,47.91,22964186
#2013-04-08#,47.88,48.59,47.59,48.58,18675807
#2013-04-09#,48.74,48.9612,48.46,48.68,20066632
#2013-04-10#,48.94,49.56,48.88,49.25,20389881
#2013-04-11#,49.21,49.6,48.83,49.31,22584616
#2013-04-12#,48.9,49.58,48.45,49.01,37808388
#2013-04-15#,48.39,49.34,47.9,47.93,31528338
#2013-04-16#,48.43,48.52,47.59,48.49,23866838
#2013-04-17#,48.11,48.18,46.38,46.79,43473273
#2013-04-18#,46.8,47.33,46.05,46.64,26106845
#2013-04-19#,47.15,47.364,46.7,47.23,19753205
#2013-04-22#,47.4,47.49,46.87,47.35,15232043
#2013-04-23#,47.68,48.24,47.39,48.17,20568406
#2013-04-24#,48.32,48.92,48.16,48.72,16462785
#2013-04-25#,49.02,49.63,48.8899,49,19063807
#2013-04-26#,48.86,49.09,48.61,48.88,13931035
#2013-04-29#,49.08,49.1,48.65,48.92,13498061
#2013-04-30#,48.96,49.25,48.72,49.01,13805540
#2013-05-01#,48.76,48.91,47.85,48.01,17687511
#2013-05-02#,48.25,48.25,47.71,48.08,15529736
