"Date","Open","High","Low","Close","Volume"
#2011-01-03#,38.64,39.14,38.64,38.87,2113102
#2011-01-04#,38.96,39.06,38.48,38.58,2888887
#2011-01-05#,38.55,39.01,38.28,38.88,2850424
#2011-01-06#,38.95,39.41,38.88,39.35,2225310
#2011-01-07#,39.4,39.53,38.75,38.8,4855738
#2011-01-10#,38.72,39.3,38.5135,39.24,2454153
#2011-01-11#,39.39,40.27,39.24,39.9,3975135
#2011-01-12#,40.13,40.31,39.84,40.25,2631506
#2011-01-13#,40.25,40.86,40.25,40.63,3013534
#2011-01-14#,40.6,40.66,40.13,40.59,3118966
#2011-01-17#,40.6,40.66,40.13,40.59,3118966
#2011-01-18#,40.66,41.535,40.5,41.35,3824129
#2011-01-19#,41.47,41.62,40.61,40.83,2836637
#2011-01-20#,40.73,40.79,39.89,40.45,4525710
#2011-01-21#,40.99,41.41,40.78,41.3,4347228
#2011-01-24#,41.28,41.6,41.27,41.47,3173692
#2011-01-25#,41.33,41.78,41.05,41.31,2646243
#2011-01-26#,41.47,41.94,41.345,41.82,2517329
#2011-01-27#,41.74,42.2,41.29,41.97,3586642
#2011-01-28#,42.03,42.03,40.93,41.07,2889936
#2011-01-31#,41.19,41.6,40.81,41.51,3251152
#2011-02-01#,41.95,42.37,41.85,41.95,2709666
#2011-02-02#,41.91,42,41.42,41.69,2848468
#2011-02-03#,42.75,43,40.39,42.31,4406369
#2011-02-04#,42.08,42.1,40.95,41.86,3243632
#2011-02-07#,41.99,42.09,41.5,41.74,3025634
#2011-02-08#,41.63,41.83,41.39,41.62,2616606
#2011-02-09#,41.48,41.59,41.075,41.41,2144012
#2011-02-10#,41.29,41.48,40.95,41.22,2218862
#2011-02-11#,41.1,41.63,40.82,41.57,2202657
#2011-02-14#,41.87,42.16,41.67,41.97,2253554
#2011-02-15#,41.69,42.025,41.42,41.84,2274677
#2011-02-16#,41.91,42.14,41.52,41.74,1693414
#2011-02-17#,41.71,41.945,41.46,41.86,1956042
#2011-02-18#,41.89,42.14,41.76,42.14,2040810
#2011-02-21#,41.89,42.14,41.76,42.14,2040810
#2011-02-22#,41.69,41.87,40.99,41.05,1784963
#2011-02-23#,40.95,41.15,40.25,40.47,2519489
#2011-02-24#,40.4,40.64,40.13,40.49,2409427
#2011-02-25#,40.59,41.3,40.5,41.26,1906400
#2011-02-28#,41.46,41.75,41.245,41.64,2154793
#2011-03-01#,41.69,41.98,41.37,41.37,2959903
#2011-03-02#,41.31,41.45,41.05,41.14,2004209
#2011-03-03#,41.58,42.93,41.48,42.84,3675035
#2011-03-04#,42.81,42.82,42.17,42.53,2596136
#2011-03-07#,42.6,42.89,41.77,41.97,2125583
#2011-03-08#,42.06,42.51,41.96,42.21,1517645
#2011-03-09#,42.07,42.5,42,42.39,1577778
#2011-03-10#,41.91,42.04,41.06,41.17,3425856
#2011-03-11#,41.08,41.428,40.52,40.63,2271780
#2011-03-14#,40.32,40.78,40.14,40.29,2161040
#2011-03-15#,39.14,40.39,39.09,40.1,3894918
#2011-03-16#,39.95,40.02,38.92,39.28,3673558
#2011-03-17#,39.78,40.33,39.77,40.27,3081642
#2011-03-18#,40.69,41.14,40.18,40.45,2992669
#2011-03-21#,40.92,41.67,40.82,40.9,1802103
#2011-03-22#,40.91,41.06,40.72,40.87,2525489
#2011-03-23#,40.7,40.8,39.97,40.11,3316318
#2011-03-24#,40.27,40.81,40.2,40.72,1541894
#2011-03-25#,40.9,41.42,40.82,41.32,2517553
#2011-03-28#,41.34,41.725,41.16,41.49,2438866
