"Date","Open","High","Low","Close","Volume"
#2007-01-01#,10.7675,10.775,10.6325,10.6625,593200
#2007-01-02#,10.7675,10.775,10.6325,10.6625,593200
#2007-01-03#,10.75,11.02,10.705,11.01,2437200
#2007-01-04#,11.0175,11.0175,10.875,10.995,1390400
#2007-01-05#,10.795,11.035,10.795,11.0125,1676000
#2007-01-08#,11.0125,11.125,10.8275,10.8675,1026800
#2007-01-09#,10.8775,11.0075,10.8425,11.0075,1271200
#2007-01-10#,10.975,11,10.8725,10.98,1482400
#2007-01-11#,11.0075,11.11,11.0075,11.0725,976800
#2007-01-12#,11.0525,11.1175,11.045,11.095,587600
#2007-01-15#,11.0525,11.1175,11.045,11.095,587600
#2007-01-16#,11.1225,11.125,11.0125,11.0525,730800
#2007-01-17#,11.0525,11.1725,11.0375,11.1725,724000
#2007-01-18#,11.3925,11.3925,11.0475,11.115,587200
#2007-01-19#,11.115,11.295,11.035,11.1525,2386800
#2007-01-22#,11.1725,11.2,11.0775,11.15,587600
#2007-01-23#,11.1575,11.25,11.13,11.225,482800
#2007-01-24#,11.2225,11.285,11.1875,11.275,558400
#2007-01-25#,11.2375,11.2625,11.175,11.25,944800
#2007-01-26#,11.275,11.275,11.1425,11.2275,974800
#2007-01-29#,11.2025,11.2775,11.2025,11.255,867200
#2007-01-30#,11.275,11.275,11.22,11.2675,603200
#2007-01-31#,11.2675,11.3325,11.1675,11.3275,1152800
#2007-02-01#,11.3375,11.3575,11.295,11.3175,1033200
#2007-02-02#,11.3,11.335,11.2075,11.2125,906000
#2007-02-05#,11.2,11.21,10.9925,11.145,1490400
#2007-02-06#,11.475,11.6725,10.965,11.5475,5863200
#2007-02-07#,11.5975,11.875,11.5975,11.77,1676800
#2007-02-08#,11.72,11.765,11.625,11.645,943600
#2007-02-09#,11.6425,11.6725,11.55,11.605,1228000
#2007-02-12#,11.605,11.635,11.5775,11.63,815200
#2007-02-13#,11.63,11.765,11.615,11.765,1352800
#2007-02-14#,11.765,11.845,11.73,11.755,767180
#2007-02-15#,11.75,11.75,11.6625,11.7,1124800
#2007-02-16#,11.73,11.85,11.695,11.835,988400
#2007-02-19#,11.73,11.85,11.695,11.835,988400
#2007-02-20#,11.775,11.86,11.7075,11.7725,1350800
#2007-02-21#,11.7275,11.8075,11.725,11.775,1067600
#2007-02-22#,11.77,11.805,11.6675,11.755,1075200
#2007-02-23#,11.77,11.785,11.695,11.7575,461600
#2007-02-26#,11.795,11.8475,11.7275,11.845,894800
#2007-02-27#,11.8475,11.9,11.635,11.775,1931600
#2007-02-28#,11.875,12.0675,11.8225,11.9875,2884400
#2007-03-01#,11.985,12.055,11.835,11.9625,1832708
#2007-03-02#,11.9625,11.99,11.7975,11.815,1414400
#2007-03-05#,11.7625,11.87,11.7125,11.7125,1427200
#2007-03-06#,11.8125,11.92,11.6753,11.7725,1724400
#2007-03-07#,11.79,11.8775,11.72,11.7575,1638400
#2007-03-08#,11.7975,11.865,11.75,11.86,891200
#2007-03-09#,11.9125,11.9625,11.8225,11.925,1692400
#2007-03-12#,11.9225,11.9775,11.88,11.9475,1973200
#2007-03-13#,11.925,11.95,11.845,11.8825,1808400
#2007-03-14#,11.8825,11.9875,11.8,11.89,2279200
#2007-03-15#,11.89,12.0275,11.845,12.0275,1648000
#2007-03-16#,12.0375,12.0875,11.9475,11.99,1032400
#2007-03-19#,12.085,12.165,12.03,12.1475,1011600
#2007-03-20#,12.1475,12.2775,12.1175,12.2775,1937600
#2007-03-21#,12.2775,12.4475,12.25,12.435,999200
#2007-03-22#,12.485,12.4875,12.345,12.475,1637600
#2007-03-23#,12.475,12.5,12.4359,12.47,1067200
#2007-03-26#,12.4575,12.4975,12.2875,12.4875,2399200
#2007-03-27#,12.45,12.495,12.35,12.425,1468800
#2007-03-28#,12.425,12.4975,12.36,12.445,756000
#2007-03-29#,12.5,12.5025,12.39,12.4775,724000
#2007-03-30#,12.5,12.5875,12.4225,12.5875,1068400
#2007-04-02#,13,13.2325,12.7225,12.78,2582824
#2007-04-03#,12.8,12.8475,12.7275,12.765,1114400
#2007-04-04#,12.775,12.8825,12.75,12.795,930800
#2007-04-05#,12.8125,12.905,12.8075,12.8475,1002400
#2007-04-06#,12.8125,12.905,12.8075,12.8475,1002400
#2007-04-09#,12.875,12.99,12.875,12.975,1766000
#2007-04-10#,12.9725,13.055,12.905,12.9725,544400
#2007-04-11#,12.9475,12.9725,12.8525,12.9375,727600
#2007-04-12#,12.9125,12.95,12.85,12.935,1197200
#2007-04-13#,12.9525,12.9725,12.8125,12.95,1183200
#2007-04-16#,13.005,13.0875,12.9075,12.98,1171600
#2007-04-17#,13.01,13.08,12.9425,13.005,998800
#2007-04-18#,12.98,12.9925,12.8775,12.8875,1118800
#2007-04-19#,12.87,12.9,12.6325,12.8725,845600
#2007-04-20#,12.9325,12.9875,12.7475,12.86,1833200
#2007-04-23#,12.8875,12.95,12.8225,12.9075,752000
#2007-04-24#,12.9,12.9,12.7875,12.8275,1223200
#2007-04-25#,12.8575,12.89,12.7475,12.8175,1418000
#2007-04-26#,12.8125,12.8575,12.675,12.7475,1562400
#2007-04-27#,12.7275,12.7975,12.6325,12.75,1324800
#2007-04-30#,12.725,12.865,12.6825,12.6825,921200
#2007-05-01#,12.6825,12.975,12.5875,12.8475,1048800
#2007-05-02#,12.83,12.94,12.83,12.9,1132400
#2007-05-03#,12.9025,12.945,12.83,12.8575,776000
#2007-05-04#,12.875,13,12.8375,12.975,1146400
#2007-05-07#,13.075,13.185,12.97,13.0125,1023600
#2007-05-08#,12.75,12.84,12.0925,12.7375,4599600
#2007-05-09#,12.675,12.7375,12.52,12.6125,1901200
#2007-05-10#,12.54,12.54,12.2925,12.3975,2269200
#2007-05-11#,12.4225,12.4425,12.33,12.385,1629040
#2007-05-14#,12.385,12.4575,12.265,12.38,1164232
#2007-05-15#,12.425,12.495,12.3125,12.325,1258800
#2007-05-16#,12.345,12.4925,12.3025,12.4725,869200
#2007-05-17#,12.425,12.425,12.28,12.28,1405600
#2007-05-18#,12.2975,12.3175,12.125,12.175,2014800
#2007-05-21#,12.1125,12.2925,12.06,12.2375,1710008
#2007-05-22#,12.215,12.2573,12.05,12.2025,1626012
#2007-05-23#,12.19,12.29,12.1275,12.2375,1399688
#2007-05-24#,12.21,12.25,12.055,12.0825,1125600
#2007-05-25#,12.0825,12.1875,12.0825,12.15,1142400
#2007-05-28#,12.0825,12.1875,12.0825,12.15,1142400
#2007-05-29#,12.155,12.4225,12.155,12.3775,1352772
#2007-05-30#,12.295,12.4875,12.2775,12.4875,1265600
#2007-05-31#,12.5,12.59,12.4625,12.5025,1561620
#2007-06-01#,12.55,12.665,12.52,12.5825,1143204
#2007-06-04#,12.5625,12.6175,12.4883,12.6175,709200
#2007-06-05#,12.575,12.63,12.5175,12.595,738800
#2007-06-06#,12.5325,12.5825,12.4075,12.41,1878000
#2007-06-07#,12.3625,12.3625,12.2025,12.2375,1512800
#2007-06-08#,12.245,12.3625,12.2,12.355,638000
#2007-06-11#,12.3225,12.3875,12.295,12.32,465200
#2007-06-12#,12.305,12.3475,12.21,12.275,854400
#2007-06-13#,12.275,12.39,12.2325,12.2825,2478400
#2007-06-14#,12.235,12.32,12.0925,12.1675,1124400
#2007-06-15#,12.25,12.3575,12.1675,12.23,1230800
#2007-06-18#,12.26,12.285,12.115,12.1175,1110800
#2007-06-19#,12.16,12.3675,12.16,12.2875,1974800
#2007-06-20#,12.3125,12.4725,12.3125,12.34,1261600
#2007-06-21#,12.3,12.3725,12.2525,12.3575,1075200
#2007-06-22#,12.345,12.345,12.175,12.255,1466000
#2007-06-25#,12.2075,12.35,12.1975,12.255,827600
#2007-06-26#,12.255,12.3075,12.1875,12.2625,674800
#2007-06-27#,12.2475,12.2475,12.095,12.1775,982000
#2007-06-28#,12.175,12.2825,12.14,12.185,1504800
#2007-06-29#,12.2175,12.269,12.035,12.115,877600
#2007-07-02#,12.1675,12.2,12.125,12.195,909200
#2007-07-03#,12.1975,12.28,12.1825,12.255,327600
#2007-07-04#,12.1975,12.28,12.1825,12.255,327600
#2007-07-05#,12.255,12.3,12.115,12.2025,1000400
#2007-07-06#,12.2175,12.33,12.17,12.2875,1051200
#2007-07-09#,12.2875,12.3875,12.2684,12.3875,1444800
#2007-07-10#,12.3125,12.3375,12.2625,12.2725,1560400
#2007-07-11#,12.25,12.325,12.245,12.3025,2768000
#2007-07-12#,12.3525,12.51,12.3325,12.5075,4839600
#2007-07-13#,12.5475,12.625,12.5325,12.575,2090400
#2007-07-16#,12.59,12.615,12.415,12.4325,2157200
#2007-07-17#,12.4625,12.525,12.38,12.38,4252400
#2007-07-18#,12.355,12.455,12.2375,12.34,2940400
#2007-07-19#,12.3925,12.4925,12.3725,12.375,1175200
#2007-07-20#,12.3325,12.3625,12.155,12.165,2635188
#2007-07-23#,12.2375,12.415,12.2,12.38,1494000
#2007-07-24#,12.2925,12.445,12.25,12.3475,1581600
#2007-07-25#,12.4125,12.475,12.2875,12.3775,1816400
#2007-07-26#,12.255,12.3675,12.1875,12.335,2388800
#2007-07-27#,12.345,12.345,12.1575,12.17,1837600
#2007-07-30#,12.1575,12.275,11.955,12.2425,1467600
#2007-07-31#,12.295,12.4325,12.1975,12.265,1716000
#2007-08-01#,12.1975,12.445,12.1425,12.4125,1484000
#2007-08-02#,12.45,12.66,12.33,12.5975,1631600
#2007-08-03#,12.5,12.59,12.3375,12.3375,1941600
#2007-08-06#,12.4,12.7125,12.4,12.5025,3744000
