"Date","Open","High","Low","Close","Volume"
#2013-01-01#,74.61,75.41,74,75.36,4938977
#2013-01-02#,76.55,77.33,76.45,77.07,5036483
#2013-01-03#,76.99,77.98,76.37,77.47,3987181
#2013-01-04#,77.79,78.02,77.44,77.69,3431684
#2013-01-07#,77.54,77.69,75.34,76.13,7173813
#2013-01-08#,75.24,75.81,73.11,74.13,20273061
#2013-01-09#,74.92,76.81,74.91,76.76,10916299
#2013-01-10#,76.93,77.12,76.16,77.09,5026550
#2013-01-11#,75.71,76.1,74.6,75.16,9811413
#2013-01-14#,75.23,76.59,74.9,76.55,6221379
#2013-01-15#,76.21,76.98,76.18,76.94,3900576
#2013-01-16#,73.85,74.64,73.56,74.34,18211993
#2013-01-17#,72.78,75.63,72.68,75.26,21867122
#2013-01-18#,75.16,75.16,74.29,75.04,10830844
#2013-01-21#,75.16,75.16,74.29,75.04,10830844
#2013-01-22#,74.12,74.27,73.77,74.16,9162114
#2013-01-23#,73.99,74.59,73.45,74.29,7784976
#2013-01-24#,74.41,75.54,74.41,75.32,7293860
#2013-01-25#,75.29,75.42,74.79,75.03,6165671
#2013-01-28#,73.9,74.65,73.89,74,7759785
#2013-01-29#,74.24,74.24,73,73.65,9297972
#2013-01-30#,74.42,74.75,73.73,74.59,10048671
#2013-01-31#,74.5,74.62,73.76,73.87,7640885
#2013-02-01#,74.49,75.07,74.23,74.87,6749743
#2013-02-04#,74.29,75.53,74.25,75.21,5802301
#2013-02-05#,75.69,76.98,75.61,75.89,6831394
#2013-02-06#,75.47,76.3,75.4,76.29,4717680
#2013-02-07#,76.32,77.54,76.28,77.43,7773199
#2013-02-08#,77.24,77.395,76.28,76.56,5100624
#2013-02-11#,76.42,76.44,75.85,75.87,3677236
#2013-02-12#,76.06,76.25,75.83,75.99,3597563
#2013-02-13#,75.67,75.83,74.625,74.78,4313560
#2013-02-14#,74.69,75.31,74.54,74.93,3830920
#2013-02-15#,75.26,75.26,74.72,75.03,3650898
#2013-02-18#,75.26,75.26,74.72,75.03,3650898
#2013-02-19#,74.99,75.19,74.27,74.65,3882711
#2013-02-20#,75.64,76.25,74.75,74.78,7553910
#2013-02-21#,74.96,76.18,74.91,76.01,7443272
#2013-02-22#,76.7,77.03,76.48,76.66,5391246
#2013-02-25#,76.83,76.9,75.03,75.03,4936331
#2013-02-26#,75.43,75.91,75.14,75.65,3442825
#2013-02-27#,75.53,77.925,75.53,77.36,7162597
#2013-02-28#,77.24,77.73,76.4,76.9,5594624
#2013-03-01#,76.7,77.59,76.58,77.28,6024212
#2013-03-04#,76.95,77.4,76.17,77.09,4750623
#2013-03-05#,77.45,78.85,77.11,78.66,5694533
#2013-03-06#,78.67,79.28,78.49,79.08,3830404
#2013-03-07#,79.37,81.95,79.37,81.05,10030550
#2013-03-08#,81.16,81.7,80.72,81.23,5232626
#2013-03-11#,81.01,83.03,80.96,82.94,5088509
#2013-03-12#,83.1,84.62,83,84.16,6604787
#2013-03-13#,84.38,84.85,83.52,84.75,7752163
#2013-03-14#,84.62,85.1,84.125,84.62,5031187
#2013-03-15#,84.75,86.49,84.5,86.43,8211037
#2013-03-18#,85.07,85.77,85.04,85.18,4804372
#2013-03-19#,85.53,86,85.24,85.51,5381154
#2013-03-20#,85.85,86.14,85.18,85.37,3783484
#2013-03-21#,85.2,85.83,84.18,84.33,3672315
#2013-03-22#,84.52,85.1,84.52,84.82,2850589
#2013-03-25#,85.03,85.48,84.34,84.85,3528393
#2013-03-26#,85.43,86.84,85.41,86.62,5085200
#2013-03-27#,85.75,86.42,85.05,86.2,3187158
#2013-03-28#,86.41,86.5,85.42,85.85,4884493
#2013-03-29#,86.41,86.5,85.42,85.85,4884493
#2013-04-01#,85.6,86.19,85.03,85.25,2867848
#2013-04-02#,85.39,85.5,83.8,84.09,4764894
#2013-04-03#,84.3,85.35,84.07,84.36,3885015
#2013-04-04#,84.79,85.02,84.21,84.95,3353966
#2013-04-05#,84.07,86.3,83.91,86.17,6113106
#2013-04-08#,86.04,86.81,85.38,86.75,5004996
#2013-04-09#,87.12,87.49,86.19,87.21,6058380
#2013-04-10#,87.34,88.56,87.06,87.82,4635530
#2013-04-11#,87.96,89.46,87.84,88.53,5394606
#2013-04-12#,88.29,88.929,88,88.89,2588749
#2013-04-15#,88.44,88.77,86.77,86.77,4325217
#2013-04-16#,87.45,88.35,86.43,86.89,5234308
#2013-04-17#,86.47,87,85.78,86.69,3781040
#2013-04-18#,87.06,87.158,85.75,86.12,2792751
#2013-04-19#,87.57,88.08,86.57,87.96,6323820
#2013-04-22#,88.08,88.08,86.441,86.94,4248652
#2013-04-23#,87.35,88.51,87.2,88.18,3131828
#2013-04-24#,91.95,92.65,90.42,90.83,9231699
#2013-04-25#,91.35,92.62,90.07,91.67,5767232
#2013-04-26#,91.89,93.38,91.67,92.85,5912789
#2013-04-29#,91.4,92.41,91.19,91.9,6267434
#2013-04-30#,91.35,91.99,90.82,91.41,4715213
#2013-05-01#,91.08,91.75,90.725,91.18,4567249
#2013-05-02#,91.24,92.82,91.2,92.21,4515255
#2013-05-03#,92.85,93.95,92.67,93.74,4700594
#2013-05-06#,93.44,94.785,93.36,94.19,5504729
#2013-05-07#,94.31,95.04,94.06,94.79,3859164
#2013-05-08#,94.31,94.442,93.773,94.04,3204852
#2013-05-09#,94.07,95.15,94.04,94.61,3677474
#2013-05-10#,94.75,94.99,93.82,94.24,3919015
#2013-05-13#,94.12,95.16,94.1,94.76,3492288
#2013-05-14#,94.92,96.19,94.7,96.11,4646855
#2013-05-15#,95.69,97.47,95.6,97.02,4876645
#2013-05-16#,96.89,97.2,96.304,96.58,5038181
#2013-05-17#,97.02,99.04,97,98.92,7409276
#2013-05-20#,99.12,99.33,98.52,98.72,6535532
#2013-05-21#,98.59,99.05,97.9,98.75,4415942
#2013-05-22#,98.86,99.48,97.86,97.93,8400254
#2013-05-23#,97.18,99.99,97.06,99.75,6975739
#2013-05-24#,99.75,100.58,98.85,100,6746242
#2013-05-27#,99.75,100.58,98.85,100,6746242
#2013-05-28#,100.85,101.47,100.11,100.11,5736168
#2013-05-29#,99.56,100.03,98.9,99.09,4405998
#2013-05-30#,99.29,100.99,99.06,100.54,4784702
#2013-05-31#,100.21,100.95,99.02,99.02,4221344
#2013-06-03#,99.36,100.9,99.3,100.74,6473978
#2013-06-04#,100.48,100.92,99.08,99.61,3769792
#2013-06-05#,99.34,99.71,98.05,98.49,5151728
#2013-06-06#,98.65,99.81,98.42,99.76,4131945
#2013-06-07#,100.25,102.59,100.06,102.49,5733850
#2013-06-10#,102.51,102.95,101.51,102.24,4047589
#2013-06-11#,101.61,102.779,100.9,101.75,3144607
#2013-06-12#,102.19,102.42,100.61,100.88,2936428
#2013-06-13#,100.96,102.34,100.85,102.16,4079190
#2013-06-14#,102.16,103.22,101.5,101.83,3944464
#2013-06-17#,102.69,103.52,102.52,103.03,4217338
#2013-06-18#,103.22,104.15,102.65,104.08,4040148
#2013-06-19#,103.83,104.15,102.24,102.25,4187442
#2013-06-20#,101.46,101.86,99.38,99.64,7117353
#2013-06-21#,100.08,100.14,97.42,99.98,10330539
#2013-06-24#,99.06,99.46,96.309,97.85,5585833
#2013-06-25#,99.2,99.66,98.18,98.67,3558674
#2013-06-26#,99.65,101.39,99.57,100.75,5273416
#2013-06-27#,102.41,103.52,102.01,103.15,6579618
#2013-06-28#,102.86,103.49,102.32,102.44,5434514
#2013-07-01#,102.93,104.02,102.93,103.24,4091377
#2013-07-02#,103.22,103.25,100.82,101.47,4147030
#2013-07-03#,101.01,103.04,100.78,102.89,2897289
#2013-07-04#,101.01,103.04,100.78,102.89,2897289
#2013-07-05#,103.7,104.2,102.75,104.2,3673655
#2013-07-08#,104,105.1,103.44,104.37,4222625
