"Date","Open","High","Low","Close","Volume"
#2016-01-01#,190.07,191.16,189.5,189.79,248284
#2016-01-04#,186.38,187.235,184.255,186.51,514261
#2016-01-05#,186.4,188.076,184.52,187.56,350230
#2016-01-06#,184.53,187.56,182.98,183.37,471056
#2016-01-07#,179.83,181.255,177.485,177.89,444893
#2016-01-08#,179.23,179.85,175.235,175.62,489375
#2016-01-11#,176.51,177.93,171.66,173.47,724272
#2016-01-12#,175.18,176.88,173.24,176.06,553140
#2016-01-13#,177.24,178.56,170.56,170.76,483648
#2016-01-14#,170.95,172.36,168.8,170.84,834103
#2016-01-15#,167.97,171.065,166.05,169.43,902125
#2016-01-18#,167.97,171.065,166.05,169.43,902125
#2016-01-19#,171.98,172.2999,168.37,169.52,493121
#2016-01-20#,167.04,168.94,164.73,167.62,686083
#2016-01-21#,167.69,168.88,165.22,166.4,584646
#2016-01-22#,171.28,172.23,167.58,168.52,532688
#2016-01-25#,168.28,168.68,165.94,166.09,525364
#2016-01-26#,166.95,169.33,166.22,169.28,425097
#2016-01-27#,169.27,171.97,167.37,168.26,303081
#2016-01-28#,170.09,171.24,168.135,169.72,415370
#2016-01-29#,170.3,175.81,169.24,175.67,961805
#2016-02-01#,157.34,164.94,157.305,163.73,2355611
#2016-02-02#,161.9,161.9,155.79,158.89,1083487
#2016-02-03#,160.81,162.14,157.18,162.11,667420
#2016-02-04#,162.04,168.1,160.49,166.97,722953
#2016-02-05#,165.82,165.82,161.02,163.12,836761
#2016-02-08#,161.75,162.86,159.54,161.87,465968
#2016-02-09#,160.6,163.69,160.185,161.83,596566
#2016-02-10#,161.22,163.2904,159.92,160.25,533388
#2016-02-11#,157.6,161.11,157.181,159.97,470733
#2016-02-12#,160.67,164.61,157.75,163.59,396664
#2016-02-15#,160.67,164.61,157.75,163.59,396664
#2016-02-16#,165.06,167.885,163.39,167.29,602496
#2016-02-17#,168.18,170.18,168.18,169.71,550604
#2016-02-18#,169.6,172.36,168.88,170.5,633962
#2016-02-19#,170.66,172.14,168.95,170.34,647973
#2016-02-22#,171.36,173.68,171.04,173.01,553625
#2016-02-23#,172.4,174.44,170.3,171.26,440650
#2016-02-24#,170.01,170.87,168.59,170.22,401372
#2016-02-25#,171.22,172.2,169.25,171,507895
#2016-02-26#,171.94,172.08,170.24,170.34,685572
#2016-02-29#,170.02,170.5,166.87,167.93,690704
#2016-03-01#,169,172.56,168.58,171.88,491493
#2016-03-02#,171.01,172.38,170.3,171.43,398949
#2016-03-03#,171.21,172.47,170.6301,172.38,346442
#2016-03-04#,171.96,172.9,170.07,172.5,503858
#2016-03-07#,171.68,173.4799,171.68,173.44,363040
#2016-03-08#,171.66,172.44,170.38,170.78,348949
#2016-03-09#,171.69,172.51,170.08,170.61,378514
#2016-03-10#,170.58,171.51,168.79,170.46,358422
#2016-03-11#,171.85,174.03,170.9001,173.81,439090
#2016-03-14#,173.75,176.48,173.5306,175.5,448960
