"Date","Open","High","Low","Close","Volume"
#2010-01-01#,159.46,160.28,158.07,158.07,272002
#2010-01-04#,158.99,159.39,157.71,158.03,408225
#2010-01-05#,158.65,158.65,152.32,156.71,1224696
#2010-01-06#,156.45,158.79,154.29,155.24,1074212
#2010-01-07#,155.92,157.91,155.14,157.3,424458
#2010-01-08#,156.73,156.99,155.14,155.28,461871
#2010-01-11#,155.01,155.65,153.89,155.48,440382
#2010-01-12#,155.26,156.19,153.55,155.14,453483
#2010-01-13#,154.83,155.51,153.97,154.75,362060
#2010-01-14#,154.5,154.72,152.75,154.38,375131
#2010-01-15#,154.14,155.53,153.64,155.08,697299
#2010-01-18#,154.14,155.53,153.64,155.08,697299
#2010-01-19#,154.81,157.43,154.35,157.28,591635
#2010-01-20#,156.38,157.89,155.34,156.37,682113
#2010-01-21#,156.98,159.01,156.98,157.33,560060
#2010-01-22#,156.94,158.72,155.51,155.87,661015
#2010-01-25#,156.75,157.61,156.07,156.44,509679
#2010-01-26#,155.74,158.56,155.47,158.34,542019
#2010-01-27#,158.34,159.59,155.565,156.38,661692
#2010-01-28#,156.69,157.29,154.44,155.42,399109
#2010-01-29#,155.31,156.66,154.97,155.03,422285
#2010-02-01#,155.45,157.04,155.41,156.5,284216
#2010-02-02#,156.34,158.05,155.84,157.58,364674
#2010-02-03#,157.18,157.58,156.19,157.09,322172
#2010-02-04#,156.57,157.37,154.34,154.4,689214
#2010-02-05#,154.38,156.02,153.44,155.38,820769
#2010-02-08#,157.56,159.45,156.94,156.94,666127
#2010-02-09#,158.09,159.63,155.87,159.05,486249
#2010-02-10#,158.58,159.45,157.89,158.5,328907
#2010-02-11#,158.5,159.17,157.2,158.65,528048
#2010-02-12#,158.2,161.13,157.72,160.85,481188
#2010-02-15#,158.2,161.13,157.72,160.85,481188
#2010-02-16#,161.32,164.92,161.02,164.87,737475
#2010-02-17#,164.5,165.73,163.45,165.62,328450
#2010-02-18#,162.69,163.42,160.2,163.19,892172
#2010-02-19#,163,164.52,162.535,163.67,490041
#2010-02-22#,164.3,164.43,162.98,163.07,275684
#2010-02-23#,162.6,165.85,162.6,164.24,444076
#2010-02-24#,163.77,165.5,163.28,164.96,494010
#2010-02-25#,162.87,166.31,162.76,166.08,686613
#2010-02-26#,166.5,167.09,164.51,165.93,583922
#2010-03-01#,165.43,166.66,164.3,166,704292
#2010-03-02#,168.34,170.33,164.53,164.74,1696877
#2010-03-03#,163.88,166.27,162.57,164.57,943016
#2010-03-04#,164.78,168.4,164.75,167.62,742051
#2010-03-05#,168.5,169.75,167.86,168.79,536096
#2010-03-08#,168.76,168.97,167.77,168.15,495343
#2010-03-09#,167.1,169.69,167.02,167.86,563286
#2010-03-10#,167.36,169.06,167.36,168.09,633665
#2010-03-11#,167.3,168.77,166.72,168.66,333545
#2010-03-12#,168.73,169.33,168.09,168.89,256583
#2010-03-15#,168.89,169.17,167.79,169,305289
#2010-03-16#,167.79,169.33,167.46,169.17,516071
#2010-03-17#,168.48,173.03,168.48,172,672141
#2010-03-18#,172.49,174.15,171.29,172.21,309234
#2010-03-19#,170.35,173.19,170.15,172.28,551080
#2010-03-22#,172.65,174.82,171.62,174.19,518405
#2010-03-23#,173.81,175.39,173.64,175.05,345944
#2010-03-24#,174.33,174.33,172.75,173.57,437097
#2010-03-25#,174.85,175.23,173.82,173.93,367946
#2010-03-26#,173.93,175.35,173.31,174.22,307931
#2010-03-29#,174.31,174.73,172.87,173.23,293746
#2010-03-30#,172.84,174.89,172.73,173.58,343604
#2010-03-31#,173.11,173.84,172.43,173.09,297416
#2010-04-01#,173.82,175.33,173.82,174.88,288062
#2010-04-02#,173.82,175.33,173.82,174.88,288062
#2010-04-05#,174.59,174.99,172.9,173.53,403131
#2010-04-06#,173.51,174.14,172.59,173.97,281455
#2010-04-07#,173.7,176.63,172.62,176,389107
#2010-04-08#,175.44,176.09,174.17,175.05,347214
#2010-04-09#,175.33,175.6,174.2,175.29,232516
#2010-04-12#,175.36,176.1,174.83,175.42,219726
#2010-04-13#,175.24,176.06,174.68,175.44,225312
#2010-04-14#,176.44,180.2,175.62,179.8,394937
#2010-04-15#,179.64,181.25,179.02,181.05,348950
#2010-04-16#,181.01,181.5,179.54,180.11,506629
#2010-04-19#,180.15,180.73,177.67,180,330868
#2010-04-20#,180.17,180.99,179.195,179.76,236263
#2010-04-21#,179.99,181.32,179.08,181,249181
#2010-04-22#,180.05,183.27,180.05,182.24,453946
#2010-04-23#,182.05,184.07,181.67,184.05,229377
#2010-04-26#,184.98,185.47,183.54,185.13,228634
#2010-04-27#,185.19,185.99,181.82,182.03,326698
#2010-04-28#,182.17,183.65,179.1,180.26,353087
#2010-04-29#,181.1,187.165,181.1,185.64,398663
#2010-04-30#,186.49,187.94,183.61,185.01,443015
#2010-05-03#,184.47,186.33,183.86,186.33,373032
#2010-05-04#,185.1,185.1,181.58,183.83,307631
#2010-05-05#,183,185.15,182.7,183.03,467979
#2010-05-06#,182.69,183.1,171.65,178.13,675426
#2010-05-07#,178.81,180.01,172.19,176.08,569300
#2010-05-10#,179.71,183.29,179.14,183.15,554374
#2010-05-11#,182.23,184.45,182.11,183.86,518170
#2010-05-12#,184.45,185.4,182.45,185.22,320854
#2010-05-13#,185.39,185.39,180.6,180.95,316083
#2010-05-14#,180.9,182.23,178.9,180.31,535744
#2010-05-17#,180.9,184.1,178.49,183.72,605654
#2010-05-18#,183.77,185.46,180.5,180.8,369693
