"Date","Open","High","Low","Close","Volume"
#2018-01-01#,204.1,204.1,200.9,201.11,163882
#2018-01-02#,201.71,203.24,200.115,202.55,305966
#2018-01-03#,202.82,204.46,200.72,203.32,337441
#2018-01-04#,203.39,208.57,203.39,206.51,309300
#2018-01-05#,207.83,211.71,206.66,211.32,262167
#2018-01-08#,210.93,212,205.79,205.99,316596
#2018-01-09#,205.85,208.395,205.85,206.85,244736
#2018-01-10#,206.23,206.74,201.47,205.66,246196
#2018-01-11#,205.99,207.78,205.36,205.89,326840
#2018-01-12#,207.15,212,206.325,211.47,227517
#2018-01-15#,207.15,212,206.325,211.47,227517
#2018-01-16#,213.09,215.58,209.48,210.2,285646
#2018-01-17#,211.26,214.6,211.26,213.83,329624
#2018-01-18#,213.79,216.65,213.08,215.93,236391
#2018-01-19#,217.21,218.81,215.4572,218.79,236254
#2018-01-22#,218.75,219.515,216,218.35,316961
#2018-01-23#,218.81,221.75,218.54,218.77,404865
#2018-01-24#,219.95,219.95,215.35,215.77,295850
#2018-01-25#,216.52,217.53,215.02,216.6,237534
#2018-01-26#,217.99,218.61,214.7105,218.61,271370
#2018-01-29#,218.61,220.95,217.66,217.66,185090
#2018-01-30#,213.5,214.48,207.31,210.59,468308
#2018-01-31#,212.83,215.38,209.84,210.38,295094
#2018-02-01#,209.05,212.44,205.87,211.05,429591
#2018-02-02#,210.25,210.25,204.6,204.73,376099
#2018-02-05#,203.64,203.96,195.37,196.5,511026
#2018-02-06#,193.89,197.15,188.72,195.65,811761
#2018-02-07#,194.74,198.86,192.12,195.04,392481
#2018-02-08#,194.77,196.5,190.04,190.1,805923
#2018-02-09#,191.94,195.26,187.06,193.69,377341
#2018-02-12#,194.63,195.66,192.25,194.92,563685
#2018-02-13#,193.36,194.6,191.74,194.33,291071
#2018-02-14#,193.47,195.72,192.82,194.72,182350
#2018-02-15#,195.72,195.72,189.81,191.96,262827
#2018-02-16#,191.21,194.04,191.21,193.21,204460
#2018-02-19#,191.21,194.04,191.21,193.21,204460
#2018-02-20#,192.68,196.07,191.96,194.65,300316
#2018-02-21#,195.18,195.89,193.59,193.64,270893
#2018-02-22#,194.42,194.65,191.76,192.02,290856
#2018-02-23#,192.63,193.71,190.25,192.05,252214
#2018-02-26#,192.83,195.48,192.64,194.79,255146
#2018-02-27#,195.03,198.275,194.94,194.94,217768
#2018-02-28#,195.42,195.84,193.05,193.91,393713
#2018-03-01#,193.67,196.25,191.3,193.51,295966
#2018-03-02#,192.99,194.31,190.93,193.95,192888
#2018-03-05#,192.84,195.51,191.73,195.13,234038
#2018-03-06#,195.13,196.98,192,195.59,439531
#2018-03-07#,194.52,195.86,193.36,194.47,265990
#2018-03-08#,192.88,194.25,190.87,191.85,238630
#2018-03-09#,193.04,195.8,191.17,195.23,339021
#2018-03-12#,195.39,195.66,193.16,193.72,265085
#2018-03-13#,193.72,195.77,192.79,194.31,303144
#2018-03-14#,194.87,196.29,193.52,194.27,526085
#2018-03-15#,194.88,196.485,193.49,193.57,176424
#2018-03-16#,199.28,201.53,194.55,194.75,683244
#2018-03-19#,194.58,195.26,191.45,192.62,187347
#2018-03-20#,192.84,193.73,192.01,192.55,307972
#2018-03-21#,197,200.82,194.6,197.94,618348
#2018-03-22#,197.05,197.05,190.35,190.45,385802
#2018-03-23#,191.02,192.64,188.33,188.41,237454
#2018-03-26#,189.7,192.1,189,191.8,325867
#2018-03-27#,192.76,193.66,189.28,190.45,334692
#2018-03-28#,190.94,191.93,189.905,190.27,567266
#2018-03-29#,191.46,196.12,190.78,193.63,416183
#2018-03-30#,191.46,196.12,190.78,193.63,416183
#2018-04-02#,193.89,195.42,188.32,189.96,245032
#2018-04-03#,194.74,196.96,193.21,194.39,663074
#2018-04-04#,192.94,195.045,191.76,194.85,339653
#2018-04-05#,195.75,198.67,194.795,196.29,426475
#2018-04-06#,195.25,196.3,189.71,191,313072
#2018-04-09#,191.77,194.65,191.355,192.48,264485
#2018-04-10#,194.02,197.27,192.78,195.59,269325
#2018-04-11#,194.51,194.98,190.92,191.09,227193
#2018-04-12#,192.29,195.95,192.29,194.29,267075
#2018-04-13#,195.67,195.67,192.73,193.76,212580
#2018-04-16#,195.26,198.98,194.52,198.11,284510
#2018-04-17#,200.4,202.38,200.4,201.72,350698
#2018-04-18#,202.22,204.07,200.88,202.06,377580
#2018-04-19#,201.69,203.91,200.78,201.71,394569
#2018-04-20#,201.94,202.285,199.58,200.24,361409
#2018-04-23#,200.75,202.08,200.2,200.44,183093
#2018-04-24#,201.34,202.86,199.23,200.9,380469
#2018-04-25#,204.4,208.58,202.85,207.93,642429
#2018-04-26#,208.65,210.805,206.33,210.03,479376
#2018-04-27#,209.68,211.33,209,209.22,357078
#2018-04-30#,210.04,211.35,205.16,205.16,414363
#2018-05-01#,205.19,218.28,205.19,214.87,688151
#2018-05-02#,215.62,215.71,211.03,211.44,502937
#2018-05-03#,210.96,214.8,208.01,214.25,381110
#2018-05-04#,213.49,219.329,213.1,218.62,411858
#2018-05-07#,220.03,220.33,214.06,214.95,342190
#2018-05-08#,215.54,216.245,213.8,214.94,317737
#2018-05-09#,215.14,215.14,210.82,211.26,343136
#2018-05-10#,212.2,216.21,212.2,214.77,172544
#2018-05-11#,215.2,218.42,213.55,217.45,243869
#2018-05-14#,217.96,219.94,217.85,218.57,182509
#2018-05-15#,217.43,218.12,215.09,215.84,276729
#2018-05-16#,216.83,218.2,215.49,217.09,189573
#2018-05-17#,217.03,219.69,216.79,218.2,236747
#2018-05-18#,218.28,219.235,216.94,217.89,243626
#2018-05-21#,219.38,219.5,217.17,217.95,181533
#2018-05-22#,217.93,218.3963,215.64,216.96,180122
#2018-05-23#,216.28,218.59,216.28,218.43,150451
#2018-05-24#,218.31,218.585,216.62,217.9,178781
#2018-05-25#,218.06,221.67,217.61,220.08,288282
#2018-05-28#,218.06,221.67,217.61,220.08,288282
#2018-05-29#,218.55,221.52,218.55,221.15,214700
#2018-05-30#,225,232.04,224.67,226.99,581094
#2018-05-31#,226.99,227.6606,221.54,221.67,337066
#2018-06-01#,221.84,224.9,220.91,222.7,446661
#2018-06-04#,223.92,228.375,221.98,228.04,584017
#2018-06-05#,228.38,230.02,226.25,227.93,244868
#2018-06-06#,227.71,229.62,226.89,229.23,264011
#2018-06-07#,234.08,236.22,228.02,230.72,312462
#2018-06-08#,230.7,234.49,228.82,233.99,382711
#2018-06-11#,235.47,238.29,234.54,237.25,214591
#2018-06-12#,237.79,240.699,237.26,239.4,403131
#2018-06-13#,240.63,243.71,239.78,239.97,411739
#2018-06-14#,241.05,241.99,238.95,239.82,223880
#2018-06-15#,239.19,240.92,237.89,240.29,403796
#2018-06-18#,239.71,240.51,237.96,239.85,173297
#2018-06-19#,238.75,240.09,237.345,238.68,234193
#2018-06-20#,239.48,239.77,237.95,239.05,326328
#2018-06-21#,239.45,240.895,238.65,240.47,159729
#2018-06-22#,241.97,244.69,241.095,244.2,411806
#2018-06-25#,244.2,244.4,238.65,239.75,326777
#2018-06-26#,239.77,240.27,237.16,237.73,414711
#2018-06-27#,239.35,245.439,239.35,242.19,379021
#2018-06-28#,241.4,245.61,238.95,245.38,348695
#2018-06-29#,245.77,247.94,245.52,246.24,411080
#2018-07-02#,246.22,247.932,245.01,246.83,354444
#2018-07-03#,247.8,250.16,246.6,249.69,150531
#2018-07-04#,247.8,250.16,246.6,249.69,150531
#2018-07-05#,251.39,253.98,250.56,253.68,286526
#2018-07-06#,254.04,254.04,252.3,253.39,215404
#2018-07-09#,253.17,255.43,253,254.71,311688
#2018-07-10#,255.59,258.01,254.42,257.19,227163
#2018-07-11#,256.84,257.43,254.6,256.35,158873
#2018-07-12#,258.4,258.93,256.71,257.96,176518
#2018-07-13#,257.8,259.1565,256.75,258.56,183711
#2018-07-16#,258.02,258.02,254.62,255.22,524301
#2018-07-17#,252.35,254.6,250.32,254.03,603679
#2018-07-18#,254.3,255.73,252.45,254.75,283832
#2018-07-19#,255.4,256.42,252.33,255.6,199165
#2018-07-20#,256.07,257.55,255.5,256.18,339950
#2018-07-23#,258.12,259.595,256.32,256.92,228864
#2018-07-24#,256.88,258.5,249.59,251.9,320053
#2018-07-25#,252.14,256.98,248.38,256.38,308249
#2018-07-26#,256.88,259,256.3,258.35,228569
#2018-07-27#,259.5,259.5,255.36,255.73,313030
#2018-07-30#,256.23,256.23,248.64,249.22,437335
#2018-07-31#,248.49,268.75,246.47,267.42,653620
#2018-08-01#,269.92,271.88,269.21,270.37,614538
#2018-08-02#,270.37,278.85,270.37,278.48,359230
#2018-08-03#,278.44,279.05,273.41,275.64,427838
#2018-08-06#,273.75,274.59,267.4,271.45,439907
#2018-08-07#,270,272.86,268.41,270.28,395000
#2018-08-08#,271.11,286.7,270.3,281.98,3413677
#2018-08-09#,283.99,292.1,283.15,289.46,835170
#2018-08-10#,287.85,290.76,285.11,286.9,834898
#2018-08-13#,286.98,291.15,285.61,289.99,596906
#2018-08-14#,290.23,293.94,290.23,292.36,405524
#2018-08-15#,292,293.47,288.74,289.81,508658
#2018-08-16#,291.43,294.8,289.84,293.09,568493
#2018-08-17#,294.09,296.365,293,294.74,586535
#2018-08-20#,297.01,297.09,293.59,294.02,325915
#2018-08-21#,293.51,297.18,292.01,296.78,383786
#2018-08-22#,296.41,297.58,294.5815,296.23,282246
#2018-08-23#,296.45,298.84,296.3,298.13,561190
#2018-08-24#,297.81,303.945,297.81,303.21,528449
#2018-08-27#,305.27,305.745,302.29,303.95,321274
#2018-08-28#,304.25,304.99,299.72,303.22,334606
#2018-08-29#,303.68,305.39,300.07,300.72,320847
#2018-08-30#,300.71,302.66,299.56,300.24,303891
#2018-08-31#,300.1,302.92,299.01,302.57,431950
#2018-09-03#,300.1,302.92,299.01,302.57,431950
#2018-09-04#,302.12,307.19,300.01,304.24,514309
#2018-09-05#,303.39,306.9599,301.79,305.41,619191
#2018-09-06#,307.78,315.27,306.02,312.81,489556
#2018-09-07#,312.81,315.65,310.07,310.44,319679
#2018-09-10#,311.19,313.075,307.76,308.83,198244
#2018-09-11#,308.83,312.085,308.83,310.45,573228
#2018-09-12#,306.26,306.27,299.51,305.07,1005837
#2018-09-13#,306.07,307.86,300.36,301.41,1101235
#2018-09-14#,302.91,304.6262,299.08,301.41,11906435
#2018-09-17#,302.16,304.28,299.86,300.81,923690
#2018-09-18#,299.84,307.71,297.86,306.17,1008199
#2018-09-19#,306.38,307.595,302.25,304.89,903085
#2018-09-20#,306.61,306.61,301.82,302.19,906390
#2018-09-21#,302.06,305.03,301.68,304.3,1997065
#2018-09-24#,302.07,308.48,302,307.48,704013
#2018-09-25#,307.42,307.87,302.02,303.27,836138
#2018-09-26#,304.62,308.3283,301.91,307.36,602428
#2018-09-27#,318.94,323.5,315.01,320.63,1643890
#2018-09-28#,319.64,321.26,316.3,320.49,923733
#2018-10-01#,322.19,324.99,320.3,321.88,720214
#2018-10-02#,321.46,322.385,314.3421,315.07,868716
#2018-10-03#,315.79,315.925,310.71,315.3,562311
#2018-10-04#,315.9,315.92,308.72,310.05,527335
#2018-10-05#,310.15,316.2,310.09,315.44,604046
#2018-10-08#,314.03,315.63,306.77,310.63,327730
#2018-10-09#,310.63,312.74,308.19,311.18,431269
#2018-10-10#,313.26,314.78,304.37,304.95,629447
#2018-10-11#,303.36,308.89,301.13,302.1,754784
#2018-10-12#,307.63,310.75,303.48,307.77,625514
#2018-10-15#,307.32,309.69,304.73,305.99,495638
#2018-10-16#,309.85,319.63,308.6504,319.24,644929
#2018-10-17#,320,321.52,313.54,316.22,390029
#2018-10-18#,316.49,320.3,314.62,317.13,450622
#2018-10-19#,317.96,319.09,307.24,308.74,492685
#2018-10-22#,308.84,310.43,305.6,309.34,375223
#2018-10-23#,303.97,305.03,297.66,303.87,469993
#2018-10-24#,303.31,304.2,295.5,296.32,698236
#2018-10-25#,297.31,304.5,292.03,302.84,489797
#2018-10-26#,299.8,299.8,292.05,295.82,492612
#2018-10-29#,297.88,301.115,287.49,291.5,848788
#2018-10-30#,281.18,290.83,274.17,282.12,1376384
#2018-10-31#,284.58,284.58,275.68,275.99,1457290
#2018-11-01#,277.15,281.12,266.4241,267.87,1276002
#2018-11-02#,268.47,270.11,257.93,259.1,1238717
#2018-11-05#,259.56,263.27,258.2203,262.1,1210273
#2018-11-06#,261.99,263.61,253.36,256.48,890251
#2018-11-07#,260.33,277.98,260.33,275.21,1837670
#2018-11-08#,273.69,274.85,267.03,272.11,961855
#2018-11-09#,270.32,273.58,267,273.32,858506
