"Date","Open","High","Low","Close","Volume"
#2013-01-01#,145.67,146.91,145.36,146.65,147858
#2013-01-02#,148.58,148.93,147.28,148.25,247770
#2013-01-03#,148.47,149.43,147.99,148.76,266168
#2013-01-04#,148.94,149.22,148.21,148.92,150155
#2013-01-07#,148.5,149.66,148.3,149.17,143451
#2013-01-08#,149,150,149,149.68,169875
#2013-01-09#,149.82,150.6,149.18,150.24,303781
#2013-01-10#,152.36,152.75,150.49,151.26,334628
#2013-01-11#,151.79,152.26,150.49,151.11,255021
#2013-01-14#,151.14,152.2,151.14,151.85,128093
#2013-01-15#,152.29,153.24,151.73,153.14,182729
#2013-01-16#,153.13,153.43,152.48,152.82,81940
#2013-01-17#,153,153.78,152.57,152.66,226432
#2013-01-18#,153,153.17,151.98,152.8,195762
#2013-01-21#,153,153.17,151.98,152.8,195762
#2013-01-22#,152.47,154.42,152.47,153.82,288713
#2013-01-23#,153.67,155.08,153.47,154.42,268083
#2013-01-24#,154.78,156.36,153.26,154.43,206433
#2013-01-25#,154.73,155.36,153.62,154.27,228983
#2013-01-28#,154.58,155.15,153.69,154.53,139419
#2013-01-29#,154.29,155.29,154.21,155.05,134033
#2013-01-30#,154.55,155.18,153.05,153.4,198943
#2013-01-31#,153.71,154.46,151.92,153.78,520965
#2013-02-01#,154.06,155.2,153.31,154.28,419228
#2013-02-04#,153.99,154.7,152.94,153.59,289385
#2013-02-05#,153.9,154.53,151.06,152.56,489836
#2013-02-06#,152.6,153.66,151.13,151.21,369609
#2013-02-07#,151.27,151.84,150.06,150.49,455855
#2013-02-08#,151.07,152.28,150.69,151.86,238385
#2013-02-11#,151.83,152.54,151.71,151.86,285700
#2013-02-12#,152.07,152.88,151.62,152.65,375918
#2013-02-13#,153.29,153.29,152.21,152.85,201597
#2013-02-14#,152.6,153.53,152.06,152.49,120016
#2013-02-15#,152.5,152.56,151.56,151.69,260043
#2013-02-18#,152.5,152.56,151.56,151.69,260043
#2013-02-19#,152.28,153.66,151.63,153.65,314103
#2013-02-20#,153.61,154.32,152.4,152.41,194954
#2013-02-21#,152.53,153.11,150.94,151.26,275230
#2013-02-22#,151.46,152.12,150.82,151.48,235108
#2013-02-25#,151.47,151.9,149.44,149.44,216189
#2013-02-26#,150.14,150.61,148.82,149.85,275578
#2013-02-27#,149.73,150.59,149.12,149.74,152579
#2013-02-28#,149.72,150.18,148.99,148.99,382421
#2013-03-01#,148.5,149.49,147.06,149.24,459577
#2013-03-04#,148.89,149.37,147.14,148.52,293092
#2013-03-05#,148.82,150.8,147.97,150.8,295953
#2013-03-06#,151.08,151.08,149.13,150.79,164397
#2013-03-07#,150.8,151.36,149.11,149.62,232888
#2013-03-08#,150.2,150.6,147.87,150.05,223301
#2013-03-11#,150.04,150.18,148.97,149.89,146290
#2013-03-12#,149.72,150.43,148.72,149.64,152944
#2013-03-13#,149.88,150.78,148.87,149.98,196176
#2013-03-14#,149.69,151.67,149.65,151.12,174630
#2013-03-15#,151.22,152.67,150.75,152.59,507055
#2013-03-18#,151.77,152.38,150.5,151.81,346686
#2013-03-19#,151.83,152.94,151.23,152.05,300479
#2013-03-20#,152.42,152.42,150.68,151.54,184678
#2013-03-21#,150.97,152.09,150,150.29,176383
#2013-03-22#,150.79,151.19,149.44,149.97,245884
#2013-03-25#,150.21,150.25,148.93,149.49,338660
#2013-03-26#,149,150.82,148.5,150.29,223516
#2013-03-27#,150.02,150.97,149.8,150.85,225422
#2013-03-28#,150.74,151.12,149.24,150.58,352783
#2013-03-29#,150.74,151.12,149.24,150.58,352783
#2013-04-01#,150.5,151.75,149.67,151.5,298799
#2013-04-02#,152.21,152.68,151.48,152.38,190424
#2013-04-03#,152.88,152.88,151.11,151.9,229250
#2013-04-04#,152.15,155.93,151.54,155.73,436274
#2013-04-05#,154.61,157.22,154.5,156.62,211529
#2013-04-08#,156.54,157.81,156.15,157.39,235339
#2013-04-09#,156,157.02,152.64,155.8,771596
#2013-04-10#,155.83,156.62,155.25,155.47,324386
#2013-04-11#,155.47,157.4,155.14,156.72,233271
#2013-04-12#,156.36,158.17,155.98,158.14,242645
#2013-04-15#,157.26,157.78,154.56,155.01,271480
#2013-04-16#,155.67,157.12,154.3,156.91,231460
#2013-04-17#,154.25,154.94,152.23,154.05,263268
#2013-04-18#,153.81,154.73,153.26,154.01,142142
#2013-04-19#,154.33,155.33,153.59,155.21,111123
#2013-04-22#,155.21,155.21,153.65,154,185610
#2013-04-23#,154.54,154.54,152.76,153.87,159357
#2013-04-24#,154.11,154.89,152.52,152.99,186827
#2013-04-25#,153.21,153.76,151.59,152.55,281705
#2013-04-26#,152.66,153.55,152.13,152.74,307649
#2013-04-29#,153.37,155.14,152.69,155.02,290193
#2013-04-30#,154.8,157.26,154.11,157.05,399147
#2013-05-01#,156.13,157.82,155.55,156,353215
#2013-05-02#,152.5,155.87,151.9,154.8,573086
#2013-05-03#,155.75,155.93,154.12,154.77,309452
#2013-05-06#,154.81,155.54,154.14,154.9,201772
#2013-05-07#,154.79,157.87,154.79,157.75,167322
#2013-05-08#,157.12,158.77,156.9,158.72,219775
#2013-05-09#,159,159.76,157.93,159.1,301845
#2013-05-10#,158.96,162.33,158.83,161.98,260344
#2013-05-13#,161.98,163.86,161.52,163.86,259532
#2013-05-14#,163.69,164.76,163.4,164.76,347782
#2013-05-15#,164.63,165.79,164.07,165.79,230199
#2013-05-16#,165.77,167.54,165.77,166.68,208525
#2013-05-17#,167.26,168.33,166.14,168.25,167142
#2013-05-20#,167.84,169.16,167.24,168.98,167458
#2013-05-21#,169,170.82,169,170.47,236581
#2013-05-22#,170.47,171.11,166.6,167.72,348308
#2013-05-23#,166.61,166.61,164.18,164.31,563636
#2013-05-24#,164.08,164.13,162.4,163.9,418713
#2013-05-27#,164.08,164.13,162.4,163.9,418713
#2013-05-28#,165.53,165.65,161.8,163.54,394164
#2013-05-29#,162.05,162.55,158.51,161.13,435342
#2013-05-30#,159.66,161.38,158.24,158.33,491204
#2013-05-31#,157.86,159.83,157.02,157.14,413059
#2013-06-03#,157.07,160.78,156.5,157.95,495386
#2013-06-04#,158.28,158.58,155.82,155.94,362360
#2013-06-05#,155.81,156.59,153.43,154.45,269414
#2013-06-06#,154.05,156.17,152.52,156.17,266296
#2013-06-07#,156.26,156.49,153.68,155.95,219612
#2013-06-10#,156.13,157.68,154.74,156,298738
#2013-06-11#,155.51,156.14,153.88,154.04,271824
#2013-06-12#,154.16,154.16,152.08,152.7,126750
#2013-06-13#,152.67,157.63,152.5,157.09,158806
#2013-06-14#,156.85,158.96,155.57,156.7,125494
#2013-06-17#,157.83,158.33,154.34,155.44,124664
#2013-06-18#,155.93,157.04,154.96,155.62,162612
#2013-06-19#,155.86,156.52,151.55,152.41,317240
#2013-06-20#,150.99,151.35,147.56,148.43,266332
#2013-06-21#,149.15,153.75,149.14,152.6,305431
#2013-06-24#,150.76,157.18,149.37,153.51,286526
#2013-06-25#,154.16,157.27,152.99,156.5,221947
#2013-06-26#,156.38,157.58,155.31,156.34,238384
#2013-06-27#,156.79,160.14,156.79,160.1,182781
#2013-06-28#,159.89,161.48,158.7,158.92,585354
#2013-07-01#,159.74,161.3,158.32,159.15,162757
#2013-07-02#,159.15,161.75,158.49,160.72,208929
#2013-07-03#,159.68,160.39,157.21,159.29,199706
#2013-07-04#,159.68,160.39,157.21,159.29,199706
#2013-07-05#,159.45,159.97,154.18,158.54,146008
#2013-07-08#,158.48,160.12,158.06,159.66,219726
#2013-07-09#,159.95,163.48,159.56,162.76,220577
#2013-07-10#,162.26,163.2,160.84,163.01,223031
#2013-07-11#,164.65,167.93,164.63,167.68,213139
#2013-07-12#,167.33,167.33,165.41,165.89,91643
#2013-07-15#,166.12,167.47,165.62,165.96,88669
#2013-07-16#,166.18,167.96,165.5,166.61,95917
#2013-07-17#,167.04,169.07,166.28,168.51,234969
#2013-07-18#,168.36,170.44,167.79,168.65,262668
#2013-07-19#,168.53,169.87,168.03,168.77,241144
#2013-07-22#,168.87,170.74,168.63,169.6,216807
#2013-07-23#,169.51,170.23,166.97,167.45,314702
#2013-07-24#,167.56,167.96,162.08,163.38,217669
#2013-07-25#,163.33,164.74,162.55,164.51,117078
#2013-07-26#,164.04,166.59,164.01,166.39,137868
#2013-07-29#,165.96,166.78,162.93,163.53,299800
#2013-07-30#,164.84,165,162.57,164.05,191399
#2013-07-31#,171.47,172.16,159.05,161.29,235718
#2013-08-01#,162.66,164.28,160,160.93,544857
#2013-08-02#,160.57,162.12,157.68,158.05,219293
#2013-08-05#,158.21,160.05,157.65,158.65,239932
#2013-08-06#,158.62,160.06,157.18,157.87,77285
#2013-08-07#,157.71,158.5,156.84,157.43,90717
#2013-08-08#,157.75,158.13,155.98,156.11,146391
#2013-08-09#,155.69,158.65,155.51,157.64,100545
#2013-08-12#,157.64,158.42,154.93,156.56,107950
#2013-08-13#,155.76,156.44,153.47,154.1,105459
#2013-08-14#,154.34,154.6,152.57,152.92,106835
#2013-08-15#,151.6,151.6,149,150.2,165979
#2013-08-16#,149.49,149.73,144.82,144.94,295437
#2013-08-19#,145,145.72,144.08,144.66,232139
#2013-08-20#,144.98,148.23,144.98,147.23,226362
#2013-08-21#,146.55,148.4,145.01,146.1,237171
#2013-08-22#,146.7,147.72,144.84,147.35,158570
#2013-08-23#,147.38,148.09,145.98,147.35,304297
