"Date","Open","High","Low","Close","Volume"
#2017-01-02#,30.33,30.46,30.19,30.34,2170375
#2017-01-03#,30.98,31.24,30.56,30.93,3483548
#2017-01-04#,31.04,31.82,30.95,31.77,3470424
#2017-01-05#,31.56,31.8,31.06,31.52,2797536
#2017-01-06#,31.6,31.625,31.18,31.53,3522546
#2017-01-09#,31.25,31.55,30.84,30.85,3525069
#2017-01-10#,30.85,31.01,30.64,30.67,2895969
#2017-01-11#,30.61,31.13,30.58,31.11,2361445
#2017-01-12#,30.89,31.15,30.46,31.05,2984667
#2017-01-13#,31.14,31.55,31.06,31.1,2411160
#2017-01-16#,31.14,31.55,31.06,31.1,2411160
#2017-01-17#,30.9,30.94,30.45,30.55,2834097
#2017-01-18#,30.43,30.57,30.235,30.55,3512493
#2017-01-19#,30.64,30.82,30.115,30.17,3964772
#2017-01-20#,30.29,30.53,30.2,30.52,3855508
#2017-01-23#,30.38,30.51,30.1099,30.46,1988474
#2017-01-24#,30.61,31.3,30.57,30.85,3467741
#2017-01-25#,31.27,31.49,30.85,31.09,3511634
#2017-01-26#,31.44,31.53,29.89,30,4882343
#2017-01-27#,29.96,30.03,29.33,29.51,4015258
#2017-01-30#,29.43,29.43,28.84,29.22,4102332
#2017-01-31#,29.12,29.18,28.75,28.92,4944754
#2017-02-01#,29.16,29.7,29.09,29.59,3632551
#2017-02-02#,29.24,29.66,29.0724,29.55,3505304
#2017-02-03#,30.16,30.9344,30.13,30.9,5353947
#2017-02-06#,30.59,30.98,30.41,30.46,2567327
#2017-02-07#,30.65,30.685,30.13,30.43,2405968
#2017-02-08#,30.21,30.6,29.98,30.52,2658764
#2017-02-09#,30.69,31.54,30.685,31.5,3904513
#2017-02-10#,31.74,32.1864,31.71,31.84,3905275
#2017-02-13#,32.03,32.23,31.83,32.11,2251481
#2017-02-14#,31.76,32.14,31.66,32,2231231
#2017-02-15#,32.37,32.82,32.11,32.71,2972915
#2017-02-16#,32.69,32.7562,32.41,32.55,2188535
#2017-02-17#,32.05,32.57,32.0173,32.54,2121062
#2017-02-20#,32.05,32.57,32.0173,32.54,2121062
#2017-02-21#,32.75,33.22,32.74,33.15,3064603
#2017-02-22#,32.92,33.435,32.89,33.35,3770483
#2017-02-23#,33.46,33.46,32.97,33,3407394
#2017-02-24#,32.56,32.84,32.53,32.66,3424879
#2017-02-27#,32.62,32.81,32.53,32.65,2425093
#2017-02-28#,32.46,32.51,31.9,32.19,5043308
#2017-03-01#,32.93,33.1756,32.41,32.45,5487957
#2017-03-02#,32.48,32.62,32.17,32.38,3480210
#2017-03-03#,32.44,32.55,32.08,32.33,2671470
#2017-03-06#,32.16,32.385,32.07,32.19,2590906
#2017-03-07#,32.15,32.365,31.86,31.96,3799723
#2017-03-08#,32.28,32.4,32.12,32.21,2299990
