"Date","Open","High","Low","Close","Volume"
#2001-01-01#,43.375,43.375,41.5625,41.5625,1809300
#2001-01-02#,42.375,43.5,41.8125,42.375,2300900
#2001-01-03#,42.625,42.625,40.8125,41.0625,4980700
#2001-01-04#,40.5,40.5,38.3125,39.9375,4788900
#2001-01-05#,40,40.75,39.375,39.625,2765800
#2001-01-08#,40.5,41,39.75,40,2294600
#2001-01-09#,41,42,40.875,41.125,2678000
#2001-01-10#,40.5,41.75,40.1875,41.375,2292400
#2001-01-11#,41.9375,42.8125,41.4375,42.25,4363000
#2001-01-12#,41.75,42.4375,41.625,42.375,2355600
#2001-01-15#,41.75,42.4375,41.625,42.375,2355600
#2001-01-16#,43.25,43.25,41.3125,43.25,2535500
#2001-01-17#,42.5,42.5625,41.0625,41.0625,2834600
#2001-01-18#,40.8125,41.125,38.375,39,3779800
#2001-01-19#,38.5,40.375,37.75,39.8125,3222500
#2001-01-22#,40.125,40.875,40,40.4375,1443000
#2001-01-23#,40.4375,42.1875,40.125,41.0625,2784800
#2001-01-24#,41.5,42.375,40.875,42.0625,1993300
#2001-01-25#,41.5,43.8125,41.4375,43.25,3009100
#2001-01-26#,43.125,43.9375,41.8125,42.5625,2446100
#2001-01-29#,41.8,42.34,40.65,40.97,1501700
#2001-01-30#,41.22,42.08,40.65,41.4,1876400
#2001-01-31#,41.9,41.92,40.45,41.35,1795400
#2001-02-01#,40.23,40.7,39.2,40.6,1275300
#2001-02-02#,40.9,42.5,40.75,41.8,1587000
#2001-02-05#,42.4,43.45,42.4,43,1866300
#2001-02-06#,42.75,44.6,41.95,44.19,2995200
#2001-02-07#,43.85,44.65,42.97,43.51,3488500
#2001-02-08#,43.88,44.25,42.99,43.31,2690600
#2001-02-09#,43.4,44.4,43.12,44.01,2349100
#2001-02-12#,44.01,44.01,42.8,43.39,3367600
#2001-02-13#,43.14,43.54,42,43.37,2061300
#2001-02-14#,43.37,43.95,42.1,42.5,2489000
#2001-02-15#,41,41,38.95,40.17,4808900
#2001-02-16#,42,42,40.34,40.86,2710100
#2001-02-19#,42,42,40.34,40.86,2710100
#2001-02-20#,41.85,41.85,40.55,40.88,2027100
#2001-02-21#,41.1,41.27,40.11,40.17,1353500
#2001-02-22#,40.5,40.69,38.49,38.95,2279500
#2001-02-23#,38.95,40,37.86,38.88,1809100
#2001-02-26#,38,40.015,37.8,39.2,2452000
#2001-02-27#,40,40.31,39.2,39.62,2387200
#2001-02-28#,40.1,40.2,39.05,39.2,1869700
#2001-03-01#,39.9,40.8,39.6,40.02,1972600
#2001-03-02#,41,41.77,40.32,41.2,2470100
#2001-03-05#,41.2,42.75,40.7,42.6,2327200
#2001-03-06#,42.6,43.25,42,43.1,1518200
#2001-03-07#,43.47,44.85,43.18,44.71,2594700
#2001-03-08#,45,45.08,44.1,44.99,3229700
#2001-03-09#,44.99,45.29,43.57,44.07,2525600
#2001-03-12#,44.15,44.15,42.69,42.8,1579300
#2001-03-13#,43.05,43.05,41.1,41.65,1766300
#2001-03-14#,41.65,42.8,40.59,41.24,2309400
#2001-03-15#,42,42,39.92,39.95,2156400
#2001-03-16#,39.95,40.8,39.9,39.95,3491900
#2001-03-19#,40.05,41.6,40.05,40.73,1958700
#2001-03-20#,40.95,42.3,40.81,41.3,1671300
#2001-03-21#,40.9,41.45,39.65,40.1,1709100
#2001-03-22#,39.9,39.94,37.9,39.1,2579000
#2001-03-23#,39.25,40.6,38.15,39.5,1834900
#2001-03-26#,40,40.85,39.85,40.44,2204500
#2001-03-27#,41.15,41.21,39.5,39.98,2887100
#2001-03-28#,39.98,39.98,38.72,38.8,1806500
#2001-03-29#,38.27,38.4,35.7,36.35,5668800
#2001-03-30#,36.45,37.05,36.15,36.31,3654200
#2001-04-02#,35.95,36,33.5,34.31,3496200
#2001-04-03#,34.35,34.86,32.45,32.85,3574600
#2001-04-04#,33.5,34.85,33.35,33.8,3470300
#2001-04-05#,33.8,35.25,33.21,35.02,2788000
#2001-04-06#,35.02,35.45,33.8,34.5,2605300
#2001-04-09#,35.05,36.05,34.91,35.57,1803600
#2001-04-10#,36,36.2,34.78,36,3287000
#2001-04-11#,36.01,36.5,35.5,35.58,2594300
#2001-04-12#,35.95,36,35.05,35.15,2829900
#2001-04-13#,35.95,36,35.05,35.15,2829900
#2001-04-16#,35.55,36,35.15,35.6,1831800
#2001-04-17#,35.55,36.3,34.75,36.3,2420200
#2001-04-18#,36.2,36.2,34,34.65,3608200
#2001-04-19#,34.65,34.85,32.95,33.47,3774300
#2001-04-20#,34.15,34.75,33.45,34.7,3661900
#2001-04-23#,35.95,36.23,35.62,36,2536100
#2001-04-24#,35.75,36.44,35.75,36.26,2728500
#2001-04-25#,35.3,36.4,35.05,36.23,2165400
#2001-04-26#,37.25,38.53,36.91,38.5,4844100
#2001-04-27#,39,39.25,38.15,38.9,3333400
#2001-04-30#,38.9,39.55,38.3,39.29,2233100
#2001-05-01#,39,39.25,37.8,38.08,2025000
#2001-05-02#,37.65,37.65,35.5,35.69,3350600
#2001-05-03#,35.8,36,34.7,35.2,3751600
#2001-05-04#,35.3,36.01,35.2,36,2476100
#2001-05-07#,36.1,36.74,35.08,35.5,2106500
#2001-05-08#,35.5,36.04,35.06,35.88,1987900
#2001-05-09#,36,37.04,36,37,2101100
#2001-05-10#,37,37.4,36.62,37.01,3369600
#2001-05-11#,37,37.1,36.41,36.48,1163100
#2001-05-14#,36.5,37.75,36.5,37.62,1332500
#2001-05-15#,38.25,39.2,37.78,39.1,2660300
#2001-05-16#,38.6,39.75,38.48,39.5,3118400
#2001-05-17#,39.25,40.86,39.25,40.52,2391300
#2001-05-18#,40.53,41.28,40.47,40.71,2659800
#2001-05-21#,40.95,41.55,40.3,41.5,2753200
#2001-05-22#,41.05,41.12,40.2,40.84,1844800
#2001-05-23#,40.37,40.38,39.15,39.5,1861900
#2001-05-24#,39.45,39.45,37.9,38.5,2849500
#2001-05-25#,38.62,39.79,38.6,39.5,1821800
#2001-05-28#,38.62,39.79,38.6,39.5,1821800
#2001-05-29#,39.75,40,38.95,39.22,2072900
#2001-05-30#,39.47,39.55,37.95,38.63,1532200
#2001-05-31#,38.64,39.75,37.82,39.4,2007800
#2001-06-01#,39.4,39.7,38.65,39.2,1045800
#2001-06-04#,39.65,40.4,39.42,39.6,2086200
#2001-06-05#,39.4,39.7,38.92,39.34,2251300
#2001-06-06#,38.95,39,37.86,38.18,2784900
#2001-06-07#,38,38.15,37.08,37.33,1440500
#2001-06-08#,37,37.25,36.5,37.12,2454400
#2001-06-11#,37.5,37.63,36.65,37,1813300
#2001-06-12#,37.15,37.93,37,37.75,1805100
#2001-06-13#,39,39.4,38.2,38.48,2886300
#2001-06-14#,38.3,38.6,37.56,37.83,2357300
#2001-06-15#,37.99,39.2,37.8,38.51,3821100
#2001-06-18#,38.3,39.1,37.9,38,1822300
#2001-06-19#,38.1,38.25,37.19,38.14,1911400
#2001-06-20#,38.15,39.24,37.3,37.41,2276500
#2001-06-21#,37.41,37.9,35.3,36.1,3595900
#2001-06-22#,36.75,36.9,34.84,36.02,2732600
#2001-06-25#,36.2,36.6,35.2,35.58,2449800
#2001-06-26#,35.65,37.25,35.4,37.04,1768400
#2001-06-27#,36.79,36.8,34.85,34.85,2239200
#2001-06-28#,34.4,34.65,33.14,33.89,3471900
#2001-06-29#,34.4,35.35,33.2,33.5,4145400
#2001-07-02#,34.2,34.2,32.7,32.94,3482600
#2001-07-03#,32.94,33.38,32.8,32.95,2618800
#2001-07-04#,32.94,33.38,32.8,32.95,2618800
#2001-07-05#,33.5,33.72,32.5,33.13,3648600
#2001-07-06#,33.4,33.49,32.4,32.77,3581000
#2001-07-09#,33.05,33.05,31.55,32.11,2962100
#2001-07-10#,32.1,33.18,31.75,32.29,3305500
#2001-07-11#,31.8,32.08,30.6,31.9,3580200
#2001-07-12#,31.91,32.45,30.75,31,3790400
#2001-07-13#,31.01,32.5,30.5,31.6,2683100
#2001-07-16#,31.65,32.2,29.9,30.31,3972100
#2001-07-17#,31,31.16,29.95,30.43,4709700
#2001-07-18#,30.1,31.8,29.8,31.22,4326800
#2001-07-19#,31.35,32.23,31,32.16,2402800
#2001-07-20#,32.55,33.3,32.4,33.2,4374000
#2001-07-23#,33.95,34.02,32.79,33.68,1816100
#2001-07-24#,33.49,33.49,32.29,33.06,2412600
#2001-07-25#,33.5,34.39,32.65,34.12,2319200
#2001-07-26#,35,35.85,34.85,35.8,4211900
#2001-07-27#,36,36.38,34.94,36.17,1987500
#2001-07-30#,36.4,36.8,35.8,36.08,1531400
#2001-07-31#,36.48,37,35.29,35.58,2405900
#2001-08-01#,36.35,36.39,34.27,34.32,3528400
#2001-08-02#,34.5,35.3,33.93,34.86,2425800
#2001-08-03#,34.86,35.25,34.4,34.63,1236100
#2001-08-06#,34.6,35.35,33.93,34.19,1993400
#2001-08-07#,34.35,34.48,33.55,33.6,1389300
#2001-08-08#,33.9,34,31.84,32.13,1907700
#2001-08-09#,32.15,32.9,31.6,32.61,1706700
#2001-08-10#,33,33.7,32.95,33.39,2779700
#2001-08-13#,33.5,33.72,33,33.13,2156100
#2001-08-14#,33.48,33.8,33.25,33.76,2092600
#2001-08-15#,33.875,35.7,33.875,35.51,3797600
#2001-08-16#,36,36,34.2,35.19,2037000
#2001-08-17#,35.5,35.5,34.15,34.75,1792300
#2001-08-20#,34.05,34.75,33.91,34.26,1583700
#2001-08-21#,34.26,35.25,34.2,34.93,1869800
#2001-08-22#,36,36.23,34.17,34.78,3488000
#2001-08-23#,34.78,34.85,33.5,33.9,1765300
#2001-08-24#,33.8,34.1,33.19,33.47,1406300
#2001-08-27#,33.8,33.98,33.5,33.65,2341500
#2001-08-28#,33.8,33.9,33,33.63,3183700
#2001-08-29#,33.83,33.95,33.01,33.38,2539400
#2001-08-30#,33.6,33.75,32,32.6,3680200
#2001-08-31#,32.61,33.25,32.6,32.94,1810700
#2001-09-03#,32.61,33.25,32.6,32.94,1810700
#2001-09-04#,33.35,34.55,33.35,34,1806900
#2001-09-05#,34.04,34.6,33.25,33.96,2043300
#2001-09-06#,33.96,34.71,33.65,34.52,1665600
#2001-09-07#,34,34.51,33.53,33.95,1193300
#2001-09-10#,33.7,34.62,33.53,34.55,1016500
#2001-09-11#,33.7,34.62,33.53,34.55,1016500
#2001-09-12#,33.7,34.62,33.53,34.55,1016500
#2001-09-13#,33.7,34.62,33.53,34.55,1016500
#2001-09-14#,33.7,34.62,33.53,34.55,1016500
#2001-09-17#,35.15,35.9,33.2,33.9,2332700
#2001-09-18#,33.15,33.16,32.13,32.19,2708200
#2001-09-19#,30.8,31.25,27.5,28.95,4601300
#2001-09-20#,28,29.1,27.7,28.34,4109600
#2001-09-21#,28.35,29.86,27,28.75,3503900
#2001-09-24#,28.6,28.61,27,27.67,2751100
#2001-09-25#,27.35,27.7,26.2,26.81,3699100
#2001-09-26#,26.82,26.85,25.76,26.29,4043500
#2001-09-27#,26.4,27.4,26.1,27.25,2853600
#2001-09-28#,27.7,29.4,27.68,28.95,2457300
#2001-10-01#,28.75,29.06,27.51,28.6,1903400
#2001-10-02#,29,29.24,28.15,28.8,3453600
#2001-10-03#,28.5,29.54,27.5,29.04,2847900
#2001-10-04#,29.9,32,29.65,31.12,2908300
#2001-10-05#,31.2,31.6,30,30.8,1591200
#2001-10-08#,30.8,31.57,29.65,30.87,2253400
#2001-10-09#,30.87,31.5,30.35,31.08,1697600
#2001-10-10#,31.55,33.1,31.3,33.1,2033400
#2001-10-11#,33.13,33.69,32.11,32.68,2014400
#2001-10-12#,32.68,33.1,31.43,32.44,2091300
#2001-10-15#,32,32.6,30.61,31.11,2020600
#2001-10-16#,31.11,32.39,30.62,31.79,2619600
#2001-10-17#,32.2,33.13,32.02,32.96,4155700
#2001-10-18#,32.9,32.91,30.82,31.29,2283900
#2001-10-19#,31.3,32.28,30.36,31.89,3207000
#2001-10-22#,32.1,32.99,31.35,32.82,2002300
#2001-10-23#,32.83,34.39,32.2,33.41,2015300
#2001-10-24#,33.2,33.65,32.12,33.07,2195600
#2001-10-25#,32.9,35.14,32.85,35.02,1684600
#2001-10-26#,35.3,37,35.3,36.76,4045200
#2001-10-29#,36.8,38.19,36.3,37.7,4410900
#2001-10-30#,37.1,37.15,36.44,36.59,4251200
#2001-10-31#,36.6,37,35.5,35.83,3713100
#2001-11-01#,36.3,36.9,35,36.5,2393000
#2001-11-02#,36.1,36.17,34.43,34.78,2782700
#2001-11-05#,35.1,35.45,33.75,33.98,1756800
#2001-11-06#,33.25,34.27,32.79,34.01,2123600
#2001-11-07#,33.65,35.35,33.38,34.89,2501400
#2001-11-08#,35.4,36.84,35.34,36.13,2036500
#2001-11-09#,37.2,38.05,36.72,37.24,3154400
#2001-11-12#,36.85,37.85,36,37.19,2087000
#2001-11-13#,37.4,38.49,36.6,37.38,2638900
#2001-11-14#,36,36.909,34.49,35,3862700
#2001-11-15#,32.5,32.78,30.15,30.65,8681400
#2001-11-16#,30.65,31.4,30.04,31.4,6202400
#2001-11-19#,31,31.53,30.01,31,4388800
#2001-11-20#,31.5,33.9,31.5,33.7,3990100
#2001-11-21#,33.71,34.15,32.35,32.4,2645500
#2001-11-22#,33.71,34.15,32.35,32.4,2645500
#2001-11-23#,31.5,33.02,31.26,32.62,1917100
#2001-11-26#,32.55,33.22,31.89,32.53,2824200
#2001-11-27#,32.1,33.68,31.9,33.02,2433400
#2001-11-28#,32.55,33.2,32.15,32.35,2788000
#2001-11-29#,32.95,33.04,31.89,32.99,1529500
#2001-11-30#,33.3,33.5,32.6,32.97,1992800
#2001-12-03#,32.73,34.85,32.53,34.05,2421300
#2001-12-04#,34.79,35.5,33.45,35.34,2820600
#2001-12-05#,36.25,37.36,36.25,36.75,4164200
#2001-12-06#,36.5,36.51,35.02,35.17,2531100
#2001-12-07#,34.5,34.63,33.56,34.37,5103500
#2001-12-10#,33.25,34.35,33.16,33.64,2811900
#2001-12-11#,33.4,33.8,32.9,33.57,2440600
#2001-12-12#,33.57,33.65,32.75,33.49,2154400
#2001-12-13#,33.36,33.95,32.9,33.69,2475100
#2001-12-14#,33.8,35.1,33.27,34.72,1907200
#2001-12-17#,34.6,35.09,33.6,34.08,1994300
