"Date","Open","High","Low","Close","Volume"
#2019-01-01#,91.6,92.99,91.23,92.19,5722155
#2019-01-02#,91.24,91.26,88.42,89.23,6908424
#2019-01-03#,88.64,88.8,86.08,86.29,7653204
#2019-01-04#,87.75,89.14,86.27,89.07,8910646
#2019-01-07#,90.07,90.757,89.2,90.37,7281459
#2019-01-08#,91.2,92.3,90.4,90.79,7478264
#2019-01-09#,90.88,91.39,87.46,87.81,9971898
#2019-01-10#,87.88,88.88,87.12,88.2,6527679
#2019-01-11#,87.54,88.31,87.54,88.31,5318114
#2019-01-14#,86.97,86.97,84.49,84.76,6368939
#2019-01-15#,84.93,85.68,84.45,85.5,7295930
#2019-01-16#,85.66,86.39,85.45,85.55,4926980
#2019-01-17#,85.54,87.685,85.42,87.2,6438679
#2019-01-18#,88.45,89.79,86.92,89.5,6190025
#2019-01-21#,88.45,89.79,86.92,89.5,6190025
#2019-01-22#,88.86,89.36,87.9,88.66,5664649
#2019-01-23#,88.8375,89.28,87.7,88.45,4969576
#2019-01-24#,88.33,88.44,85.1,85.88,8372609
#2019-01-25#,82.51,82.61,79.43,80.54,21348670
#2019-01-28#,80,80.1,76.6801,77.14,14718799
#2019-01-29#,77.025,78.16,75.77,77.47,13908995
#2019-01-30#,77.69,79.185,76.98,79.06,9277228
#2019-01-31#,78.95,81.31,78.71,80.29,11563935
#2019-02-01#,80.25,80.7342,79.11,80.5,6759462
#2019-02-04#,80.3,80.36,77.52,78.53,10205647
#2019-02-05#,78.56,80.055,78.22,79.69,7965491
#2019-02-06#,79.6,79.89,78.79,79.08,4907169
#2019-02-07#,78.35,79.22,77.81,79.17,5877496
#2019-02-08#,79.03,79.86,78.89,79.67,4598892
#2019-02-11#,79.89,80.1819,79.1701,79.77,4803522
#2019-02-12#,79.99,80.12,78.57,79.93,6620103
#2019-02-13#,80.34,81.32,80.29,80.79,4237241
#2019-02-14#,80.45,80.68,79.72,80.52,3436384
#2019-02-15#,81.13,81.7,80.16,80.85,6295419
#2019-02-18#,81.13,81.7,80.16,80.85,6295419
#2019-02-19#,80.5,81.52,80.23,80.52,5674713
#2019-02-20#,80.53,80.6,79.14,79.99,5564105
#2019-02-21#,79.74,79.91,78.1,78.75,6360817
#2019-02-22#,79.16,80.19,78.2437,80.02,5022750
#2019-02-25#,80.46,80.62,79.88,80.29,5511831
#2019-02-26#,80.2,80.86,80.02,80.51,4283285
#2019-02-27#,80.14,80.14,78.8,79.41,4175746
#2019-02-28#,79.46,79.71,78.745,79.24,6310769
#2019-03-01#,79.77,80.85,79.28,80.1,8567978
#2019-03-04#,80.4,80.73,79.1134,79.46,5872471
#2019-03-05#,79.38,79.9,78.72,78.91,5933118
#2019-03-06#,79.13,79.13,77.555,78.09,5293620
