"Date","Open","High","Low","Close","Volume"
#2017-01-02#,35.07,35.3,34.88,35.02,2044197
#2017-01-03#,34.84,35.9,34.84,35.51,3166383
#2017-01-04#,35.68,36.85,35.61,36.24,3889772
#2017-01-05#,35.01,35.42,34.41,35.29,4949445
#2017-01-06#,35.39,35.66,35.04,35.54,2601903
#2017-01-09#,35.58,35.6,34.89,34.99,2857814
#2017-01-10#,35.11,35.82,35.04,35.48,2680514
#2017-01-11#,35.54,35.6,34.95,35.14,3091669
#2017-01-12#,34.94,35.301,34.85,35.11,1801447
#2017-01-13#,35.21,35.33,34.89,35.08,1685462
#2017-01-16#,35.21,35.33,34.89,35.08,1685462
#2017-01-17#,35.28,36.15,35.24,35.73,2659443
#2017-01-18#,35.64,35.64,35.05,35.35,2501391
#2017-01-19#,35.47,35.56,34.94,35.1,1835616
#2017-01-20#,35.25,35.34,34.71,35.31,2618548
#2017-01-23#,34.95,35.62,34.33,35.44,2565095
#2017-01-24#,35.78,36.8,35.77,36.75,4368776
#2017-01-25#,36.75,36.9,36.19,36.26,4043166
#2017-01-26#,36.12,36.49,35.85,35.9,2354262
#2017-01-27#,35.92,35.99,35.41,35.58,2880177
#2017-01-30#,35.46,36.12,35.26,35.98,4491674
#2017-01-31#,36.33,37.58,35.63,37.35,13016446
#2017-02-01#,37.86,38.295,36.95,37.81,8912876
#2017-02-02#,38.02,38.07,36.925,36.99,4768325
#2017-02-03#,36.97,37.2,36.61,36.77,3949945
#2017-02-06#,36.69,37.18,36.51,37.16,4792168
#2017-02-07#,36.78,37.16,36.75,36.88,3835196
#2017-02-08#,36.8,37.49,36.69,37.47,2810366
#2017-02-09#,37.62,37.95,37.4625,37.53,2871782
#2017-02-10#,37.71,38.18,37.58,38.07,4263917
#2017-02-13#,38.15,38.64,38.05,38.13,2568631
#2017-02-14#,38.04,38.55,38.04,38.1,3906112
#2017-02-15#,38,38.26,37.94,38.15,3206091
#2017-02-16#,38.19,38.45,37.615,37.96,3794468
#2017-02-17#,37.77,38.24,37.75,38.21,4967322
#2017-02-20#,37.77,38.24,37.75,38.21,4967322
#2017-02-21#,38.45,38.96,38.36,38.66,2932913
#2017-02-22#,38.66,38.71,38.43,38.63,2536968
#2017-02-23#,38.67,38.78,37.86,37.95,3378218
#2017-02-24#,37.89,38.29,37.535,38.02,2983724
#2017-02-27#,38,38.86,37.9,38.71,3340954
#2017-02-28#,38.59,38.77,37.92,38.09,3788983
#2017-03-01#,38.29,38.43,37.8,38.39,3795346
#2017-03-02#,38.47,38.77,38.35,38.43,2571249
#2017-03-03#,38.55,38.59,37.73,38.07,2482295
#2017-03-06#,38.03,38.09,37.62,38.02,2489768
#2017-03-07#,37.97,38.02,37.53,37.82,3268238
#2017-03-08#,37.68,38.795,37.55,38.7,3438968
#2017-03-09#,38.61,38.7,38.331,38.48,2633629
#2017-03-10#,38.63,39.3,38.6075,39.27,4348167
#2017-03-13#,39.26,39.49,38.74,38.91,4047277
#2017-03-14#,38.8,39.08,38.73,38.97,2011011
#2017-03-15#,39.05,40.15,39.05,39.86,5054353
#2017-03-16#,39.79,39.99,39.44,39.67,2759939
#2017-03-17#,39.69,39.81,39.28,39.74,3658945
#2017-03-20#,39.79,39.81,38.91,39.15,2103117
#2017-03-21#,39.19,39.25,38.15,38.68,3045787
#2017-03-22#,38.54,38.58,37.92,38.54,3055611
#2017-03-23#,38.93,39.145,38.725,38.88,1552635
#2017-03-24#,39.16,39.28,38.84,39.09,2065281
#2017-03-27#,38.79,40.06,38.78,40.03,4166020
#2017-03-28#,40,41,39.85,40.91,4951407
#2017-03-29#,40.77,41.56,40.755,41.39,4831857
#2017-03-30#,41.14,41.7,41.08,41.69,3854331
#2017-03-31#,41.62,41.65,41.175,41.33,3602327
#2017-04-03#,41.32,41.37,40.53,40.62,3915735
#2017-04-04#,40.41,40.44,39.26,39.56,4929668
#2017-04-05#,39.6,39.87,39.27,39.34,2888607
#2017-04-06#,39.48,40.36,39.34,40.04,4735698
#2017-04-07#,39.79,39.97,39.5125,39.63,2492514
#2017-04-10#,39.71,40.04,39.36,39.62,2095876
#2017-04-11#,39.59,40.09,39.4201,40.06,2082097
#2017-04-12#,40.11,40.27,39.9095,40.14,3517276
#2017-04-13#,40.07,40.2699,39.72,39.73,1696311
#2017-04-14#,40.07,40.2699,39.72,39.73,1696311
