"Date","Open","High","Low","Close","Volume"
#2010-01-01#,38.155,39.814,35.39,39.261,1543
#2010-01-04#,39.261,39.261,38.155,38.155,42950
#2010-01-05#,38.708,38.708,38.708,38.708,9042
#2010-01-06#,38.708,38.708,38.708,38.708,9042
#2010-01-07#,38.985,39.261,38.708,38.708,8861
#2010-01-08#,38.211,38.211,37.049,37.049,29067
#2010-01-11#,37.049,37.049,37.049,37.049,3308
#2010-01-12#,37.049,37.105,37.049,37.049,4611
#2010-01-13#,35.39,36.507,35.943,36.22,204598
#2010-01-14#,36.22,36.22,36.22,36.22,136082
#2010-01-15#,35.943,35.943,35.667,35.667,41091
#2010-01-18#,35.943,35.943,35.667,35.667,41091
#2010-01-19#,35.667,35.667,35.114,35.39,17541
#2010-01-20#,34.837,35.114,34.837,35.114,480
#2010-01-21#,34.837,34.948,34.837,34.948,532
#2010-01-22#,34.837,34.837,34.837,34.837,181
#2010-01-25#,34.395,34.561,34.284,34.561,1175
#2010-01-26#,34.284,34.284,34.008,34.008,211
#2010-01-27#,33.787,34.284,33.787,34.008,69623
#2010-01-28#,34.284,34.284,34.008,34.008,9336
#2010-01-29#,34.119,34.119,33.731,33.875,27740
#2010-02-01#,33.455,33.731,33.455,33.731,3165
#2010-02-02#,33.731,33.731,33.731,33.731,530
#2010-02-03#,33.289,33.289,32.902,32.902,4677
#2010-02-04#,33.179,33.455,33.179,33.455,26583
#2010-02-05#,33.709,33.731,33.179,33.731,1583
#2010-02-08#,33.179,33.179,32.902,33.013,42852
#2010-02-09#,32.183,33.179,32.183,32.957,26800
#2010-02-10#,32.515,33.013,32.515,32.902,97253
#2010-02-11#,32.891,32.891,32.626,32.891,9042
#2010-02-12#,32.891,32.891,32.891,32.891,90
#2010-02-15#,32.891,32.891,32.891,32.891,90
#2010-02-16#,32.891,32.891,32.891,32.891,90
#2010-02-17#,32.891,32.891,32.891,32.891,90
#2010-02-18#,32.183,32.847,32.183,32.847,1537
#2010-02-19#,32.183,32.847,32.183,32.847,1537
#2010-02-22#,32.183,32.869,32.183,32.847,17813
#2010-02-23#,32.183,32.869,32.183,32.847,56449
#2010-02-24#,32.183,32.869,32.183,32.847,56449
#2010-02-25#,32.626,32.847,32.626,32.626,2532
#2010-02-26#,32.349,32.902,32.349,32.902,2385
#2010-03-01#,32.902,33.289,32.902,33.289,22424
#2010-03-02#,33.289,33.621,33.179,33.621,26259
#2010-03-03#,33.731,34.008,33.731,34.008,119174
#2010-03-04#,34.284,34.837,34.008,34.307,15308
#2010-03-05#,34.561,35.114,34.561,35.114,44138
#2010-03-08#,34.837,35.114,34.837,35.114,44370
#2010-03-09#,35.39,36.22,35.368,36.22,121977
#2010-03-10#,36.441,36.496,35.39,36.496,100347
#2010-03-11#,36.496,36.496,35.943,35.943,29911
#2010-03-12#,36.496,36.496,35.943,35.943,187680
#2010-03-15#,36.496,37.049,35.943,36.496,223375
#2010-03-16#,35.667,36.496,35.667,36.22,14913
#2010-03-17#,36.496,37.602,36.496,37.602,103907
#2010-03-18#,37.602,38.432,37.602,38.432,13843
#2010-03-19#,38.155,38.432,38.155,38.432,1130
#2010-03-22#,38.432,38.432,37.879,38.078,5396
#2010-03-23#,37.879,38.985,37.879,38.708,48504
#2010-03-24#,38.708,38.708,38.708,38.708,1266
#2010-03-25#,38.432,38.708,38.155,38.155,82211
#2010-03-26#,38.708,38.708,38.432,38.432,52263
#2010-03-29#,38.155,38.708,38.045,38.155,185904
#2010-03-30#,38.155,38.177,38.1,38.1,39708
#2010-03-31#,38.155,38.155,37.879,38.155,82850
#2010-04-01#,38.155,38.708,37.989,38.708,53812
#2010-04-02#,38.155,38.708,37.989,38.708,53812
#2010-04-05#,38.155,38.708,38.155,38.708,41141
#2010-04-06#,38.708,38.708,38.211,38.211,1127
#2010-04-07#,38.211,38.708,38.211,38.211,46789
#2010-04-08#,38.211,38.708,38.211,38.211,46789
#2010-04-09#,38.211,38.376,38.211,38.376,45590
#2010-04-12#,38.432,38.985,38.432,38.708,172161
#2010-04-13#,38.432,38.985,38.432,38.708,172161
#2010-04-14#,38.985,39.538,38.985,38.985,31647
#2010-04-15#,39.206,39.814,39.04,39.814,10507
#2010-04-16#,39.925,39.925,39.925,39.925,814
#2010-04-19#,39.814,39.869,39.814,39.825,33067
#2010-04-20#,39.814,39.869,39.814,39.825,33067
#2010-04-21#,39.272,39.272,39.272,39.272,90
#2010-04-22#,39.814,39.814,39.759,39.814,14829
#2010-04-23#,40.091,40.091,40.091,40.091,2421
