"Date","Open","High","Low","Close","Volume"
#2011-01-03#,53.73,54.5,53.72,54.39,3156274
#2011-01-04#,54.47,54.48,53.467,54.06,3465148
#2011-01-05#,53.95,54.64,53.81,54.33,2783650
#2011-01-06#,54.4,54.61,53.87,54.25,1966909
#2011-01-07#,54.41,54.54,53.66,54,2296986
#2011-01-10#,54.01,54.405,53.604,54.37,2127469
#2011-01-11#,54.59,54.68,54.18,54.46,2419952
#2011-01-12#,55.01,55.58,54.88,55.44,3275435
#2011-01-13#,55.55,55.85,55.25,55.76,2643437
#2011-01-14#,55.62,56.015,55.51,55.96,2507755
#2011-01-17#,55.62,56.015,55.51,55.96,2507755
#2011-01-18#,55.78,56.36,55.78,56.15,2147597
#2011-01-19#,55.99,56.1,54.85,55.01,4608849
#2011-01-20#,55,55.05,54.11,54.23,3945737
#2011-01-21#,54.69,55,54.18,54.71,7141680
#2011-01-24#,54.97,55.5,54.59,55.5,3525552
#2011-01-25#,55.32,55.54,54.35,54.91,3383592
#2011-01-26#,55.43,55.71,55.2,55.43,2800465
#2011-01-27#,55.5,55.5,55,55.29,2552760
#2011-01-28#,55.45,56,54.45,54.71,3124665
#2011-01-31#,54.19,54.9,53.13,53.49,6107803
#2011-02-01#,54.12,54.12,53.04,53.55,5494228
#2011-02-02#,53.28,53.85,53.23,53.53,2675163
#2011-02-03#,53.38,53.69,53.1299,53.34,3195609
#2011-02-04#,53.51,54.33,53.35,54.25,2913803
#2011-02-07#,54.55,55.55,54.41,55.23,3814322
#2011-02-08#,55.13,55.515,54.84,55.27,2556489
#2011-02-09#,55,55.03,54.58,54.95,1838006
#2011-02-10#,54.77,55.89,54.66,55.71,2436325
#2011-02-11#,55.44,55.98,55.33,55.81,1776701
#2011-02-14#,55.89,55.89,55.29,55.72,1541938
#2011-02-15#,55.27,55.47,54.26,54.42,3512737
#2011-02-16#,54.72,55.01,54.09,54.81,2628405
#2011-02-17#,54.71,55.1,54.47,54.94,1424275
#2011-02-18#,54.82,55.52,54.77,54.9,2663106
#2011-02-21#,54.82,55.52,54.77,54.9,2663106
#2011-02-22#,54.38,54.92,53.18,53.34,3257555
#2011-02-23#,53.37,53.51,52.42,53.02,3171081
#2011-02-24#,52.91,53.6,52.53,53.22,2090494
#2011-02-25#,53.39,53.7499,53.19,53.56,2819122
#2011-02-28#,53.92,54.39,53.82,54.1,2325258
#2011-03-01#,55.11,55.3,53.32,53.47,2605567
#2011-03-02#,53.28,54.88,53.28,54.02,2546508
#2011-03-03#,54.47,55.17,54.45,55.04,2227946
#2011-03-04#,55.1,55.33,54.25,54.89,2461294
#2011-03-07#,54.83,55.48,54.46,54.77,2561918
#2011-03-08#,54.85,56,54.82,55.71,3202006
#2011-03-09#,55.71,55.93,55.15,55.85,2538662
#2011-03-10#,55.07,55.11,54.19,54.38,2945100
#2011-03-11#,53.96,54.94,53.96,54.61,2041503
#2011-03-14#,54.25,54.54,54,54.36,2096883
#2011-03-15#,52.8,54.32,52.5,53.97,3987165
#2011-03-16#,53.73,54.06,52.51,53.06,3729621
#2011-03-17#,54.03,54.19,53.34,53.75,2605200
#2011-03-18#,54.61,54.74,53.66,54,3525508
#2011-03-21#,54.76,55.19,54.64,55,2609916
#2011-03-22#,55.1,55.16,54.43,54.73,1959988
#2011-03-23#,54.54,54.8,54.19,54.67,2525871
#2011-03-24#,54.87,55.05,54.46,55,2113916
#2011-03-25#,55.09,55.26,54.93,54.97,3371113
#2011-03-28#,55.1,55.1385,54.17,54.27,3355879
#2011-03-29#,54.02,54.41,53.61,54.41,2301784
#2011-03-30#,54.09,54.17,53.475,53.55,3891740
#2011-03-31#,53.55,54.16,53.36,53.72,3403618
#2011-04-01#,54.19,54.3301,53.7,54.15,3140785
#2011-04-04#,54.29,54.77,54.07,54.75,2351749
#2011-04-05#,54.59,55.13,54.31,54.49,2060917
#2011-04-06#,54.78,54.94,54.22,54.45,1867196
#2011-04-07#,54.47,54.68,54.05,54.33,1853357
#2011-04-08#,54.66,54.72,53.78,54.33,2732821
#2011-04-11#,54.16,54.61,54.14,54.32,2096874
#2011-04-12#,53.84,54.02,53,53.6,2603832
#2011-04-13#,53.9,53.95,53.15,53.31,2324486
#2011-04-14#,52.98,53.33,52.55,53.19,2007669
#2011-04-15#,53.63,53.72,53.18,53.31,2766131
#2011-04-18#,52.73,52.82,52.09,52.6,2443518
#2011-04-19#,52.57,53.16,52.48,52.9,2294540
#2011-04-20#,53.65,54.04,53.39,53.86,2460429
#2011-04-21#,54.06,54.21,53.81,54.07,1574338
#2011-04-22#,54.06,54.21,53.81,54.07,1574338
