"Date","Open","High","Low","Close","Volume"
#2017-01-02#,62.9,63.2812,62.07,62.29,1973991
#2017-01-03#,63.38,64.4,62.15,62.82,4531840
#2017-01-04#,62.84,63.05,60.88,61.93,5007057
#2017-01-05#,62.11,62.47,60.94,62.1,3797030
#2017-01-06#,62.21,62.4,61.7,61.9,1978887
#2017-01-09#,61.33,61.579,60.57,60.61,2492445
#2017-01-10#,60.82,62,60.5,61.45,2243512
#2017-01-11#,61.75,62.24,60.79,61.84,2089425
#2017-01-12#,59.86,59.99,56.65,58.85,16844931
#2017-01-13#,58.4,59.8699,58.25,58.89,13255552
#2017-01-16#,58.4,59.8699,58.25,58.89,13255552
#2017-01-17#,59.27,60.13,58.4063,59.3,5683183
#2017-01-18#,58.69,59.42,58.39,58.83,2618448
#2017-01-19#,58.5,58.97,57.65,57.72,3172823
#2017-01-20#,58.71,59.08,57.54,57.98,3215498
#2017-01-23#,57.47,57.96,56.6903,57.15,3033548
#2017-01-24#,57.72,58.035,56.65,57.52,4016081
#2017-01-25#,57.05,58.5,56.215,56.46,6204853
#2017-01-26#,56.38,57.04,55.741,56.17,3905147
#2017-01-27#,55.83,55.96,54.51,54.87,3970476
#2017-01-30#,54.72,54.83,53,53.94,5820223
#2017-01-31#,53.9,54.21,53.13,54.18,4163412
#2017-02-01#,54.63,54.96,53.036,53.51,3991586
#2017-02-02#,53.7,54.285,52.9435,53.96,3166562
#2017-02-03#,54,54.76,53.62,54.31,3461747
#2017-02-06#,54.39,54.48,52.655,53.16,3322185
#2017-02-07#,52.63,52.64,51.07,51.51,4966698
#2017-02-08#,51.03,52.39,50.43,51.54,4908838
#2017-02-09#,52.12,52.57,51.82,52.32,2532850
#2017-02-10#,53.08,53.53,52.2,52.51,2997965
#2017-02-13#,52.17,52.29,51.72,51.88,3600888
#2017-02-14#,52.12,52.25,51.4,52,2847572
#2017-02-15#,51.9,52.13,51.02,51.05,2979655
#2017-02-16#,51.4,51.62,50.86,51.3,4127980
