"Date","Open","High","Low","Close","Volume"
#2017-01-02#,108.41,108.785,107.21,107.54,989174
#2017-01-03#,108.41,109.005,107.87,108.39,1569341
#2017-01-04#,108.7,112.2,108.49,111.74,1470255
#2017-01-05#,111.24,113.67,111.025,112.59,1816692
#2017-01-06#,112.66,115.96,112.66,114.6,2203850
#2017-01-09#,114.3,114.41,112.81,113.28,1491704
#2017-01-10#,112.98,112.98,110.83,111.35,1572841
#2017-01-11#,111.47,112.09,110.54,111.97,1296628
#2017-01-12#,111.89,113.06,110.91,112.59,1155332
#2017-01-13#,112.92,113.61,111.96,112.42,838213
#2017-01-16#,112.92,113.61,111.96,112.42,838213
#2017-01-17#,111.94,114.4,111.94,113.94,1649427
#2017-01-18#,114.42,114.62,112.94,114.4,1706817
#2017-01-19#,114.24,115.27,114.23,114.4,1027572
#2017-01-20#,114.85,116.16,114.41,116,1450517
#2017-01-23#,115.9,116.35,114.9,116.11,902982
#2017-01-24#,116.38,117.22,115.56,116.92,1100997
#2017-01-25#,117.42,120.54,117,120.43,1502653
#2017-01-26#,120.64,122.21,120.64,121.12,1495942
#2017-01-27#,121.04,121.11,120.42,120.69,718552
#2017-01-30#,120.97,120.97,119.05,120.62,754208
#2017-01-31#,120.37,121.28,119.66,120.18,1283185
#2017-02-01#,120.67,120.81,119.07,119.57,764477
#2017-02-02#,119.16,120.55,118.795,120.42,782877
#2017-02-03#,121.59,122.965,121.11,122.6,1118404
#2017-02-06#,122.12,123.17,121.89,122.88,1164616
#2017-02-07#,125.25,128.49,125,125.84,2341737
#2017-02-08#,126,126.75,124.64,125.08,917887
#2017-02-09#,125.21,126.46,125.021,126.21,850334
#2017-02-10#,126.21,126.561,125.46,126.29,1056246
#2017-02-13#,126.94,127.37,126.07,126.53,1016643
#2017-02-14#,126.36,127.425,126.205,126.92,1254885
#2017-02-15#,126.52,128.68,126.3,128.33,908024
#2017-02-16#,128.24,128.96,127.45,128.61,832139
#2017-02-17#,128.38,130.42,128.06,130.39,1339162
#2017-02-20#,128.38,130.42,128.06,130.39,1339162
#2017-02-21#,130.32,131.25,129.93,130.76,1273529
#2017-02-22#,129.99,130.84,129.93,130.78,906394
#2017-02-23#,130.38,131.26,129.39,130.78,713414
#2017-02-24#,130.02,130.96,129.5,130.82,971038
#2017-02-27#,130.43,130.74,129.75,129.99,946656
#2017-02-28#,130,130.16,129.22,129.47,1432736
#2017-03-01#,131.1,131.2,129.82,130,2468476
#2017-03-02#,130.15,130.69,129.7,130,2024651
#2017-03-03#,130.11,130.54,129.46,129.64,1239226
#2017-03-06#,129.12,130.83,129.12,130.43,796810
#2017-03-07#,130.26,131.2,130.26,130.69,773605
#2017-03-08#,131.06,131.29,130.34,130.58,655630
#2017-03-09#,130.74,131.52,130.5,131.06,705320
#2017-03-10#,131.5,132.08,130.65,131.69,1166533
#2017-03-13#,132,132.95,131.95,132.59,871887
#2017-03-14#,132.34,133.08,131.57,132.17,619261
#2017-03-15#,131.75,132.25,128.92,130.35,2640596
#2017-03-16#,130.53,131.845,130.53,131.74,1035691
#2017-03-17#,131.3,131.63,129.87,129.99,2153129
#2017-03-20#,129.92,130.23,129.21,129.69,1261416
