"Date","Open","High","Low","Close","Volume"
#2017-01-02#,116.58,116.9,115.41,115.56,697990
#2017-01-03#,116.37,117.06,115.91,116.32,859079
#2017-01-04#,116.24,117.71,116.09,117.31,623437
#2017-01-05#,116.89,117.71,116.03,116.28,598668
#2017-01-06#,116.51,116.96,115.78,116.7,429729
#2017-01-09#,116.47,116.47,115.04,115.48,524713
#2017-01-10#,115.22,115.42,114.74,114.78,894918
#2017-01-11#,114.8,115.56,114.65,115.32,466048
#2017-01-12#,115.09,115.24,113.21,114.4,586191
#2017-01-13#,114.28,114.88,113.79,114.56,448983
#2017-01-16#,114.28,114.88,113.79,114.56,448983
#2017-01-17#,113.81,114.27,113.311,113.67,305606
#2017-01-18#,113.98,114.13,113.23,113.97,424677
#2017-01-19#,113.96,114.275,113.23,113.74,382433
#2017-01-20#,114.26,114.38,113.31,113.88,371920
#2017-01-23#,113.77,114.06,112.96,113.84,267494
#2017-01-24#,113.75,115.56,113.75,115.51,609270
#2017-01-25#,115.75,116.99,115.385,116.75,1081475
#2017-01-26#,116.88,117.95,116.65,117.39,435501
#2017-01-27#,117.33,117.6,116.74,117.29,478162
#2017-01-30#,117.12,117.12,115.3,116.2,388371
#2017-01-31#,116.14,116.53,115.16,116.11,647259
#2017-02-01#,115.8,117.32,114.53,114.85,774562
#2017-02-02#,114.49,115.471,114.25,115.22,591012
#2017-02-03#,115.68,116.68,114.33,116.11,384602
#2017-02-06#,115.77,115.85,114.71,114.96,490557
#2017-02-07#,115.32,115.34,114.37,114.79,562828
#2017-02-08#,114.53,114.94,113.79,114.35,427150
#2017-02-09#,114.55,115.48,114.4,115.36,474225
#2017-02-10#,115.49,117,115.17,116.72,722930
#2017-02-13#,117.24,117.65,116.63,116.99,448570
#2017-02-14#,116.56,117.02,116.1,117.02,362307
#2017-02-15#,116.74,118.6,116.465,118.41,507677
#2017-02-16#,118.43,119.51,118.04,119.51,464133
#2017-02-17#,118.97,119.38,118.09,118.61,1435535
#2017-02-20#,118.97,119.38,118.09,118.61,1435535
#2017-02-21#,118.66,119.21,118.03,118.44,451355
#2017-02-22#,118.12,118.84,117.64,118.8,491566
#2017-02-23#,119.02,119.02,117.59,118.43,395234
#2017-02-24#,118.07,119.07,117.2623,119.07,394581
#2017-02-27#,118.89,119.25,118.55,119.11,248953
#2017-02-28#,118.99,118.99,117.85,118.01,413478
#2017-03-01#,118.69,119.99,118.52,119.63,585913
#2017-03-02#,119.3,119.31,118.33,118.54,418173
#2017-03-03#,118.65,118.835,117.865,118.41,421959
#2017-03-06#,118.07,118.71,117.45,118.61,287025
#2017-03-07#,118.21,118.99,117.79,118.27,418007
#2017-03-08#,118.12,118.76,117.97,118.36,326109
#2017-03-09#,118.59,118.76,117.21,117.87,332944
#2017-03-10#,118.64,119.27,118.25,119.03,449896
#2017-03-13#,118.88,119.38,118.77,119.13,336694
#2017-03-14#,118.99,119.28,117.85,118.45,323433
#2017-03-15#,118.85,119.57,118.46,119.46,415405
#2017-03-16#,119.66,120,118.93,119.24,301092
#2017-03-17#,122.31,125.93,120.83,124.87,2220852
#2017-03-20#,124.81,125.44,123.7,124.31,1030545
#2017-03-21#,125.01,125.69,123.62,123.78,998217
#2017-03-22#,124.09,125.2,123.7097,124.37,853498
#2017-03-23#,124.33,128.85,122.74,125.95,1414359
#2017-03-24#,126.41,126.42,124.84,125.13,709505
#2017-03-27#,124.92,125.76,123.45,125.12,612100
#2017-03-28#,124.93,126.45,124.2,126.2,502427
#2017-03-29#,125.6,126.57,125.6,126.44,687288
#2017-03-30#,126.19,127.45,126.18,126.98,451822
#2017-03-31#,126.88,127.065,126.25,126.54,642811
#2017-04-03#,126.86,126.97,124.72,124.75,689140
#2017-04-04#,124.52,125.0857,123.9239,124.84,439341
#2017-04-05#,124.96,125.71,123.64,123.77,451396
#2017-04-06#,123.66,123.83,122.84,123.21,517062
#2017-04-07#,123.07,123.48,122.4,122.56,706128
#2017-04-10#,122.37,123.79,121.96,122.66,604159
#2017-04-11#,122.04,122.96,121.67,122.96,481183
#2017-04-12#,123.29,123.74,121.72,122.38,314104
#2017-04-13#,122.52,122.84,121.48,121.68,304014
#2017-04-14#,122.52,122.84,121.48,121.68,304014
#2017-04-17#,122.14,122.99,121.97,122.98,309721
#2017-04-18#,122.69,123.05,121.7,122.37,345780
#2017-04-19#,122.37,123.21,122.145,122.65,331896
#2017-04-20#,123.37,123.56,122.64,123.1,378127
#2017-04-21#,123.2,123.88,122.94,123.14,617797
#2017-04-24#,124.21,125.51,124.035,125.45,550689
#2017-04-25#,125.69,126.27,124.83,125.11,503241
#2017-04-26#,125.17,125.38,124.22,124.23,525223
#2017-04-27#,124.16,125.04,123.66,123.94,433937
#2017-04-28#,124.02,124.02,122.41,122.47,659336
#2017-05-01#,121.6,122.73,120.85,121.58,734642
#2017-05-02#,121.66,122.78,121.21,121.81,433159
#2017-05-03#,121.77,121.92,119.945,120.88,511269
#2017-05-04#,121.17,121.95,120.74,121.94,345542
#2017-05-05#,122.38,123,121.7,122.99,321141
#2017-05-08#,122.68,122.835,120.74,120.91,464732
#2017-05-09#,120.76,121.66,120.5501,121.5,352946
#2017-05-10#,121.46,121.84,120.865,121.44,423382
#2017-05-11#,121.21,122.56,120.72,122.54,452660
#2017-05-12#,122.18,122.58,121.47,122.3,389199
#2017-05-15#,122.21,122.83,121.32,122.37,311007
#2017-05-16#,122.24,122.59,121.75,122.57,480333
#2017-05-17#,121.67,122.08,120.12,120.17,518379
#2017-05-18#,120.36,121.17,119.54,120.58,498483
#2017-05-19#,120.66,121.4,119.73,121.02,1787643
#2017-05-22#,121.14,121.91,120.83,121.74,414924
#2017-05-23#,121.95,122.53,121.41,122.39,363162
#2017-05-24#,122.75,124.8723,122.4,124.69,471190
#2017-05-25#,125.08,125.89,124.64,125.55,296728
#2017-05-26#,125.15,125.59,124.5,125.16,278332
#2017-05-29#,125.15,125.59,124.5,125.16,278332
#2017-05-30#,124.59,124.95,123.77,124.75,333886
#2017-05-31#,125.05,125.94,124.53,125.88,671875
#2017-06-01#,126.12,126.93,124.775,126.93,392009
#2017-06-02#,127.21,128.72,127,128.28,319207
#2017-06-05#,128.5,128.54,126.5,126.61,360222
#2017-06-06#,126.5,126.79,124.57,124.63,358769
#2017-06-07#,125.05,125.36,124.01,124.49,334529
#2017-06-08#,124.35,124.44,123,123.67,513786
#2017-06-09#,123.76,124.05,123.26,123.7,411132
#2017-06-12#,123.51,126.37,123.51,126.3,470953
#2017-06-13#,126.25,127.65,125.9911,127.25,376711
#2017-06-14#,127.88,128.67,126.86,127.96,445200
#2017-06-15#,127.41,128.05,126.44,127.79,326764
#2017-06-16#,127.02,130.46,127.02,130.45,974498
#2017-06-19#,130.81,131.41,129.61,131.35,516273
#2017-06-20#,131.38,131.38,129.81,130.07,319263
