"Date","Open","High","Low","Close","Volume"
#2017-01-02#,42.62,42.97,42.1,42.53,856919
#2017-01-03#,43.13,43.87,42.64,42.79,1618472
#2017-01-04#,43.1,44.89,42.78,44.77,1854498
#2017-01-05#,44.51,44.79,44.02,44.55,933743
#2017-01-06#,44.75,44.92,44.06,44.25,932858
#2017-01-09#,44.14,44.7,43.9,44.39,855769
#2017-01-10#,44.33,45.36,44.33,45.22,1065488
#2017-01-11#,45.01,45.82,44.72,45.75,870469
#2017-01-12#,45.47,45.83,44.67,45.35,731462
#2017-01-13#,45.49,45.49,44.84,44.95,547673
#2017-01-16#,45.49,45.49,44.84,44.95,547673
#2017-01-17#,45.08,45.2172,44.2,44.74,905427
#2017-01-18#,44.97,45.77,44.56,45.67,942996
#2017-01-19#,45.76,46.36,45.385,45.62,1031295
#2017-01-20#,45.93,46.41,45.41,45.63,735986
#2017-01-23#,45.47,46.145,45.15,46,826780
#2017-01-24#,45.92,46.95,45.83,46.84,1239446
#2017-01-25#,47.22,48.24,46.955,48.09,1275823
#2017-01-26#,49.22,50.05,48.77,49.33,2613556
#2017-01-27#,49.35,49.56,48.61,49.02,945318
#2017-01-30#,48.8,48.88,47.94,48.03,1337131
#2017-01-31#,47.88,48.11,46.83,47,1625213
#2017-02-01#,47.3,48.45,46.83,48.08,1296482
#2017-02-02#,48.17,48.5,47.55,47.66,694731
#2017-02-03#,48.13,48.36,47.41,47.74,760795
#2017-02-06#,47.76,48.02,47.28,47.52,1139099
#2017-02-07#,47.58,48.09,47.465,47.7,1477247
#2017-02-08#,47.88,48.14,47.51,47.86,1065787
#2017-02-09#,47.81,48.31,47.7,48.06,1249178
#2017-02-10#,48.43,48.905,47.54,47.8,1611014
#2017-02-13#,48.02,48.1,47.56,47.87,1449892
#2017-02-14#,47.82,47.97,47.575,47.77,1048707
#2017-02-15#,47.66,48.12,47.005,47.92,1464834
#2017-02-16#,47.95,48.14,47.24,47.63,1236250
#2017-02-17#,47.62,47.85,47.27,47.69,1653718
#2017-02-20#,47.62,47.85,47.27,47.69,1653718
#2017-02-21#,47.74,48.52,47.74,48.2,1802151
#2017-02-22#,49.24,52.14,48.68,51.64,4043069
#2017-02-23#,52.48,52.5,50.61,50.68,1869803
#2017-02-24#,50.51,50.6322,49.77,50.02,1443274
#2017-02-27#,49.93,50.83,49.57,50.77,1326575
#2017-02-28#,50.82,51.195,50.45,50.7,934959
#2017-03-01#,51.12,51.61,50.42,51.05,1199364
#2017-03-02#,50.79,51.25,50.6302,50.98,878774
#2017-03-03#,51,51,49.79,50.11,849170
#2017-03-06#,49.9,50,49.16,49.76,1207284
#2017-03-07#,49.56,49.76,49.045,49.42,806869
#2017-03-08#,49.59,49.8316,49.4,49.52,776663
#2017-03-09#,49.77,50.06,49.4775,49.92,765686
#2017-03-10#,50.23,51.22,50.07,51.1,1160833
#2017-03-13#,51.83,51.83,51.11,51.32,1086292
#2017-03-14#,51.21,51.225,50.4,50.96,1066023
#2017-03-15#,51.05,51.49,50.71,51.41,1141492
#2017-03-16#,51.35,51.45,51.06,51.43,844527
#2017-03-17#,51.71,51.85,51.25,51.31,1241097
#2017-03-20#,51.36,51.53,50.81,51.1,846766
#2017-03-21#,51.3,51.715,49.95,50,1158056
#2017-03-22#,50.11,51.13,49.55,50.97,1128996
#2017-03-23#,50.98,51.665,50.88,51.11,1081511
#2017-03-24#,51.34,51.53,50.295,50.48,1306949
#2017-03-27#,50.15,51.17,49.92,51.02,887426
#2017-03-28#,51.8,52.1,51.13,51.3,1548051
#2017-03-29#,51.09,51.3,50.65,50.86,1261483
#2017-03-30#,50.89,51.37,50.89,51.24,753959
#2017-03-31#,50.99,51.2,50.4418,50.73,1108156
#2017-04-03#,50.74,50.95,50,50.19,1302954
#2017-04-04#,50.04,50.15,49.32,49.76,1484365
#2017-04-05#,49.93,50.75,49.59,49.78,1141622
#2017-04-06#,49.75,50.01,49.39,49.91,997178
#2017-04-07#,50.01,50.04,48.15,48.31,5706644
#2017-04-10#,48.49,48.94,48.12,48.54,1520113
#2017-04-11#,48.64,48.64,47.29,47.47,1464276
#2017-04-12#,47.55,48,46.96,47.85,1933759
#2017-04-13#,47.83,48.64,47.76,48.03,1706506
