"Date","Open","High","Low","Close","Volume"
#2010-01-01#,42.95,42.96,42.26,42.26,259505
#2010-01-04#,42.74,43.06,42.51,42.86,267966
#2010-01-05#,42.63,43.01,42.44,42.84,392694
#2010-01-06#,42.84,43.17,42.62,43.08,658314
#2010-01-07#,42.86,43.8,42.86,43.8,405174
#2010-01-08#,43.58,44.78,43.49,44.71,384609
#2010-01-11#,44.84,44.96,44.54,44.9,521021
#2010-01-12#,44.46,44.61,43.73,43.96,462300
#2010-01-13#,44,44.3,43.78,44.24,244794
#2010-01-14#,44.06,44.41,43.93,44.1,267001
#2010-01-15#,43.94,44.21,43.17,43.4,407757
#2010-01-18#,43.94,44.21,43.17,43.4,407757
#2010-01-19#,43.34,44.01,43.34,44.01,310301
#2010-01-20#,43.48,43.78,42.98,43.49,277593
#2010-01-21#,43.39,43.75,42.92,43.39,686661
#2010-01-22#,43.42,43.765,43.06,43.21,558014
#2010-01-25#,43.61,43.69,42.8,43.07,409713
#2010-01-26#,43.06,43.26,42.66,42.67,404393
#2010-01-27#,42.44,42.64,41.36,42.2,432440
#2010-01-28#,42.14,42.2,40.9,41.26,340665
#2010-01-29#,41.34,41.82,40.78,40.88,335146
#2010-02-01#,41.11,41.7,41.07,41.69,209382
#2010-02-02#,41.65,43.11,41.65,42.99,413408
#2010-02-03#,42.94,43.48,42.59,42.93,497119
#2010-02-04#,42.73,43.06,40.21,40.4,1637931
#2010-02-05#,40.47,40.59,39.31,40.31,1197393
#2010-02-08#,40.23,40.62,39.79,40.12,540892
#2010-02-09#,40.47,41.16,40.34,41.01,475017
#2010-02-10#,41.1,41.62,40.92,41.01,372785
#2010-02-11#,41.01,41.45,40.52,41.43,450386
#2010-02-12#,41.04,41.65,40.88,41.61,302853
#2010-02-15#,41.04,41.65,40.88,41.61,302853
#2010-02-16#,42.13,42.34,41.75,42.25,279728
#2010-02-17#,42.25,42.62,41.86,42.47,216069
#2010-02-18#,42.31,42.58,42.23,42.57,388694
#2010-02-19#,42.54,43.03,42.38,42.9,325841
#2010-02-22#,43.12,43.12,42.54,42.87,191755
#2010-02-23#,42.57,42.81,41.78,42.16,266293
#2010-02-24#,42.4,42.56,41.8,42.27,484458
#2010-02-25#,41.64,42.21,41.2,42.12,264832
#2010-02-26#,42.12,42.29,41.82,42.22,357486
#2010-03-01#,42.5,42.98,42.16,42.81,315794
#2010-03-02#,43.18,43.48,42.94,43.02,244810
#2010-03-03#,43.33,43.54,42.82,42.96,233483
#2010-03-04#,43.15,43.29,42.75,43.07,149427
#2010-03-05#,43.46,43.67,43.21,43.45,251540
#2010-03-08#,43.59,43.59,42.94,43.17,253889
#2010-03-09#,43.06,43.39,42.98,43.18,255330
#2010-03-10#,43.18,43.82,43.03,43.65,328471
#2010-03-11#,43.59,43.59,43.19,43.52,312897
