"Date","Open","High","Low","Close","Volume"
#2017-01-02#,61.26,61.26,60.435,60.88,1574977
#2017-01-03#,61.15,61.75,60.61,61.06,1922270
#2017-01-04#,61.31,61.59,61.04,61.29,1610098
#2017-01-05#,61.12,61.48,60.6165,60.85,1646510
#2017-01-06#,60.85,61.55,60.55,61.27,1271373
#2017-01-09#,61.23,61.4,60.9,61.02,1429824
#2017-01-10#,61.08,61.29,60.69,60.81,1392941
#2017-01-11#,61.11,61.38,60.8,61.15,1424554
#2017-01-12#,60.97,61.41,60.71,61.34,1070209
#2017-01-13#,61.32,61.69,61.26,61.47,938987
#2017-01-16#,61.32,61.69,61.26,61.47,938987
#2017-01-17#,61.33,61.47,60.64,60.85,1357477
#2017-01-18#,61,61.14,60.72,61.04,1145814
#2017-01-19#,61.04,61.11,60.79,60.9,1173448
#2017-01-20#,61.1,61.7,60.95,61.47,1517933
#2017-01-23#,61.36,61.49,60.98,61.11,1716851
#2017-01-24#,61.18,61.96,61.18,61.87,1472049
#2017-01-25#,62.01,62.17,61.395,61.62,1529386
#2017-01-26#,61.54,61.61,61.25,61.45,1053615
#2017-01-27#,61.55,61.56,60.98,61.17,1009834
#2017-01-30#,60.73,60.99,60.42,60.81,1272935
#2017-01-31#,60.45,60.76,60.0907,60.29,1684077
#2017-02-01#,59.5,59.5,58.43,58.52,4522152
#2017-02-02#,58.41,58.81,58.12,58.55,2649473
#2017-02-03#,58.9,59.17,57.71,57.97,4003329
#2017-02-06#,58.02,58.395,57.35,57.62,4610225
#2017-02-07#,57.65,57.99,57.0701,57.57,2810298
#2017-02-08#,57.48,57.83,57.17,57.65,1671210
#2017-02-09#,57.69,58.67,57.66,58.49,2017717
#2017-02-10#,58.62,58.99,58.42,58.46,1303093
#2017-02-13#,58.75,59.2269,58.705,59.04,1471217
#2017-02-14#,58.88,59.33,58.8297,59.27,1113730
#2017-02-15#,59.33,59.525,58.85,59.38,1526344
#2017-02-16#,59.47,59.59,59.09,59.49,1276209
#2017-02-17#,59.46,59.46,58.74,59.13,1708140
#2017-02-20#,59.46,59.46,58.74,59.13,1708140
#2017-02-21#,59.23,59.35,58.75,59.1,2218893
#2017-02-22#,58.95,59.63,58.95,59.6,1507651
#2017-02-23#,59.85,60.54,59.56,60.41,1894701
#2017-02-24#,60.44,61.935,60.2,61.81,3372648
#2017-02-27#,61.58,62.13,61.24,61.53,2122795
#2017-02-28#,61.58,61.81,61.21,61.42,1618247
#2017-03-01#,61.71,63.01,61.65,62.81,2816968
#2017-03-02#,62.56,62.5948,62.21,62.36,1382992
#2017-03-03#,62.18,62.545,61.845,62.5,1778954
#2017-03-06#,62.24,62.59,62.07,62.41,1244794
#2017-03-07#,62.14,62.58,62.065,62.16,1097391
#2017-03-08#,62.15,62.6,62.01,62.32,1178930
#2017-03-09#,62.25,62.479,61.81,62.12,969580
#2017-03-10#,62.22,62.54,61.79,62.38,893275
#2017-03-13#,62.33,62.63,62.1,62.56,1969214
#2017-03-14#,62.51,62.55,62.08,62.31,888548
#2017-03-15#,62.54,63.025,62.31,62.86,1406210
#2017-03-16#,62.85,63.03,62.3425,62.63,1115913
#2017-03-17#,62.78,63.03,62.63,62.84,2026617
#2017-03-20#,62.87,62.95,62.05,62.31,1352715
#2017-03-21#,62.48,62.6,61.53,61.67,1845845
#2017-03-22#,61.75,62.1,61.49,62,1248306
#2017-03-23#,61.77,61.97,61.45,61.52,1885476
#2017-03-24#,61.79,62.04,61.31,61.62,1296488
#2017-03-27#,61.22,61.46,60.7,60.89,2748394
#2017-03-28#,60.7,61.05,60.51,60.58,4956367
#2017-03-29#,60.51,61,58.58,59.06,5436839
#2017-03-30#,58.94,59.33,58.75,59.13,2874074
#2017-03-31#,59.1,59.26,58.84,58.9,2537779
#2017-04-03#,58.75,58.89,58.1,58.44,2322500
#2017-04-04#,58.31,58.35,57.95,58.06,1543271
#2017-04-05#,58.33,58.88,58.04,58.3,2301020
#2017-04-06#,58.29,58.34,57.86,58.15,1458737
#2017-04-07#,58.17,58.335,58.02,58.19,1583405
