"Date","Open","High","Low","Close","Volume"
#2017-01-02#,27.61,27.72,27.215,27.33,3136863
#2017-01-03#,27.71,27.8,27.21,27.56,3225385
#2017-01-04#,27.75,28.47,27.63,28.23,7423323
#2017-01-05#,28.09,28.38,28.08,28.35,3815940
#2017-01-06#,28.21,28.43,27.8,27.85,5339700
#2017-01-09#,27.8,28.145,27.61,27.96,4461020
#2017-01-10#,28.14,28.38,27.875,28.15,3319904
#2017-01-11#,28.1,28.72,27.97,28.61,5440210
#2017-01-12#,28.51,28.75,27.98,28.69,4171784
#2017-01-13#,28.61,28.8,28.42,28.5,2360878
#2017-01-16#,28.61,28.8,28.42,28.5,2360878
#2017-01-17#,28.4,28.76,28.25,28.57,3700544
#2017-01-18#,28.56,28.68,28.37,28.5,2951695
#2017-01-19#,28.53,28.82,27.97,28.01,4121772
#2017-01-20#,28.08,28.38,28.03,28.31,4869433
#2017-01-23#,28.4,28.86,28.33,28.74,6132674
#2017-01-24#,29.86,30.83,29.51,30.64,11197406
#2017-01-25#,30.91,31.66,30.7,31.37,7794544
#2017-01-26#,31.47,31.9,31.17,31.35,7853058
#2017-01-27#,31.44,31.48,30.83,30.94,4262606
#2017-01-30#,30.86,30.86,30.23,30.71,4935876
#2017-01-31#,30.61,30.63,29.78,29.91,7352020
#2017-02-01#,30,30.11,29.5018,29.68,6006651
#2017-02-02#,29.82,30.14,29.62,29.88,5309857
#2017-02-03#,30.1,30.22,29.78,29.89,3184406
#2017-02-06#,29.86,29.99,29.465,29.49,4324313
#2017-02-07#,29.63,29.69,29.29,29.42,4036978
#2017-02-08#,29.46,29.93,29.3716,29.89,3697567
#2017-02-09#,29.87,30.19,29.54,30.12,3483012
#2017-02-10#,30.2,30.96,30.15,30.82,4099575
#2017-02-13#,31,31.05,30.37,30.42,3376294
#2017-02-14#,30.2,30.45,29.95,30.11,4911527
#2017-02-15#,30.11,30.92,29.99,30.76,4986699
#2017-02-16#,30.76,30.9,30.365,30.43,2858949
#2017-02-17#,30.34,30.51,30.1,30.49,2349455
#2017-02-20#,30.34,30.51,30.1,30.49,2349455
#2017-02-21#,30.6,30.98,30.51,30.9,3336698
#2017-02-22#,31.39,31.45,30.809,31,4162114
#2017-02-23#,31.1,31.21,30.71,30.98,3756560
#2017-02-24#,30.86,31.4,30.61,31.39,5569554
#2017-02-27#,31.39,32.05,31.27,32.03,5416350
#2017-02-28#,31.94,32.17,31.74,32,4647997
#2017-03-01#,32.23,32.89,32.21,32.6,4863911
#2017-03-02#,32.6,32.815,32.32,32.51,4019360
#2017-03-03#,32.39,32.6,31.91,32.55,4309144
#2017-03-06#,32.31,32.51,32.18,32.41,3170752
#2017-03-07#,32.48,33.07,32.31,32.85,5767228
#2017-03-08#,32.88,33.43,32.78,33.3,3881187
#2017-03-09#,33.29,33.63,32.69,33.05,4185177
#2017-03-10#,33.38,33.885,33.31,33.57,5293832
#2017-03-13#,33.6,33.69,33.135,33.18,4662501
#2017-03-14#,33.07,33.16,32.5317,32.9,2580087
#2017-03-15#,33.18,33.47,32.69,33.27,3115640
#2017-03-16#,33.36,34.055,33.24,33.85,5062295
#2017-03-17#,33.82,33.93,33.53,33.66,4392975
#2017-03-20#,33.62,33.68,33.39,33.54,2334360
#2017-03-21#,33.65,33.65,32.815,33.16,4443937
#2017-03-22#,33.2,33.2,32.625,32.98,3942463
#2017-03-23#,33.04,33.495,32.91,33.25,3534700
#2017-03-24#,33.42,33.56,33.115,33.22,3298743
#2017-03-27#,32.77,33.22,32.67,33.05,3643009
#2017-03-28#,32.94,33.42,32.94,33.27,3393378
#2017-03-29#,33.19,33.48,33.01,33.37,3229160
#2017-03-30#,33.37,33.585,33.1,33.43,2392015
#2017-03-31#,33.4,33.49,33.24,33.31,2294689
#2017-04-03#,33.39,33.55,33.1801,33.37,4067968
#2017-04-04#,33.24,33.385,33.13,33.29,2532275
#2017-04-05#,33.45,33.89,33.2,33.23,4097280
