"Date","Open","High","Low","Close","Volume"
#2016-01-01#,41.56,42.27,41.42,41.83,1317136
#2016-01-04#,40.61,41.46,40.61,41.43,4550557
#2016-01-05#,41.53,41.74,40.76,40.98,1793435
#2016-01-06#,40.31,40.84,40.07,40.51,2298047
#2016-01-07#,40.15,40.55,39.57,39.69,2987798
#2016-01-08#,40.24,40.3,38.93,39,2432783
#2016-01-11#,39.33,39.47,38.35,38.75,3993399
#2016-01-12#,38.29,38.91,37.7,38.51,3058139
#2016-01-13#,38.79,38.84,36.48,36.67,4326640
#2016-01-14#,36.74,37.205,35.985,36.93,3435865
#2016-01-15#,35.39,36.28,35.12,36.05,4129865
#2016-01-18#,35.39,36.28,35.12,36.05,4129865
#2016-01-19#,36.5,36.97,34.51,34.72,4105423
#2016-01-20#,34.38,34.38,32.9477,33.99,4417389
#2016-01-21#,34.17,34.22,33.145,33.3,3988738
#2016-01-22#,33.9,34.18,33.47,33.67,3895626
#2016-01-25#,33.4,33.59,31.92,32.04,3688682
#2016-01-26#,32.31,33.33,32.31,32.97,3041696
#2016-01-27#,32.94,34.61,32.66,33.47,4380026
#2016-01-28#,34.02,35.19,34.02,34.19,3682631
#2016-01-29#,34.31,34.6,33.79,34.3,3103729
#2016-02-01#,34.28,34.28,33.3,33.61,3545545
#2016-02-02#,33.48,33.53,32.905,33.4,4236820
#2016-02-03#,33.65,34.329,32.29,34.24,5851548
#2016-02-04#,34.32,35.44,34.07,34.94,5466029
#2016-02-05#,35.1,35.69,34.45,34.57,4366802
#2016-02-08#,33.9,33.9,32.005,32.29,7423221
#2016-02-09#,31.61,32.71,31.45,32.45,3929064
#2016-02-10#,32.78,33.3,32.03,32.05,4148300
#2016-02-11#,30.87,31.41,30.48,31.02,4311986
#2016-02-12#,31.74,33.22,31.74,32.92,2464895
#2016-02-15#,31.74,33.22,31.74,32.92,2464895
#2016-02-16#,33.6,34.6,32.9901,34.25,2867606
#2016-02-17#,33.86,34.96,33.68,33.87,3841533
#2016-02-18#,34.03,34.56,33.73,34.13,4242459
#2016-02-19#,33.88,34.685,33.67,34.32,2768346
#2016-02-22#,34.76,35.85,34.71,35.56,3193885
#2016-02-23#,35.36,35.44,33.6,33.96,4078155
#2016-02-24#,33.2,33.95,32.74,33.89,3708853
#2016-02-25#,33.92,34.29,33.31,34.26,2471587
#2016-02-26#,34.72,35.48,34.5,34.96,2615089
#2016-02-29#,34.54,34.66,33.77,33.78,2675377
#2016-03-01#,33.89,35.37,33.61,35.11,2357093
#2016-03-02#,35.15,35.82,34.84,35.79,2421503
#2016-03-03#,35.78,37.24,35.62,37.21,2891103
#2016-03-04#,37.56,38.325,37.56,38.23,4251127
#2016-03-07#,37.79,38.43,37.57,38.17,2386139
#2016-03-08#,37.6,37.85,36.41,36.61,2766262
#2016-03-09#,37.03,37.15,35.89,36.08,2482040
#2016-03-10#,36.61,36.94,35.58,36.42,2351596
#2016-03-11#,36.57,37.79,36.57,37.61,2172708
#2016-03-14#,37.97,38.31,37.65,38.14,2591077
#2016-03-15#,37.69,38.175,37.4,38.15,2767008
#2016-03-16#,37.88,38.76,37.5,38.13,3657820
#2016-03-17#,38.16,38.895,37.665,38.85,3042648
#2016-03-18#,39.23,39.74,38.84,39.23,3265180
#2016-03-21#,39.25,39.85,38.82,39.53,3048269
#2016-03-22#,39,39.71,38.58,39.37,2110416
#2016-03-23#,39.36,39.36,38.55,38.57,1966722
#2016-03-24#,38.07,38.78,37.65,38.78,2516897
#2016-03-25#,38.07,38.78,37.65,38.78,2516897
#2016-03-28#,39.02,39.02,38.28,38.69,1438031
#2016-03-29#,38.13,38.14,37.25,38.01,3813093
#2016-03-30#,38.22,38.76,37.85,38.23,2007462
#2016-03-31#,38.01,38.27,37.37,37.87,2594834
#2016-04-01#,37.58,37.79,36.96,37.68,2623337
#2016-04-04#,37.98,39.31,37.82,38.08,3878270
#2016-04-05#,37.51,37.72,37.15,37.34,2164471
#2016-04-06#,37.31,37.95,37.03,37.88,1526456
#2016-04-07#,37.38,37.64,36.27,36.55,2617219
#2016-04-08#,37.02,37.73,36.61,36.76,2549279
#2016-04-11#,37.08,37.98,37.01,37.25,1477561
#2016-04-12#,37.49,38.45,37.23,38.2,2256098
#2016-04-13#,38.7,39.95,38.46,39.69,3259726
#2016-04-14#,39.56,40.45,39.49,39.87,2305098
#2016-04-15#,39.93,40.025,39.13,39.4,2450710
#2016-04-18#,38.93,40.04,38.78,39.96,3431919
#2016-04-19#,38.81,41.85,38.75,41.64,6270848
#2016-04-20#,41.3,42.55,41.13,42.35,3849520
#2016-04-21#,42.8,43.17,42.39,42.49,2854257
#2016-04-22#,42.55,45.09,42.39,44.02,7311986
#2016-04-25#,43.73,43.95,43.35,43.68,3738917
#2016-04-26#,43.75,45.68,43.56,45.13,5452176
#2016-04-27#,44.95,45.99,44.9,45.53,2970552
#2016-04-28#,44.95,45.97,44.73,44.93,2692776
#2016-04-29#,44.71,45.27,43.14,44.4,5702945
#2016-05-02#,44.57,44.65,43.63,44.34,2650528
#2016-05-03#,43.61,43.74,42.81,43.37,2512773
#2016-05-04#,42.74,43.31,41.735,42.28,3138005
#2016-05-05#,42.47,43.01,42.06,42.28,1812178
#2016-05-06#,41.98,42.44,41.71,42.28,926612
#2016-05-09#,42.47,42.67,41.88,42.19,1442035
#2016-05-10#,42.51,43.11,42.27,42.9,1640116
#2016-05-11#,42.59,43.5,42.59,43.03,1889455
#2016-05-12#,43.4,43.82,42.33,42.69,1881681
#2016-05-13#,42.14,43.14,41.74,41.97,2122017
#2016-05-16#,42.01,42.88,42.01,42.54,1448831
#2016-05-17#,42.37,43.48,42.11,43.15,2058766
#2016-05-18#,43.19,44.85,43.1,44.63,2979771
#2016-05-19#,44.74,45.14,43.98,44.37,2631583
#2016-05-20#,44.61,45.18,44.46,45.18,3214516
#2016-05-23#,45.11,45.46,44.86,45.15,2276658
#2016-05-24#,45.5,46.25,45.28,45.92,2904420
#2016-05-25#,46.27,47.25,46.15,46.8,2448905
#2016-05-26#,46.9,47,46.3,46.62,1718776
#2016-05-27#,46.65,47.05,46.46,47,987648
#2016-05-30#,46.65,47.05,46.46,47,987648
#2016-05-31#,47.32,47.49,46.66,47.1,2226544
#2016-06-01#,46.46,47.55,46.03,47.41,2264702
#2016-06-02#,47.21,47.31,46.55,47.05,3537087
#2016-06-03#,46.22,46.25,44.82,45.8,2869266
#2016-06-06#,46,46.65,45.875,46.25,2772811
#2016-06-07#,46.4,46.47,45.96,46.1,2031295
#2016-06-08#,46.08,46.53,45.84,46.21,1802148
#2016-06-09#,45.73,45.73,44.84,45.29,2308003
#2016-06-10#,44.47,44.52,43.98,44.15,2435825
#2016-06-13#,43.65,44.19,43.385,43.45,2016738
#2016-06-14#,43.32,43.68,42.27,42.5,1957503
#2016-06-15#,42.71,43.5,42.44,42.77,1614691
#2016-06-16#,42.68,42.69,41.14,41.93,2346215
#2016-06-17#,42.1,42.52,41.84,42.21,1877879
#2016-06-20#,43.35,43.74,42.36,42.43,2283204
#2016-06-21#,42.6,42.74,41.85,42.47,1372276
#2016-06-22#,42.59,43.07,42.39,42.58,1605078
#2016-06-23#,43.42,44.48,43.39,44.48,2239839
#2016-06-24#,40.98,42.09,40.01,40.02,4254337
#2016-06-27#,39.3,39.36,36.82,36.96,4798049
#2016-06-28#,37.96,38.88,37.5,38.84,3125960
#2016-06-29#,38.84,39.98,38.66,39.95,3492238
#2016-06-30#,40.33,41.13,39.89,41.13,3154693
#2016-07-01#,40.62,41.12,40.43,40.7,2027953
#2016-07-04#,40.62,41.12,40.43,40.7,2027953
#2016-07-05#,40.07,40.07,38.8175,39.15,1743692
#2016-07-06#,38.68,39.85,38.39,39.81,1741395
#2016-07-07#,39.9,40.92,39.9,40.5,1855986
#2016-07-08#,41.4,41.98,41.04,41.5,1864381
#2016-07-11#,41.81,42.33,41.59,41.61,2136230
#2016-07-12#,42.29,42.985,42.26,42.84,2363710
#2016-07-13#,42.75,43,42.28,42.72,1577239
#2016-07-14#,43.68,43.86,43.23,43.6,1508244
#2016-07-15#,44.01,44.01,43.4,43.66,1368866
#2016-07-18#,43.53,43.849,43.37,43.73,1814594
#2016-07-19#,44.3,44.85,43.3522,44.79,3472150
#2016-07-20#,45.36,45.6,44.81,45.23,2430407
#2016-07-21#,45.28,45.75,44.97,45,1600322
#2016-07-22#,45.16,45.655,44.88,45.46,1329577
#2016-07-25#,45.35,45.57,45.141,45.27,1374684
#2016-07-26#,45.23,45.84,45.18,45.77,1704008
#2016-07-27#,45.95,46.37,45.47,45.59,1992161
#2016-07-28#,45.47,45.81,45.06,45.68,995249
#2016-07-29#,45.6,45.81,45.135,45.24,1414517
#2016-08-01#,45.38,45.49,44.54,44.63,2002641
#2016-08-02#,44.56,44.81,43.735,44,2648810
#2016-08-03#,44.05,44.9499,44.05,44.73,1997839
#2016-08-04#,44.67,44.98,44.59,44.83,2076223
#2016-08-05#,45.57,46.31,45.56,46.23,2429940
#2016-08-08#,46.39,46.61,45.9,46.02,1406602
#2016-08-09#,46.1,46.3501,45.96,46.08,1643399
#2016-08-10#,46.01,46.05,45.26,45.33,1038292
#2016-08-11#,45.45,45.72,45.18,45.52,1453037
#2016-08-12#,44.96,45.25,44.55,45.19,1293832
#2016-08-15#,45.45,46.15,45.43,46.1,1564162
#2016-08-16#,45.92,46,45.48,45.49,2219452
#2016-08-17#,45.33,45.89,45.33,45.67,2152313
#2016-08-18#,45.73,45.97,45.53,45.95,2819470
#2016-08-19#,45.92,45.975,45.25,45.85,8281061
#2016-08-22#,45.74,45.88,45.43,45.76,1446394
#2016-08-23#,46,46.38,45.82,45.85,1844729
#2016-08-24#,45.88,46.26,45.68,45.81,1130619
#2016-08-25#,45.7,46.23,45.7,46.07,1077665
#2016-08-26#,46.37,46.91,46.02,46.85,1834554
#2016-08-29#,46.92,47.59,46.92,47.16,1540584
#2016-08-30#,47.37,47.55,47.08,47.45,1337470
#2016-08-31#,47.56,47.6,46.68,47.29,1406812
#2016-09-01#,47.5,47.57,46.59,47.03,979058
#2016-09-02#,47.27,47.61,46.83,47.58,1660107
#2016-09-05#,47.27,47.61,46.83,47.58,1660107
#2016-09-06#,47.7,47.7,46.55,46.8,1401997
#2016-09-07#,46.84,47.05,46.53,46.99,1419953
#2016-09-08#,47.04,47.32,46.56,46.97,2075852
#2016-09-09#,46.97,47.44,46.18,46.2,2732042
#2016-09-12#,45.72,46.5,45.261,46.37,2733686
#2016-09-13#,45.57,46.22,45.15,46.04,2325108
#2016-09-14#,46.01,46.38,45.55,45.86,1357806
#2016-09-15#,45.93,46.73,45.7,46.66,1673433
#2016-09-16#,47.1,47.1,46.07,46.34,2250862
#2016-09-19#,46.67,47.005,46.14,46.35,914916
#2016-09-20#,46.73,46.84,45.97,46.15,1076931
#2016-09-21#,46.54,46.79,46.04,46.51,1589420
#2016-09-22#,46.73,46.89,46.4,46.74,990645
#2016-09-23#,46.43,47.35,46.43,46.96,1561633
#2016-09-26#,46.54,46.62,45.65,45.72,1419236
#2016-09-27#,45.47,46.4,45.14,46.34,927573
#2016-09-28#,46.66,47.7,46.43,47.68,2364514
#2016-09-29#,47.53,47.805,46.31,46.63,1911368
#2016-09-30#,46.95,47.63,46.59,47.32,1990996
#2016-10-03#,46.82,47.64,46.75,47.37,1507764
#2016-10-04#,47.03,48.31,46.85,47.87,1941673
#2016-10-05#,48.33,49.62,48.225,49.21,2583883
#2016-10-06#,49.36,49.61,48.705,49.2,1663505
#2016-10-07#,49.12,49.48,48.18,48.98,1826557
#2016-10-10#,49.46,49.75,49.26,49.47,1257733
#2016-10-11#,49.21,49.45,48.23,48.64,2322631
#2016-10-12#,48.61,49.05,48.49,48.61,1182119
#2016-10-13#,48,48.06,47.12,47.91,1511092
#2016-10-14#,48.77,48.99,48.08,48.4,1633374
#2016-10-17#,48.4,48.625,47.88,48.06,2067931
#2016-10-18#,49.44,50.54,48.68,50.05,4894844
#2016-10-19#,50.43,52.04,50.18,51.77,4242733
#2016-10-20#,51.6,51.88,51.14,51.64,3339616
#2016-10-21#,51.07,51.65,50.7,51.46,2747254
#2016-10-24#,51.9,52.15,51.58,51.71,1761850
#2016-10-25#,51.73,52.18,51.47,51.8,1784047
#2016-10-26#,51.46,52.155,51.4,52.01,1590258
