"Date","Open","High","Low","Close","Volume"
#2016-01-01#,63.2,63.665,62.63,62.66,563321
#2016-01-04#,61.68,61.75,60.15,61.2,1241787
#2016-01-05#,61.14,61.77,60.95,61.67,784304
#2016-01-06#,60.86,61.53,60.54,60.95,623288
#2016-01-07#,59.83,60.42,59.08,59.12,796991
#2016-01-08#,59.6,60.44,59.27,59.69,1364390
#2016-01-11#,59.84,60.22,58.79,59.71,1060863
#2016-01-12#,60.05,60.49,59.29,59.9,893171
#2016-01-13#,59.94,60.52,58.46,58.67,918974
#2016-01-14#,58.84,60.52,58.72,59.93,1038609
#2016-01-15#,58.23,59.19,57.87,58.94,965431
#2016-01-18#,58.23,59.19,57.87,58.94,965431
#2016-01-19#,59.65,59.65,58.36,58.97,787483
#2016-01-20#,58.17,59.52,57.06,59.02,785434
#2016-01-21#,59.39,59.59,58.61,58.89,1053775
#2016-01-22#,60,60.79,59.61,60.74,894415
#2016-01-25#,60.14,60.39,57.955,58.16,1273450
#2016-01-26#,58.07,59.94,57.62,59.61,743020
#2016-01-27#,59.32,60.24,59.2,59.7,1243910
#2016-01-28#,60.08,60.18,59.17,59.35,676100
#2016-01-29#,59.65,60.97,59.27,60.89,907881
#2016-02-01#,60.67,61.18,60.2,61.03,1704196
#2016-02-02#,60.31,60.56,59.38,59.86,1287737
#2016-02-03#,63.8,66.37,62.65,63.74,2587756
#2016-02-04#,63.43,64.8,63.43,64.37,1805899
#2016-02-05#,64.12,64.65,62.93,63.2,1048545
#2016-02-08#,62.73,62.73,60.64,61.33,1067035
#2016-02-09#,60.73,63.47,60.37,62.89,1635916
#2016-02-10#,63.33,64.5,62.95,63.04,1017934
#2016-02-11#,61.96,62.66,61.59,62.28,792816
#2016-02-12#,62.95,64.1,62.57,63.98,784505
#2016-02-15#,62.95,64.1,62.57,63.98,784505
#2016-02-16#,64.71,64.97,63.69,64.83,946313
#2016-02-17#,65.19,65.62,64.07,64.2,832409
#2016-02-18#,64.1,64.43,63.73,64.18,758486
#2016-02-19#,64.3,64.85,63.92,64.59,997454
#2016-02-22#,65.25,65.69,64.45,65.03,711728
#2016-02-23#,64.72,65.14,63.84,63.99,565261
#2016-02-24#,63.48,64.89,62.99,64.78,730811
#2016-02-25#,65.16,66.28,65.07,66.24,648315
#2016-02-26#,66.61,66.89,66.21,66.45,618005
#2016-02-29#,66.04,66.53,65.12,65.12,1146928
#2016-03-01#,65.8,67.55,65.75,66.79,1339155
#2016-03-02#,66.59,67.89,66.36,67.45,1145735
#2016-03-03#,67.43,68.33,67.145,68.24,1011228
#2016-03-04#,68,68.21,67.5,67.86,1114583
#2016-03-07#,67.46,67.94,67.27,67.94,1110306
#2016-03-08#,67.69,68.73,67.0801,68.18,978274
#2016-03-09#,68.58,69.71,68.055,69.1,1164767
