"Date","Open","High","Low","Close","Volume"
#2010-01-01#,63.22,63.44,62.47,62.5,929989
#2010-01-04#,62.99,63.48,62.5,63.36,2035109
#2010-01-05#,63.31,63.64,63.24,63.59,2133111
#2010-01-06#,62.75,62.75,60.77,61,4229931
#2010-01-07#,62.13,62.13,60.4,61.13,3789283
#2010-01-08#,61.21,61.38,60.25,60.77,2608453
#2010-01-11#,60.73,61.59,60.73,61.46,1276093
#2010-01-12#,61.42,62.45,60.95,62.32,3581943
#2010-01-13#,62.33,62.89,61.92,62.51,2064249
#2010-01-14#,62.58,62.63,61.93,61.99,1846813
#2010-01-15#,61.89,62.18,61.47,61.92,2651980
#2010-01-18#,61.89,62.18,61.47,61.92,2651980
#2010-01-19#,62.24,63.47,61.79,63.16,2766599
#2010-01-20#,63.19,63.47,62.06,62.4,1331281
#2010-01-21#,62.41,62.73,60.93,61.33,2065099
#2010-01-22#,61.02,61.49,60.54,60.57,1683298
#2010-01-25#,61.15,61.57,60.39,61.44,2246703
#2010-01-26#,61.53,62.62,60.91,62.35,2978641
#2010-01-27#,60.16,61.5,58.3,59.52,8194195
#2010-01-28#,59.61,61.27,59.61,60.31,2918463
#2010-01-29#,60.52,60.64,58.71,58.82,3149856
#2010-02-01#,58.99,59.8,58.16,59.53,1974104
#2010-02-02#,59.57,60.49,59.34,60.46,1962901
#2010-02-03#,60.35,60.35,59.92,60.2,2029279
#2010-02-04#,59.88,60.11,58.49,58.6,2596967
#2010-02-05#,58.51,58.56,57.23,58.28,3209735
#2010-02-08#,58.41,58.7,57.56,58.31,2296240
#2010-02-09#,58.37,59.24,58.37,58.75,1693127
#2010-02-10#,58.81,58.93,57.8,58.61,1863333
#2010-02-11#,58.62,59.29,58.06,58.99,2398903
#2010-02-12#,58.54,59.04,58,58.99,1959326
#2010-02-15#,58.54,59.04,58,58.99,1959326
#2010-02-16#,59.09,60,59.04,59.88,1782475
#2010-02-17#,59.95,60.5,59.3,60.27,2029511
#2010-02-18#,60.28,60.72,60.04,60.71,1467488
#2010-02-19#,60.37,60.84,59.95,60.75,1758219
#2010-02-22#,60.64,60.71,59.85,59.93,1979214
#2010-02-23#,58.94,59.49,58.14,58.53,3488502
#2010-02-24#,58.56,59.35,58.29,59.27,2268513
#2010-02-25#,58.5,59.21,58.31,59.14,2235446
#2010-02-26#,59.3,59.56,59,59.15,1308499
#2010-03-01#,59.36,60.59,59.36,60.4,1466994
#2010-03-02#,60.8,61.95,60.6,61.7,2741501
#2010-03-03#,61.74,61.82,60.57,60.76,1673515
#2010-03-04#,60.91,61.39,60.83,61.29,1459408
#2010-03-05#,61.42,62.09,61.42,62.08,1417211
#2010-03-08#,61.91,61.99,60.98,60.99,1691420
#2010-03-09#,60.81,61.14,60.25,60.43,1934342
#2010-03-10#,60.26,60.87,60.08,60.59,1792931
#2010-03-11#,60.4,60.55,59.63,60.46,1866447
#2010-03-12#,60.71,61.64,60.71,61.08,2333997
#2010-03-15#,61.04,61.2,60.55,60.75,1531219
#2010-03-16#,60.75,61.46,60.62,61.29,1616915
#2010-03-17#,61.21,62.96,61.21,62.96,2863569
#2010-03-18#,62.9,63.39,62.29,63.31,1861302
#2010-03-19#,64.22,64.27,63.07,64.07,3594014
#2010-03-22#,63.8,65.66,63.77,64.63,2482942
#2010-03-23#,64.74,64.97,63.95,64.93,1750079
#2010-03-24#,65.03,65.21,63.87,64.01,1342261
#2010-03-25#,64.021,64.69,63.98,64.17,1483968
#2010-03-26#,64.25,64.5,63.33,63.62,1739332
#2010-03-29#,63.62,65.4,63.48,65.19,2309746
#2010-03-30#,65.09,66.98,64.86,66.72,4597224
#2010-03-31#,66.47,66.47,65.4,65.72,3402722
#2010-04-01#,65.9,66.36,65.77,66.36,1801620
#2010-04-02#,65.9,66.36,65.77,66.36,1801620
#2010-04-05#,66.71,66.95,66.21,66.61,1667001
#2010-04-06#,66.25,66.71,66.095,66.62,1532013
#2010-04-07#,66.54,66.61,65.88,66.17,2138065
#2010-04-08#,66.4,66.62,65.8,66.6,2579031
#2010-04-09#,66.49,66.9,66.09,66.56,1763445
#2010-04-12#,66.55,66.56,65.28,65.47,2521214
#2010-04-13#,65.47,65.56,64.45,65.24,3073498
#2010-04-14#,65.61,65.61,64.53,64.87,2026522
#2010-04-15#,64.87,64.97,64.54,64.78,1391427
#2010-04-16#,64.62,64.87,63.77,64.19,2156626
#2010-04-19#,63.99,64.58,63.8,64.43,1724864
#2010-04-20#,64.85,66.14,64.59,65.98,1632570
#2010-04-21#,65.98,66.24,65.13,65.51,1658131
#2010-04-22#,65.47,66.92,65.33,66.76,3044677
#2010-04-23#,66.76,68.03,66.33,68.03,2524612
#2010-04-26#,68.05,68.19,66.93,67.11,2119996
#2010-04-27#,66.71,67.09,65.89,66.01,2661893
#2010-04-28#,66.18,66.62,65.72,66.25,1570808
#2010-04-29#,66.67,67.31,66.35,66.48,1804815
#2010-04-30#,66.62,66.93,64.79,64.81,2125940
#2010-05-03#,64.86,65.12,64.05,64.87,2890239
#2010-05-04#,67.89,68.18,66.25,67.54,8287793
#2010-05-05#,66.89,67.86,66.59,67.32,2837512
#2010-05-06#,67.02,67.7,62.94,66.05,4526314
#2010-05-07#,65.92,65.92,63.09,63.73,3983878
#2010-05-10#,66.23,66.94,65.364,66.49,3043563
#2010-05-11#,65.99,66.89,65.72,66.1,2123250
#2010-05-12#,67.51,69.1,66.62,69.06,4125639
#2010-05-13#,68.91,69.96,68.41,68.99,3808422
#2010-05-14#,68.745,69.69,66.69,67.72,2596804
#2010-05-17#,68.07,68.84,67.06,68.6,2734656
#2010-05-18#,69.36,71.11,69.29,69.34,5984407
#2010-05-19#,69.03,70.24,68.37,69.86,3077022
#2010-05-20#,68.02,68.98,67.64,67.64,3688482
#2010-05-21#,66.21,68.38,66.02,68.33,4062931
#2010-05-24#,67.98,69.28,67.21,68.15,3637402
#2010-05-25#,66.96,67.98,66.21,67.81,3947503
#2010-05-26#,68.09,69.47,67.73,67.88,2859703
#2010-05-27#,68.96,70.08,68.62,70.07,2195367
#2010-05-28#,69.42,70.87,69.42,70,2391693
#2010-05-31#,69.42,70.87,69.42,70,2391693
#2010-06-01#,69.66,70.22,68.65,68.81,2276764
#2010-06-02#,69.16,70.25,68.83,70.25,2876248
#2010-06-03#,70.5,71.486,70.5,71.28,2663514
#2010-06-04#,69.91,70.16,68.22,68.56,2970279
#2010-06-07#,68.66,69.665,68.38,68.95,2935988
#2010-06-08#,68.94,68.94,67.5,68.23,2460213
#2010-06-09#,68.495,69.74,68.29,68.56,2127546
#2010-06-10#,69.33,69.89,68.99,69.7,2070634
#2010-06-11#,69,69.77,68.48,69.67,1759102
#2010-06-14#,69.79,70.43,69.45,69.81,2386814
#2010-06-15#,70.45,70.66,70.01,70.48,2365920
#2010-06-16#,70.03,70.88,69.93,70.66,2261581
#2010-06-17#,71.27,71.27,70.46,71.1,2128445
#2010-06-18#,70.93,71.05,70,70.09,2895131
#2010-06-21#,70.63,71.15,69.52,69.83,2828940
#2010-06-22#,69.73,70.13,68.33,68.45,2487364
#2010-06-23#,68.33,68.85,67.813,68.43,1751190
#2010-06-24#,68.13,68.42,67.2,67.71,2049198
#2010-06-25#,67.62,68.51,66.98,68.16,2770762
#2010-06-28#,68.29,68.78,67.58,68.52,1531179
#2010-06-29#,67.59,68.07,67.04,67.45,3094975
#2010-06-30#,67.24,68.5,66.96,67.16,2628184
#2010-07-01#,67,67.1,65.13,67.01,3837927
#2010-07-02#,67.05,67.67,66.67,67.16,1852197
#2010-07-05#,67.05,67.67,66.67,67.16,1852197
#2010-07-06#,67.5,68.31,67.09,67.65,1734141
#2010-07-07#,67.59,68.15,67,68.08,3115634
#2010-07-08#,68.28,68.58,67.36,67.99,2082487
#2010-07-09#,68.18,68.27,67.04,67.43,1893085
#2010-07-12#,67.29,67.4,66.82,67.07,1440073
