"Date","Open","High","Low","Close","Volume"
#2014-01-01#,100.49,101.39,100.43,101.2,8509901
#2014-01-02#,100.6,100.76,99.385,99.75,11030125
#2014-01-03#,99.77,100.1699,99.141,99.51,9295650
#2014-01-06#,99.94,100.14,98.8864,99.66,11849986
#2014-01-07#,99.61,101.215,99.42,101.07,11188673
#2014-01-08#,101.19,101.19,100.15,100.74,11180366
#2014-01-09#,100.2,100.39,99.03,99.76,11679041
#2014-01-10#,99.99,100.63,99.12,100.52,10537306
#2014-01-13#,99.91,100.1,98.27,98.55,12112226
#2014-01-14#,98.8,99.27,98.65,99.12,9269763
#2014-01-15#,99.16,99.35,98.63,98.78,9427730
#2014-01-16#,98.79,99.04,98.25,98.94,9421731
#2014-01-17#,99.18,100.34,98.67,99.16,15998124
#2014-01-20#,99.18,100.34,98.67,99.16,15998124
#2014-01-21#,98.57,98.8856,98.04,98.5,13848381
#2014-01-22#,98.88,98.95,97.84,97.88,11648146
#2014-01-23#,97.25,97.39,96.01,96.97,15397746
#2014-01-24#,96.18,96.25,94.82,94.85,14669972
#2014-01-27#,95.075,95.58,94.75,94.92,12477405
#2014-01-28#,95.35,95.92,94.77,95.65,10774257
#2014-01-29#,94.93,96.2,94.65,95.11,13194427
#2014-01-30#,94,94.95,93.06,93.99,14632354
#2014-01-31#,92.85,93.28,91.7,92.16,17372323
#2014-02-03#,91.915,92.31,89.64,90.05,20381403
#2014-02-04#,90.37,90.64,89.39,90.02,17703260
#2014-02-05#,90.305,90.61,89.38,89.58,16395819
#2014-02-06#,89.51,90.18,89.25,89.8,13650204
#2014-02-07#,90.12,90.63,89.75,90.58,12632454
#2014-02-10#,90.45,90.53,89.36,89.52,12241464
#2014-02-11#,89.56,91,89.4,90.84,13426576
#2014-02-12#,91.01,91.86,90.64,91.08,10753088
#2014-02-13#,90.59,91.65,90.4,91.43,9776453
#2014-02-14#,91.81,94.4301,91.6,94.11,18335517
#2014-02-17#,91.81,94.4301,91.6,94.11,18335517
#2014-02-18#,94.07,94.72,93.36,94.07,12981890
#2014-02-19#,93.8,95.29,93.8,93.95,12228854
#2014-02-20#,93.85,95.77,93.75,95.37,14425193
#2014-02-21#,95.48,95.58,94.94,95.03,11286050
#2014-02-24#,95.61,97.25,95.41,96.44,16034244
#2014-02-25#,96.54,96.97,95.96,96.31,10664330
#2014-02-26#,96.56,96.86,95.53,95.79,9088471
#2014-02-27#,95.58,96.05,95.16,95.84,9101165
#2014-02-28#,95.96,96.833,95.78,96.27,12652612
#2014-03-03#,95.76,96.54,94.8299,95.5,11897227
#2014-03-04#,96.59,96.86,95.87,96.52,12566341
#2014-03-05#,95.2,95.29,93.395,93.8,19836928
#2014-03-06#,93.67,93.94,93.27,93.76,12612051
#2014-03-07#,94.37,95.06,93.99,94.99,12660051
#2014-03-10#,95.15,95.55,94.66,95.5,9967356
#2014-03-11#,95.36,95.59,93.52,94.01,12144602
#2014-03-12#,93.64,94.47,93.55,94.21,9705872
#2014-03-13#,94.44,94.57,93.33,93.64,9872689
#2014-03-14#,93.58,94.22,93.29,93.47,11731826
#2014-03-17#,93.95,94.53,93.75,94.32,8676159
#2014-03-18#,94.41,95.25,94.07,94.71,8757308
#2014-03-19#,94.65,95.3,93.13,93.73,9914653
#2014-03-20#,93.44,94.74,93.01,94.58,10405003
#2014-03-21#,95.1,95.99,94.31,94.31,24482606
#2014-03-24#,94.76,95.1,94.48,94.64,9539768
#2014-03-25#,95.1,95.82,94.8,94.91,9799558
#2014-03-26#,95.56,95.58,94.41,94.7,11033634
#2014-03-27#,94.61,96.5,94.06,96.24,15427492
#2014-03-28#,96.47,97.97,96.47,97.7,12321804
#2014-03-31#,98.49,98.85,97.32,97.68,12375215
#2014-04-01#,97.65,97.93,97.28,97.73,9476393
#2014-04-02#,97.53,98.06,97.18,97.95,9550978
#2014-04-03#,97.83,98.54,97.56,97.93,10119284
#2014-04-04#,98.3,98.71,97.28,97.36,12496720
#2014-04-07#,97.25,97.53,96.751,96.78,10126378
#2014-04-08#,97.01,97.88,96.75,97.45,10251416
#2014-04-09#,97.75,97.79,96.629,97.33,10464949
#2014-04-10#,96.98,97.78,96.235,96.78,13449913
#2014-04-11#,96.51,97.4399,96.28,96.72,13353028
#2014-04-14#,97.49,98.055,96.74,97.86,9610713
#2014-04-15#,97.58,98.7,97.07,98.68,12961766
#2014-04-16#,99.05,100.1,98.97,99.94,12508091
#2014-04-17#,99.69,100.97,99.69,100.42,15439810
#2014-04-18#,99.69,100.97,99.69,100.42,15439810
#2014-04-21#,100.03,100.93,99.89,100.93,8003529
#2014-04-22#,100.53,100.86,100.22,100.37,8212620
#2014-04-23#,100.59,100.95,100.33,100.5,8691639
#2014-04-24#,100.48,100.6,99.86,100.01,9057792
#2014-04-25#,99.99,100.57,99.93,100.41,10396471
#2014-04-28#,100.72,101.462,100.31,101.17,12710821
#2014-04-29#,101.57,102.57,101.2301,101.45,10094588
#2014-04-30#,101.13,102.41,100.71,102.41,13972286
#2014-05-01#,101.96,102.39,101.2,101.41,11161697
#2014-05-02#,101.28,102.91,100.98,102.01,11169957
#2014-05-05#,101.69,103.13,101.58,102.91,7614576
#2014-05-06#,102.6,103.3,102.41,102.67,9669834
#2014-05-07#,103.12,103.45,102.79,103.11,11007353
#2014-05-08#,103.09,103.29,102.1701,102.32,8924353
#2014-05-09#,101.71,102.18,101.26,101.95,8948779
#2014-05-12#,102.33,102.35,101.525,102.23,8830502
#2014-05-13#,102.18,102.71,101.94,102.36,7529135
#2014-05-14#,102.36,102.68,102.11,102.29,6999163
#2014-05-15#,102,102.42,100.33,100.78,13658740
#2014-05-16#,100.59,101,100.32,100.74,10369477
#2014-05-19#,100.42,101.11,100.42,100.87,5851383
#2014-05-20#,100.69,101.08,100.45,100.67,6140744
#2014-05-21#,100.85,102.22,100.72,102.03,7748049
#2014-05-22#,101.81,101.97,101.47,101.5,5304614
#2014-05-23#,101.55,101.93,101.2663,101.32,5411273
#2014-05-26#,101.55,101.93,101.2663,101.32,5411273
#2014-05-27#,101.61,101.9,100.93,101.36,8359739
#2014-05-28#,101.23,102.07,101.05,101.06,7587010
#2014-05-29#,101.54,101.65,101.02,101.27,6113654
#2014-05-30#,100.8,101.15,100.37,100.53,11488959
#2014-06-02#,100.53,100.88,99.67,99.94,7762537
#2014-06-03#,99.59,100.69,99.59,100.39,9384234
#2014-06-04#,100.21,100.455,99.96,100.04,7154661
#2014-06-05#,100.1,100.83,99.96,100.55,12296438
#2014-06-06#,100.61,101.63,100.6,101.6,9342474
#2014-06-09#,101.45,101.96,101.19,101.52,6404983
#2014-06-10#,101.48,101.73,101,101.46,7917532
#2014-06-11#,101.19,102.33,101,101.95,10270318
#2014-06-12#,102.46,102.945,101.57,101.66,11421250
#2014-06-13#,101.93,102.6551,101.63,102.65,8241548
#2014-06-16#,102.57,103.25,102.17,102.92,8977642
#2014-06-17#,102.58,102.59,101.45,102.42,9355388
#2014-06-18#,102.57,102.95,102.06,102.73,9575877
#2014-06-19#,102.61,102.84,101.68,102.63,11107691
#2014-06-20#,103.28,104.06,102.94,103.83,17681113
#2014-06-23#,104.11,104.61,103.88,104.38,8553670
#2014-06-24#,104.18,104.47,102.47,102.73,9708408
#2014-06-25#,102.34,102.62,101.53,102.14,10716273
#2014-06-26#,101.94,102.38,100.85,102.03,8424551
#2014-06-27#,101.67,101.79,100.66,101.21,15149918
#2014-06-30#,101.21,101.27,100.52,100.68,9536536
#2014-07-01#,101.15,101.59,100.79,101.36,8404213
#2014-07-02#,101.15,101.64,101.04,101.57,6954442
#2014-07-03#,101.95,103.27,101.68,102.59,6922616
#2014-07-04#,101.95,103.27,101.68,102.59,6922616
#2014-07-07#,102.33,102.65,102.02,102.65,7980994
#2014-07-08#,102.33,103.23,102.17,102.83,9615023
#2014-07-09#,102.96,103.69,102.81,103.55,7659029
#2014-07-10#,102.88,103.07,102.04,102.57,8533731
#2014-07-11#,102.4,102.5,101.32,101.74,7689643
#2014-07-14#,102.17,103.08,102.16,102.68,8253348
#2014-07-15#,102.53,102.6,101.74,102.39,8760545
#2014-07-16#,102.56,103.79,102.54,103.77,8879502
#2014-07-17#,103.38,103.885,102.29,102.31,8145741
#2014-07-18#,102.69,102.96,101.86,102.73,8208309
#2014-07-21#,102.36,103.19,102.06,103.08,6632386
#2014-07-22#,103.64,104.19,103.5,103.54,7426442
#2014-07-23#,103.64,104.45,103.53,104.25,7017078
#2014-07-24#,104.42,104.72,103.95,104.28,7943024
#2014-07-25#,103.93,103.99,102.96,103.18,7784729
#2014-07-28#,103.29,104.52,102.83,104.37,9197901
#2014-07-29#,104.21,104.76,103.52,103.55,8055421
#2014-07-30#,103.73,104.15,102.57,103.25,11072188
#2014-07-31#,101.98,101.98,98.93,98.94,18297904
#2014-08-01#,98.62,99.55,98.18,98.8,14915613
#2014-08-04#,98.74,100.43,98.31,100.13,12152078
#2014-08-05#,99.48,99.54,97.78,98.2,13071813
#2014-08-06#,98.2,99.65,98.2,98.98,9916916
#2014-08-07#,99.77,99.84,97.63,98.27,10017398
#2014-08-08#,98.81,99.79,98.32,99.74,11206941
#2014-08-11#,99.28,99.42,98.535,98.73,8595196
#2014-08-12#,98.21,98.69,97.82,98.49,9585001
#2014-08-13#,98.82,99.31,98.48,99.09,7649559
#2014-08-14#,99.1,99.28,98.6,99.09,6547528
#2014-08-15#,99.24,99.43,98.14,99.03,9234925
#2014-08-18#,99.28,99.53,99.095,99.52,7143392
#2014-08-19#,99.5,99.95,99.43,99.49,8888327
#2014-08-20#,99.55,99.9,99.04,99.7,6753128
#2014-08-21#,99.8,100.07,99.26,99.28,6826246
#2014-08-22#,98.89,98.98,98.08,98.5,8096103
#2014-08-25#,98.81,98.9,98.5,98.75,7570029
#2014-08-26#,99.12,100.31,99.02,99.64,8536472
#2014-08-27#,99.78,99.96,99.09,99.53,5849223
#2014-08-28#,99.04,99.74,99.01,99.57,6072738
#2014-08-29#,99.38,99.67,98.72,99.46,8873707
#2014-09-01#,99.38,99.67,98.72,99.46,8873707
#2014-09-02#,99.43,99.59,97.81,98.49,8966533
#2014-09-03#,98.86,99.59,98.86,99.11,8481019
