"Date","Open","High","Low","Close","Volume"
#2013-01-01#,45.02,45.69,44.72,45.64,760492
#2013-01-02#,46.24,46.81,46.24,46.81,794382
#2013-01-03#,46.8,46.98,46.45,46.63,607998
#2013-01-04#,46.58,46.73,46.47,46.67,687887
#2013-01-07#,46.38,46.65,45.9,45.91,738066
#2013-01-08#,45.8,46.13,45.57,46.13,949017
#2013-01-09#,46.22,46.26,45.95,46.16,499184
#2013-01-10#,46.46,46.69,46.01,46.52,690107
#2013-01-11#,46.73,46.77,46.26,46.49,374573
#2013-01-14#,46.47,46.58,46.24,46.31,261138
#2013-01-15#,46.21,46.285,45.96,46.21,390302
#2013-01-16#,46.04,46.21,45.8732,45.99,411649
#2013-01-17#,46.09,46.1349,45.83,45.84,652921
#2013-01-18#,45.95,46.34,45.82,46.28,737237
#2013-01-21#,45.95,46.34,45.82,46.28,737237
#2013-01-22#,46.18,46.815,46.18,46.73,460691
#2013-01-23#,46.53,46.64,46.35,46.49,380198
#2013-01-24#,46.56,46.78,46.487,46.64,368843
#2013-01-25#,46.68,46.72,46.2,46.72,413888
#2013-01-28#,46.64,46.72,46.27,46.41,453422
#2013-01-29#,46.35,46.58,46.32,46.54,591109
#2013-01-30#,46.55,46.71,46.43,46.6,472179
#2013-01-31#,46.45,46.86,46.45,46.81,679141
#2013-02-01#,47.07,47.2,46.85,47.17,573393
#2013-02-04#,46.92,47.0199,46.77,46.84,537066
#2013-02-05#,46.96,47.31,46.87,47.02,641884
#2013-02-06#,46.86,47.17,46.7,47.13,455775
#2013-02-07#,47.17,47.38,46.79,47,610078
#2013-02-08#,47.03,47.24,46.78,47.23,418302
#2013-02-11#,47.24,47.535,47.2,47.47,304824
#2013-02-12#,47.5,47.885,47.3,47.86,575624
#2013-02-13#,47.88,48.11,47.7489,47.89,445510
#2013-02-14#,47.76,47.99,47.58,47.86,694409
#2013-02-15#,47.88,48.1,47.79,47.92,875324
#2013-02-18#,47.88,48.1,47.79,47.92,875324
#2013-02-19#,47.96,48.71,47.96,48.68,863478
#2013-02-20#,48.75,49.36,48.61,48.75,879158
#2013-02-21#,48.75,49.25,48.25,48.54,645306
#2013-02-22#,48.64,49.07,48.54,48.98,435017
#2013-02-25#,49.27,49.64,48.49,48.49,510764
#2013-02-26#,48.48,49.04,48.31,48.45,679485
#2013-02-27#,48.45,49.11,48.45,48.88,733752
#2013-02-28#,48.92,49.11,48.725,48.84,700908
#2013-03-01#,48.77,49.07,48.495,49.06,600522
#2013-03-04#,49.02,49.6,48.86,49.49,709089
#2013-03-05#,49.68,50.04,49.64,49.71,633490
#2013-03-06#,49.81,49.84,49.405,49.64,568723
#2013-03-07#,49.23,49.29,48.82,48.86,559676
#2013-03-08#,49.06,49.16,48.72,49.06,465751
#2013-03-11#,49.01,49.47,48.98,49.47,558125
#2013-03-12#,49.46,49.47,48.9962,49.2,418925
#2013-03-13#,49.13,49.43,48.9601,49.42,350020
#2013-03-14#,49.43,49.53,49.26,49.47,450697
#2013-03-15#,49.28,49.68,49.16,49.6,729370
#2013-03-18#,49.22,49.48,49.17,49.27,333304
#2013-03-19#,49.38,49.54,48.98,49.23,513425
#2013-03-20#,49.47,49.7499,49.39,49.51,516009
#2013-03-21#,49.37,49.65,49.22,49.46,396634
#2013-03-22#,49.47,49.76,49.4003,49.67,335216
#2013-03-25#,49.81,50.09,49.28,49.41,430467
#2013-03-26#,49.55,50.1,49.49,50.05,502565
#2013-03-27#,49.78,50.27,49.77,50.25,395793
#2013-03-28#,50.25,51.23,50.25,51.16,654581
#2013-03-29#,50.25,51.23,50.25,51.16,654581
#2013-04-01#,51.25,51.32,50.98,51.09,609570
#2013-04-02#,51.18,51.605,51.11,51.27,711772
#2013-04-03#,51.14,51.53,51.05,51.31,550690
#2013-04-04#,51.47,51.87,51.34,51.82,566430
#2013-04-05#,51.55,52.23,51.4,52.02,1867748
#2013-04-08#,51.98,52.138,51.725,52.09,702857
#2013-04-09#,52.17,52.2092,51.31,51.35,757929
#2013-04-10#,51.44,52.17,51.44,52.1,780294
#2013-04-11#,52.09,52.2499,51.97,52.19,482832
#2013-04-12#,52.07,52.6,52.02,52.6,795327
#2013-04-15#,52.45,52.5,51.41,51.41,555428
#2013-04-16#,51.61,52.11,51.14,52.08,370550
#2013-04-17#,51.92,51.95,51.3,51.69,396805
#2013-04-18#,51.76,52,51.6,51.9,565817
#2013-04-19#,52.04,52.82,51.89,52.81,490414
#2013-04-22#,52.8,53,52.41,52.65,488581
#2013-04-23#,52.77,52.77,52.1,52.52,503536
#2013-04-24#,52.63,52.9899,52.25,52.75,1125803
#2013-04-25#,53.08,53.67,52.79,53.29,655858
#2013-04-26#,52.92,53.71,52.92,53.2,566582
