"Date","Open","High","Low","Close","Volume"
#2013-01-01#,16.08,16.66,15.99,16.61,1735364
#2013-01-02#,16.72,17.095,16.58,17,1509381
#2013-01-03#,17.01,17.23,16.9,17.1,1431528
#2013-01-04#,17.18,17.37,17.02,17.28,1419709
#2013-01-07#,17.31,17.93,16.72,17.8916,2179343
#2013-01-08#,17.87,18.8,17.87,18.8,2525179
#2013-01-09#,18.75,19.6,18.66,19.31,2505110
#2013-01-10#,19.4,19.4,18.63,18.96,1856901
#2013-01-11#,18.84,19.17,18.14,18.2,2371944
#2013-01-14#,18.76,19.44,18.68,19.22,2472835
#2013-01-15#,19.11,19.839,19.04,19.54,1798458
#2013-01-16#,19.54,19.54,18.8,18.91,1186072
#2013-01-17#,18.93,19.21,18.52,19.21,1164622
#2013-01-18#,19.17,19.21,18.83,19.18,806508
#2013-01-21#,19.17,19.21,18.83,19.18,806508
#2013-01-22#,19.18,19.23,18.9,19.18,848025
#2013-01-23#,18.63,18.8999,18.23,18.38,3696810
#2013-01-24#,18.42,19.11,18.04,18.25,2438234
#2013-01-25#,18.34,18.72,18.07,18.7,2089162
#2013-01-28#,18.79,18.895,18.66,18.74,1018286
#2013-01-29#,18.73,18.78,18.29,18.6,871913
#2013-01-30#,18.62,18.79,17.77,17.84,1463543
#2013-01-31#,17.86,18.49,17.79,18.38,1709135
#2013-02-01#,18.38,18.6699,18.21,18.44,1008828
#2013-02-04#,18.39,18.48,17.92,18.04,1272912
#2013-02-05#,18.04,18.32,17.865,18.27,864898
#2013-02-06#,18.32,18.6,18.13,18.34,618483
#2013-02-07#,18.29,18.36,17.44,18.02,1465973
#2013-02-08#,18,18.32,17.9501,18.32,968510
#2013-02-11#,18.33,18.64,18.28,18.36,1236607
#2013-02-12#,18.4,18.52,18.26,18.42,1063365
#2013-02-13#,18.3,18.66,18.16,18.65,2593368
#2013-02-14#,19.29,21,18.33,20.56,4904125
#2013-02-15#,20.47,22.82,20.27,22,6212209
#2013-02-18#,20.47,22.82,20.27,22,6212209
#2013-02-19#,21.99,22.23,21.28,21.86,2329140
#2013-02-20#,21.88,21.92,21.145,21.2,1378199
#2013-02-21#,21.11,21.27,20.7,20.98,4260201
#2013-02-22#,21.05,21.36,20.77,21.04,2281514
#2013-02-25#,21.23,21.59,20.825,20.85,691104
#2013-02-26#,21.16,21.41,20.51,20.96,848867
#2013-02-27#,20.5,21.82,20.5,21.64,766731
#2013-02-28#,21.64,22.2901,21.6,22.23,1554780
#2013-03-01#,22,22.79,21.95,22.46,1625350
#2013-03-04#,22.33,22.72,21.89,22.72,688049
#2013-03-05#,22.72,22.92,22.3001,22.63,999509
#2013-03-06#,22.7,23,22.54,22.97,1368498
#2013-03-07#,22.89,23.15,22.581,23.03,1033181
