"Date","Open","High","Low","Close","Volume"
#2010-01-01#,38.65,38.7,38.12,38.12,694272
#2010-01-04#,39.245,39.245,38.1,38.5,1278170
#2010-01-05#,38.35,38.57,38.07,38.56,1134018
#2010-01-06#,38.44,38.75,38.18,38.39,1104905
#2010-01-07#,38.22,38.58,38.15,38.27,695244
#2010-01-08#,38.11,38.31,37.89,37.93,874976
#2010-01-11#,37.93,38.17,37.55,38.13,778124
#2010-01-12#,38.9,39.46,38.67,38.85,1660626
#2010-01-13#,38.95,39.21,38.75,38.98,1386149
#2010-01-14#,38.77,38.98,38.46,38.79,684763
#2010-01-15#,38.45,39.15,38.02,38.21,1359288
#2010-01-18#,38.45,39.15,38.02,38.21,1359288
#2010-01-19#,38.21,38.71,38,38.61,924148
#2010-01-20#,38.25,38.36,37.7,37.945,989697
#2010-01-21#,37.85,38.43,37.57,37.84,1405265
#2010-01-22#,37.81,38.77,37.66,37.86,1383436
#2010-01-25#,38.72,38.87,38.35,38.58,1751391
#2010-01-26#,38.4,38.69,37.92,38.46,1388484
#2010-01-27#,38.17,38.42,37.69,38.27,1523570
#2010-01-28#,38.48,38.48,37.47,37.73,1701130
#2010-01-29#,38.39,38.49,37.775,37.8,1804557
#2010-02-01#,38.05,38.31,37.76,38.24,1291253
#2010-02-02#,38.15,38.95,38.1,38.85,1478070
#2010-02-03#,38.65,39.02,38.49,38.93,1264125
#2010-02-04#,38.61,38.82,38.14,38.28,1850091
#2010-02-05#,38.22,38.68,37.92,38.47,1969900
#2010-02-08#,38.43,38.83,38.18,38.19,988351
#2010-02-09#,38.57,39.06,38.28,38.88,1105802
#2010-02-10#,38.9,39.17,38.58,39.02,1568528
#2010-02-11#,39.35,39.62,38.65,39.52,1712908
#2010-02-12#,39.24,39.87,39.13,39.8,1368533
#2010-02-15#,39.24,39.87,39.13,39.8,1368533
#2010-02-16#,39.9,40.16,39.61,39.85,1921330
#2010-02-17#,39.84,40.98,39.75,40.79,2019860
#2010-02-18#,38.45,38.72,37.58,38.36,9170922
#2010-02-19#,38.52,39.18,38.4,38.91,4190998
#2010-02-22#,39,39.15,38.52,38.72,1510640
#2010-02-23#,38.75,38.95,38.42,38.6,1765677
#2010-02-24#,38.8,39.37,38.72,39.29,1570526
#2010-02-25#,38.83,39.5,38.51,39.5,1562231
#2010-02-26#,39.63,39.68,39.14,39.3,1605121
#2010-03-01#,39.29,39.58,38.91,39.57,1459801
#2010-03-02#,39.52,39.69,39.25,39.53,1408512
#2010-03-03#,39.51,39.65,39.14,39.26,1564217
#2010-03-04#,38.89,39.59,38.885,39.52,1525081
#2010-03-05#,39.55,39.8,39.39,39.72,1495031
#2010-03-08#,39.65,40.09,39.55,39.77,1073341
#2010-03-09#,39.58,40.02,39.57,39.74,1192499
#2010-03-10#,40.11,40.405,39.62,40.26,1354049
#2010-03-11#,40.06,40.4,39.91,40.33,966645
#2010-03-12#,40.35,40.43,40.13,40.43,697472
#2010-03-15#,40.44,40.56,40.2,40.46,929879
#2010-03-16#,40.5,41.12,40.35,41.11,1283135
#2010-03-17#,40.97,41.9,40.94,41.893,2061840
#2010-03-18#,41.97,42.21,41.65,41.91,1707770
#2010-03-19#,42.11,42.18,41.72,42,2248042
#2010-03-22#,41.99,42.92,41.93,42.76,1515458
#2010-03-23#,42.78,43,42.454,43,909630
#2010-03-24#,42.71,42.75,41.88,42.04,1488079
#2010-03-25#,42.33,42.35,41.93,41.96,1167303
#2010-03-26#,41.91,42.22,41.75,42.03,1055272
#2010-03-29#,41.02,42.05,40.77,41.76,1835683
#2010-03-30#,41.88,42.08,41.42,41.83,969184
#2010-03-31#,41.65,41.94,41.45,41.71,1617310
#2010-04-01#,41.81,42.03,41.56,41.93,1188188
#2010-04-02#,41.81,42.03,41.56,41.93,1188188
#2010-04-05#,41.98,42.12,41.67,42.07,1091243
#2010-04-06#,41.84,42.16,41.79,41.91,1274050
#2010-04-07#,41.4,41.95,41.4,41.73,1408134
#2010-04-08#,41.58,41.67,41.3,41.61,2618948
#2010-04-09#,41.7,41.88,41.31,41.83,859804
#2010-04-12#,41.81,42,41.46,41.88,1115023
#2010-04-13#,41.96,42.21,41.73,42.15,668279
#2010-04-14#,42.39,43.57,42.33,43.53,1477683
#2010-04-15#,43.41,44,43.41,43.82,1333657
#2010-04-16#,43.73,43.99,43.38,43.58,1839658
#2010-04-19#,43.64,43.94,43.23,43.84,1129501
#2010-04-20#,43.96,44.44,43.82,44.35,1072583
#2010-04-21#,44.35,44.77,43.98,44.67,1128880
#2010-04-22#,44.51,46.15,44.5,46.03,2210805
#2010-04-23#,46.19,46.31,45.62,46.27,2059025
#2010-04-26#,46.38,46.83,46.32,46.56,1831314
#2010-04-27#,46.56,46.79,45.8,45.88,2158611
#2010-04-28#,45.94,46.75,45.67,46.34,2069264
#2010-04-29#,49.5,50.09,48.63,49.6,3769774
#2010-04-30#,49,49.69,48.85,48.87,2865646
#2010-05-03#,48.78,49.72,48.6,49.72,1505376
#2010-05-04#,48.2,48.76,47.53,48.45,2187255
#2010-05-05#,48.3,49.34,48.17,48.31,1720639
#2010-05-06#,47.47,48.18,45.22,46.92,2050191
#2010-05-07#,47.07,47.72,45.85,46.35,1869520
#2010-05-10#,48.16,48.6,47.68,48.37,1733821
#2010-05-11#,48.03,48.85,47.76,48.23,1323284
#2010-05-12#,48.3,48.98,48.06,48.94,1009818
#2010-05-13#,48.59,48.84,48.045,48.07,1364611
#2010-05-14#,47.96,48.38,47.52,47.92,1638251
#2010-05-17#,48.16,48.58,47.4,48.4,2132792
#2010-05-18#,48.73,49.2,47.93,48.09,1473103
#2010-05-19#,47.99,49.18,47.59,48.78,1712778
#2010-05-20#,48.17,49.62,47.77,47.77,2674867
#2010-05-21#,47.07,48.62,47,47.89,2352135
#2010-05-24#,47.18,48.33,47.18,47.6,1306865
#2010-05-25#,46.85,49.72,46.7,49.49,3188763
#2010-05-26#,49.75,50.27,49.04,49.16,3612862
#2010-05-27#,49.95,50.73,49.73,50.67,2002702
#2010-05-28#,50.42,51.7,50.21,51.02,2701649
#2010-05-31#,50.42,51.7,50.21,51.02,2701649
#2010-06-01#,50.93,51.28,50.34,50.62,2386407
#2010-06-02#,50.97,51.43,50.3,51.39,1512132
#2010-06-03#,51.26,51.6,50.81,51.4,1408782
#2010-06-04#,50.74,50.74,49.33,49.635,1758627
#2010-06-07#,49.77,49.94,48.41,48.49,1074602
#2010-06-08#,48.4,49.5,48.05,49.4,1595137
#2010-06-09#,49.58,50.2,48.73,48.95,1281767
#2010-06-10#,49.38,49.71,48.51,49.48,1557737
#2010-06-11#,48.82,50.07,48.81,49.81,1067327
#2010-06-14#,50.51,50.97,50.27,50.32,1137075
#2010-06-15#,50.67,51.16,50.21,51.13,1077198
#2010-06-16#,51.07,51.12,50.53,50.62,1096360
#2010-06-17#,50.87,50.93,50.15,50.38,1320339
#2010-06-18#,50.34,50.8,49.7,49.93,2370378
#2010-06-21#,50.055,50.44,49.39,49.66,839263
#2010-06-22#,49.66,50.43,48.94,49.07,1066453
#2010-06-23#,49.25,50.18,49.25,49.9,1115495
#2010-06-24#,49.68,49.89,48.53,48.87,1022063
#2010-06-25#,48.84,49.46,48.51,49.148,1000708
#2010-06-28#,49.12,49.15,48.41,48.61,740844
#2010-06-29#,48.33,48.42,47.23,47.83,1340432
#2010-06-30#,47.64,48.47,47.3,47.56,1068252
#2010-07-01#,47.45,48.15,46.86,48,1508518
#2010-07-02#,48.02,48.12,47.62,47.68,893208
#2010-07-05#,48.02,48.12,47.62,47.68,893208
#2010-07-06#,48.1,48.425,46.315,46.75,1926971
#2010-07-07#,46.7,47.15,46.06,46.8,2231573
#2010-07-08#,46.87,47,45.66,46.35,2451678
#2010-07-09#,46.42,46.53,45.79,46.07,1418082
#2010-07-12#,46.09,46.32,45.65,46.19,900533
#2010-07-13#,46.49,47.81,46.37,47.6,1623512
#2010-07-14#,47.52,47.83,47.145,47.52,1411830
#2010-07-15#,47.4,48.42,47.35,48.32,1173418
#2010-07-16#,48.39,48.39,47.03,47.09,1151610
#2010-07-19#,47.09,48.4,47.01,47.91,958150
#2010-07-20#,47.35,48.79,47.135,48.74,897305
#2010-07-21#,48.78,48.91,46.8,47.03,1630231
#2010-07-22#,47.54,48.34,47.54,48,907077
#2010-07-23#,47.76,49.12,47.76,49.04,846413
#2010-07-26#,49.28,49.96,48.7,49.94,1623439
#2010-07-27#,50,50.17,48.88,48.98,1162251
#2010-07-28#,49.03,49.79,48.85,49.39,1444912
#2010-07-29#,49.39,49.65,48.23,48.99,2289599
#2010-07-30#,48.86,49.37,48.62,49.28,1909894
#2010-08-02#,49.88,49.9,49.015,49.08,1702626
#2010-08-03#,48.28,48.91,48,48.16,1408193
#2010-08-04#,48.1,48.25,47.3,47.75,1637270
#2010-08-05#,47.45,48,47.09,47.85,1165330
#2010-08-06#,48.01,48.01,46.78,47.14,2088488
#2010-08-09#,47.91,47.91,46.91,47.27,2186925
#2010-08-10#,46.88,47.14,46.57,46.83,1127400
#2010-08-11#,46.42,46.55,45.75,46.27,1313871
#2010-08-12#,45.75,47.22,45.74,46.97,2169102
#2010-08-13#,46.64,47,46.25,46.84,1113062
#2010-08-16#,46.59,47.18,46.52,47.13,1413494
#2010-08-17#,47.41,48.01,47.2,47.8,2414439
#2010-08-18#,47.85,48.45,47.51,48.08,1629383
#2010-08-19#,47.75,48.04,47.15,47.47,1117739
#2010-08-20#,47.46,47.84,46.95,47.82,1167216
#2010-08-23#,47.81,48.02,47.06,47.1,1085721
#2010-08-24#,46.77,47.48,46.09,47.17,1138301
#2010-08-25#,47,47.5,46.84,47.33,984600
#2010-08-26#,47.45,47.6,47.18,47.21,697380
#2010-08-27#,47.43,47.775,46.89,47.61,614289
#2010-08-30#,47.45,47.57,46.93,46.93,573623
#2010-08-31#,46.82,47.37,46.56,47.27,1538173
#2010-09-01#,47.5,49,47.5,48.87,1594413
#2010-09-02#,48.57,49.65,48.57,49.65,1361905
#2010-09-03#,49.83,50.44,49.53,50.13,1028495
#2010-09-06#,49.83,50.44,49.53,50.13,1028495
#2010-09-07#,50.29,50.31,49.48,49.58,1053417
#2010-09-08#,49.67,50.295,49.55,50.26,954575
#2010-09-09#,50.6,50.94,49.8,50.16,1092053
#2010-09-10#,50.08,50.54,49.98,50.12,699447
#2010-09-13#,50.27,51.24,50.17,51.18,865470
#2010-09-14#,51.04,51.6,51.04,51.08,941877
#2010-09-15#,50.87,51.52,50.8,51.52,567832
#2010-09-16#,51.32,51.76,51.09,51.66,669594
#2010-09-17#,51.84,52,51.37,51.95,1309300
#2010-09-20#,51.97,52.74,51.87,52.66,825007
#2010-09-21#,52.57,52.66,51.71,52.39,892162
#2010-09-22#,52.35,53.37,52.31,53.34,1499560
#2010-09-23#,52.89,53.5,52.59,52.73,915829
#2010-09-24#,53.3,53.54,52.9,53.47,1032712
#2010-09-27#,53.31,53.33,52.71,52.99,862663
#2010-09-28#,53.38,54,52.74,53.9,1365591
#2010-09-29#,53.64,54.19,53.63,54.07,690046
#2010-09-30#,53.88,53.89,52.62,53.2,1539627
#2010-10-01#,53.67,54.35,53.14,53.36,1450541
#2010-10-04#,53.27,53.77,52.88,53.39,1055266
#2010-10-05#,53.78,54.42,53.57,54.06,949932
#2010-10-06#,53.83,54.18,53.52,53.65,1104832
#2010-10-07#,53.92,54,53.34,53.8,712852
#2010-10-08#,53.77,54.05,53.2,53.49,908875
#2010-10-11#,53.37,53.45,52.71,52.85,1156998
#2010-10-12#,52.73,53.45,52.4,53.36,723063
#2010-10-13#,53.44,53.53,52.75,52.84,1060985
#2010-10-14#,52.79,53.42,52.46,53.255,1488474
#2010-10-15#,53.59,53.79,53.02,53.69,1331702
#2010-10-18#,53.53,53.71,52.99,53.12,715516
#2010-10-19#,52.8,53.33,52.61,53.01,1213445
#2010-10-20#,53.17,53.985,52.97,53.73,900118
#2010-10-21#,53.49,53.96,53.04,53.64,917824
#2010-10-22#,53.63,54.06,53.31,54.023,826637
#2010-10-25#,54.25,54.84,54.21,54.6,1097346
#2010-10-26#,54.43,54.82,53.93,54.35,1029537
#2010-10-27#,53.91,54.43,53.42,54.4,1027948
#2010-10-28#,55,57.59,54.79,57.12,2617491
#2010-10-29#,57.1,58.6,56.87,58.5,1769187
#2010-11-01#,58.65,58.82,57.37,57.65,1567618
#2010-11-02#,57.63,57.86,57.04,57.17,1505242
#2010-11-03#,57.12,57.75,56.93,57.51,1233923
#2010-11-04#,58.09,58.42,57.54,58.2,1222483
#2010-11-05#,58.21,58.79,58.13,58.43,676392
#2010-11-08#,58.33,59.035,58.21,58.71,531271
#2010-11-09#,58.88,58.92,57.87,58.29,581535
#2010-11-10#,58.38,59.15,58.1,59.15,739766
#2010-11-11#,59,60.82,58.64,60.36,2043610
#2010-11-12#,59.88,60.25,59.01,59.63,1102260
#2010-11-15#,59.92,59.98,59.18,59.32,783679
#2010-11-16#,58.86,59.68,58.37,58.38,1090092
#2010-11-17#,58.35,58.98,58.07,58.82,1199451
#2010-11-18#,59.27,60,59,59.44,1056701
#2010-11-19#,59.47,59.63,59.09,59.5,681958
#2010-11-22#,60,60.822,59.5,60.24,1194410
#2010-11-23#,59.93,59.95,59.26,59.87,833914
#2010-11-24#,60.27,61,60.08,60.71,1058546
#2010-11-25#,60.27,61,60.08,60.71,1058546
#2010-11-26#,60.39,60.91,60.3,60.67,294618
#2010-11-29#,60.27,60.49,59.26,59.92,970866
#2010-11-30#,59.51,60.34,59.01,60.18,1467048
#2010-12-01#,60.74,61.32,60.52,60.71,919050
#2010-12-02#,60.77,61.75,60.63,61.75,1167043
