"Date","Open","High","Low","Close","Volume"
#2010-01-01#,26.315,26.615,26.105,26.135,445698
#2010-01-04#,26.32,26.555,26.14,26.395,1665212
#2010-01-05#,25.905,25.905,25.035,25.275,2559768
#2010-01-06#,25.6,26.125,25.6,26.085,1830290
#2010-01-07#,26.135,26.27,25.94,26.13,906342
#2010-01-08#,26.145,26.32,25.67,26.115,1657634
#2010-01-11#,26.275,26.42,25.975,26.42,813706
#2010-01-12#,26.37,26.375,25.675,25.72,1012822
#2010-01-13#,26.02,26.24,25.855,26.1,1877782
#2010-01-14#,26.065,26.3,26.05,26.28,998290
#2010-01-15#,26.28,26.3,25.9401,26.08,734396
#2010-01-18#,26.28,26.3,25.9401,26.08,734396
#2010-01-19#,26.055,26.4925,26.055,26.46,715534
#2010-01-20#,26.395,26.63,26.275,26.465,702734
#2010-01-21#,26.485,26.52,25.745,25.97,878814
#2010-01-22#,26.045,26.54,25.93,25.985,1376324
#2010-01-25#,26.185,26.695,26.03,26.515,2314074
#2010-01-26#,26.4325,26.995,26.4325,26.735,1674796
#2010-01-27#,26.625,26.625,26.1,26.335,1053680
#2010-01-28#,26.325,26.48,25.775,26.05,927160
#2010-01-29#,26.11,26.195,25.57,25.57,1081846
#2010-02-01#,25.68,25.8199,25.495,25.735,761824
#2010-02-02#,25.77,26.145,25.73,26.105,1386210
#2010-02-03#,25.985,26.195,25.885,26.08,1219020
#2010-02-04#,26.01,26.13,25.26,25.465,1961178
#2010-02-05#,27.5,27.7525,26.545,27.45,4911662
#2010-02-08#,27.59,27.6299,27.325,27.42,2187260
#2010-02-09#,27.6,27.6,26.72,27.135,1550500
#2010-02-10#,27.15,27.385,26.89,27.14,687636
#2010-02-11#,27.165,27.835,26.955,27.75,1822740
#2010-02-12#,27.57,28.045,27.525,27.99,1784262
#2010-02-15#,27.57,28.045,27.525,27.99,1784262
#2010-02-16#,28.06,28.06,27.5,27.725,1214788
#2010-02-17#,27.595,27.93,27.4653,27.895,1245230
#2010-02-18#,27.905,28.77,27.905,28.715,2060472
#2010-02-19#,28.65,28.845,28.5,28.735,1791234
#2010-02-22#,28.86,29.19,28.575,28.975,1537342
#2010-02-23#,28.89,28.95,28.43,28.47,956866
#2010-02-24#,28.47,28.77,28.29,28.76,834098
#2010-02-25#,28.525,28.8,28.3,28.77,835772
#2010-02-26#,28.755,28.79,28.44,28.54,1473656
#2010-03-01#,28.665,29.115,28.54,29.085,643042
#2010-03-02#,29.205,29.77,29.1725,29.45,1153462
#2010-03-03#,29.55,29.71,29.445,29.63,757938
#2010-03-04#,29.69,29.69,29.4,29.545,682146
#2010-03-05#,29.6,29.75,29.3,29.75,587902
#2010-03-08#,29.805,29.805,29.51,29.59,653386
#2010-03-09#,29.47,29.79,29.4,29.68,596650
#2010-03-10#,29.785,30.32,29.785,30.09,1865710
#2010-03-11#,30.18,30.33,30,30.32,1149392
#2010-03-12#,30.41,30.42,29.975,30.345,540178
#2010-03-15#,30.235,30.35,30.1,30.315,447732
#2010-03-16#,30.355,30.55,30.32,30.5,525982
#2010-03-17#,30.565,30.945,30.565,30.9,807502
#2010-03-18#,30.78,31.4,30.65,31.35,1213266
#2010-03-19#,31.175,31.32,30.955,31.09,1766554
#2010-03-22#,30.895,31.44,30.78,31.215,663032
#2010-03-23#,31.315,31.465,31.09,31.415,487680
#2010-03-24#,31.37,31.75,31.37,31.705,959138
