"Date","Open","High","Low","Close","Volume"
#2017-05-11#,108.04,108.475,106.55,107.79,1720100
#2017-05-12#,107.09,107.39,105.83,106.21,2247280
#2017-05-15#,106.66,107.64,106.21,107.44,1884543
#2017-05-16#,107.5,107.89,107.08,107.8,1557865
#2017-05-17#,105.77,106.33,103.09,103.42,2040076
#2017-05-18#,103.42,104.29,102.75,103.45,3823275
#2017-05-19#,103.35,104.61,103.08,103.99,2447656
#2017-05-22#,104.38,104.65,103.5,104.27,1222272
#2017-05-23#,104.26,105.49,104.12,105.15,1526230
#2017-05-24#,105.59,105.59,104.54,104.96,1420042
#2017-05-25#,105.31,106.2,105.06,106.02,1009234
#2017-05-26#,105.61,106.01,104.92,105.07,1668008
#2017-05-29#,105.61,106.01,104.92,105.07,1668008
#2017-05-30#,104.62,105,104.28,104.86,1069137
#2017-05-31#,105,105.02,103.395,104.85,1890834
#2017-06-01#,105.59,106.72,104.56,106.7,2031543
#2017-06-02#,105.63,106.95,105.35,106.42,1899358
#2017-06-05#,106.31,106.66,105.54,105.57,1329698
#2017-06-06#,104.5,104.68,102.92,103.2,2070351
#2017-06-07#,103.25,103.86,102.03,103.55,1766112
#2017-06-08#,103.69,106.36,103.59,105.41,2339504
#2017-06-09#,106.13,107.92,106.02,107.75,2032756
#2017-06-12#,107.8,108.905,107.13,108.36,2088681
#2017-06-13#,108.79,109.05,107.8,108.05,5447749
#2017-06-14#,107.11,108.305,105.76,108.1,2215899
#2017-06-15#,107.28,108.47,106.94,108.28,1699013
#2017-06-16#,108.59,108.67,107.625,107.71,2290338
#2017-06-19#,108.47,108.88,108.13,108.48,1170329
#2017-06-20#,108,108.34,107.3268,107.43,1035164
#2017-06-21#,107.62,107.63,104.59,104.89,2096034
#2017-06-22#,104.59,104.59,103.15,103.31,1925509
#2017-06-23#,103.61,103.94,102.96,103.36,2599220
#2017-06-26#,103.94,104.64,102.49,103.67,2149314
#2017-06-27#,104.01,106.04,103.7,104.6,1678031
#2017-06-28#,105.62,107.48,105.62,107.26,2271035
#2017-06-29#,109,109.75,107.29,108.38,2923584
#2017-06-30#,109.12,109.37,108.06,108.14,2152801
#2017-07-03#,109.04,111.38,109.04,110.18,1923259
#2017-07-04#,109.04,111.38,109.04,110.18,1923259
#2017-07-05#,110.42,110.57,109.51,110.22,2026144
#2017-07-06#,110.39,112.72,110,110.8,3178459
#2017-07-07#,111.26,111.67,110.26,111.36,1935848
#2017-07-10#,111.08,111.82,111.01,111.34,1205245
#2017-07-11#,111.46,111.6,110.34,110.65,1064199
#2017-07-12#,110.56,111.28,110.17,111.21,1382200
#2017-07-13#,111.28,112.1409,111.04,111.93,1193479
#2017-07-14#,110.55,111.83,109.91,111.41,1363908
#2017-07-17#,111.28,111.62,110.45,111.28,985432
#2017-07-18#,110.45,111.23,110.02,110.6,1437038
#2017-07-19#,110.36,111.71,110.21,111.3,1451696
#2017-07-20#,111.6,111.96,110.825,111.06,1339552
#2017-07-21#,110.9,111.83,110.6,111.74,1357843
#2017-07-24#,111.58,112.38,111.43,112.13,1059865
#2017-07-25#,113.66,114.1,113.2,113.52,1002566
#2017-07-26#,113.62,113.88,111.89,112.19,1019334
#2017-07-27#,112.4,113.31,112.04,112.74,1015352
#2017-07-28#,112.77,113.35,112.09,113.2,956086
#2017-07-31#,113.64,113.9,113.16,113.23,1248548
#2017-08-01#,113.95,114.41,113.03,114.4,1551588
#2017-08-02#,113.88,115.26,113.45,115.23,1984094
#2017-08-03#,111.5,113.43,109.9,110.27,4092780
#2017-08-04#,111.53,113.28,111.11,112.49,2088224
#2017-08-07#,112.18,112.515,111.57,111.69,1372979
#2017-08-08#,111.46,113.17,111.32,111.48,1337115
#2017-08-09#,110.49,110.69,109.28,109.94,2242410
#2017-08-10#,109,109.3,105.96,106.06,2665030
#2017-08-11#,105.78,106.74,105.13,105.69,2239384
#2017-08-14#,106.98,107.585,106.71,106.74,2285942
#2017-08-15#,107.79,108.56,106.19,106.25,1572864
#2017-08-16#,106.35,106.8812,104.85,105.21,2300053
#2017-08-17#,104.85,104.96,102.59,102.66,3119224
#2017-08-18#,101.77,102.5208,101.21,101.95,3523224
#2017-08-21#,102.25,102.27,100.54,101.08,1680247
#2017-08-22#,101.61,102.125,101.27,101.9,1613335
#2017-08-23#,101.12,102.08,101.01,101.1,1491073
#2017-08-24#,101.7,102.29,101.42,101.69,1724781
#2017-08-25#,102.13,103.05,101.89,102.82,2069580
#2017-08-28#,102.89,103.13,102.41,102.68,1375690
#2017-08-29#,101.3,101.68,100.9,101.32,1753994
#2017-08-30#,101.82,102.49,101.28,102.14,1744093
#2017-08-31#,102.52,102.61,101.97,102.08,2214351
#2017-09-01#,102.34,103.69,102.11,103.15,1199247
#2017-09-04#,102.34,103.69,102.11,103.15,1199247
#2017-09-05#,102.45,102.56,100.43,100.74,1939890
#2017-09-06#,101.05,101.83,100.5,100.58,2074156
#2017-09-07#,100.63,100.63,98.21,98.65,2746140
#2017-09-08#,98.35,99.67,97.88,98.91,1839760
#2017-09-11#,100.26,101.74,100.16,100.93,2545740
#2017-09-12#,101.48,102.59,101.33,102.18,2101807
#2017-09-13#,102.02,102.66,101.75,102.36,1618755
#2017-09-14#,102.41,102.8458,101.85,101.97,2061075
#2017-09-15#,101.91,102.83,101.55,102.78,2944469
#2017-09-18#,103.15,103.86,103,103.38,2170450
#2017-09-19#,103.35,104.64,103.086,104.31,1649190
#2017-09-20#,104.46,105.78,103.66,105.17,1984795
#2017-09-21#,105.02,105.9,104.78,104.78,2138810
#2017-09-22#,104.29,105.34,104.18,105,1789601
#2017-09-25#,104.86,105.84,104.51,105.36,1865938
#2017-09-26#,105.29,106.06,104.97,105.94,1744510
#2017-09-27#,107.32,107.5899,106.63,106.78,1972178
#2017-09-28#,106.81,106.98,105.46,106,1186185
#2017-09-29#,106,106.62,105.72,106.32,1227301
#2017-10-02#,106.91,107.48,106.25,107.28,1303913
#2017-10-03#,107.27,107.895,106.76,107.84,1767137
#2017-10-04#,107.87,108.3,107.45,107.85,1116950
#2017-10-05#,107.99,109.74,107.66,109.26,1427154
#2017-10-06#,109.68,110.68,108.871,109.65,1708887
#2017-10-09#,109.85,110.07,108.88,109.06,867749
#2017-10-10#,109.21,110.16,109.08,110,1565198
#2017-10-11#,109.66,110.3,109.37,110.01,1484329
#2017-10-12#,110.15,110.15,109.14,109.35,1149072
#2017-10-13#,109.38,109.795,108.82,109.11,1336950
#2017-10-16#,109.42,110.07,109.26,109.37,1543239
#2017-10-17#,109.7,109.95,108.34,108.79,1605698
#2017-10-18#,109.34,109.34,108.41,108.89,1518894
#2017-10-19#,108.28,109.6566,108.131,109.6,1281261
#2017-10-20#,110.65,111.32,110.13,110.78,1519219
#2017-10-23#,110.78,111.49,110.59,110.79,1048617
#2017-10-24#,111.5,112.51,111.25,112.17,1616383
#2017-10-25#,112.17,112.43,110.73,111.25,2008778
#2017-10-26#,111.59,112.64,111.57,111.89,1205279
#2017-10-27#,111.45,112.16,111.087,112.02,1091432
#2017-10-30#,111.49,112.06,111.23,111.6,1818842
#2017-10-31#,111.63,111.95,110.42,110.46,1564566
#2017-11-01#,110.98,112.13,110.37,110.58,1793470
#2017-11-02#,111.65,113.34,110.41,112.94,2352439
#2017-11-03#,112.71,112.98,111.55,111.84,1985137
#2017-11-06#,111.68,112.745,111.4901,112.39,1416915
#2017-11-07#,112.72,113.97,111.41,111.94,1629039
#2017-11-08#,111.93,113.02,111.32,112.44,1966410
#2017-11-09#,111.9,113.11,111.2701,111.95,1722310
#2017-11-10#,112.02,112.28,110.65,110.72,1805408
#2017-11-13#,109.9,111.27,109.48,110.44,1614487
#2017-11-14#,109.66,109.945,109.26,109.56,1794570
#2017-11-15#,108.29,112.63,108.04,110.22,2026746
#2017-11-16#,110.84,111.55,110.31,110.37,1857577
#2017-11-17#,109.81,110.955,109.61,110.25,1232693
#2017-11-20#,110.42,110.6,109.92,110.02,1662250
#2017-11-21#,110.46,110.58,109.935,110.06,1271648
#2017-11-22#,110.23,110.64,109.48,109.7,1252646
#2017-11-23#,110.23,110.64,109.48,109.7,1252646
#2017-11-24#,109.49,109.53,108.86,108.92,575673
#2017-11-27#,109.06,109.87,109.06,109.51,1512857
#2017-11-28#,109.93,112.995,109.7,112.83,2625970
#2017-11-29#,113.77,117.0776,113.27,115.87,2743151
#2017-11-30#,116.89,117.59,115.28,115.84,3784283
#2017-12-01#,116,116.2,112.41,115.4,1664527
#2017-12-04#,117.14,117.99,116.73,116.76,1789297
#2017-12-05#,117.16,117.38,115.34,115.51,1302141
#2017-12-06#,115.35,116.23,115.21,115.38,1247844
#2017-12-07#,114.92,116.68,114.76,116.33,1035868
#2017-12-08#,116.86,117.2,116.19,117.15,1184239
#2017-12-11#,117.02,117.25,115.75,116.26,1460071
#2017-12-12#,116.68,117,115.57,116.39,1841905
#2017-12-13#,116.08,116.37,113.93,113.95,1759715
#2017-12-14#,114.32,115.74,113.93,114.47,1981848
#2017-12-15#,115.41,116.75,115.19,115.73,2849764
#2017-12-18#,116.89,116.9885,115.26,116.12,2007509
#2017-12-19#,117,117.46,116.6,116.86,1578182
#2017-12-20#,117.61,118.17,116.98,117.11,2140255
#2017-12-21#,117.72,118.09,116.68,116.74,1859126
#2017-12-22#,117.4,117.46,115.85,116.16,1011243
#2017-12-25#,117.4,117.46,115.85,116.16,1011243
#2017-12-26#,116.34,116.71,115.46,115.65,670609
#2017-12-27#,115.69,115.7,115.01,115.33,1341047
#2017-12-28#,115.59,115.59,114.88,115.2,979946
#2017-12-29#,115.62,115.76,114.94,114.98,1147261
#2018-01-01#,115.62,115.76,114.94,114.98,1147261
