"Date","Open","High","Low","Close","Volume"
#2009-01-01#,74.95,79.91,74.95,79.5,2410468
#2009-01-02#,79.5,79.88,75.53,75.58,1928001
#2009-01-05#,74.65,75.77,71.7,72.09,3061523
#2009-01-06#,73.06,74.46,71.02,74.08,3653610
#2009-01-07#,72.26,72.79,69,69.26,2763731
#2009-01-08#,69.03,69.03,66.6,67.65,2758990
#2009-01-09#,68.29,68.98,65.15,65.61,2642941
#2009-01-12#,66.45,66.72,63.2,63.74,2890405
#2009-01-13#,62.29,65.74,61.16,64.82,2925375
#2009-01-14#,62.9,64.09,62.08,62.93,2871520
#2009-01-15#,62.78,66.05,60.35,64.59,3121941
#2009-01-16#,66.32,67.62,63.26,67.34,2935054
#2009-01-19#,66.32,67.62,63.26,67.34,2935054
#2009-01-20#,65.05,67.65,59.73,59.92,4319246
#2009-01-21#,62.65,66.76,59.44,66.59,4277562
#2009-01-22#,64.42,65.98,61.44,61.79,4120784
#2009-01-23#,60.06,64.25,60,63.87,3067151
#2009-01-26#,64.56,66.24,62.61,64.11,3165055
#2009-01-27#,65.17,65.57,63.23,65.38,2366494
#2009-01-28#,67.25,70.38,65.51,69.99,4574121
#2009-01-29#,68.99,68.99,63.35,63.67,5094203
#2009-01-30#,64.74,65.75,60.62,61.87,4851197
#2009-02-02#,60.6,63.92,59.5,63.58,3641865
#2009-02-03#,63.3,63.54,60.7,62.45,3446219
#2009-02-04#,63.01,64.84,61.95,62.59,3075744
#2009-02-05#,61.6,63.98,59.35,61.73,3958907
#2009-02-06#,62.65,65.5,61.69,65.01,3909970
#2009-02-09#,64.91,65.94,63.51,65.75,1928368
#2009-02-10#,64.74,65.75,59.99,60.39,3541521
#2009-02-11#,60.6,62.22,59.15,62.03,2917363
#2009-02-12#,60.85,62.54,58,61.92,3952831
#2009-02-13#,61.46,61.7,57.38,57.52,3408966
#2009-02-16#,61.46,61.7,57.38,57.52,3408966
#2009-02-17#,55.03,55.96,53.56,54,4841244
#2009-02-18#,55.08,55.88,52.97,55.14,2838190
#2009-02-19#,55.81,56.18,51.01,51.56,4663250
#2009-02-20#,50.11,55.19,49.55,55.07,6098310
#2009-02-23#,54.79,55.83,51,51.37,4017208
#2009-02-24#,51.97,56.3,51.48,55.83,5107287
#2009-02-25#,55.2,56.63,52.46,54.03,4270210
#2009-02-26#,55.22,56.19,52.27,52.43,4096476
#2009-02-27#,51.45,57.51,51.06,55.48,6486386
#2009-03-02#,53.75,54.34,49.778,50.3,7092093
#2009-03-03#,51.52,51.6,48.8,50.06,5875905
#2009-03-04#,51.55,51.55,49.1,49.95,5144580
#2009-03-05#,47.16,49.8,47.16,48.05,5699303
#2009-03-06#,48.23,49.56,45.35,48.83,6527637
#2009-03-09#,47.44,50.47,47.17,50.3,4683051
#2009-03-10#,51.84,57.42,50.33,57.42,8632095
#2009-03-11#,57.94,57.94,53.88,54.91,6028838
#2009-03-12#,54.48,58.65,54.32,58.07,6439753
#2009-03-13#,57.67,57.87,54.37,56.77,4310161
#2009-03-16#,57.41,57.89,52.6,52.82,4867790
#2009-03-17#,52.51,57.16,52.2,57.1,5208791
#2009-03-18#,56.31,59.23,54.66,58.67,6041307
#2009-03-19#,59.55,59.55,55.15,55.69,4693050
#2009-03-20#,55.69,55.69,51.54,51.54,5499545
#2009-03-23#,54.48,59.27,53.33,59.19,6808944
#2009-03-24#,57.94,59.17,53.53,54.42,5457028
#2009-03-25#,54.62,55.79,51,55.04,5425853
#2009-03-26#,56.61,57.4,52.89,57.4,4969237
#2009-03-27#,56.07,56.16,53.97,54.14,2853643
#2009-03-30#,52.47,53.48,51.38,51.74,3929581
#2009-03-31#,52.06,55.37,52.06,55.25,5064856
#2009-04-01#,53.79,55.43,53.32,54.75,3973405
#2009-04-02#,55.65,59.26,54.86,58.38,5115720
#2009-04-03#,57.77,62.6,56.39,62.11,5392166
#2009-04-06#,60.89,63.32,60.13,62.27,4825773
#2009-04-07#,60.72,60.92,56.77,56.92,4855182
#2009-04-08#,57.55,59.47,57.02,58.79,4020380
#2009-04-09#,60.97,65.25,60.08,65.03,6240697
#2009-04-10#,60.97,65.25,60.08,65.03,6240697
#2009-04-13#,63.89,65.62,62.24,64.45,4881710
#2009-04-14#,62.89,63.48,58.52,58.95,5677837
#2009-04-15#,57.68,64.27,57.29,63.82,5431942
#2009-04-16#,64.4,67.8,61.4,64.59,4994343
#2009-04-17#,63.99,66.17,62.79,64.83,5153711
#2009-04-20#,63.55,64.39,59.01,59.29,4889522
#2009-04-21#,58.69,65.27,57.65,65.27,6555542
#2009-04-22#,63.44,64.47,60.49,60.49,7175229
#2009-04-23#,60.72,64.41,60.4,63.91,3897751
#2009-04-24#,64.16,68.35,63.32,67.06,5303064
#2009-04-27#,65.71,66.54,62.86,64.51,4622222
#2009-04-28#,63.85,64.65,62.38,63.1,3053326
#2009-04-29#,64.52,66.61,63.62,66.4,3678440
#2009-04-30#,66.62,67.81,65.65,66.86,3948987
#2009-05-01#,66.61,67.07,63.94,64.66,3024502
#2009-05-04#,66.31,68.86,64.03,68.75,4628962
#2009-05-05#,67.43,67.43,62.65,64,4606680
#2009-05-06#,63.81,65.53,61.73,65.17,4425936
#2009-05-07#,67.02,67.03,61.42,62.8,3842931
#2009-05-08#,63.78,66.46,60.88,66.32,5218456
#2009-05-11#,64.89,65.2,62.71,62.93,3675936
#2009-05-12#,63.48,65.5,61.95,64.3,3628569
#2009-05-13#,62.98,63.76,61.44,61.61,3667719
#2009-05-14#,61.79,64.05,61.09,63.43,3444604
#2009-05-15#,62.41,63.34,60.46,61.4,3432815
#2009-05-18#,62.35,66.7,61.78,66.02,4337770
#2009-05-19#,65.34,66.49,64.08,64.69,2695838
#2009-05-20#,65.56,67.24,64.05,64.36,2618458
#2009-05-21#,63.05,65.27,62.54,64.36,2444367
#2009-05-22#,64.55,65.72,63.95,64.05,2280020
#2009-05-25#,64.55,65.72,63.95,64.05,2280020
#2009-05-26#,64.3,67.73,63.59,67.35,3783252
#2009-05-27#,67.49,67.65,64.55,64.82,4284436
#2009-05-28#,65.56,66.01,63.26,65.55,3141112
#2009-05-29#,65.74,66.65,64.27,66.61,2887476
#2009-06-01#,66.88,68.97,65.71,67.07,4086661
#2009-06-02#,66.42,66.99,65.12,65.5,2994643
#2009-06-03#,65,66.39,64.86,66.15,2618042
#2009-06-04#,67.4,68.46,65.84,68.12,3212311
