"Date","Open","High","Low","Close","Volume"
#2010-01-01#,59.61,59.63,58.73,58.73,811788
#2010-01-04#,59.22,59.655,58.94,59.34,822857
#2010-01-05#,59.18,59.49,57.39,58.11,2352622
#2010-01-06#,57.82,57.99,57.2,57.34,1685531
#2010-01-07#,57.08,57.14,56.18,56.79,1939503
#2010-01-08#,56.7,57.62,56.6,57.55,1332420
#2010-01-11#,57.5,57.91,57.22,57.72,1227260
#2010-01-12#,57.47,57.64,56.79,56.99,1425661
#2010-01-13#,57,57.465,56.34,57.32,1513222
#2010-01-14#,57.02,57.88,57.02,57.62,818081
#2010-01-15#,57.51,58.11,57.23,57.72,1592338
#2010-01-18#,57.51,58.11,57.23,57.72,1592338
#2010-01-19#,57.7,58.4674,57.64,58.13,1061127
#2010-01-20#,57.53,57.85,56.89,57.78,1157698
#2010-01-21#,57.69,58.37,56.98,57.63,1659137
#2010-01-22#,57.71,58.15,57.24,57.35,1558067
#2010-01-25#,57.49,57.845,56.79,57.46,1167221
#2010-01-26#,57.19,57.59,56.94,57.1,1347094
#2010-01-27#,56.83,57.6,56.62,57.46,881204
#2010-01-28#,57.64,57.64,56.2,56.54,1173135
#2010-01-29#,56.68,57.28,56.6267,56.63,1527762
#2010-02-01#,56.84,57.65,56.6875,57.4,985156
#2010-02-02#,57.24,57.54,56.68,57.42,1478244
#2010-02-03#,52.84,54.375,51.5,53.54,8727251
#2010-02-04#,53.31,53.95,52.67,53.25,3974254
#2010-02-05#,53.16,54.08,51.16,52.44,2832916
#2010-02-08#,52.65,52.97,52.01,52.08,2046242
#2010-02-09#,52.64,53.68,52.11,52.67,2715155
#2010-02-10#,52,52.51,51.31,51.84,1904200
#2010-02-11#,51.63,53.3,51.4601,53.1,2533277
#2010-02-12#,52.47,52.7,51.68,52.12,2414798
#2010-02-15#,52.47,52.7,51.68,52.12,2414798
#2010-02-16#,52.39,53.29,52.39,52.75,1510960
#2010-02-17#,53.05,53.43,52.57,53,1345293
#2010-02-18#,53.05,53.08,52.77,52.9,1031927
#2010-02-19#,52.78,53.97,52.78,53.5,1768057
#2010-02-22#,53.77,54.31,53.31,54.16,1625491
#2010-02-23#,54.24,54.5,53.14,53.56,2653711
#2010-02-24#,54,54.24,53.31,53.68,1822468
#2010-02-25#,53,53.54,52.5,53.49,1614202
#2010-02-26#,53.49,53.56,52.7,53.33,1701304
#2010-03-01#,53.29,53.99,53.02,53.56,2163567
#2010-03-02#,53.5,53.74,53.17,53.21,1598065
#2010-03-03#,52.82,53.08,52.38,52.47,2205405
#2010-03-04#,52.7,52.91,52.25,52.67,1609969
#2010-03-05#,52.68,53.38,52.67,53.25,1621433
#2010-03-08#,54.05,54.1,53.3,53.32,1488422
#2010-03-09#,53.25,53.56,53.02,53.39,1060157
#2010-03-10#,53.52,54.07,53.09,53.67,1695586
#2010-03-11#,53.36,53.65,53.04,53.46,1975460
#2010-03-12#,53.57,54.07,53.115,53.87,1710750
#2010-03-15#,53.97,54.23,53.45,53.88,1651000
#2010-03-16#,54.12,55.68,53.99,55.28,3479542
#2010-03-17#,55.35,56.21,55.16,55.68,1992284
#2010-03-18#,55.46,56.81,55.28,56.58,2114533
#2010-03-19#,57.24,57.68,56.38,56.6,3059491
