"Date","Open","High","Low","Close","Volume"
#2017-01-02#,224.73,224.83,222.73,223.53,108998328
#2017-01-03#,225.04,225.83,223.8837,225.24,91366522
#2017-01-04#,225.62,226.75,225.61,226.58,78744433
#2017-01-05#,226.27,226.58,225.48,226.4,78379012
#2017-01-06#,226.53,227.75,225.9,227.21,71559922
#2017-01-09#,226.91,227.0701,226.4163,226.46,46939676
#2017-01-10#,226.48,227.45,226.01,226.46,63771939
#2017-01-11#,226.36,227.1,225.59,227.1,74650016
#2017-01-12#,226.5,226.75,224.955,226.53,72113181
#2017-01-13#,226.73,227.4,226.69,227.05,62717865
#2017-01-16#,226.73,227.4,226.69,227.05,62717865
#2017-01-17#,226.31,226.78,225.8,226.25,61240814
#2017-01-18#,226.535,226.8,225.9,226.75,54793302
#2017-01-19#,226.84,227,225.41,225.91,66608787
#2017-01-20#,226.7,227.31,225.9719,226.74,129168623
#2017-01-23#,226.35,226.805,225.27,226.15,75061645
#2017-01-24#,226.4,228.08,226.27,227.6,95555295
#2017-01-25#,228.7,229.57,228.51,229.57,84437712
#2017-01-26#,229.4,229.71,229.01,229.33,59970719
#2017-01-27#,229.42,229.59,228.76,228.97,59711118
#2017-01-30#,228.17,228.2,226.41,227.55,79737252
#2017-01-31#,226.98,227.6,226.32,227.53,75880805
#2017-02-01#,228.255,228.59,226.94,227.62,79117651
#2017-02-02#,227.2,228.1,226.82,227.77,69657560
#2017-02-03#,228.82,229.55,228.46,229.34,80563168
#2017-02-06#,228.87,229.326,228.54,228.93,57790108
#2017-02-07#,229.38,229.6556,228.72,228.94,57931151
#2017-02-08#,228.61,229.39,228.31,229.24,51566218
#2017-02-09#,229.56,230.95,229.52,230.6,65955245
#2017-02-10#,231,231.77,230.6216,231.51,66015892
#2017-02-13#,232.08,233.07,232.05,232.77,55182050
#2017-02-14#,232.56,233.71,232.16,233.7,71108983
#2017-02-15#,233.45,235.14,233.39,234.92,86785826
#2017-02-16#,234.96,235.155,233.85,234.72,84722437
#2017-02-17#,233.95,235.09,233.93,235.09,77204104
#2017-02-20#,233.95,235.09,233.93,235.09,77204104
#2017-02-21#,235.52,236.69,235.51,236.49,88946051
#2017-02-22#,236.02,236.54,235.83,236.28,62115185
#2017-02-23#,236.88,236.9,235.56,236.44,74615902
#2017-02-24#,235.46,236.7932,235.41,236.74,82381612
#2017-02-27#,236.64,237.31,236.35,237.11,56515440
#2017-02-28#,236.67,236.95,236.015,236.47,96961938
