"Date","Open","High","Low","Close","Volume"
#2016-01-01#,46.52,46.65,46.205,46.22,11490922
#2016-01-04#,45.67,45.905,45.36,45.87,17821603
#2016-01-05#,46.2,46.55,45.63,46.5,15632848
#2016-01-06#,45.49,45.95,45.28,45.52,19082706
#2016-01-07#,45.12,45.67,45,45.27,19277584
#2016-01-08#,45.66,45.74,44.7,44.83,16594793
#2016-01-11#,45.11,45.23,44.6025,45.09,14226177
#2016-01-12#,45.24,45.25,44.53,44.93,15123033
#2016-01-13#,45.11,45.27,44.08,44.15,19291024
#2016-01-14#,44.22,45.19,44.05,44.87,18434980
#2016-01-15#,44.04,44.55,43.86,44.43,27993928
#2016-01-18#,44.04,44.55,43.86,44.43,27993928
#2016-01-19#,44.74,45.01,44.53,44.87,20364282
#2016-01-20#,44.38,44.77,43.79,44.42,28290160
#2016-01-21#,45,46.33,44.43,45.87,31354119
#2016-01-22#,46.41,47.12,46,47.04,23075653
#2016-01-25#,47.08,47.78,46.54,47.03,24298809
#2016-01-26#,47.13,48.265,47.05,48.25,22620922
#2016-01-27#,48.29,49.49,48.25,49.03,33795701
#2016-01-28#,49.06,49.46,48.47,49.01,20085169
#2016-01-29#,49.39,49.99,49.22,49.97,29082619
#2016-02-01#,49.94,51.02,49.69,50.76,28536584
#2016-02-02#,50.61,50.63,49.65,49.91,21606950
#2016-02-03#,50.25,50.62,49.42,50.62,20309813
#2016-02-04#,50.37,50.6,49.67,50.43,19594315
#2016-02-05#,50.32,51.2,50.31,50.97,25790261
#2016-02-08#,50.6,50.8,49.77,50.74,27058144
#2016-02-09#,50.06,50.61,49.35,50.15,22633921
#2016-02-10#,50.19,50.3236,49.62,49.98,18633086
#2016-02-11#,49.6,50.1,49.265,49.39,30520999
#2016-02-12#,49.54,50.19,49.35,50.11,20990916
#2016-02-15#,49.54,50.19,49.35,50.11,20990916
#2016-02-16#,50.24,50.3,49.58,50.24,16359997
#2016-02-17#,50.41,50.6,50.08,50.32,15228869
#2016-02-18#,50.12,51.1,49.96,50.94,19678501
#2016-02-19#,50.74,51.07,50.31,50.86,15606999
#2016-02-22#,51.02,51.15,50.77,51.07,12455998
#2016-02-23#,50.97,50.99,50.36,50.63,11594559
#2016-02-24#,50.27,50.87,50.17,50.82,11244875
#2016-02-25#,50.9,51.3,50.78,51.11,12358681
#2016-02-26#,51.15,51.34,50.92,51.02,13011545
#2016-02-29#,50.86,51.38,50.685,50.73,15986299
#2016-03-01#,50.99,51.47,50.98,51.46,12003266
#2016-03-02#,51.37,52.2,51.19,52.12,14791104
#2016-03-03#,52.14,52.22,51.61,51.89,15404494
#2016-03-04#,51.75,52,51.5,51.81,13957618
#2016-03-07#,51.53,52.35,51.4,52.21,14907464
#2016-03-08#,52.05,52.75,51.93,52.46,14306530
#2016-03-09#,52.55,52.96,52,52.34,15466618
#2016-03-10#,52.55,52.66,51.99,52.32,15111117
#2016-03-11#,52.65,52.78,52.24,52.53,15223866
#2016-03-14#,52.55,52.75,52.23,52.54,11729370
#2016-03-15#,52.24,52.7401,52.24,52.67,11295734
#2016-03-16#,52.67,53.38,52.4,53.21,11866427
#2016-03-17#,53.28,53.805,53.19,53.63,16401497
#2016-03-18#,53.81,53.85,53.24,53.24,23209401
#2016-03-21#,53.19,53.59,53.02,53.44,10679027
#2016-03-22#,53.42,53.46,53.1,53.21,10852041
#2016-03-23#,53.13,53.2299,52.82,52.91,9716116
#2016-03-24#,52.74,53.62,52.66,53.56,15096433
#2016-03-25#,52.74,53.62,52.66,53.56,15096433
#2016-03-28#,53.56,53.73,53.2,53.4,8527060
#2016-03-29#,53.51,54.08,53.3,54.05,10770474
#2016-03-30#,54.17,54.37,53.7,54.04,14528283
#2016-03-31#,54.01,54.26,53.92,54.08,12428588
#2016-04-01#,53.32,54.09,53.1,54.01,13807115
#2016-04-04#,54.03,54.42,53.8,54.42,11402665
#2016-04-05#,54.38,54.49,53.95,54.09,12979111
#2016-04-06#,53.616,53.62,53.13,53.52,12993580
#2016-04-07#,52.52,52.7,51.77,52,23076267
#2016-04-08#,52.2,52.58,52.05,52.18,12197932
#2016-04-11#,52.36,52.4,51.5,51.61,14975892
#2016-04-12#,51.66,52.19,51.605,51.95,12334962
#2016-04-13#,52.07,52.09,50.84,51.29,19752891
#2016-04-14#,51.28,51.55,51.24,51.36,10083300
#2016-04-15#,51.28,51.49,51.1,51.35,11861953
#2016-04-18#,51.37,51.895,51.18,51.73,14322896
#2016-04-19#,51.8,52.17,51.79,52.08,11393433
#2016-04-20#,52.15,52.22,51.66,51.75,15412538
#2016-04-21#,50.56,50.68,49.47,50.03,32172208
#2016-04-22#,50.15,50.63,50.05,50.55,17823305
#2016-04-25#,50.53,50.95,50.275,50.76,12439525
#2016-04-26#,50.98,51,50.28,50.44,10064334
#2016-04-27#,50.46,51.8099,50.46,51.69,17012431
#2016-04-28#,51.3,51.56,50.92,51.02,13055587
#2016-04-29#,50.95,51.05,50.64,50.94,13684782
#2016-05-02#,51.22,51.45,51.04,51.32,11103773
#2016-05-03#,51.11,51.32,50.36,50.68,12900743
#2016-05-04#,50.48,50.985,50.2,50.84,9033797
#2016-05-05#,50.99,51.04,50.6327,50.84,10788846
#2016-05-06#,50.91,51.14,50.6137,51.12,9782309
#2016-05-09#,51.22,51.43,51.01,51.08,8719792
#2016-05-10#,51.38,51.55,51.27,51.54,7903473
#2016-05-11#,51.48,51.695,51.08,51.15,8508891
#2016-05-12#,51.22,51.6,51.085,51.47,9917058
#2016-05-13#,51.41,51.49,50.85,50.94,9561258
#2016-05-16#,50.77,51.33,50.64,51.23,7903413
#2016-05-17#,51.2,51.35,50.67,50.9,10466813
#2016-05-18#,50.92,51.03,50.06,50.39,10481764
#2016-05-19#,50,50.02,49.12,49.63,16022403
#2016-05-20#,49.8,49.8,49.47,49.66,15345780
#2016-05-23#,49.66,49.78,49.045,49.14,13263104
#2016-05-24#,49.36,49.62,49.2,49.58,11827342
#2016-05-25#,49.63,50.0078,49.4,49.85,9497542
#2016-05-26#,49.85,50.28,49.79,50.16,11043957
#2016-05-27#,50.39,50.86,50.18,50.62,10649467
#2016-05-30#,50.39,50.86,50.18,50.62,10649467
#2016-05-31#,50.88,51.16,50.59,50.9,15834450
#2016-06-01#,50.87,50.98,50.22,50.43,10670751
#2016-06-02#,50.47,50.77,50.12,50.77,8721138
#2016-06-03#,50.77,51,50.61,50.92,9500653
#2016-06-06#,51.06,51.085,50.65,50.71,10075570
#2016-06-07#,50.6,51.985,50.6,51.75,15210890
#2016-06-08#,51.51,51.7,51.24,51.52,10546166
#2016-06-09#,51.64,52,51.37,51.95,9790675
#2016-06-10#,51.86,52.83,51.72,52.67,15629030
#2016-06-13#,52.5,52.83,52.233,52.57,12472762
#2016-06-14#,52.37,53.1025,52.32,52.99,10735932
#2016-06-15#,52.97,53.2136,52.76,52.84,10288979
#2016-06-16#,52.84,53.48,52.57,53.46,11914487
#2016-06-17#,53.43,53.78,53.01,53.78,18836250
#2016-06-20#,54,54.19,53.43,53.76,14344319
#2016-06-21#,53.89,54.49,53.44,54.1,11893002
#2016-06-22#,54.23,54.4,53.99,54.03,12959182
#2016-06-23#,54.4,54.68,54.2,54.67,12329937
#2016-06-24#,54.47,55.22,54.125,54.43,43842717
#2016-06-27#,54.06,54.87,53.88,54.74,22581038
#2016-06-28#,54.76,54.99,54.34,54.82,17780600
#2016-06-29#,54.92,55.3,54.83,55.06,18184056
#2016-06-30#,55.27,55.92,54.79,55.84,22143337
#2016-07-01#,55.85,56.29,55.59,56.23,16092266
#2016-07-04#,55.85,56.29,55.59,56.23,16092266
#2016-07-05#,56.32,56.95,56.32,56.53,20703188
#2016-07-06#,56.21,56.33,55.45,56.26,15761470
#2016-07-07#,56.1,56.14,55.1,55.38,13573787
#2016-07-08#,55.39,56.03,55.01,55.9,15946159
#2016-07-11#,55.75,56,55.405,55.93,12434656
#2016-07-12#,55.75,55.96,55.37,55.47,14897591
#2016-07-13#,55.58,56.04,55.37,56,11405623
#2016-07-14#,55.62,56.1,55.62,55.84,11098513
#2016-07-15#,56.05,56.08,55.6,55.84,13949691
#2016-07-18#,55.87,56,55.76,55.93,9623280
#2016-07-19#,55.96,56,55.5503,55.7,10270117
#2016-07-20#,55.58,55.665,55.31,55.62,12008672
