"Date","Open","High","Low","Close","Volume"
#2004-11-10#,18.0833,18.2267,18.01,18.15,1566600
#2004-11-11#,18.0833,18.19,18.0367,18.16,1172100
#2004-11-12#,18.16,18.38,18.16,18.36,1610100
#2004-11-15#,18.4967,18.6,18.4667,18.5567,2206200
#2004-11-16#,18.2633,18.2667,18.1433,18.1833,1273200
#2004-11-17#,18.35,18.53,18.33,18.44,1118100
#2004-11-18#,18.3833,18.4033,18.3267,18.3767,649500
#2004-11-19#,18.3033,18.3167,18.1067,18.1367,1370700
#2004-11-22#,18.1767,18.2933,18.1667,18.29,687900
#2004-11-23#,18.4667,18.5533,18.4433,18.5167,1278000
#2004-11-24#,18.5733,18.7333,18.56,18.72,1508700
#2004-11-25#,18.5733,18.7333,18.56,18.72,1508700
#2004-11-26#,18.7,18.7,18.5833,18.6267,832500
#2004-11-29#,18.7433,18.7433,18.59,18.6167,1497600
#2004-11-30#,18.6833,18.6833,18.5833,18.6,1043100
#2004-12-01#,18.66,18.84,18.66,18.82,1261800
#2004-12-02#,18.9533,18.9533,18.8333,18.8333,1429800
#2004-12-03#,18.8167,18.8167,18.7167,18.8,1558800
#2004-12-06#,18.8267,18.8333,18.7667,18.7967,1088100
#2004-12-07#,18.6933,18.7433,18.4567,18.5467,1111500
#2004-12-08#,18.3333,18.3333,18.1767,18.33,668700
#2004-12-09#,18.3167,18.3333,18.0333,18.31,1083000
#2004-12-10#,18.0667,18.0667,17.9333,18.01,640200
#2004-12-13#,18,18.04,17.9167,18.0133,597300
#2004-12-14#,18.1933,18.1933,18.0267,18.1267,697800
#2004-12-15#,18.4367,18.4433,18.2967,18.4433,947400
#2004-12-16#,18.3667,18.37,18.2487,18.3133,696900
#2004-12-17#,18.3333,18.34,18.22,18.27,502800
#2004-12-20#,18.4267,18.64,18.55,18.59,3759000
#2004-12-21#,18.5933,18.6,18.5233,18.6,843000
#2004-12-22#,18.5833,18.5833,18.4667,18.4833,712200
#2004-12-23#,18.55,18.5933,18.5333,18.5867,1150200
#2004-12-24#,18.55,18.5933,18.5333,18.5867,1150200
#2004-12-27#,18.5833,18.6,18.4833,18.49,647400
#2004-12-28#,18.5,18.5667,18.45,18.5533,550200
#2004-12-29#,18.5467,18.5567,18.5,18.5167,439800
#2004-12-30#,18.3667,18.3733,18.3,18.3267,704400
#2004-12-31#,18.4667,18.4933,18.4167,18.49,532500
