"Date","Open","High","Low","Close","Volume"
#2013-01-01#,52.24,53.37,52.11,53.33,3095958
#2013-01-02#,54.94,56.03,54.94,56.02,3329387
#2013-01-03#,55.7,56.01,55.28,55.65,3028567
#2013-01-04#,55.66,56.56,55.66,56.52,3866734
#2013-01-07#,56.15,56.32,55.48,55.79,1944237
#2013-01-08#,55.47,56.27,55.4,55.66,2426727
#2013-01-09#,55.86,56.36,55.66,56.31,2079314
#2013-01-10#,56.86,58.04,53.4,57.9,3889523
#2013-01-11#,57.98,58,57.065,57.6,2071316
#2013-01-14#,57.47,57.52,56.73,57.2,1251647
#2013-01-15#,56.72,57.32,56.57,57.14,2232952
#2013-01-16#,56.66,56.91,56.04,56.81,3461232
#2013-01-17#,57.22,58.01,56.8952,57.74,2535109
#2013-01-18#,57.93,58.15,57.46,57.71,2226239
#2013-01-21#,57.93,58.15,57.46,57.71,2226239
#2013-01-22#,57.68,58.58,57.38,58.58,2388215
#2013-01-23#,58.38,58.44,57.93,58.25,1951774
#2013-01-24#,58.32,58.83,58.11,58.29,1591172
#2013-01-25#,58.64,59.36,58.49,59.09,2000804
#2013-01-28#,58.98,59.63,58.365,58.87,2971628
#2013-01-29#,58.64,59,58.49,58.75,2108930
#2013-01-30#,58.75,58.83,57.87,58.01,2312163
#2013-01-31#,57.91,58.24,57.65,57.88,2979813
#2013-02-01#,58.45,59.24,58.02,58.84,2813718
#2013-02-04#,58.1,58.22,57.6,57.66,2631233
#2013-02-05#,57.99,58.8,57.99,58.5,2259970
#2013-02-06#,58.02,58.87,57.72,58.51,2974221
#2013-02-07#,57.91,58.06,55.81,56.9,5972121
#2013-02-08#,57.18,57.61,56.83,57.6,2599086
#2013-02-11#,57.54,57.71,57.14,57.21,2119063
#2013-02-12#,57.12,57.21,56.81,57,3558509
#2013-02-13#,57.1,57.66,57.07,57.33,2313126
#2013-02-14#,56.91,57.22,56.56,57.06,2733045
#2013-02-15#,57.21,57.66,57.086,57.28,3521351
#2013-02-18#,57.21,57.66,57.086,57.28,3521351
#2013-02-19#,57.4,58.17,57.3,58.15,2911844
#2013-02-20#,58.17,58.17,56,56.05,4068594
#2013-02-21#,55.97,56.01,54.76,55.11,3636409
#2013-02-22#,55.21,56.09,55.12,56.08,3147614
#2013-02-25#,56.53,56.88,54.64,54.7,4875226
#2013-02-26#,55.08,55.29,53.7,54.64,4245091
#2013-02-27#,54.61,56,54,55.86,3102906
#2013-02-28#,55.72,56.21,55.26,55.57,3278262
#2013-03-01#,55.1,55.44,54.29,54.98,3151186
#2013-03-04#,54.64,55.449,54.55,55.43,1970336
#2013-03-05#,55.86,57.59,55.68,56.76,3935263
#2013-03-06#,57.2,57.57,56.68,56.95,2888811
#2013-03-07#,57.03,58.45,57,58.23,4426132
#2013-03-08#,58.62,59.71,58.52,59.6,5027908
#2013-03-11#,59.4,60.49,59.3,60.41,4005684
#2013-03-12#,60.19,60.334,59.56,59.87,4445342
#2013-03-13#,60.09,60.22,59.5,59.69,2338634
#2013-03-14#,60.05,60.18,59.6,60.18,2502608
#2013-03-15#,59.89,60.6,59.76,60.41,3346970
#2013-03-18#,59.38,59.99,59,59.4,2648645
#2013-03-19#,59.74,60.05,58.93,59.42,5164330
#2013-03-20#,59.98,60.1,59.415,59.6,2593949
#2013-03-21#,59.04,59.13,58.26,58.33,2785197
#2013-03-22#,58.59,58.9,58.21,58.75,2352507
#2013-03-25#,59.02,59.32,57.96,58.64,2452027
#2013-03-26#,59.06,59.61,58.6,59.59,2423205
#2013-03-27#,58.94,59.2,58.58,59.11,2026134
#2013-03-28#,59.01,59.3,58.7199,58.99,2247184
#2013-03-29#,59.01,59.3,58.7199,58.99,2247184
#2013-04-01#,58.8,59.19,58.01,58.28,2004220
#2013-04-02#,58.74,59.515,58.41,59.04,2850961
#2013-04-03#,59.17,59.33,57.72,57.98,2761276
#2013-04-04#,58.2,58.2,56.5,56.96,5077635
#2013-04-05#,55.53,55.585,54.81,55.48,6803813
#2013-04-08#,55.36,55.82,54.95,55.79,3041544
#2013-04-09#,55.93,56.66,55.68,56.44,2943618
#2013-04-10#,56.89,58.3,56.54,57.86,3138101
#2013-04-11#,57.88,58.165,57.46,57.64,2518786
#2013-04-12#,57.15,57.59,56.4,56.9,2493404
#2013-04-15#,56.63,56.94,55.57,55.58,3226578
#2013-04-16#,56.27,56.84,55.875,56.72,2398055
#2013-04-17#,55.94,56.49,55.47,55.88,2393706
#2013-04-18#,56,56,54.58,54.91,2973959
#2013-04-19#,55.13,55.81,54.91,55.77,2664318
#2013-04-22#,55.82,56.17,55.03,56.1,2042085
#2013-04-23#,56.59,58.38,56.284,57.94,3423636
#2013-04-24#,58.18,58.57,57.8999,58.34,1939559
#2013-04-25#,58.58,59.86,58.3,59.34,2721754
#2013-04-26#,59.05,59.51,58.51,59.25,1868913
#2013-04-29#,59.55,60.45,59.17,60.29,2292848
#2013-04-30#,60.17,60.51,59.68,60.42,2193025
#2013-05-01#,60.38,60.47,59.18,59.28,3430432
#2013-05-02#,62.3999,64.46,61.61,63.41,9062914
#2013-05-03#,64.3,65.8,64.18,65.2,4847855
#2013-05-06#,64.89,65.93,64.89,65.8,3084015
#2013-05-07#,66.24,66.87,65.47,65.68,4048842
#2013-05-08#,65.64,66.38,65.1,65.97,2690712
#2013-05-09#,65.9,66.08,65.1575,65.51,2187075
#2013-05-10#,65.55,65.7,64.63,65.05,2692780
#2013-05-13#,64.53,65.14,64.3,65.1,2286958
#2013-05-14#,65.15,66.6,64.92,66.6,2685196
#2013-05-15#,66.74,68.078,66.34,67.7,4461649
#2013-05-16#,67.57,68.45,66.94,67.2,3396313
#2013-05-17#,67.52,68.6,67.23,68.38,3039053
#2013-05-20#,68.11,68.77,68.05,68.43,2167665
#2013-05-21#,68.46,68.86,67.99,68.05,2613554
#2013-05-22#,68.13,69.38,67.08,67.45,2731353
#2013-05-23#,66.62,67.27,65.8,66.99,2512973
#2013-05-24#,66.01,66.51,65.54,66.46,1507265
#2013-05-27#,66.01,66.51,65.54,66.46,1507265
#2013-05-28#,67.31,68.79,67.3,67.87,2720067
#2013-05-29#,67.05,70,66.82,69.22,3558368
#2013-05-30#,69.3,70.76,69.15,70.01,2728089
#2013-05-31#,69.63,70.58,68.96,68.97,3202432
#2013-06-03#,69.33,69.69,67.86,69.57,2961197
#2013-06-04#,69.7,70.64,68.5,69.07,3056304
#2013-06-05#,69.09,69.26,67.16,67.45,3459864
#2013-06-06#,67.52,69.07,67.13,69.06,3061488
#2013-06-07#,69.7,71.81,69.54,71.72,4539730
#2013-06-10#,71.84,73.56,71.81,72.36,3395692
#2013-06-11#,71.43,71.92,70.54,70.93,2734012
#2013-06-12#,71.8,71.98,70.78,71.01,2935444
#2013-06-13#,70.87,71.85,70.41,71.7,2402521
#2013-06-14#,71.56,71.638,70.11,70.48,1955491
#2013-06-17#,71.27,72.5,71.26,72.19,2568202
#2013-06-18#,72.18,73.3,71.66,72.97,2867365
#2013-06-19#,72.78,73.48,72.05,72.23,2343456
#2013-06-20#,71.47,73.05,70.84,71.91,3371142
#2013-06-21#,72.84,73.01,70.746,71.55,4107960
#2013-06-24#,70.58,70.84,69.04,70.26,4135343
#2013-06-25#,71.1,72,70.29,71.09,3559859
#2013-06-26#,71.82,72.07,70.815,71.05,3974179
#2013-06-27#,71.76,72.77,71.52,72.41,2158844
#2013-06-28#,72.11,73.41,71.72,73.03,3997457
#2013-07-01#,73.1,73.99,73.07,73.3,2604739
#2013-07-02#,73.5,74.2,73.12,74.1,3240889
#2013-07-03#,73.2,73.94,72.8704,73.84,1593960
#2013-07-04#,73.2,73.94,72.8704,73.84,1593960
#2013-07-05#,74.71,75.685,74.53,75.6,2222177
#2013-07-08#,76,77.15,76,76.78,3283838
#2013-07-09#,77.57,78.44,77.17,78.1,2964110
#2013-07-10#,77.76,78.089,76.86,77.43,1906645
#2013-07-11#,78.63,78.64,76.94,78.01,2784037
#2013-07-12#,78.01,78.37,77.4232,77.89,2125146
#2013-07-15#,78.05,78.49,77.44,77.53,2127624
#2013-07-16#,77.7,78.08,76.69,77.33,1643783
#2013-07-17#,77.61,77.8,76.94,77.06,1694177
#2013-07-18#,77.5,78.64,77.48,78.52,1814782
#2013-07-19#,78.07,78.51,77.3,78.19,1482912
#2013-07-22#,78.47,79.19,78.29,79.15,1618050
#2013-07-23#,79.33,79.49,78.67,78.93,1606924
#2013-07-24#,79.39,79.75,78.14,78.4,1857928
#2013-07-25#,78.31,78.73,77.75,78.73,1686471
#2013-07-26#,77.95,79.26,77.8,79.16,1608824
#2013-07-29#,79.08,79.25,78.45,78.84,1208678
#2013-07-30#,79.12,79.49,78.34,78.68,1632759
#2013-07-31#,78.78,79.99,78.78,78.97,2542431
#2013-08-01#,79.67,83.21,79.67,82.62,3796791
#2013-08-02#,83.67,83.67,81.78,82.41,2039207
#2013-08-05#,82.09,82.87,81.02,82.42,1945389
#2013-08-06#,82.14,82.23,80.52,80.73,2335020
#2013-08-07#,80.5,80.56,78.67,79.37,4166507
#2013-08-08#,81.27,82,79.03,80.41,4448239
#2013-08-09#,80.33,81.26,80.03,80.58,2845897
#2013-08-12#,80.03,80.44,79.5,79.71,2518572
#2013-08-13#,79.72,80.78,79.6,80.42,2264152
#2013-08-14#,80.12,80.77,79.96,80.13,2272705
#2013-08-15#,79.68,79.77,78.65,78.74,2645822
#2013-08-16#,78.44,79.78,78.44,79.61,2780038
#2013-08-19#,79.41,79.41,77.87,77.9,2394073
#2013-08-20#,78.44,78.45,77.19,78.09,1611062
#2013-08-21#,77.82,78.73,77.27,77.69,2265541
#2013-08-22#,78.09,80.01,78,79.51,2465906
#2013-08-23#,79.08,79.478,78.23,78.7,1433778
#2013-08-26#,78.52,78.83,77.71,77.84,1265964
#2013-08-27#,76.83,76.83,74.33,74.57,3320423
#2013-08-28#,74.56,75.5077,74.1,75.07,2383523
#2013-08-29#,74.95,76.39,74.79,75.41,1423011
#2013-08-30#,75.56,75.66,74.54,74.88,1474283
#2013-09-02#,75.56,75.66,74.54,74.88,1474283
#2013-09-03#,76.02,76.9,75.32,75.92,1808135
