"Date","Open","High","Low","Close","Volume"
#2005-01-03#,59.72,60.46,59.05,59.17,340600
#2005-01-04#,59.11,59.12,58.137,58.35,407100
#2005-01-05#,58.35,58.35,57.33,57.63,441200
#2005-01-06#,57.73,58.34,57.47,58.32,316300
#2005-01-07#,58.22,58.98,58.2,58.79,491100
#2005-01-10#,58.55,58.63,57.89,57.99,343300
#2005-01-11#,57.99,57.99,57.39,57.5,304100
#2005-01-12#,57.5,57.8112,56.85,57.74,254500
#2005-01-13#,57.7,58.01,57.22,57.37,222400
#2005-01-14#,57.26,57.45,56.8,57.04,338600
#2005-01-17#,57.26,57.45,56.8,57.04,338600
#2005-01-18#,57.06,57.06,56.61,56.9,581600
#2005-01-19#,57.06,57.35,56.65,56.71,255800
#2005-01-20#,56.65,57.72,56.53,57.42,471100
#2005-01-21#,57.5,58.07,57.27,57.69,555800
#2005-01-24#,57.1,57.47,56.1,56.1,541000
#2005-01-25#,59.5,61.02,59.1,61.02,2010300
#2005-01-26#,60.85,61.88,59.56,59.97,1094000
#2005-01-27#,59.97,60.23,59.6,59.81,923900
#2005-01-28#,59.85,60.14,59.53,59.76,500000
#2005-01-31#,60,60.54,59.82,60.09,359100
#2005-02-01#,59.95,59.99,59.45,59.89,534700
#2005-02-02#,59.97,60.44,59.91,60.3,432100
#2005-02-03#,60.25,60.25,59.31,59.6,404200
#2005-02-04#,59.38,60.65,59.38,60.57,469600
#2005-02-07#,60.32,60.7,60.27,60.51,187300
#2005-02-08#,60.5,60.68,60.14,60.36,242700
#2005-02-09#,60.46,60.85,59.72,59.73,220200
#2005-02-10#,59.83,60.14,59.46,59.85,255600
#2005-02-11#,59.87,60.71,59.86,60.53,335000
#2005-02-14#,60.48,60.55,60.26,60.36,258600
#2005-02-15#,60.35,61.45,60.35,61.01,343900
#2005-02-16#,60.85,60.98,60.28,60.53,204900
#2005-02-17#,60.51,60.8,59.86,59.91,334100
#2005-02-18#,59.7,59.83,59.341,59.67,375800
#2005-02-21#,59.7,59.83,59.341,59.67,375800
#2005-02-22#,59.67,59.67,58.35,58.64,313300
#2005-02-23#,58.89,59.28,58.83,59.15,387100
#2005-02-24#,59.4,60.53,59.35,60.53,360100
#2005-02-25#,60.29,60.54,59.93,60.49,299100
#2005-02-28#,60.08,60.7,59.6,60.7,463700
#2005-03-01#,60.77,61.13,60.07,60.2,347300
#2005-03-02#,60.1,60.2,59.49,59.58,230500
#2005-03-03#,59.65,59.92,59.12,59.63,222300
#2005-03-04#,60.05,60.69,59.43,60.61,281500
#2005-03-07#,60.46,60.7,59.95,60.12,228100
#2005-03-08#,59.8,59.86,59.22,59.33,209300
#2005-03-09#,59.41,59.87,59.09,59.25,271400
#2005-03-10#,60.95,61.86,60.57,61.83,916800
#2005-03-11#,62,63.26,61.95,62.53,747800
#2005-03-14#,62.68,63.58,61.62,62.16,762200
#2005-03-15#,62.31,62.36,61.25,61.43,415200
#2005-03-16#,61.4,61.48,60.1,60.45,354000
#2005-03-17#,60.55,61.25,60.31,61.12,476500
#2005-03-18#,61.25,62.4,61.25,62.25,1062300
#2005-03-21#,61.85,62.37,61.8,61.8,527200
#2005-03-22#,61.95,62.22,61.12,61.14,387200
#2005-03-23#,61.16,61.55,60.72,60.75,563900
#2005-03-24#,61.05,61.07,60.41,60.48,539800
#2005-03-25#,61.05,61.07,60.41,60.48,539800
#2005-03-28#,60.83,61.61,60.75,61.3,356100
#2005-03-29#,60.9,61.5,60.53,60.62,605800
#2005-03-30#,60.7,61.17,60.6,61.04,599000
#2005-03-31#,61.19,61.95,61.19,61.93,354600
#2005-04-01#,62.03,62.5,61.6,61.91,555900
#2005-04-04#,61.9,61.9,60.96,61.48,360800
#2005-04-05#,61.49,61.49,60.95,61.21,357600
#2005-04-06#,61.22,61.67,61.03,61.44,222200
#2005-04-07#,61.3,61.59,60.91,61.47,321300
#2005-04-08#,61.45,61.54,60.95,61.17,335300
#2005-04-11#,61.84,61.84,60.89,61.23,172700
#2005-04-12#,61.3,61.5,60.41,61.36,330600
#2005-04-13#,61.05,61.05,60.01,60.11,328600
#2005-04-14#,60.11,60.39,59.69,59.88,418900
#2005-04-15#,53,55.01,51.25,53.01,3720800
#2005-04-18#,53.01,53.68,52.65,53.54,1464900
#2005-04-19#,53.58,53.77,53.21,53.6,782700
#2005-04-20#,53.65,53.8,52.57,52.85,791500
#2005-04-21#,53.1,53.18,52.565,52.88,573700
#2005-04-22#,52.1,52.7,51.81,52.12,981700
#2005-04-25#,52.07,52.56,51.9,52.47,612300
#2005-04-26#,50.4,52.63,49.6,51.61,1067600
#2005-04-27#,51.61,52.49,50.94,51.95,707900
#2005-04-28#,52.2,52.25,51,51.35,823100
#2005-04-29#,51.48,52.41,51.25,52.35,664900
#2005-05-02#,52.25,52.5,51.66,52.49,502200
#2005-05-03#,52.2,53.1,52.2,52.81,929900
#2005-05-04#,53,53.45,52.9,53.3,533100
#2005-05-05#,53.2,53.22,52.39,52.84,534300
#2005-05-06#,53.09,53.5,52.76,53,479700
#2005-05-09#,53.25,53.58,52.86,53.51,471500
#2005-05-10#,53.5,53.99,52.85,53.55,790300
#2005-05-11#,53.7,53.77,52.41,53.19,384400
#2005-05-12#,53.48,53.48,51.94,52.04,482800
#2005-05-13#,52.2,52.29,51.62,51.9,396900
#2005-05-16#,52.05,52.85,51.85,52.73,365400
#2005-05-17#,52.1,52.51,51.9,52.44,407500
#2005-05-18#,52.54,54.12,52.5026,54.12,519500
#2005-05-19#,54.3,54.3,53.75,54.11,391800
#2005-05-20#,54.37,54.37,53.78,54.11,332500
#2005-05-23#,54.11,54.33,53.78,54.04,383300
#2005-05-24#,54.08,54.23,53.7,54.12,398400
#2005-05-25#,54.18,54.18,53.02,53.15,467300
#2005-05-26#,53.28,53.7,53.26,53.5,263500
#2005-05-27#,53.38,53.46,52.89,53.17,189100
#2005-05-30#,53.38,53.46,52.89,53.17,189100
#2005-05-31#,53.17,53.17,52.06,52.45,630700
#2005-06-01#,52.66,53.11,52.24,53.02,449200
#2005-06-02#,52.92,53.27,52.61,53.1,547600
#2005-06-03#,53.2,53.55,52.67,52.85,330100
#2005-06-06#,52.82,53,52.58,52.84,200300
#2005-06-07#,52.84,53.76,52.84,53.75,552600
#2005-06-08#,53.8,54.07,53.79,54,611700
#2005-06-09#,54.06,54.12,53.68,53.77,534300
#2005-06-10#,53.78,54.1,53.5,53.62,308800
#2005-06-13#,53.75,53.77,53.21,53.35,489000
#2005-06-14#,53.35,53.76,53.25,53.56,282000
#2005-06-15#,53.66,53.79,53.24,53.73,232400
#2005-06-16#,53.78,54.64,53.75,54.46,450700
#2005-06-17#,55.05,55.05,54.38,54.87,500800
#2005-06-20#,54.62,55.21,54.27,55.18,458700
#2005-06-21#,55.12,55.14,54.43,54.5,336600
#2005-06-22#,54.9,54.99,53.9,53.96,254500
#2005-06-23#,53.9,53.94,52.36,52.7,646700
#2005-06-24#,52.55,53.23,52.3,53.08,778800
#2005-06-27#,53.02,53.41,52.8,52.8,621700
#2005-06-28#,53.15,53.58,53.02,53.47,457900
#2005-06-29#,53.7,53.74,53.33,53.6,334600
#2005-06-30#,53.5,53.75,52.96,52.96,526000
#2005-07-01#,53.15,53.42,52.48,52.78,387600
#2005-07-04#,53.15,53.42,52.48,52.78,387600
#2005-07-05#,52.45,53.08,52.15,52.93,350300
#2005-07-06#,52.94,53.1,52.68,52.8,366400
#2005-07-07#,52.41,53.27,52,53.19,354500
#2005-07-08#,53.19,54.13,53.1,54,510000
#2005-07-11#,54.25,54.56,54.11,54.53,312600
#2005-07-12#,54.5,54.53,53.88,54.28,243000
#2005-07-13#,54.53,54.72,53.65,53.93,217300
#2005-07-14#,54.45,54.64,53.89,54,242300
#2005-07-15#,54.1,54.31,53.63,53.7,221100
#2005-07-18#,53.76,54.14,53.37,53.6,298100
#2005-07-19#,53.76,54.26,53.72,53.79,466300
#2005-07-20#,53.75,54.79,53.75,54.57,244800
#2005-07-21#,54.58,54.68,53.91,54,216200
#2005-07-22#,54.1,54.4,53.71,54.14,272500
#2005-07-25#,54.12,54.76,54.01,54.3,348700
#2005-07-26#,56.75,57.6,55.6,56.78,1558400
#2005-07-27#,56.69,56.9,55.7,56.1,718800
#2005-07-28#,55.7,57.03,55.7,56.92,576600
#2005-07-29#,56.75,57.14,56.56,56.67,405200
#2005-08-01#,56.87,57.38,56.39,56.58,395800
#2005-08-02#,56.78,57.11,56.66,56.73,290200
#2005-08-03#,56.7,57.07,56.302,56.44,495600
#2005-08-04#,56.27,56.4,55.89,56.05,248500
#2005-08-05#,55.55,55.75,55.22,55.39,334800
#2005-08-08#,55.55,55.8,55.35,55.52,212300
#2005-08-09#,55.72,56.06,55.59,56.03,440000
#2005-08-10#,56.25,56.55,55.64,55.85,302000
#2005-08-11#,55.97,56.13,55.73,56,359000
#2005-08-12#,55.75,55.99,55.12,55.42,188400
#2005-08-15#,55.5,55.93,55,55.85,262400
#2005-08-16#,55.9,56.09,54.7,54.8,391200
#2005-08-17#,54.91,55,54.41,54.66,232500
#2005-08-18#,54.55,54.68,54.04,54.04,306200
#2005-08-19#,54.29,54.45,54.05,54.3,256000
#2005-08-22#,54.29,54.6,54.07,54.21,251900
#2005-08-23#,54.21,54.29,53.73,53.9,463900
#2005-08-24#,53.9,54.38,53.75,54,308800
#2005-08-25#,54.1,54.19,53.7,54.18,255900
#2005-08-26#,54.11,54.33,53.63,53.69,404400
#2005-08-29#,53.44,54.02,53.3,53.94,578300
#2005-08-30#,53.74,53.85,53.09,53.77,466000
#2005-08-31#,53.52,53.69,52.75,53.44,735900
#2005-09-01#,53.44,53.7,53,53.33,780200
#2005-09-02#,53.2,53.25,52.43,52.76,394900
#2005-09-05#,53.2,53.25,52.43,52.76,394900
#2005-09-06#,52.75,53.25,52.74,53.13,351500
#2005-09-07#,53,53.49,53,53.26,1155300
#2005-09-08#,53.28,53.65,53.25,53.46,496300
#2005-09-09#,53.71,53.95,53.59,53.74,285000
#2005-09-12#,54,55.24,53.92,54.71,803900
#2005-09-13#,54.75,54.84,54.13,54.39,581100
#2005-09-14#,54.35,54.41,53.93,54.01,336000
#2005-09-15#,54.4,54.4,53.81,54,715900
#2005-09-16#,54.5,54.844,53.95,54.5,1557900
#2005-09-19#,54.51,54.7,53.99,54.1,432800
#2005-09-20#,54.1,54.1,52.8,52.92,881900
#2005-09-21#,52.8,52.93,52.57,52.7,839500
#2005-09-22#,52.7,53.09,52.6,52.8,841400
#2005-09-23#,52.9,53,52.41,52.97,605700
#2005-09-26#,52.9,53.04,51.73,51.98,577000
#2005-09-27#,52.15,52.28,51.7,51.99,302300
#2005-09-28#,52.45,52.88,51.87,52.1,265200
#2005-09-29#,51.85,52.35,51.4,52.1,397200
#2005-09-30#,52.15,52.51,52.09,52.39,314200
#2005-10-03#,52.55,52.55,51.65,51.84,428800
#2005-10-04#,51.98,52.24,51.6,51.63,588800
#2005-10-05#,51.33,51.33,50.25,50.3,527500
#2005-10-06#,50.4,50.9,50.35,50.9,892500
#2005-10-07#,50.9,51.26,50.78,51.07,313800
#2005-10-10#,51.04,51.2,50.71,50.94,364900
#2005-10-11#,50.92,51.39,50.63,50.75,302800
#2005-10-12#,50.76,51.25,50.6,50.8,279100
#2005-10-13#,50.55,51.07,50.55,50.95,324500
#2005-10-14#,51.1,51.69,50.54,51.69,328500
#2005-10-17#,51.65,52.21,51.65,52.11,392800
#2005-10-18#,52.12,52.41,51.8,52.14,373100
#2005-10-19#,51.75,52.58,51.585,52.52,357500
#2005-10-20#,52.3,52.8,52,52.08,283400
#2005-10-21#,52.4,52.84,51.67,51.68,585500
#2005-10-24#,51.64,52.47,51.35,52.36,466200
#2005-10-25#,54,55.8,53.99,55.36,1569700
#2005-10-26#,55.36,56.14,54.8701,55.9,789900
#2005-10-27#,55.93,56.41,55.61,55.75,704000
#2005-10-28#,55.58,56.23,55.42,56.2,587700
#2005-10-31#,56.34,56.81,56.05,56.65,431000
#2005-11-01#,56.85,58,56.79,57.9,828200
#2005-11-02#,57.6,57.99,57.45,57.69,544400
#2005-11-03#,57.82,58.25,57.6,57.76,467700
#2005-11-04#,57.7,57.85,57.56,57.85,376900
#2005-11-07#,58,58.2399,57.53,57.78,435300
#2005-11-08#,57.7,57.82,57.48,57.5,333400
#2005-11-09#,57.45,57.95,57.34,57.51,338800
#2005-11-10#,57.67,58.22,57.17,58.08,324700
#2005-11-11#,58.08,58.2,57.71,58.05,183300
#2005-11-14#,58.31,58.56,57.8,57.93,177300
#2005-11-15#,58.05,58.17,57.8801,58.05,375500
#2005-11-16#,58.25,58.3,57.72,58.02,262100
#2005-11-17#,58.22,58.48,57.64,58.28,491200
#2005-11-18#,58.65,58.7,58.13,58.48,557600
#2005-11-21#,58.54,59.05,58.45,59.04,268600
#2005-11-22#,59.05,59.2,58.5,59.07,553400
#2005-11-23#,59.1,59.48,58.99,59.31,403900
#2005-11-24#,59.1,59.48,58.99,59.31,403900
#2005-11-25#,59.4,59.46,59.07,59.44,112300
#2005-11-28#,59.43,59.43,58.55,58.71,260900
#2005-11-29#,59.1,59.78,59.08,59.24,414700
#2005-11-30#,59.34,59.64,58.7,58.79,322600
#2005-12-01#,58.99,59.94,58.99,59.42,485100
#2005-12-02#,59.3,59.54,58.86,59.18,332000
#2005-12-05#,58.59,58.98,58.14,58.26,339600
#2005-12-06#,58.7,58.89,58.13,58.21,344700
#2005-12-07#,58.29,58.29,56.98,57.25,638400
#2005-12-08#,57.4,57.5,56.75,56.92,491300
#2005-12-09#,57.06,57.51,56.61,57.08,352300
#2005-12-12#,57.16,57.47,56.52,57.06,300100
#2005-12-13#,56.95,57.3,56.71,56.78,642100
#2005-12-14#,56.72,57.13,56.55,56.89,442100
#2005-12-15#,56.88,57,56.35,56.47,435800
#2005-12-16#,56.6,56.76,55.84,55.87,559800
#2005-12-19#,55.84,56.25,55.48,55.51,390600
#2005-12-20#,55.65,55.87,55.32,55.56,325300
#2005-12-21#,55.65,56.49,55.65,56.08,344200
#2005-12-22#,56.12,56.49,55.84,56.25,473400
#2005-12-23#,56.4,56.89,56.26,56.44,170700
#2005-12-26#,56.4,56.89,56.26,56.44,170700
#2005-12-27#,56.42,57,56.18,56.25,337700
#2005-12-28#,56.21,56.34,55.72,56.07,287100
#2005-12-29#,56.33,56.72,56.07,56.12,277900
#2005-12-30#,56,56,55.2,55.27,463300
