"Date","Open","High","Low","Close","Volume"
#2010-01-01#,132.41,132.85,130.75,130.9,4225128
#2010-01-04#,131.18,132.97,130.85,132.45,6155846
#2010-01-05#,131.68,131.85,130.1,130.85,6842471
#2010-01-06#,130.68,131.49,129.81,130,5605290
#2010-01-07#,129.87,130.25,128.91,129.55,5840569
#2010-01-08#,129.07,130.9199,129.05,130.85,4197105
#2010-01-11#,131.06,131.06,128.67,129.48,5731177
#2010-01-12#,129.03,131.33,129,130.51,8083354
#2010-01-13#,130.39,131.12,129.16,130.23,6458302
#2010-01-14#,130.55,132.71,129.91,132.31,7114544
#2010-01-15#,132.03,132.89,131.089,131.78,8502320
#2010-01-18#,132.03,132.89,131.089,131.78,8502320
#2010-01-19#,131.63,134.25,131.56,134.14,13916168
#2010-01-20#,130.46,131.15,128.95,130.25,15201857
#2010-01-21#,130.47,130.69,128.06,129,9608696
#2010-01-22#,128.67,128.89,125.37,125.5,10089325
#2010-01-25#,126.33,126.895,125.71,126.12,5738920
#2010-01-26#,125.92,127.75,125.41,125.75,7136640
#2010-01-27#,125.82,126.96,125.04,126.33,8719447
#2010-01-28#,127.03,127.04,123.05,123.75,9622829
#2010-01-29#,124.32,125,121.9,122.39,11572387
#2010-02-01#,123.23,124.95,122.78,124.67,7249873
#2010-02-02#,124.79,125.81,123.95,125.53,5900187
#2010-02-03#,125.16,126.07,125.07,125.66,4177981
#2010-02-04#,125.19,125.44,122.9,123,9129991
#2010-02-05#,123.04,123.72,121.83,123.52,8618019
#2010-02-08#,123.15,123.22,121.74,121.88,5719389
#2010-02-09#,122.65,124.2,122.46,123.21,6044966
#2010-02-10#,122.94,123.65,122.21,122.81,5219260
#2010-02-11#,122.58,124.2,122.06,123.73,5091096
#2010-02-12#,123.01,124.05,121.61,124,8018236
#2010-02-15#,123.01,124.05,121.61,124,8018236
#2010-02-16#,124.91,125.23,124.11,125.23,6777265
#2010-02-17#,125.5,126.53,125.21,126.33,5827357
#2010-02-18#,126.13,128,126,127.81,5527576
#2010-02-19#,127.35,128.06,126.8724,127.19,6303678
#2010-02-22#,127.3,127.43,126.31,126.85,3808077
#2010-02-23#,126.48,127.66,126,126.46,4594376
#2010-02-24#,127.02,128.27,126.81,127.59,4782100
#2010-02-25#,126.05,127.24,125.57,127.07,5658776
#2010-02-26#,127.01,128,126.74,127.16,4784139
#2010-03-01#,127.5,128.83,127.47,128.57,4577715
#2010-03-02#,128.7,129.09,127.13,127.42,6013437
#2010-03-03#,127.73,128.02,126.68,126.88,6389967
#2010-03-04#,127.07,127.07,125.47,126.72,6032328
#2010-03-05#,127.17,127.55,127.04,127.25,6140472
#2010-03-08#,127.06,127.5,126.36,126.41,6199570
#2010-03-09#,126.27,126.29,125.2,125.55,7529306
#2010-03-10#,125.985,126.36,125.21,125.62,6917512
#2010-03-11#,125.71,127.81,125.71,127.6,7929401
#2010-03-12#,127.91,128.37,127.51,127.94,5170094
#2010-03-15#,127.4,128.34,127.28,127.83,4544089
#2010-03-16#,128,128.88,127.45,128.67,6135031
#2010-03-17#,128.9,128.93,127.36,127.76,6348995
#2010-03-18#,127.46,128.75,127.45,128.38,4954633
#2010-03-19#,128.84,128.93,126.78,127.71,10744286
#2010-03-22#,127.11,128.39,126.57,127.98,5651866
#2010-03-23#,127.94,129.43,127.64,129.37,5979298
#2010-03-24#,128.63,129.95,128.47,128.53,6669246
#2010-03-25#,129.36,130.73,129.13,129.24,7605394
#2010-03-26#,128.93,129.78,128.7205,129.26,5550705
#2010-03-29#,129.3,129.95,128.26,128.59,4643265
#2010-03-30#,128.9,129.13,128.25,128.77,3426538
#2010-03-31#,128.23,128.75,127.65,128.25,4904711
#2010-04-01#,128.95,129.31,127.55,128.25,4980625
#2010-04-02#,128.95,129.31,127.55,128.25,4980625
#2010-04-05#,128.38,129.8,128.14,129.35,4118884
