"Date","Open","High","Low","Close","Volume"
#2019-01-01#,44.1,44.86,44.06,44.74,5582369
#2019-01-02#,44.23,45.04,44.14,44.66,5939099
#2019-01-03#,44.59,44.87,43.8,44.19,5887998
#2019-01-04#,44.81,45.7,44.74,45.4,6324965
#2019-01-07#,45.32,47.13,45.32,46.62,8441330
#2019-01-08#,46.8,47.435,46.02,47.31,10044266
#2019-01-09#,47.45,47.764,46.9647,47.27,8048276
#2019-01-10#,46.25,47.13,45.66,47.09,7279510
#2019-01-11#,46.98,47.735,46.89,47.46,5301245
#2019-01-14#,47.18,47.77,46.43,46.78,7577179
#2019-01-15#,46.93,47.82,46.6534,47.32,6105055
#2019-01-16#,47.05,47.81,47,47.53,5984906
#2019-01-17#,47.48,48.16,47.39,48,4114386
#2019-01-18#,48.27,49.43,48.21,49.16,7061628
#2019-01-21#,48.27,49.43,48.21,49.16,7061628
#2019-01-22#,48.89,49.2,48.31,48.74,8387844
#2019-01-23#,48.86,48.91,48.22,48.64,4649603
#2019-01-24#,48.86,48.88,48.48,48.68,3776540
#2019-01-25#,49.19,49.45,48.78,48.87,4996384
#2019-01-28#,48.67,49.01,48.46,48.96,4803416
#2019-01-29#,49.01,49.04,48.435,48.74,4362529
#2019-01-30#,48.88,49.18,48.63,48.9,5407993
#2019-01-31#,48.82,49.73,48.75,49.73,12254620
#2019-02-01#,49.5,49.685,48.65,48.9,9875412
#2019-02-04#,48.86,49,48.19,48.99,5626829
#2019-02-05#,49.13,49.26,48.6642,49.22,5408693
#2019-02-06#,49.3,49.3,48.55,48.76,4790392
#2019-02-07#,48.49,48.77,48.21,48.52,5264015
#2019-02-08#,48.34,48.94,48.34,48.94,5760566
#2019-02-11#,48.96,49.19,48.77,49.1,4718386
#2019-02-12#,49.27,49.83,49.02,49.75,5033947
#2019-02-13#,49.6,49.95,49.12,49.89,5947965
#2019-02-14#,49.55,49.94,49.11,49.5,4613738
#2019-02-15#,49.98,50.33,49.88,50.23,5949749
#2019-02-18#,49.98,50.33,49.88,50.23,5949749
#2019-02-19#,50.24,50.62,49.91,50.48,5057960
#2019-02-20#,50.4,50.6,50.21,50.51,4959123
#2019-02-21#,50.66,50.66,49.92,50.13,4893623
#2019-02-22#,50.32,50.53,50.14,50.35,5261133
#2019-02-25#,50.51,50.54,49.36,49.4,8754846
#2019-02-26#,49.55,50.18,49.31,49.72,11408742
#2019-02-27#,49.8,51.94,49.63,51.56,15552706
#2019-02-28#,51.79,52.18,51.025,51.29,9411915
#2019-03-01#,51.89,52.485,51.82,52.02,8700250
#2019-03-04#,52.18,52.68,51.09,51.41,6051162
#2019-03-05#,51.69,52.12,51.4,51.66,6014070
#2019-03-06#,51.91,52.49,51.68,51.93,6707283
#2019-03-07#,51.31,51.79,50.73,51.75,8552523
#2019-03-08#,51.22,51.26,50.39,50.72,5324388
#2019-03-11#,50.81,51.87,50.78,51.7,5823112
#2019-03-12#,51.88,52.04,51.475,51.94,5653717
#2019-03-13#,52.16,52.73,51.94,52.48,6512241
#2019-03-14#,52.3,52.35,51.83,52.1,5546506
#2019-03-15#,52.13,52.29,51.58,51.77,8431159
#2019-03-18#,51.76,52.46,51.65,52.35,6956352
#2019-03-19#,52.4,52.64,51.93,52.22,6264305
#2019-03-20#,52.16,52.64,51.86,52.54,6271332
#2019-03-21#,52.35,52.745,52.31,52.49,4127002
#2019-03-22#,52.38,52.73,52.045,52.34,5132721
#2019-03-25#,52.27,53.245,52.174,52.79,7067760
#2019-03-26#,53.03,53.28,52.6,52.84,4507206
#2019-03-27#,52.85,53.31,52.61,53.06,4804803
#2019-03-28#,53.33,53.51,52.9499,53.06,4448100
#2019-03-29#,53.17,53.29,52.9,53.21,5887832
#2019-04-01#,53.56,53.56,52.99,53.21,4849719
#2019-04-02#,53.21,53.435,52.91,53.08,3930976
#2019-04-03#,53.46,53.59,53.03,53.17,4359405
#2019-04-04#,53.17,54.26,53.09,54.25,5155914
#2019-04-05#,54.27,54.805,54.02,54.11,6679793
#2019-04-08#,54.08,54.6,54.02,54.33,4571956
#2019-04-09#,54.06,54.4059,53.74,53.82,4155307
#2019-04-10#,53.98,54.55,53.855,54.44,4676841
#2019-04-11#,54.44,54.44,53.795,53.89,5013749
#2019-04-12#,53.9,54.46,53.9,53.97,5209401
#2019-04-15#,54.02,54.41,53.995,54.24,4026873
#2019-04-16#,54.44,54.79,54.34,54.49,3639973
#2019-04-17#,54.87,55.2433,54.74,55.06,4945317
#2019-04-18#,55.05,55.48,54.94,55.12,3577233
#2019-04-19#,55.05,55.48,54.94,55.12,3577233
#2019-04-22#,54.97,55.17,54.31,54.41,3761450
#2019-04-23#,54.47,55.43,54.44,55.19,4718092
#2019-04-24#,55.25,55.78,55.25,55.42,4714462
