"Date","Open","High","Low","Close","Volume"
#2013-01-01#,65.91,66.61,65.74,66.54,475805
#2013-01-02#,67.57,68.57,67.5,68.35,310796
#2013-01-03#,68.49,68.76,67.84,68.1,270853
#2013-01-04#,68.2,68.46,67.98,68.23,358215
#2013-01-07#,67.88,68.27,67.82,68.14,304675
#2013-01-08#,67.97,68.21,67.726,68.19,455738
#2013-01-09#,68.41,69.03,68.41,68.64,351703
#2013-01-10#,69.03,69.14,68.26,69.05,287757
#2013-01-11#,69.35,69.35,68.55,68.63,311863
#2013-01-14#,68.54,69.08,68.24,69.04,202123
#2013-01-15#,68.65,69.57,68.62,69.44,286757
#2013-01-16#,68.91,69.54,68.91,69.46,250076
#2013-01-17#,69.82,70.27,69.68,70.08,238474
#2013-01-18#,69.88,70.58,69.61,70.56,344185
#2013-01-21#,69.88,70.58,69.61,70.56,344185
#2013-01-22#,70.7,70.88,69.84,70.81,337318
#2013-01-23#,70.65,70.82,70.16,70.29,328214
#2013-01-24#,70.69,71.21,70.26,70.77,433666
#2013-01-25#,71.05,71.37,70.88,71.13,278108
#2013-01-28#,71.28,71.28,70.31,70.51,312172
#2013-01-29#,70.53,71.19,70.51,71.17,314078
#2013-01-30#,71.17,71.42,70.72,70.84,375277
#2013-01-31#,70.76,71.2,70.4,70.43,1023194
#2013-02-01#,70.76,71.39,70.32,71.32,398858
#2013-02-04#,71.02,71.22,70.54,70.73,317860
#2013-02-05#,71.41,71.96,70.66,71.17,495958
#2013-02-06#,70.79,71.44,70.79,71.19,411731
#2013-02-07#,69.73,72.87,69.25,72.66,937603
#2013-02-08#,73.2,73.9,72.43,73.6,623786
#2013-02-11#,73.65,74.04,72.84,73.33,289356
#2013-02-12#,73.51,73.785,73.2,73.44,240881
#2013-02-13#,73.9,74.44,73.58,74.17,291950
#2013-02-14#,73.86,73.99,73.31,73.8,321495
#2013-02-15#,73.78,74.25,73.54,73.88,329228
#2013-02-18#,73.78,74.25,73.54,73.88,329228
#2013-02-19#,73.83,74.159,73.49,73.85,345634
#2013-02-20#,73.69,73.69,72.43,72.44,447121
#2013-02-21#,72.47,72.55,71.43,71.91,395169
#2013-02-22#,72.1,72.51,71.63,72.46,263609
#2013-02-25#,72.86,72.86,70.73,70.73,324355
#2013-02-26#,71.07,71.75,70.89,71.63,279583
#2013-02-27#,71.65,73.03,71.64,72.8,309552
#2013-02-28#,72.89,73.34,72.55,72.98,310305
#2013-03-01#,72.75,73.38,72.04,73.3,440863
#2013-03-04#,73.33,73.55,72.7,73.34,331349
#2013-03-05#,73.63,73.97,73.19,73.42,357174
#2013-03-06#,73.59,73.988,73.57,73.79,234166
#2013-03-07#,73.79,73.99,73.39,73.67,182711
#2013-03-08#,73.86,74.17,73.63,73.99,293656
#2013-03-11#,73.8,75.19,73.8,75.11,401965
#2013-03-12#,75.1,75.1,74.52,74.79,296239
#2013-03-13#,74.84,75.54,74.5,75.41,304960
#2013-03-14#,75.49,75.86,75.15,75.85,309784
#2013-03-15#,75.48,76.29,75.34,76.14,523678
#2013-03-18#,75.48,75.85,75.25,75.65,234841
#2013-03-19#,75.48,75.79,74.65,75.45,397784
#2013-03-20#,75.85,76.88,75.65,76.86,297840
#2013-03-21#,76.93,77.4,75.56,75.84,402528
#2013-03-22#,76.27,76.37,75.045,75.44,427298
#2013-03-25#,75.47,76.1,74.91,75.27,340686
#2013-03-26#,75.59,75.94,75.09,75.74,193012
#2013-03-27#,75.34,75.44,74.8,75.4,224322
#2013-03-28#,75.45,76.69,75.27,76.67,470462
#2013-03-29#,75.45,76.69,75.27,76.67,470462
#2013-04-01#,76.35,76.69,75.33,75.48,240287
#2013-04-02#,75.51,75.92,75.01,75.3,258577
#2013-04-03#,75.19,75.51,73.9,74.16,299750
#2013-04-04#,74.35,74.77,73.97,74.61,341136
#2013-04-05#,73.79,74.07,73.42,73.77,310643
#2013-04-08#,73.71,73.97,73.09,73.95,252894
#2013-04-09#,74.08,74.2,73.25,73.89,293325
#2013-04-10#,74.14,75.36,73.84,75.29,335055
#2013-04-11#,75.29,76.3,74.96,76.06,272099
#2013-04-12#,75.74,76.28,75.01,75.48,254296
#2013-04-15#,75.07,75.07,73.51,73.52,340677
