"Date","Open","High","Low","Close","Volume"
#2013-01-01#,44.92,46.83,44.84,46.44,6560601
#2013-01-02#,47.34,47.59,46.75,46.9,7262317
#2013-01-03#,46.76,47.25,45.5,45.62,6018451
#2013-01-04#,45.3,46.05,45.085,45.94,5834152
#2013-01-07#,45.6,45.76,44.95,45.01,4853378
#2013-01-08#,45,45.93,44.66,45.56,6383512
#2013-01-09#,45.39,45.49,44.61,44.9,5568796
#2013-01-10#,45.35,46.13,45.35,45.95,5371257
#2013-01-11#,46,46.03,45.33,45.76,3836678
#2013-01-14#,45.86,45.89,45.14,45.3,3366467
#2013-01-15#,45.45,45.74,44.89,45.19,4137219
#2013-01-16#,45.02,45.18,44.58,44.75,5166077
#2013-01-17#,45,45,44,44.44,6516680
#2013-01-18#,44.56,45.225,44.46,44.89,6740651
#2013-01-21#,44.56,45.225,44.46,44.89,6740651
#2013-01-22#,44.96,45.71,44.56,45.58,7031315
#2013-01-23#,45.62,45.79,44.7,44.76,5962791
#2013-01-24#,44.67,44.84,43.89,44.01,5554467
#2013-01-25#,43.96,44.188,42.96,43.36,7202678
#2013-01-28#,43.49,43.51,42.55,42.82,6510750
#2013-01-29#,43.01,43.65,42.985,43.39,7145780
#2013-01-30#,43.86,44.33,43.1,43.12,8941454
#2013-01-31#,42.97,43.31,42.85,42.96,9406322
#2013-02-01#,43.61,43.72,43.01,43.71,6313018
#2013-02-04#,43.59,44.5599,43.43,44.1,5976111
#2013-02-05#,44.34,44.47,44.01,44.33,4107918
#2013-02-06#,44.22,45.17,44.2,45.04,4981130
#2013-02-07#,44.79,45.82,44.51,45.25,5098092
#2013-02-08#,45.18,45.27,44.77,44.93,4763342
#2013-02-11#,44.57,44.67,44.15,44.49,4171955
#2013-02-12#,44.4,45.3,44.375,45.28,6451123
#2013-02-13#,45.26,45.48,44.82,44.85,5481407
#2013-02-14#,44.94,45.085,44.38,44.55,7641317
#2013-02-15#,43.68,43.8,42.79,43.27,13871831
#2013-02-18#,43.68,43.8,42.79,43.27,13871831
#2013-02-19#,43.08,43.39,42.79,42.9,8081423
#2013-02-20#,42.54,42.54,40.44,40.56,14311110
#2013-02-21#,40.69,41.48,40.51,40.55,10184514
#2013-02-22#,41.56,41.76,40.73,40.82,10384794
#2013-02-25#,41.19,41.6,40.8,40.96,8506034
#2013-02-26#,41.15,41.72,40.83,41.44,9945394
#2013-02-27#,41.22,41.25,40.58,40.62,8867608
#2013-02-28#,40.64,40.84,40.13,40.29,10849681
#2013-03-01#,40.37,40.59,39.56,39.62,9495249
#2013-03-04#,39.64,39.74,38.6,39,9787131
#2013-03-05#,39.29,39.35,38.55,38.6,8590483
#2013-03-06#,38.58,40.04,38.5,40.01,9579551
#2013-03-07#,40.15,40.88,39.88,39.93,7758338
#2013-03-08#,39.76,40.08,39.2,39.25,10085554
#2013-03-11#,39.23,39.43,38.77,38.89,5499442
#2013-03-12#,39.34,40.1982,39.34,39.66,6670035
#2013-03-13#,39.77,39.8,38.88,38.99,7476124
#2013-03-14#,38.92,39.65,38.85,39.59,6241132
#2013-03-15#,39.54,39.84,39.41,39.68,9673978
#2013-03-18#,40.13,40.7,39.99,40.03,5623182
#2013-03-19#,39.85,40.72,39.8,40.37,6915099
#2013-03-20#,40.34,40.64,40.1101,40.38,4253259
#2013-03-21#,40.63,41.835,40.6,41.45,8805674
#2013-03-22#,41.22,41.649,41.14,41.61,4540916
#2013-03-25#,41.56,41.62,41.06,41.09,5565320
#2013-03-26#,40.97,41.1299,40.53,41.08,5628163
#2013-03-27#,41.13,41.86,40.93,41.74,5638858
#2013-03-28#,41.51,41.94,41.34,41.89,6402368
#2013-03-29#,41.51,41.94,41.34,41.89,6402368
#2013-04-01#,42,42,41.22,41.39,4401545
#2013-04-02#,41,41.1,39.75,39.83,7999690
#2013-04-03#,39.69,40.01,38.32,38.47,11823714
#2013-04-04#,38.41,39.28,38.07,39.12,7521524
#2013-04-05#,39.76,40.32,39.15,39.37,8504229
#2013-04-08#,39.36,39.52,38.74,39.01,6578022
#2013-04-09#,39.13,40.64,39.02,40.03,8593486
#2013-04-10#,39.67,39.85,38.855,38.99,7063961
#2013-04-11#,39.07,39.32,38.59,38.65,6476671
#2013-04-12#,38.11,38.21,36.35,36.37,14378298
#2013-04-15#,34.36,34.74,33.51,33.92,22566924
#2013-04-16#,34.69,34.84,33.53,33.78,13914475
#2013-04-17#,33.66,33.82,32.13,32.36,15993342
#2013-04-18#,32.61,33.11,32.2,32.77,11663343
#2013-04-19#,33.4,33.57,32.3,32.98,9134749
#2013-04-22#,33.43,33.92,32.8,33.4,9701831
#2013-04-23#,33.12,33.16,31.77,32.43,10160819
#2013-04-24#,33.27,34.5,33.05,34.33,10938010
#2013-04-25#,34.88,35.13,34.23,34.33,11158677
#2013-04-26#,34.5,34.54,33.23,33.47,9658953
#2013-04-29#,33.84,34.27,33.64,33.97,5834168
#2013-04-30#,33.14,33.32,31.33,32.4,17568994
#2013-05-01#,32.15,32.965,31.76,32.59,10649502
#2013-05-02#,32.79,32.99,32.19,32.66,6347650
#2013-05-03#,32.78,33.43,32.7,33,6973261
#2013-05-06#,33.29,33.48,33.04,33.07,4865273
#2013-05-07#,32.69,32.739,32.08,32.45,8652618
#2013-05-08#,32.87,34.07,32.78,33.91,6978619
#2013-05-09#,33.43,34.25,32.94,33.16,7046134
#2013-05-10#,32.5,33.12,32.1,33.12,7019685
#2013-05-13#,32.94,32.94,32.31,32.62,4808562
#2013-05-14#,32.54,33.08,32.35,32.51,5166177
#2013-05-15#,32.21,32.278,31.445,31.57,9295938
#2013-05-16#,31.17,31.91,30.63,31.43,9623709
#2013-05-17#,31.27,31.32,30.3,30.63,12117940
#2013-05-20#,30.66,32.386,30.42,32.28,11315682
#2013-05-21#,31.59,32.22,31.39,31.94,8500209
#2013-05-22#,32.43,33.12,31.51,31.96,9599927
#2013-05-23#,32.42,32.74,31.8,32.22,6922031
#2013-05-24#,32.15,32.59,31.645,31.97,6072666
#2013-05-27#,32.15,32.59,31.645,31.97,6072666
#2013-05-28#,32.01,32.65,31.52,32.05,6157445
#2013-05-29#,32.22,33.13,32.12,33.1,7393522
#2013-05-30#,33.69,34.48,33.63,34.34,9522491
#2013-05-31#,34.13,34.29,33.67,34.28,9012411
#2013-06-03#,34.4,35.44,34.3,34.88,8030366
#2013-06-04#,34.47,34.63,33.58,34.45,6601154
#2013-06-05#,34.56,35.14,34.16,34.6,6813496
#2013-06-06#,34.46,35.34,34.38,34.95,7142188
#2013-06-07#,34.41,34.42,33.7,34.11,6447882
#2013-06-10#,33.67,34.15,33.43,33.9,5114946
#2013-06-11#,33.33,33.73,32.76,32.81,6222954
#2013-06-12#,32.94,33.54,32.65,33.33,6374737
#2013-06-13#,33.05,33.7,32.71,33.66,5898004
#2013-06-14#,33.81,33.89,33.01,33.19,4417512
#2013-06-17#,33.24,33.63,33.15,33.44,4215240
#2013-06-18#,33.23,33.27,31.97,32.59,6809663
#2013-06-19#,32.62,33.23,31.82,31.9,6886886
#2013-06-20#,30.74,30.83,29.395,29.75,16751663
#2013-06-21#,30,30.37,28.85,30.05,14883841
#2013-06-24#,29.45,29.63,28.29,29.02,10227199
#2013-06-25#,29.18,29.45,28.41,28.93,9038823
#2013-06-26#,27.95,28.08,27.07,27.22,14953121
#2013-06-27#,27.61,28.23,27.32,27.71,12909425
#2013-06-28#,27.58,30.252,27.44,29.95,21349943
#2013-07-01#,30.31,30.6899,29.1599,30.18,12433934
#2013-07-02#,29.9,30.12,28.855,29.17,10361406
#2013-07-03#,29.4,29.8099,28.825,29.02,6104380
#2013-07-04#,29.4,29.8099,28.825,29.02,6104380
#2013-07-05#,28.11,28.12,26.97,27.78,10037381
#2013-07-08#,28.17,28.26,27,27.02,10257092
#2013-07-09#,27.22,27.5,26.58,27.07,12729791
#2013-07-10#,27.09,27.19,26.47,26.61,11386437
#2013-07-11#,27.67,28.3,27.4,28.12,12732659
#2013-07-12#,27.94,27.94,27.131,27.43,7777858
#2013-07-15#,27.55,27.69,27.16,27.57,5790247
#2013-07-16#,27.78,28.74,27.73,28.45,9441253
#2013-07-17#,28.64,29,28,28.03,8000978
#2013-07-18#,28.31,28.445,27.76,28.06,5414950
#2013-07-19#,28.44,28.95,28.2,28.69,8716670
#2013-07-22#,29.85,30.68,29.75,30.35,9266310
#2013-07-23#,30.34,31.41,29.95,31.14,8958036
#2013-07-24#,31.04,31.05,29.09,29.61,9222310
#2013-07-25#,29.37,30.72,29.26,29.93,8694909
#2013-07-26#,29.43,30.44,28.5,30.38,10741283
#2013-07-29#,30.38,30.5,29.6,30.11,9566755
#2013-07-30#,29.89,30.34,29.61,30.15,7056355
#2013-07-31#,30.03,30.58,29.44,30,9465051
#2013-08-01#,30.24,30.35,29.5,29.59,8154045
#2013-08-02#,29.6,30.17,28.71,28.79,9403573
#2013-08-05#,28.79,29.16,28.37,28.48,6595212
#2013-08-06#,28.1,28.15,26.61,26.63,13004722
#2013-08-07#,26.61,27.04,26.43,26.48,8279489
#2013-08-08#,26.8,29.03,26.715,28.78,13608951
#2013-08-09#,28.73,29.78,28.21,29.51,10214034
#2013-08-12#,30.39,31.24,30.3,30.9,11570214
#2013-08-13#,30.76,30.76,29.86,30.08,7900764
#2013-08-14#,30.32,32.1,30.22,31.94,12370227
#2013-08-15#,31.59,33.375,31.45,33.22,13755254
#2013-08-16#,33.35,33.9,32.14,32.38,13107892
#2013-08-19#,32.37,32.77,31.91,32.08,6790876
#2013-08-20#,32.05,33.12,31.94,32.81,7179382
#2013-08-21#,32.58,32.77,31.82,31.84,6599012
#2013-08-22#,32.31,32.95,32.01,32.17,6518943
#2013-08-23#,32.14,33.63,32.07,33,7104726
#2013-08-26#,33.19,33.84,32.77,33.29,7491532
#2013-08-27#,34.08,34.27,32.02,32.11,10083638
#2013-08-28#,32.37,32.96,31.23,31.34,9752735
#2013-08-29#,31.13,32.12,30.72,31.83,9469992
#2013-08-30#,31.38,32.14,31.27,31.77,7643427
#2013-09-02#,31.38,32.14,31.27,31.77,7643427
#2013-09-03#,32,32.18,31.27,31.47,7680507
#2013-09-04#,31.17,31.7,30.85,31.62,7005902
#2013-09-05#,31.46,31.53,30.2,30.3,10801062
#2013-09-06#,30.79,31.175,30.34,30.43,7382170
#2013-09-09#,30.49,30.75,30.07,30.38,6395910
#2013-09-10#,29.9,29.96,29.15,29.2,9576302
#2013-09-11#,29.23,29.63,29.03,29.46,7363584
#2013-09-12#,28.7,28.86,28.2,28.23,10806056
#2013-09-13#,28.15,28.675,27.73,28.2,10408254
#2013-09-16#,28.2,28.76,27.98,28.13,9134483
#2013-09-17#,28.29,28.52,27.98,28.52,6112639
#2013-09-18#,28.39,31.12,28.12,30.87,14844120
#2013-09-19#,30.92,30.97,29.33,29.78,10496146
#2013-09-20#,29.52,29.52,28.07,28.07,17727824
#2013-09-23#,28.13,28.75,27.79,27.88,8633543
#2013-09-24#,27.7,28.2897,27.39,28,8518772
#2013-09-25#,28.16,28.83,27.95,28.31,8089881
#2013-09-26#,28.36,28.69,27.78,28.17,6433425
#2013-09-27#,28.39,28.8075,27.83,27.98,8100946
#2013-09-30#,27.74,28.385,27.7,28.1,8034767
#2013-10-01#,27.41,27.5,26.73,27.21,13805828
#2013-10-02#,27.48,27.79,27.33,27.53,9921375
#2013-10-03#,27.41,27.68,26.9401,26.96,6795822
#2013-10-04#,26.96,27.07,26.57,26.8,5443098
#2013-10-07#,26.95,27.28,26.85,27.17,6380637
#2013-10-08#,27.21,27.47,26.285,26.35,7933189
#2013-10-09#,26.19,26.76,25.81,26.5,9555823
#2013-10-10#,26.58,26.64,26.02,26.3,7410202
#2013-10-11#,25.87,25.92,25.5,25.62,11408715
#2013-10-14#,25.92,26.02,25.57,25.74,6981576
#2013-10-15#,25.56,26.16,25.33,26.1,11650817
#2013-10-16#,26.01,26.27,25.71,25.88,7096767
#2013-10-17#,26.88,27.42,26.65,27.06,9440311
#2013-10-18#,27.12,27.29,26.811,26.92,5135162
#2013-10-21#,27.06,27.51,27.01,27.5,5206820
#2013-10-22#,27.75,28.71,27.75,28.46,9769048
#2013-10-23#,28.4,28.4868,27.28,27.29,9154866
#2013-10-24#,27.72,28.155,27.59,27.65,14327386
#2013-10-25#,27.5,28.02,27.37,27.83,8791910
#2013-10-28#,27.85,28.5,27.51,28.08,9074268
#2013-10-29#,28.01,28.22,27.5248,27.65,6606136
#2013-10-30#,28.04,28.47,27.06,28.04,9020738
#2013-10-31#,27.53,27.66,26.93,27.26,9313639
#2013-11-01#,26.97,27.06,25.875,25.98,15063231
#2013-11-04#,26.39,27.42,26.27,27.33,10079994
#2013-11-05#,27.23,27.58,26.99,27.35,7848242
#2013-11-06#,27.64,28.08,27.52,27.92,7479894
#2013-11-07#,27.69,28.08,27.28,27.35,7978141
#2013-11-08#,27.07,27.59,26.5001,27.57,8202704
#2013-11-11#,27.34,27.65,26.74,27.58,6432904
#2013-11-12#,27.42,27.54,26.78,26.98,7687612
#2013-11-13#,27.1,27.3799,27,27.3,5819158
#2013-11-14#,27.55,28.2,27.52,28.07,8665102
#2013-11-15#,28.15,28.4473,27.79,27.79,6059623
