"Date","Open","High","Low","Close","Volume"
#2017-01-02#,75.85,75.85,74.7598,75.04,1425283
#2017-01-03#,75.81,76.2,75.15,75.93,2237583
#2017-01-04#,76.27,76.68,75.89,76.12,1116680
#2017-01-05#,76,76.12,74.35,75.23,1759473
#2017-01-06#,75.43,75.535,74.85,75.06,2001120
#2017-01-09#,75,75.34,74.74,74.9,1529664
#2017-01-10#,75.15,76.15,74.875,76.01,1604927
#2017-01-11#,76.41,77.22,75.94,77.16,1880868
#2017-01-12#,77.05,77.1099,75.2,76.64,1637526
#2017-01-13#,76.9,77.7,76.81,77.27,1049730
#2017-01-16#,76.9,77.7,76.81,77.27,1049730
#2017-01-17#,76.78,77.33,76.31,76.59,1457507
#2017-01-18#,76.89,77.15,76.49,77.14,1592679
#2017-01-19#,77.26,78.31,77.26,78.25,2481822
#2017-01-20#,78.52,78.72,78.15,78.64,2177932
#2017-01-23#,78.48,78.57,77.97,78.42,1913199
#2017-01-24#,78.54,80.28,78.54,79.59,2898695
#2017-01-25#,80.45,80.87,80.05,80.4,3085403
#2017-01-26#,80.24,80.71,80,80.17,1933632
#2017-01-27#,80.44,80.66,79.8899,80,1776719
#2017-01-30#,79.4,79.69,78.67,79.55,2289464
#2017-01-31#,79.45,79.69,78.38,79.35,2845615
#2017-02-01#,77.17,79.33,77,78,4180149
#2017-02-02#,78,78.65,77.51,78,2336898
#2017-02-03#,78.38,79.06,78.13,79.02,1463256
#2017-02-06#,78.72,80,78.4,79.91,2439763
#2017-02-07#,80.01,80.685,79.73,79.85,2136247
#2017-02-08#,79.7,80.2,79.42,80.08,1701669
#2017-02-09#,80.09,81.25,80.08,80.82,1565011
#2017-02-10#,81,81.99,80.81,81.19,2811171
#2017-02-13#,81.45,82.17,81.31,81.98,2730745
#2017-02-14#,81.76,81.8,81.08,81.67,1723737
#2017-02-15#,81.58,81.99,81.11,81.62,1914228
#2017-02-16#,81.67,81.76,80.7,81.1,1996646
#2017-02-17#,80.91,81.255,80.41,80.99,1700363
#2017-02-20#,80.91,81.255,80.41,80.99,1700363
#2017-02-21#,80.94,81.7,80.864,81.51,1497913
#2017-02-22#,81.07,81.65,80.82,81.5,1793876
#2017-02-23#,81.98,82.14,80.81,81.24,1508502
#2017-02-24#,80.67,81.32,80.17,81.32,1484309
#2017-02-27#,81.3,81.44,80.9,81.04,1573041
#2017-02-28#,81.03,81.14,79.31,79.36,3102818
#2017-03-01#,80.43,81.59,80.43,81,3027949
#2017-03-02#,80.85,80.93,79.9,80.02,1371024
#2017-03-03#,80.13,80.27,79.18,79.96,1359659
#2017-03-06#,79.36,79.66,79,79.34,1673854
#2017-03-07#,79.29,79.71,79.24,79.59,2161600
#2017-03-08#,79.22,79.72,79.08,79.17,1661955
#2017-03-09#,79.23,79.53,78.14,78.6,1274621
#2017-03-10#,79.26,79.65,78.38,79.49,1291397
#2017-03-13#,79.49,79.73,79.31,79.66,987607
#2017-03-14#,79.22,79.4,78.64,79.01,1170317
#2017-03-15#,79.48,81.23,79.23,80.81,1613380
#2017-03-16#,81.2,81.27,80.15,80.55,1327096
#2017-03-17#,80.91,81.19,80.3,80.99,1971625
#2017-03-20#,81.82,81.95,80.75,81.26,1580500
#2017-03-21#,81.56,81.7284,79.19,79.36,1674562
#2017-03-22#,79.28,79.88,79.04,79.62,1104635
#2017-03-23#,79.58,80.26,79.04,79.81,635703
#2017-03-24#,79.83,80.155,78.85,79.18,980975
#2017-03-27#,78.37,79.01,77.26,78.56,1652663
#2017-03-28#,78.63,80.06,78.19,79.69,1652501
#2017-03-29#,79.39,79.875,79.29,79.82,1496257
#2017-03-30#,79.64,80.92,79.58,80.9,1220897
#2017-03-31#,80.6,81.58,80.535,81.32,1961822
#2017-04-03#,81.57,81.9,80.48,81.22,2463626
#2017-04-04#,81.14,81.53,80.655,81.48,1286101
#2017-04-05#,81.67,83.12,81.59,81.87,2562158
#2017-04-06#,81.95,83.4,81.74,82.67,1759598
#2017-04-07#,82.49,83.1,82.36,82.62,1723411
#2017-04-10#,82.61,83.725,82.58,83.25,1762175
#2017-04-11#,83.18,83.99,82.75,83.65,1817151
#2017-04-12#,83.58,83.58,82.03,82.29,2259409
#2017-04-13#,82.03,83.33,81.82,81.86,2399297
#2017-04-14#,82.03,83.33,81.82,81.86,2399297
#2017-04-17#,82.23,82.39,81.79,82.24,1997961
#2017-04-18#,81.7,82.21,81.25,81.93,1906294
#2017-04-19#,82.38,82.6,81.53,81.85,1687218
#2017-04-20#,82.4,83.26,81.94,82.75,1718093
#2017-04-21#,82.98,83.39,82.53,83.03,1507512
#2017-04-24#,84.39,84.96,83.4,84.19,1621127
#2017-04-25#,84.92,85.945,84.67,85.66,2347752
#2017-04-26#,86.87,89.06,86.46,88.68,3153804
#2017-04-27#,88.71,89.75,88.5,89.25,2074772
#2017-04-28#,89.37,89.5728,88.41,88.75,1755510
#2017-05-01#,89.03,89.03,87.99,88.78,1437710
#2017-05-02#,89.03,89.41,88.7,89.3,1367287
#2017-05-03#,88.93,89.29,88.61,89.1,1468611
#2017-05-04#,89.41,89.87,88.9,89.82,1413734
#2017-05-05#,90.05,90.175,89.56,90.01,1047879
#2017-05-08#,89.88,90.15,89.2,89.4,1452296
#2017-05-09#,89.54,89.87,89.13,89.36,1104546
#2017-05-10#,89.36,89.525,87.43,88.52,3058688
#2017-05-11#,88.44,88.58,87.36,88.43,1604057
#2017-05-12#,88.26,88.38,87.85,88.01,1659702
#2017-05-15#,88.12,88.71,88.01,88.53,1295963
#2017-05-16#,88.98,89.08,88.37,88.81,1325143
#2017-05-17#,87.77,88.39,87.501,87.71,1762726
#2017-05-18#,87.29,88.8,86.68,88.17,1555548
#2017-05-19#,88.86,89.74,88.27,89.24,1422738
#2017-05-22#,89.81,89.91,88.93,89.23,1167604
#2017-05-23#,89.44,89.65,88.68,89.03,1141272
#2017-05-24#,89.22,89.665,88.37,88.52,2113982
#2017-05-25#,89.05,89.47,88.58,89.31,988483
#2017-05-26#,89.08,89.83,89.08,89.35,657960
#2017-05-29#,89.08,89.83,89.08,89.35,657960
#2017-05-30#,89.13,89.39,88.54,89.19,885541
#2017-05-31#,88.78,89.75,88.43,89.6,1550351
#2017-06-01#,89.97,89.99,88.92,89.6,1370511
#2017-06-02#,89.6,89.9665,89.31,89.48,1133978
#2017-06-05#,89.33,90.11,89.09,89.35,1888835
#2017-06-06#,88.87,89.39,88.085,88.91,1361533
#2017-06-07#,89.04,89.305,87.67,88.13,2032752
#2017-06-08#,88,88.26,87.72,87.97,1693312
#2017-06-09#,88,88.37,87.65,88.11,1735761
