"Date","Open","High","Low","Close","Volume"
#2017-01-02#,70.07,70.79,69.51,69.73,2447251
#2017-01-03#,70.56,71.76,69.4,70.25,3980018
#2017-01-04#,70.33,71,69.76,70.81,3681112
#2017-01-05#,71.11,72,70.6281,71.61,3872800
#2017-01-06#,72,72.26,70.88,71.74,5757411
#2017-01-09#,71,71.62,69.86,69.98,4167751
#2017-01-10#,70.14,70.3,69.3,69.58,4141560
#2017-01-11#,69.94,71.63,69.23,71.6,3383900
#2017-01-12#,72.14,72.319,71,71.49,3132659
#2017-01-13#,71,71.91,70.67,71.24,2632942
#2017-01-16#,71,71.91,70.67,71.24,2632942
#2017-01-17#,71.67,71.76,70.515,70.72,2547420
#2017-01-18#,70,70.48,69.21,69.89,4029899
#2017-01-19#,69.97,70.68,69.63,70.18,3678738
#2017-01-20#,70.95,71.289,69.72,70.03,3351432
#2017-01-23#,69.58,70.08,69.18,69.86,2592341
#2017-01-24#,70.47,71.88,70.0701,71.18,3449795
#2017-01-25#,71.12,71.86,70.56,70.67,3592415
#2017-01-26#,70.95,71.975,70.64,71.14,2931033
#2017-01-27#,70.73,70.85,69.82,70.01,2474135
#2017-01-30#,69.75,69.75,67.37,68.83,4463010
#2017-01-31#,68.9,69.69,67.95,69.53,5373847
#2017-02-01#,70.27,71.25,67.24,68.36,6303374
#2017-02-02#,68.55,69.6015,67.4101,69.1,5207496
#2017-02-03#,68.83,70.83,68.83,70.4,4969330
#2017-02-06#,70.5,70.87,68.78,69.1,3189781
#2017-02-07#,68.52,68.81,66.83,67.14,4494988
#2017-02-08#,66.5,67.62,65.6,67.15,4179267
#2017-02-09#,67.86,68.66,67.6701,68.42,2824156
#2017-02-10#,68.97,70,68.79,69.34,4513042
#2017-02-13#,68.86,68.97,67.75,68.14,3069435
#2017-02-14#,68.29,68.4148,66.86,68.33,4310342
#2017-02-15#,68.27,68.4,67.19,67.52,5561024
#2017-02-16#,67.81,67.97,66.4397,66.6,4962225
#2017-02-17#,65.99,66.94,65.9,66.77,3455908
#2017-02-20#,65.99,66.94,65.9,66.77,3455908
#2017-02-21#,67.83,68.09,67.13,67.21,3858068
#2017-02-22#,66.63,67.29,65.75,65.84,5040618
#2017-02-23#,66.87,67.14,65.35,65.98,3308254
#2017-02-24#,65.3,66.24,64.36,64.77,4833040
#2017-02-27#,65.09,65.65,64.28,64.9,5338747
#2017-02-28#,64.67,64.81,64,64.65,4246035
#2017-03-01#,65.49,66.66,65.17,66.02,3908441
#2017-03-02#,65.24,65.55,64.046,64.09,4619255
#2017-03-03#,64.11,64.11,62.62,63.21,7090806
#2017-03-06#,62.84,63.39,62.31,63.25,4957626
#2017-03-07#,63.04,63.3875,62.57,63.16,4934796
#2017-03-08#,62.65,63.57,61.18,61.4,7999335
#2017-03-09#,61.02,62.235,60.63,61.94,5747687
#2017-03-10#,62.13,62.405,61.28,61.89,4391871
#2017-03-13#,61.78,62.84,61.75,62.82,4240161
#2017-03-14#,62,62,60.91,61.81,4491997
#2017-03-15#,62.69,64.15,61.94,64.08,5356386
#2017-03-16#,64,64.17,62.93,63.4,2983937
#2017-03-17#,63.55,63.95,63.19,63.25,3666876
#2017-03-20#,62.62,63.03,62.04,62.84,3419155
#2017-03-21#,63.08,63.25,61.59,61.82,3048145
#2017-03-22#,61.34,62.0575,61.1,61.63,2542999
#2017-03-23#,61.34,61.6,60.46,60.79,4039234
#2017-03-24#,61.05,61.33,60.15,60.34,3559012
#2017-03-27#,59.6,60.26,59.34,59.94,3512404
#2017-03-28#,60.24,61.42,60,61.14,4473495
#2017-03-29#,61.1,62.56,61.07,62.45,3912196
#2017-03-30#,63.11,63.3,62.06,62.17,5742258
#2017-03-31#,62.19,62.71,61.54,62,3782021
#2017-04-03#,61.9,62.22,61.01,61.79,2581435
#2017-04-04#,62.02,62.76,61.4608,62.71,3132144
#2017-04-05#,63.27,64.15,62.55,62.85,6442906
#2017-04-06#,63.12,63.61,62.55,62.89,2673076
#2017-04-07#,63.07,63.08,62.2832,62.43,2205071
#2017-04-10#,62.71,63.25,62.64,62.89,2239403
#2017-04-11#,62.83,62.93,61.65,62.9,2864501
#2017-04-12#,63.07,63.549,62.16,62.54,2470750
#2017-04-13#,62.46,62.78,60.84,61.09,4660881
