"Date","Open","High","Low","Close","Volume"
#2011-01-03#,95.99,95.99,95.1,95.22,1529521
#2011-01-04#,95.79,95.91,93.84,94.56,1475563
#2011-01-05#,94.07,94.6,93.92,94.49,1238989
#2011-01-06#,94.32,94.35,92.88,93.05,1746898
#2011-01-07#,93.18,94.45,93.04,94.29,2237456
#2011-01-10#,93.36,93.5,93,93.18,2054358
#2011-01-11#,93.36,93.49,92.79,93.3,1414134
#2011-01-12#,94.06,94.11,93.43,93.72,1271451
#2011-01-13#,93.9,93.99,92.55,92.9,1774546
#2011-01-14#,92.75,93.12,92.19,92.99,2014589
#2011-01-17#,92.75,93.12,92.19,92.99,2014589
#2011-01-18#,93.07,93.85,92.87,93.44,1144127
#2011-01-19#,93.51,93.64,92.08,92.28,1439634
#2011-01-20#,92.3,92.5,91.07,91.18,1518854
#2011-01-21#,91.71,92.15,90.95,91.04,1578173
#2011-01-24#,90.32,91.55,90.04,91.44,1302761
#2011-01-25#,91.08,91.31,90.57,91.24,1876596
#2011-01-26#,91.26,91.98,90.53,91.49,2221186
#2011-01-27#,91.14,91.93,90.87,91.91,1363497
#2011-01-28#,91.92,92.61,90.61,90.87,1504928
#2011-01-31#,91.01,93.04,91.01,93.04,1834533
#2011-02-01#,93.46,95.28,93.43,95.28,1712170
#2011-02-02#,94.75,95.13,94.18,95.02,1583424
#2011-02-03#,94.78,95.06,94.08,94.82,1393820
#2011-02-04#,94.9,95.24,94.38,95.24,1574878
#2011-02-07#,95.35,95.52,94.72,95.09,1234295
#2011-02-08#,95.3,95.41,94.58,95.18,1095039
#2011-02-09#,94.81,95.8,94.62,94.77,1002882
#2011-02-10#,94.6,95.55,94.44,95.53,1767471
#2011-02-11#,95.38,97.39,95.02,97,1491578
#2011-02-14#,96.73,97.4,96.66,96.79,1115920
#2011-02-15#,96.7,97.1,96,96.86,1240503
#2011-02-16#,97,98.24,96.91,98.23,1940188
#2011-02-17#,97.2,98.32,96.64,98.32,1673713
#2011-02-18#,98.43,99.15,97.88,99.09,1959638
#2011-02-21#,98.43,99.15,97.88,99.09,1959638
#2011-02-22#,97,98.47,96.45,97.84,1841308
#2011-02-23#,97.66,98.09,95.8,97,1742405
#2011-02-24#,96.81,97.58,96.23,97.46,2158366
#2011-02-25#,97.65,99.08,97.5,98.3,1403514
#2011-02-28#,98.09,99.38,98.06,99.38,1396908
#2011-03-01#,99.78,99.92,97.76,97.78,1606577
#2011-03-02#,98.02,98.82,97.372,97.98,1657671
