"Date","Open","High","Low","Close","Volume"
#2010-01-01#,59.65,59.89,59.05,59.11,562277
#2010-01-04#,59.31,60.138,59.31,60.02,782323
#2010-01-05#,61.32,61.98,60.65,61.92,1718099
#2010-01-06#,62.06,62.12,61.47,61.9,1277246
#2010-01-07#,62.85,63.7,62.16,63.32,1683420
#2010-01-08#,61.81,62.84,61.1,61.99,2149427
#2010-01-11#,62.4,63.81,62.2,63.36,1425915
#2010-01-12#,63.2,63.56,61.73,62.14,1476122
#2010-01-13#,62.26,62.79,61.732,62.55,766379
#2010-01-14#,62.4,62.87,62.15,62.73,755277
#2010-01-15#,62.49,62.69,61.45,61.75,1431406
#2010-01-18#,62.49,62.69,61.45,61.75,1431406
#2010-01-19#,61.94,63.74,61.9,63.71,1656509
#2010-01-20#,63.7,64.77,62.04,62.53,1544590
#2010-01-21#,62.53,63,61.19,61.35,1037976
#2010-01-22#,62.1,63.01,60.56,60.59,1666596
#2010-01-25#,61.22,62.15,60.53,60.84,1886025
#2010-01-26#,60.68,61.16,60.42,60.66,1369383
#2010-01-27#,60.47,60.47,58.89,59.88,1655081
#2010-01-28#,58.25,59.28,56.525,56.85,3495663
#2010-01-29#,56.94,56.97,55.35,56.32,3514428
#2010-02-01#,56.46,57.09,55.57,57.03,2072478
#2010-02-02#,57.11,58.52,56.95,58.3,2173470
#2010-02-03#,58.17,58.17,57.06,57.13,1272085
#2010-02-04#,56.59,56.88,55.57,55.62,1618902
#2010-02-05#,55.5,55.59,54.715,55.43,1726877
#2010-02-08#,55.21,56.31,55.21,55.42,1338114
#2010-02-09#,55.89,56.53,55.57,56.08,1518946
#2010-02-10#,56.01,57.22,55.9,56.68,2530771
#2010-02-11#,56.42,57.94,56.42,57.6,2396209
#2010-02-12#,57.05,57.43,56.56,57.24,1156568
#2010-02-15#,57.05,57.43,56.56,57.24,1156568
#2010-02-16#,57.47,58.36,57.34,58.36,1000177
#2010-02-17#,58.42,58.54,58.02,58.34,984130
#2010-02-18#,58.12,58.49,57.995,58.4,767130
#2010-02-19#,58.29,58.62,57.65,58.1,1072328
#2010-02-22#,58.1,58.31,57.73,58.14,701489
#2010-02-23#,57.94,58.02,57.02,57.38,820703
#2010-02-24#,57.47,57.9119,57.2125,57.44,1071585
#2010-02-25#,57.07,57.32,56.48,57.24,1054187
#2010-02-26#,57.22,57.76,57,57.33,917465
#2010-03-01#,57.43,58.57,57.28,58.23,1132222
#2010-03-02#,58.44,59.32,58.23,59.06,964046
#2010-03-03#,59,59.238,58.72,59.04,869142
#2010-03-04#,59.15,59.15,58.5,58.78,1172496
#2010-03-05#,58.87,60.3,58.79,60.1,1614168
#2010-03-08#,60.13,60.52,59.51,59.55,1025400
#2010-03-09#,59.18,59.48,59.04,59.11,1202787
#2010-03-10#,58.94,59.07,58.5,58.86,1256390
#2010-03-11#,58.65,58.76,56.1,57.03,9028442
#2010-03-12#,57.44,59.3,57.44,59.24,4746764
#2010-03-15#,58.98,59.35,58.005,58.24,2643883
#2010-03-16#,58.45,58.65,57.39,57.81,1964478
#2010-03-17#,57.84,58,57.41,57.64,2172387
#2010-03-18#,57.63,57.79,57.33,57.44,1729088
#2010-03-19#,57.58,57.58,56.23,56.97,2438575
#2010-03-22#,57.01,58.27,56.82,58.2,3306578
#2010-03-23#,58.27,58.61,57.57,58.46,1468011
#2010-03-24#,58.19,58.63,57.96,58.05,993710
#2010-03-25#,58.35,58.35,57.46,57.48,1327788
#2010-03-26#,57.7,57.98,57.15,57.31,1223615
