"Date","Open","High","Low","Close","Volume"
#2019-01-01#,18.56,18.92,18.28,18.76,4520987
#2019-01-02#,18.32,19.36,17.98,19.33,6947546
#2019-01-03#,19.33,19.4825,18.63,19.15,7002269
#2019-01-04#,19.62,20.73,19.49,20.68,7727342
#2019-01-07#,20.77,21.6854,20.51,21.39,6315288
#2019-01-08#,21.64,21.89,21.24,21.32,4370601
#2019-01-09#,21.78,22.48,21.45,22.23,7729790
#2019-01-10#,21.82,22.52,21.66,22.37,5792683
#2019-01-11#,22.07,22.25,21.775,22.19,4186578
#2019-01-14#,21.9,22.39,21.78,22.31,6635609
#2019-01-15#,22.63,23,22.5,22.71,7092645
#2019-01-16#,22.68,23.365,22.65,22.98,8872576
#2019-01-17#,22.67,23.39,22.58,23.19,4372104
#2019-01-18#,23.43,23.67,23.1198,23.39,6683608
#2019-01-21#,23.43,23.67,23.1198,23.39,6683608
#2019-01-22#,23.08,23.105,22.375,22.45,4155545
#2019-01-23#,22.61,22.75,21.455,21.57,6118214
#2019-01-24#,21.56,21.6045,20.93,21.29,8183776
#2019-01-25#,21.53,22.165,21.49,21.93,4097497
#2019-01-28#,21.44,21.88,21.38,21.81,3379757
#2019-01-29#,22.02,22.88,21.89,22.64,8040025
#2019-01-30#,22.81,23,22.515,22.98,5008278
#2019-01-31#,23.11,23.2,22.17,22.34,4004362
#2019-02-01#,22.44,22.74,22.16,22.39,4456571
#2019-02-04#,22.17,22.96,22.13,22.91,4480219
#2019-02-05#,22.96,23.225,22.7553,22.86,4878103
#2019-02-06#,22.67,22.7,22.265,22.37,3943489
#2019-02-07#,22.21,22.2194,20.98,21.06,4952181
#2019-02-08#,20.89,20.99,19.91,20.64,5913891
#2019-02-11#,20.38,21.01,20.13,21,5516896
#2019-02-12#,21.47,21.755,21.13,21.21,6236942
#2019-02-13#,21.33,21.95,21.33,21.89,4227961
#2019-02-14#,21.71,22.135,21.6,22.01,4803818
#2019-02-15#,22.26,22.87,22.16,22.64,11177034
#2019-02-18#,22.26,22.87,22.16,22.64,11177034
#2019-02-19#,22.25,24.11,21.75,23.7,15742640
#2019-02-20#,23.43,24.2,23.21,24.05,9402435
#2019-02-21#,23.88,24.23,23.68,23.86,8385354
#2019-02-22#,24.09,24.1,23.02,23.16,7021161
#2019-02-25#,22.94,23.39,22.71,22.72,5269682
#2019-02-26#,22.67,22.89,22.08,22.11,7552810
#2019-02-27#,22.29,22.655,21.76,22.48,8418645
#2019-02-28#,22.58,22.595,21.78,22.15,7986690
#2019-03-01#,22.25,22.83,22.16,22.83,7432872
#2019-03-04#,23,23.65,23,23.63,8705529
#2019-03-05#,23.77,23.85,23.3,23.58,5817142
#2019-03-06#,23.37,23.62,22.93,23,7621891
#2019-03-07#,22.95,22.985,22.41,22.64,4816561
#2019-03-08#,22.12,22.16,21.32,21.42,7056560
#2019-03-11#,21.53,22.08,21.41,22.04,4750945
#2019-03-12#,22.2,22.585,21.95,22.44,4379477
#2019-03-13#,22.57,22.755,21.9,22.47,5168091
#2019-03-14#,22.48,22.81,22.32,22.69,5174581
#2019-03-15#,22.46,23.23,22.45,23.1,7739182
#2019-03-18#,23.24,23.9,23.24,23.8,4334362
#2019-03-19#,24.54,24.6,23.85,24,6786174
