"Date","Open","High","Low","Close","Volume"
#2013-01-01#,50.4,53.22,50.4,53.1,4234989
#2013-01-02#,54.25,55.31,53.23,55.26,5231367
#2013-01-03#,55.03,55.17,52.87,53.19,5293064
#2013-01-04#,53.12,53.675,52.29,53.14,4161031
#2013-01-07#,52.48,52.48,50.77,51.36,6884099
#2013-01-08#,51.2,51.775,51.08,51.59,3576909
#2013-01-09#,51.56,52.15,51.02,51.32,4430231
#2013-01-10#,51.64,51.84,51.224,51.51,3403346
#2013-01-11#,51.28,51.7,50.36,50.58,4615796
#2013-01-14#,50.67,51.42,50.12,51.35,5000840
#2013-01-15#,51.35,52.33,51.2,52.24,4499582
#2013-01-16#,52.13,54.55,52.07,54.52,8025560
#2013-01-17#,54.98,55.83,54.19,55.15,5976768
#2013-01-18#,55.21,55.74,54.58,55.07,5999412
#2013-01-21#,55.21,55.74,54.58,55.07,5999412
#2013-01-22#,55.24,55.24,53.9194,54.61,4461942
#2013-01-23#,54.72,56.19,54.2,55.52,4294571
#2013-01-24#,55.5,56.95,55.37,56.12,4704870
#2013-01-25#,56.5,56.89,56.11,56.81,3612623
#2013-01-28#,57.09,57.68,56.5,57.09,4055966
#2013-01-29#,58,60.45,57.96,59.88,8452889
#2013-01-30#,62.38,62.91,60.65,60.76,7922446
#2013-01-31#,60.37,61.05,59.91,60.57,5452274
#2013-02-01#,62,63.25,61.22,62.75,4709684
#2013-02-04#,62.13,62.25,61.16,61.22,3796773
#2013-02-05#,61.72,61.982,60.98,61.01,4578981
#2013-02-06#,60.79,62.5,60.71,61.72,5068678
#2013-02-07#,61.88,63.34,61,63.26,4393613
#2013-02-08#,63.41,65.24,63.22,64.02,4746271
#2013-02-11#,64,64.66,63.72,64.18,3098615
#2013-02-12#,64.62,64.78,63.78,64.43,3702321
#2013-02-13#,64.5,64.5,63.85,64.11,2777089
#2013-02-14#,63.77,64.92,63.75,64.83,3560119
#2013-02-15#,64.55,65.38,63.53,64.17,3788421
#2013-02-18#,64.55,65.38,63.53,64.17,3788421
#2013-02-19#,64.02,64.89,63.54,64.76,3092383
#2013-02-20#,64.75,64.945,62.54,62.64,4848653
#2013-02-21#,62.32,62.92,61.22,62.29,5033132
#2013-02-22#,62.78,64.12,62.51,64.11,3049275
#2013-02-25#,64.49,64.74,61.31,61.34,4295033
#2013-02-26#,61.48,61.69,59.935,61.23,4346822
#2013-02-27#,61.3,63.1225,61,62.99,2581416
#2013-02-28#,62.86,64.265,62,62.96,4226784
#2013-03-01#,62.71,63.93,62.19,63.9,3150179
#2013-03-04#,63.84,65.74,63.54,65.68,3759112
#2013-03-05#,66.04,66.05,64.52,65.77,3920271
#2013-03-06#,66,66.975,65.4,66.05,2930455
#2013-03-07#,65.89,66.1199,64.791,65.87,3429702
#2013-03-08#,66.08,66.28,65.6,66.03,4045212
#2013-03-11#,65.9,66.08,63.94,65.69,4966759
#2013-03-12#,65.66,66.4,65.211,66.22,4134693
#2013-03-13#,65.88,66.04,64.2,64.55,4785309
#2013-03-14#,64.96,65.45,64.2929,64.95,3836975
#2013-03-15#,64.49,65.24,64.11,64.15,5983383
#2013-03-18#,63.32,65.29,63.011,65.03,3644747
#2013-03-19#,64.88,66.35,64.66,65.41,4124338
#2013-03-20#,66,68.44,65.95,67.54,5088263
#2013-03-21#,67,67.84,66.11,66.82,3394838
#2013-03-22#,66.97,67.79,66.84,67.55,2651543
#2013-03-25#,67.94,68.7,66.65,66.86,3905333
#2013-03-26#,66.98,67.41,66.37,67.24,3243532
#2013-03-27#,67.13,68.29,66.462,68.27,3921471
#2013-03-28#,68.38,70.52,67.96,69.97,6224846
#2013-03-29#,68.38,70.52,67.96,69.97,6224846
#2013-04-01#,70,70.19,68.73,69.36,3015491
#2013-04-02#,70.17,70.2,66.705,66.84,5680256
#2013-04-03#,66.84,66.875,61.47,62.46,14033826
#2013-04-04#,62.57,63.95,61.9356,62.39,6139078
#2013-04-05#,61.26,62.97,60.2,62.31,5289787
#2013-04-08#,62.29,63.8,61.9,63.62,3969301
#2013-04-09#,63.95,65.23,62.86,64.66,4291901
#2013-04-10#,64.78,65.21,63.0475,63.86,6006488
#2013-04-11#,63.81,63.86,61.81,62.01,6205726
#2013-04-12#,61.37,61.74,59.07,60.67,8307864
#2013-04-15#,59.18,59.9899,57.08,57.52,7897962
#2013-04-16#,58.15,59.32,57.77,59.28,5644287
#2013-04-17#,58.55,58.79,57.158,57.99,4602098
#2013-04-18#,57.92,58.54,56.13,57.23,4270153
#2013-04-19#,58.14,58.14,56.46,57.84,5045419
#2013-04-22#,58.12,60.34,58.07,59.43,3659439
#2013-04-23#,59.59,61.4201,59.36,61.15,5320070
#2013-04-24#,61.41,63.05,61.31,61.82,4772100
#2013-04-25#,62.04,63.09,61.78,61.9,4384071
#2013-04-26#,61.85,62.08,61.14,61.6,3034655
#2013-04-29#,61.97,62.3,61.48,61.8,3446189
#2013-04-30#,61.93,62.195,60.02,60.95,5459070
