"Date","Open","High","Low","Close","Volume"
#2013-01-01#,62,62.64,61.791,62.63,1187326
#2013-01-02#,64.25,65.31,64.16,65.28,1860280
#2013-01-03#,65.21,66.01,65.06,65.17,1673126
#2013-01-04#,65.24,66.03,65.1,65.95,827547
#2013-01-07#,65.65,65.749,64.975,65.25,1136913
#2013-01-08#,63.9,64.68,63.59,63.98,1454124
#2013-01-09#,64.25,64.61,64.13,64.27,957753
#2013-01-10#,64.8,65,64.49,65,939734
#2013-01-11#,64.77,65.36,64.62,65.07,1116866
#2013-01-14#,65.08,65.38,64.96,65.3,1347542
#2013-01-15#,64.93,65.12,64.39,64.88,1247729
#2013-01-16#,64.63,64.705,64.1,64.25,1196902
#2013-01-17#,64.53,65.6,64.42,65.4,1285625
#2013-01-18#,65.26,65.92,64.79,65.9,1306223
#2013-01-21#,65.26,65.92,64.79,65.9,1306223
#2013-01-22#,65.69,66.53,65.62,66.53,857692
#2013-01-23#,66.36,66.48,65.95,66.43,678857
#2013-01-24#,66.53,67.305,66.39,66.88,1215288
#2013-01-25#,67.1,67.38,66.57,67.38,951048
#2013-01-28#,67.4,67.4,66.33,66.79,879641
#2013-01-29#,66.55,67.41,66.25,67.39,1371537
#2013-01-30#,67.19,67.32,66.31,66.86,1764192
#2013-01-31#,66.86,67.44,65.72,66.32,2340484
#2013-02-01#,67.15,67.34,66.49,67.15,1508251
#2013-02-04#,66.67,66.76,65.14,65.31,3297150
#2013-02-05#,65.94,66.535,65.75,66.28,1494337
#2013-02-06#,65.8,66.61,65.73,66.61,1327347
#2013-02-07#,66.48,66.718,65.47,66.13,1320988
#2013-02-08#,66.21,66.62,66.08,66.49,862562
#2013-02-11#,66.4,66.69,66.17,66.49,635993
#2013-02-12#,66.71,67.54,66.6,67.49,1445989
#2013-02-13#,67.5,68.22,67.32,67.89,1173707
#2013-02-14#,67.58,69.12,67.58,69.04,1572907
#2013-02-15#,69.17,69.335,68.71,68.77,1748259
#2013-02-18#,69.17,69.335,68.71,68.77,1748259
#2013-02-19#,68.83,69.15,68.83,69.03,1478377
#2013-02-20#,68.9,69.07,67.89,67.95,1537826
#2013-02-21#,67.7,67.82,67.06,67.25,1174536
#2013-02-22#,67.65,67.93,67.48,67.93,1017568
#2013-02-25#,68.31,68.73,66.25,66.25,1627259
#2013-02-26#,66.66,66.89,65.95,66.62,1675001
#2013-02-27#,66.31,68.28,66.31,68.11,1230399
#2013-02-28#,68.11,69.15,67.98,68.63,1849213
#2013-03-01#,68.04,68.38,66.941,68.08,2272872
#2013-03-04#,68,68.905,67.79,68.87,1461577
#2013-03-05#,69.37,70.567,69.18,70.27,1784860
#2013-03-06#,70.51,70.61,70.15,70.51,2132595
#2013-03-07#,70.69,71.07,70.42,70.74,988129
#2013-03-08#,71.19,72.11,71.16,72.09,1897894
#2013-03-11#,72.05,72.475,71.9,72.21,1568285
