"Date","Open","High","Low","Close","Volume"
#2013-01-01#,49.44,50.3599,49.44,50.32,1134273
#2013-01-02#,51.48,52,51.27,51.77,2621781
#2013-01-03#,51.67,52.48,51.63,51.98,2874182
#2013-01-04#,52.23,53.03,51.58,52.77,2902512
#2013-01-07#,52.42,52.9,52.24,52.53,2069832
#2013-01-08#,52.52,52.81,52.25,52.81,3108310
#2013-01-09#,52.86,53.29,52.86,53.27,2674097
#2013-01-10#,53.55,53.55,52.92,53.08,2455938
#2013-01-11#,53.04,53.36,52.6,53.28,1226965
#2013-01-14#,53.36,53.5193,53.09,53.24,1431323
#2013-01-15#,52.94,53.5,52.94,53.44,1569268
#2013-01-16#,53.17,53.46,52.78,53,1331725
#2013-01-17#,53.38,53.525,53.01,53.45,2097475
#2013-01-18#,53.5,53.65,53.26,53.6,1500244
#2013-01-21#,53.5,53.65,53.26,53.6,1500244
#2013-01-22#,53.4,53.555,53.06,53.35,1573993
#2013-01-23#,53.32,53.671,53.15,53.63,1600465
#2013-01-24#,53.44,54.48,53.38,53.96,2068493
#2013-01-25#,54.01,54.35,53.66,54.34,1378945
#2013-01-28#,54.62,54.62,53.87,54.45,1156688
#2013-01-29#,54.34,55.02,54.092,54.99,2505348
#2013-01-30#,54.87,55.08,54.59,54.92,2216636
#2013-01-31#,54.8,55.04,54.54,54.82,1812657
#2013-02-01#,55.23,55.58,55.11,55.35,2459348
#2013-02-04#,55.13,55.39,48.9,49.45,11422386
#2013-02-05#,50.02,50.03,42.71,45.09,22411583
#2013-02-06#,46.96,48.48,45.51,47.49,11933520
#2013-02-07#,47.84,47.87,45.73,46.99,9666377
#2013-02-08#,45.28,46.42,40.67,43.37,16212834
#2013-02-11#,43.515,45.89,43.11,45.49,7505872
#2013-02-12#,45.35,47.15,45.24,46.09,5444923
#2013-02-13#,46.8,47.1,45.75,46.79,4301813
#2013-02-14#,46.88,47.49,46.5,46.68,2915537
#2013-02-15#,46.16,47,46.16,46.8,2831605
#2013-02-18#,46.16,47,46.16,46.8,2831605
#2013-02-19#,46.73,48.67,46.65,48.57,3918941
#2013-02-20#,47.75,48.26,47.34,47.37,2976613
#2013-02-21#,47.33,47.81,47.01,47.47,1814668
#2013-02-22#,47.62,48.57,47.55,48.27,2234749
#2013-02-25#,48.44,48.86,46.68,46.71,2082553
#2013-02-26#,47.3,47.64,46.46,47.5,1806306
#2013-02-27#,47.35,48.49,47.35,48.4,2041561
#2013-02-28#,48.29,48.51,47.88,48.06,2771268
#2013-03-01#,47.79,48.96,47.74,48.93,2146087
#2013-03-04#,48.49,49.38,48.37,49.37,2411391
#2013-03-05#,49.5,50.35,49.5,50.06,3667830
#2013-03-06#,50.23,50.89,50.13,50.32,2512291
#2013-03-07#,50.37,50.56,50.07,50.23,1340981
#2013-03-08#,50.5,51.04,49.6,50.95,1747226
#2013-03-11#,50.78,51.44,50.345,51.32,1347331
#2013-03-12#,51.18,51.5,50.8,51.07,1414785
#2013-03-13#,51.01,51.77,50.72,51.7,1215109
#2013-03-14#,51.74,51.97,51.4,51.5,931292
#2013-03-15#,51.35,51.92,51.3,51.61,1471390
#2013-03-18#,51.03,51.705,50.65,51.42,703304
#2013-03-19#,51.44,51.666,50.35,50.67,1105118
#2013-03-20#,51.16,51.99,51.1,51.87,1604241
#2013-03-21#,51.38,51.92,51.04,51.32,811115
#2013-03-22#,51.45,52.2,51.105,51.32,1203222
#2013-03-25#,51.67,52.45,51.5001,52.21,963260
#2013-03-26#,52.27,52.38,51.22,52.08,1181662
#2013-03-27#,51.7,52.59,51.22,52.5,1118570
#2013-03-28#,52.56,53.37,52.25,53.32,1511774
#2013-03-29#,52.56,53.37,52.25,53.32,1511774
#2013-04-01#,53.11,53.37,52.41,52.77,1533844
#2013-04-02#,52.91,53.39,52.44,52.91,943483
#2013-04-03#,53,53.34,51.78,52.23,1945339
#2013-04-04#,52.16,53.3,52,52.8,983290
#2013-04-05#,51.96,52.48,51.31,52.4,1140122
#2013-04-08#,52.44,53.01,51.87,52.99,1086503
#2013-04-09#,53.19,53.19,52.28,52.91,784232
