"Date","Open","High","Low","Close","Volume"
#2007-01-01#,48.9,49.45,48.87,48.97,651800
#2007-01-02#,48.9,49.45,48.87,48.97,651800
#2007-01-03#,48.7,49.84,48.55,48.88,979400
#2007-01-04#,48.95,49.35,48.75,49.22,480400
#2007-01-05#,49.23,49.45,48.62,48.67,489000
#2007-01-08#,48.7,50.84,48.64,50.55,1314300
#2007-01-09#,50.53,51.23,50.33,51.14,824700
#2007-01-10#,50.94,52,50.84,51.9,649400
#2007-01-11#,52.11,53.85,52.06,53.76,1146300
#2007-01-12#,53.85,55.5,53.84,54.71,1660000
#2007-01-15#,53.85,55.5,53.84,54.71,1660000
#2007-01-16#,54.45,55.57,54.45,55.05,963300
#2007-01-17#,54.85,56,54.75,55.32,896100
#2007-01-18#,55.32,55.56,54.65,54.95,1000900
#2007-01-19#,54.98,55.2,54.58,54.96,797600
#2007-01-22#,54.55,55.05,54.55,54.88,988100
#2007-01-23#,54.88,55.18,54.64,54.97,1120400
#2007-01-24#,56.4,57.76,55.99,56.59,2210900
#2007-01-25#,56.59,56.79,55.81,56.25,1457800
#2007-01-26#,56.5,56.5,55.37,56.07,912900
#2007-01-29#,55.82,56.31,55.8,56.05,907900
#2007-01-30#,56.25,56.4,55.63,56.1,894300
#2007-01-31#,56.05,56.88,55.81,56.69,1037100
#2007-02-01#,56.6,56.82,56.46,56.73,969800
#2007-02-02#,56.06,56.87,56.06,56.26,1129900
#2007-02-05#,56.23,56.8,56.082,56.5,1028700
#2007-02-06#,56.45,56.8,56.43,56.53,1092400
#2007-02-07#,56.55,56.75,56.11,56.24,675000
#2007-02-08#,56.29,56.53,55.93,56.4,650200
#2007-02-09#,56.45,56.45,55.76,56.21,565000
#2007-02-12#,56.3,56.4,55.94,56.29,642493
#2007-02-13#,56.45,56.84,56.35,56.67,558376
#2007-02-14#,56.74,57.63,56.65,57.45,745743
#2007-02-15#,57.46,58.12,57.46,58.04,687100
#2007-02-16#,58,58.27,57.75,58,715900
#2007-02-19#,58,58.27,57.75,58,715900
#2007-02-20#,58,58.48,57.46,58.4,466800
#2007-02-21#,58.4,58.61,58.13,58.3,680000
#2007-02-22#,57,57.26,55.98,56.15,1582700
#2007-02-23#,56.25,56.32,55.72,56.03,1023400
#2007-02-26#,56.13,56.42,55.43,56.07,802765
#2007-02-27#,55.63,55.8,53.03,53.96,1000400
#2007-02-28#,54,54.3,53.28,54.24,925900
#2007-03-01#,53.47,55.93,51.8,55.55,1703700
#2007-03-02#,55.54,55.68,54.86,55.02,2029300
#2007-03-05#,54.99,55.23,54.32,54.45,1551000
#2007-03-06#,54.85,55.3,54.31,54.65,1496900
#2007-03-07#,54.64,54.64,53.62,53.7,1184900
#2007-03-08#,53.9,54.57,53.9,54,1472500
#2007-03-09#,54.25,54.64,54.06,54.5,629700
#2007-03-12#,55.6,58.04,55.3,57.17,1839700
#2007-03-13#,56.75,57.24,55.73,55.78,1371000
#2007-03-14#,55.85,56.33,55.19,56.11,813100
#2007-03-15#,56.24,56.48,55.88,56.13,651100
#2007-03-16#,56.2,56.56,55.69,56.1,927900
#2007-03-19#,56.45,57,56.23,56.8,486700
#2007-03-20#,56.75,57.34,56.57,57.21,595600
#2007-03-21#,57.24,57.75,56.58,57.65,516100
#2007-03-22#,56.76,57.88,56.76,57.75,456200
#2007-03-23#,57.75,58.8,57.61,58.24,418900
#2007-03-26#,58.24,58.43,57.38,57.99,470400
#2007-03-27#,57.85,58.3,57.37,58.25,639500
#2007-03-28#,58,58.1,57.13,57.33,686700
#2007-03-29#,57.34,57.9,56.8,57.18,887600
#2007-03-30#,57.25,58.12,57.17,58,701775
#2007-04-02#,58.4,58.5,58.06,58.2,787300
#2007-04-03#,58.5,59.65,58.49,59.52,722410
#2007-04-04#,59.65,60.12,59.27,59.93,997602
#2007-04-05#,59.8,60.27,59.5,60.18,420321
#2007-04-06#,59.8,60.27,59.5,60.18,420321
#2007-04-09#,60.3,60.59,59.75,59.95,372400
#2007-04-10#,60,60.24,59.47,59.75,504100
#2007-04-11#,60,60.08,59.56,59.72,569500
#2007-04-12#,59.8,60.18,59.5,60.09,493886
#2007-04-13#,60.15,60.15,59.68,60.04,447500
#2007-04-16#,60,60.3,59.85,60.11,801200
#2007-04-17#,60.05,60.24,59.84,60.08,476900
#2007-04-18#,60.08,60.16,59.38,59.71,697900
#2007-04-19#,60.1,60.18,59.5,59.99,677200
#2007-04-20#,60.07,60.16,59.67,59.98,657400
#2007-04-23#,60.11,60.25,59.51,59.92,496686
#2007-04-24#,61.99,61.99,58.61,58.96,1155070
#2007-04-25#,59.52,60.1,58.91,59.91,1023200
#2007-04-26#,59.97,60.16,59.72,59.85,825400
#2007-04-27#,59.81,60.06,59.53,59.86,599400
#2007-04-30#,57.97,59.9,57.97,59.43,974900
#2007-05-01#,59.63,59.78,58.99,59.41,816767
#2007-05-02#,59.3,59.87,59.3,59.86,644818
#2007-05-03#,60,60.24,59.87,60.03,1270695
#2007-05-04#,60.23,60.23,59.97,60.11,726900
#2007-05-07#,60,60.29,59.96,60.1,565227
#2007-05-08#,59.95,60.13,59.64,60.1,595600
#2007-05-09#,60.15,60.53,59.94,60.29,984000
#2007-05-10#,60.19,60.4,59.94,60,1073400
#2007-05-11#,60.25,60.37,60,60.31,782705
#2007-05-14#,60.7,60.72,60.2,60.51,819200
#2007-05-15#,60.71,60.86,60.21,60.47,1061900
#2007-05-16#,60.51,61.32,60.41,61.27,938300
#2007-05-17#,61.22,61.24,60.478,61.13,626990
#2007-05-18#,61.22,61.39,60.69,61.38,879900
#2007-05-21#,61.37,61.47,61.04,61.12,874400
#2007-05-22#,61.06,61.12,60.44,60.7,800262
#2007-05-23#,60.7,60.76,59.81,60.01,1020379
#2007-05-24#,60.02,60.8,59.86,60.12,1060700
#2007-05-25#,60.2,60.78,60.05,60.64,510301
