"Date","Open","High","Low","Close","Volume"
#2013-01-01#,63.98,65.135,63.56,65.1171,1532880
#2013-01-02#,66.32,66.98,66.18,66.98,1399845
#2013-01-03#,66.97,67.14,66.69,66.99,1921180
#2013-01-04#,67,68.36,66.89,68.34,1134652
#2013-01-07#,68,68.5,67.67,68.33,1345174
#2013-01-08#,68,68.29,67.63,67.85,1131911
#2013-01-09#,68.07,68.1,67.4,67.44,1476542
#2013-01-10#,67.85,68.25,67.32,68.21,1647169
#2013-01-11#,68.19,69.585,67.98,69.54,1676447
#2013-01-14#,69.42,69.72,69.132,69.35,1574679
#2013-01-15#,69.33,69.74,68.73,69.7,1343786
#2013-01-16#,69.34,69.64,69.12,69.24,1388887
#2013-01-17#,69.27,69.95,69.21,69.53,1139880
#2013-01-18#,70.16,71.34,70,71.13,2734768
#2013-01-21#,70.16,71.34,70,71.13,2734768
#2013-01-22#,71.06,72,70.89,71.93,1591455
#2013-01-23#,71.7,71.85,70.94,71.58,1207715
#2013-01-24#,71.55,72.65,71.466,71.7,1687211
#2013-01-25#,72.16,72.36,71.5,72.09,1178488
#2013-01-28#,72.61,72.61,71.52,72.18,1351039
#2013-01-29#,70,71.65,68.01,71.61,2781732
#2013-01-30#,71.33,71.62,70.68,70.96,2209861
#2013-01-31#,71.06,72.13,70.75,71.41,2622100
#2013-02-01#,71.65,73.22,70.85,73.08,2188652
#2013-02-04#,72.41,72.41,71.47,71.54,1757033
#2013-02-05#,72.16,72.6,71.84,72.22,1056619
#2013-02-06#,72.8,73.06,72.28,72.99,1659061
#2013-02-07#,73.2,73.38,72.2501,72.9,1105286
#2013-02-08#,73,73.55,72.7722,73.27,864871
#2013-02-11#,73.22,73.36,72.825,73.13,964890
#2013-02-12#,73.26,73.92,73.26,73.75,825789
#2013-02-13#,74.2,74.44,73.65,74.21,1106215
#2013-02-14#,74.03,74.33,73.7,73.84,1361082
#2013-02-15#,73.4,73.57,72.62,73.13,2210637
#2013-02-18#,73.4,73.57,72.62,73.13,2210637
#2013-02-19#,73.36,73.91,73.09,73.81,1374366
#2013-02-20#,73.7,73.79,72.07,72.1,1650339
#2013-02-21#,72.03,72.32,71.14,71.41,1328896
#2013-02-22#,71.85,72.17,71.36,71.91,1590173
#2013-02-25#,72.52,72.61,70.04,70.11,1948101
#2013-02-26#,70.45,70.81,69.86,70.48,1504323
#2013-02-27#,69.97,72.037,69.85,71.72,1253203
#2013-02-28#,71.34,71.8575,71.15,71.19,1663658
#2013-03-01#,71.21,71.865,70.23,71.74,1229329
#2013-03-04#,71.56,72.58,71.3,72.58,1201907
#2013-03-05#,72.97,74.21,72.67,73.93,1355292
#2013-03-06#,74.36,74.65,73.91,74.22,1201642
#2013-03-07#,74.47,74.89,73.96,74.81,1161326
#2013-03-08#,75.45,75.45,74.46,75.2,1351244
#2013-03-11#,74.59,75.27,74.2,75.19,1320693
#2013-03-12#,75.05,75.26,74.21,74.62,971271
#2013-03-13#,74.78,75.16,74.55,75.05,940084
#2013-03-14#,75.44,76,75.23,75.44,1505626
#2013-03-15#,75.03,75.95,74.77,75.56,2406239
#2013-03-18#,74.77,75.19,74.36,74.71,1286352
#2013-03-19#,75.03,75.11,73.78,74.31,1621219
#2013-03-20#,75.06,75.8,74.48,74.79,1244205
#2013-03-21#,74.43,74.75,73.4,73.71,1350887
#2013-03-22#,71.67,74.75,71.67,74.12,1087293
#2013-03-25#,74.54,74.65,73.5,73.88,1196631
#2013-03-26#,74.09,74.79,73.93,74.76,1067992
#2013-03-27#,74.1,74.59,73.7076,74.15,1340721
