"Date","Open","High","Low","Close","Volume"
#2011-01-03#,43.3,43.62,43.11,43.4,7633239
#2011-01-04#,44.41,44.41,43.2,43.95,14069219
#2011-01-05#,44.09,45.16,43.91,45.04,10655273
#2011-01-06#,45.38,45.6,44.45,44.73,6353121
#2011-01-07#,44.93,44.96,44,44.36,6391190
#2011-01-10#,44.2,44.64,44.01,44.46,5467997
#2011-01-11#,44.98,45.44,44.8,45.04,5924121
#2011-01-12#,45.44,45.79,44.83,45,8158458
#2011-01-13#,44.81,45.36,44.75,45.06,6363137
#2011-01-14#,44.93,46.56,44.9,46.25,10660769
#2011-01-17#,44.93,46.56,44.9,46.25,10660769
#2011-01-18#,46.032,46.71,45.8,46.37,8069679
#2011-01-19#,45.2,45.7,44.8,45.24,14420874
#2011-01-20#,44.74,45.65,44.71,45.27,7588646
#2011-01-21#,45.76,46.2,45.51,46,8745529
#2011-01-24#,46.05,46.275,45.45,45.79,9244113
#2011-01-25#,44.87,45.25,44.192,44.8,16089104
#2011-01-26#,44.91,44.94,44.45,44.46,8081719
#2011-01-27#,44.49,44.78,44.02,44.54,8072187
#2011-01-28#,44.55,44.6,43.42,43.86,9940151
#2011-01-31#,44.13,44.23,43.28,43.38,9931528
#2011-02-01#,43.54,43.88,43.23,43.6,11408734
#2011-02-02#,43.39,44.05,43.33,43.72,6848967
#2011-02-03#,43.65,43.74,43.15,43.53,5200823
#2011-02-04#,43.53,43.9,43.175,43.82,6111628
#2011-02-07#,43.96,45.1,43.88,44.82,9387338
#2011-02-08#,44.66,45.97,44.6225,45.88,9824497
#2011-02-09#,45.6,46.05,45.2,45.72,8711893
#2011-02-10#,45.66,46.58,45.35,46.57,9216407
#2011-02-11#,46.27,46.79,46.24,46.75,6606863
#2011-02-14#,46.42,46.93,46.26,46.52,5271265
#2011-02-15#,46.5,46.85,45.9,46.19,5536531
#2011-02-16#,46.42,46.92,46.27,46.86,7012861
#2011-02-17#,46.55,46.68,45.68,45.78,10744253
#2011-02-18#,45.6,45.67,45.15,45.53,12470554
#2011-02-21#,45.6,45.67,45.15,45.53,12470554
#2011-02-22#,44.94,45.122,44.07,44.29,9231455
#2011-02-23#,44.2,44.52,43.01,43.44,9903506
#2011-02-24#,43.28,43.945,43.03,43.56,10578145
#2011-02-25#,43.59,43.77,43.08,43.53,9941040
#2011-02-28#,43.73,43.95,43.3,43.57,9023710
#2011-03-01#,43.7,43.94,43.11,43.15,8849294
#2011-03-02#,43.06,43.42,42.75,43.02,7160755
#2011-03-03#,43.43,44.44,43.43,44.3,7576863
#2011-03-04#,44.36,44.68,43.21,43.72,6374415
#2011-03-07#,43.86,44.58,43.53,43.71,7631985
#2011-03-08#,43.96,45.54,43.91,45.24,10816836
#2011-03-09#,45.2,45.37,44.63,45.05,5809285
#2011-03-10#,44.6,44.68,43.77,44.02,6930472
#2011-03-11#,43.78,44.31,43.68,44.28,6424851
#2011-03-14#,43.86,44.21,43.22,43.91,6213571
#2011-03-15#,42.95,43.96,42.58,43.64,7584206
#2011-03-16#,43.37,43.71,42.191,42.36,10419543
#2011-03-17#,43.02,43.46,42.86,43.42,7701262
#2011-03-18#,44.07,44.47,43.69,44.17,9838944
#2011-03-21#,44.75,44.86,44.1,44.32,5323375
#2011-03-22#,44.36,45,44.14,44.75,6754568
#2011-03-23#,44.62,45.11,44.46,45.02,6121973
#2011-03-24#,45.25,45.605,44.72,45.59,6436121
#2011-03-25#,45.56,45.61,45.13,45.59,6162295
#2011-03-28#,45.54,46.1,45.51,45.72,5354252
#2011-03-29#,45.69,45.99,45.34,45.65,5013398
#2011-03-30#,46.06,46.29,45.72,45.91,5545562
#2011-03-31#,45.83,46.01,45.11,45.2,6942152
#2011-04-01#,45.7,45.7744,45.2,45.36,5883325
#2011-04-04#,45.61,45.625,45.15,45.42,4364520
#2011-04-05#,45.24,45.61,45.1,45.42,5797794
#2011-04-06#,45.59,46.41,45.52,46.28,8121353
#2011-04-07#,46.2,46.37,45.71,46.16,7494801
#2011-04-08#,46.24,46.49,45.94,46.28,5336273
#2011-04-11#,46.36,46.95,46.24,46.38,5780751
#2011-04-12#,46.22,46.43,45.82,46.02,5964775
#2011-04-13#,46.32,46.59,45.82,46.1,5541668
#2011-04-14#,45.92,46.11,45.6,45.88,4965585
#2011-04-15#,46.1,46.49,45.86,46.25,6838161
#2011-04-18#,45.85,46.19,45.27,46.06,7029320
#2011-04-19#,46.1,46.83,45.81,46.64,7587140
#2011-04-20#,46.89,47.48,46.76,47,8312853
#2011-04-21#,46.47,47.31,45.62,47.11,11852458
#2011-04-22#,46.47,47.31,45.62,47.11,11852458
#2011-04-25#,47.19,47.5,47.02,47.05,5015431
#2011-04-26#,47.1,47.24,46.77,47.1,5479916
#2011-04-27#,47.15,47.72,46.926,47.62,4901135
#2011-04-28#,47.55,48.57,47.25,48.52,8522275
#2011-04-29#,48.33,49.15,48.31,49.08,8551562
#2011-05-02#,49.37,49.81,49.35,49.65,8953324
#2011-05-03#,49.66,50.09,49.6,49.9,8810194
#2011-05-04#,49.95,50,49.4,49.7,8264545
#2011-05-05#,49.53,49.96,49.24,49.52,9300012
#2011-05-06#,49.9,50.47,49.82,50.2,8669649
#2011-05-09#,50.06,50.42,49.93,50.19,6295870
#2011-05-10#,50.42,50.46,49.94,50.17,6521220
#2011-05-11#,50.14,50.2,49.74,49.83,6510573
#2011-05-12#,49.79,49.8,49.22,49.54,7901433
#2011-05-13#,49.77,49.99,49.3,49.49,8198068
#2011-05-16#,49.42,50.6095,49.17,50.07,7250763
#2011-05-17#,49.94,50.8,49.75,50.76,7721508
#2011-05-18#,50.79,51.1,50.55,51.06,7241295
#2011-05-19#,51.19,51.93,51.1,51.82,6947862
#2011-05-20#,51.75,51.97,51.05,51.19,7404184
#2011-05-23#,50.74,51.26,50.44,51.12,6479313
#2011-05-24#,51.15,51.38,50.48,50.56,8052541
#2011-05-25#,50.44,50.69,49.79,50.41,5735207
#2011-05-26#,50.15,50.91,50.135,50.68,6092814
#2011-05-27#,50.83,51.23,50.7,51.13,3169424
#2011-05-30#,50.83,51.23,50.7,51.13,3169424
#2011-05-31#,51.39,51.7,51.07,51.6,4981704
#2011-06-01#,51.31,51.33,49.87,49.91,8085058
#2011-06-02#,49.99,50.46,49.48,50.09,6676638
#2011-06-03#,49.45,49.84,49.04,49.28,5472240
#2011-06-06#,49.13,49.33,48.43,48.78,6652014
#2011-06-07#,49.05,49.38,48.68,48.89,5508169
#2011-06-08#,48.83,49.3,47.93,48.1,7862240
#2011-06-09#,48.02,49.01,47.91,48.33,6992408
#2011-06-10#,48.2,48.29,47.332,47.74,6814087
#2011-06-13#,47.96,48.31,47.62,48.24,5723853
#2011-06-14#,48.54,49.14,48.04,48.15,6280227
#2011-06-15#,47.94,47.94,46.96,47.28,8333190
#2011-06-16#,47.25,48.53,46.92,48.41,9019418
#2011-06-17#,48.68,48.76,48.08,48.5,8348686
#2011-06-20#,48.35,49.35,48.15,48.88,4944615
#2011-06-21#,49.02,49.69,48.71,49.55,5373445
#2011-06-22#,49.55,50.15,49.11,49.85,7046133
#2011-06-23#,49.35,49.47,48.5,49.21,7320401
#2011-06-24#,49.3,49.36,48.3,48.34,10193322
#2011-06-27#,48.49,49.78,48.37,49.54,5625860
#2011-06-28#,49.67,49.99,49.41,49.82,5472112
#2011-06-29#,49.84,51.04,49.3,50.92,9856489
#2011-06-30#,50.97,51.82,50.17,51.7,7579002
#2011-07-01#,51.69,52.5,51.57,52.34,6348526
#2011-07-04#,51.69,52.5,51.57,52.34,6348526
#2011-07-05#,52.27,52.63,52.23,52.33,5405924
#2011-07-06#,52.21,52.86,51.82,52.76,5926012
#2011-07-07#,52.78,53.8,52.74,53.59,5951620
#2011-07-08#,52.95,53.1,52.56,53.07,5228020
#2011-07-11#,52.5,52.86,52.11,52.27,5342323
#2011-07-12#,52.92,53.36,52.38,52.4,6905631
#2011-07-13#,52.57,53.1,51.8799,51.95,6655461
#2011-07-14#,52.24,52.425,51.3,51.38,6636828
#2011-07-15#,51.6,52.08,51.02,51.81,6401054
#2011-07-18#,51.5,51.67,50.54,51.33,5099474
#2011-07-19#,51.74,52.62,51.19,51.81,8133488
#2011-07-20#,52.17,52.7,51.61,52.09,7114290
#2011-07-21#,52.23,53.28,51.92,52.58,10793781
#2011-07-22#,52.99,53.03,52.04,52.24,6066254
#2011-07-25#,51.66,52.3,51.4315,51.81,3730307
#2011-07-26#,51.71,51.89,51.15,51.57,3911414
#2011-07-27#,51.24,51.26,50.41,50.48,5806335
#2011-07-28#,50.6,51.28,50.44,50.55,4037921
#2011-07-29#,50.13,50.37,49.54,50.04,6893877
#2011-08-01#,50.49,50.61,49.28,50.02,4934777
#2011-08-02#,49.39,49.97,48.5,48.52,7069892
#2011-08-03#,48.49,48.94,47.53,48.86,6956457
#2011-08-04#,48.05,48.41,46.75,46.84,13242957
#2011-08-05#,47.42,48.28,46.461,47.21,18172958
#2011-08-08#,45.85,46.77,42.78,43.04,21466575
#2011-08-09#,43.58,46.13,42.03,46.1,21213571
#2011-08-10#,44.7,45.04,42.73,42.8,16769584
#2011-08-11#,43.22,45.78,43,45.07,13960632
#2011-08-12#,45.92,46.74,44.62,44.89,9957208
#2011-08-15#,45.16,45.98,45.02,45.82,7285400
#2011-08-16#,45.19,45.86,44.53,44.89,8114614
#2011-08-17#,45.27,45.9,45.11,45.86,7766045
#2011-08-18#,44.3,44.44,43.65,44.28,14953136
#2011-08-19#,43.86,45.15,43.78,44.47,12829587
#2011-08-22#,45.2,45.46,44.4,44.6,7938654
#2011-08-23#,44.7,46.43,44.16,46.42,9316616
#2011-08-24#,46.42,48.235,46.23,48.08,8589443
#2011-08-25#,48.74,49.28,47.2,48.09,10955743
#2011-08-26#,47.93,48.79,47.04,48.48,7169475
#2011-08-29#,49.21,49.35,48.32,48.55,9207942
#2011-08-30#,48.37,49.06,47.63,48.66,7460397
#2011-08-31#,49,49.98,48.82,49.71,7974814
#2011-09-01#,49.64,49.99,49.31,49.5,10278327
#2011-09-02#,48.67,49.23,48.11,48.51,8755573
#2011-09-05#,48.67,49.23,48.11,48.51,8755573
