"Date","Open","High","Low","Close","Volume"
#2019-01-01#,364.73,374.75,364.64,373.5,680229
#2019-01-02#,368.15,376.79,366.01,372.44,599563
#2019-01-03#,373.66,385.94,371.58,372.08,750202
#2019-01-04#,379.54,399.695,377.65,397.55,1207683
#2019-01-07#,397.34,400.8,393.94,396.63,959751
#2019-01-08#,399.31,401.088,389,397.26,963486
#2019-01-09#,398.02,401.46,395.61,399.58,615605
#2019-01-10#,399.4,410,395.98,408.06,949293
#2019-01-11#,405.65,412.29,403.55,408.63,757999
#2019-01-14#,408.16,408.16,399.11,400.73,693334
#2019-01-15#,401.42,405.16,399.63,405.02,475080
#2019-01-16#,406.17,410.63,402.845,404.54,468756
#2019-01-17#,402.72,420.29,402.72,417.38,860156
#2019-01-18#,420.42,420.48,410,418.84,710405
#2019-01-21#,420.42,420.48,410,418.84,710405
#2019-01-22#,415.77,421.99,404,404.75,899711
#2019-01-23#,404.92,406.79,393.17,401.21,914014
#2019-01-24#,401.8,408.88,399.16,407.93,655042
#2019-01-25#,410.85,418.95,406.1,418.29,692423
#2019-01-28#,415.11,416.493,408.81,413.95,761029
#2019-01-29#,415.72,418.51,413,417.15,724745
#2019-01-30#,416.35,420.44,412.627,419.91,867849
#2019-01-31#,419.68,430.58,419.45,429.27,1442110
#2019-02-01#,428.52,431.32,425.32,430.15,702506
#2019-02-04#,428.92,429.06,422.49,425.4,474616
#2019-02-05#,426.11,427.5,419.63,421.04,629616
#2019-02-06#,428.9,429.9,406.4,406.56,1330775
#2019-02-07#,408.29,414.215,404.27,406.46,738388
#2019-02-08#,405.44,408,399.293,406.86,692100
#2019-02-11#,409.37,413.35,403,408.51,587002
#2019-02-12#,411.56,418.1,408.02,416.34,637185
#2019-02-13#,415.98,421.66,411.51,412.09,349323
#2019-02-14#,412,416.263,408.565,414.97,349604
#2019-02-15#,417.97,424.39,415.72,423.97,700044
#2019-02-18#,417.97,424.39,415.72,423.97,700044
#2019-02-19#,423.74,426.41,420.351,420.6,397795
#2019-02-20#,420,423.4,417.08,422.51,411138
#2019-02-21#,421.81,422.61,415.58,418.62,406583
#2019-02-22#,418.21,423.645,416,422.52,386603
#2019-02-25#,424.94,426.53,415.76,420.38,660430
#2019-02-26#,418.57,428.06,415.83,426.15,611107
#2019-02-27#,424,433.74,424,433.33,598822
#2019-02-28#,430.19,434.35,428.62,430.74,517984
#2019-03-01#,434.8,440.045,431.933,439.57,510982
#2019-03-04#,441.18,442,428.36,433.83,769285
#2019-03-05#,432.12,439.65,430.49,437.13,478274
#2019-03-06#,436.93,438.02,421.305,423.69,812303
#2019-03-07#,422.9,422.9,409.19,409.58,1020804
#2019-03-08#,407.51,407.51,399.58,402.64,1091707
#2019-03-11#,404.15,413.21,402.25,412.05,874204
#2019-03-12#,413.56,421.8,411.19,417.62,839736
#2019-03-13#,419.38,419.595,408.53,409.01,988812
#2019-03-14#,409.89,412.36,406.34,407.5,925241
#2019-03-15#,408.47,415,408.4,414.47,1158465
#2019-03-18#,410,413.76,404.837,407.6,545672
#2019-03-19#,407.74,409.72,404.4,406.99,627914
#2019-03-20#,407.79,409.68,402.82,405.5,479457
#2019-03-21#,401,405.12,396.84,402.59,880931
#2019-03-22#,401.48,402.59,391.425,391.8,552575
#2019-03-25#,391.42,397.61,388.49,395,431586
#2019-03-26#,398.78,406.23,398.52,405.62,674821
#2019-03-27#,405.07,407.445,398.36,402.87,450768
#2019-03-28#,405.67,408.31,402.3,404.83,436272
#2019-03-29#,406.74,412.6,406.74,410.62,492266
#2019-04-01#,412.51,412.9,408,410.05,496513
#2019-04-02#,411.35,415.89,407.56,414.82,512956
#2019-04-03#,414.34,415.16,400.84,407,789297
#2019-04-04#,408,410.8,400.83,406.53,517283
#2019-04-05#,408.17,412.63,406.55,408.94,657383
#2019-04-08#,408.08,410.94,396,401.26,703822
#2019-04-09#,400,400.34,395.14,395.73,577652
#2019-04-10#,397.18,408.48,394.33,408.23,579699
#2019-04-11#,410,410.19,391.73,393.48,843478
#2019-04-12#,393.17,394.5,381.175,382.94,1254196
#2019-04-15#,382.81,385.99,375.2,375.5,811479
#2019-04-16#,377.9,383,366.36,367.69,1055042
#2019-04-17#,366.96,368.015,342.02,342.97,1978702
#2019-04-18#,346.4,347.55,332.22,333.34,1920372
#2019-04-19#,346.4,347.55,332.22,333.34,1920372
#2019-04-22#,332.5,336,329,334.03,921746
#2019-04-23#,335.51,346.64,334.46,344.14,972688
#2019-04-24#,344.43,346.32,338.67,340.46,850707
#2019-04-25#,340.38,351.9,337.66,349.99,891244
#2019-04-26#,351.25,351.668,339.61,343.66,846006
#2019-04-29#,343.13,345.98,338.62,344.15,598062
#2019-04-30#,343.8,345.04,337.96,343.14,554852
#2019-05-01#,343.04,345.44,338.91,340.79,503400
#2019-05-02#,342.69,344.285,331.25,335.41,812429
#2019-05-03#,336.98,339.71,334.67,336.89,848332
#2019-05-06#,332.2,344.92,332.2,344.23,916679
#2019-05-07#,333,336.5,318.7,322.4,1967271
#2019-05-08#,319.33,329.75,319.33,329,1183651
#2019-05-09#,325.79,327.36,320.74,324.17,864068
#2019-05-10#,323.56,323.81,311.35,312.86,1407463
#2019-05-13#,306.67,309.3,299.11,305.15,1153600
#2019-05-14#,306.35,309.19,303.59,304.62,836902
#2019-05-15#,301.95,306.265,297.325,305.85,784143
#2019-05-16#,306.22,314.06,304,308.04,1049072
#2019-05-17#,305.8,309.21,303.7,304.94,756025
#2019-05-20#,301.52,304.566,297.27,302.57,738583
#2019-05-21#,304.88,314.29,304.88,309.95,999925
#2019-05-22#,308.01,321.49,302.73,320.09,1253012
#2019-05-23#,316.76,318.66,310.37,315.26,934655
#2019-05-24#,316.66,318.81,308.47,312.56,401122
#2019-05-27#,316.66,318.81,308.47,312.56,401122
#2019-05-28#,313.38,315.79,307.7,307.93,718263
#2019-05-29#,307.09,310.67,302.78,307.78,627114
#2019-05-30#,308.61,310.36,302.88,307.96,627850
#2019-05-31#,305.98,306.45,295.725,301.72,863511
#2019-06-03#,301.13,309.74,301.13,303.95,670231
#2019-06-04#,306.03,309.42,300.58,302.06,844637
#2019-06-05#,304.84,304.945,295.27,300,979886
#2019-06-06#,300.12,304.53,298.73,299.6,767617
#2019-06-07#,302.08,307,297.86,306.72,775517
#2019-06-10#,306.54,310.92,303.51,304.25,726016
#2019-06-11#,306.88,309.62,306.23,306.84,554888
#2019-06-12#,306.83,309.47,305.25,306.16,556032
#2019-06-13#,307.18,308.19,302.32,307.42,653909
#2019-06-14#,306.81,315.2,304,305.24,624172
#2019-06-17#,307.34,312.92,301.76,310.98,587900
#2019-06-18#,311.1,317.84,305.76,306.63,1000956
#2019-06-19#,306.34,311.9,303.77,310.83,971184
#2019-06-20#,315.7,327.83,315.25,320.48,1617075
#2019-06-21#,324.26,324.26,312,320.26,1493676
#2019-06-24#,318.76,320.32,311.26,312.55,780730
#2019-06-25#,313.13,317.42,311.84,312.9,702206
#2019-06-26#,313.25,316.65,300.52,305.08,1004970
#2019-06-27#,306.24,311.57,304.07,310.67,564733
#2019-06-28#,312.12,316.25,311.24,313,1498992
#2019-07-01#,317.61,318.595,313.15,316.56,689519
#2019-07-02#,317.62,320.425,313,315.53,758246
#2019-07-03#,317.42,320.36,312.53,318.39,545044
#2019-07-04#,317.42,320.36,312.53,318.39,545044
#2019-07-05#,316.15,320.76,306.08,307,799579
#2019-07-08#,305.1,305.86,296.81,302.84,928910
#2019-07-09#,300.92,308.39,300,307.97,789775
#2019-07-10#,308.15,309.84,291.659,301.43,1533820
#2019-07-11#,296.99,296.99,288,291.82,1414308
#2019-07-12#,292.12,295.49,287.66,292.56,648398
#2019-07-15#,292.98,300.34,289.53,298.2,875953
#2019-07-16#,299.19,299.69,295.78,298.37,492494
#2019-07-17#,297.26,303.3,297.08,299.42,646331
#2019-07-18#,299.79,304.2,297.2,303.09,548042
#2019-07-19#,303.52,303.683,296.35,298.11,692740
#2019-07-22#,298.2,300.32,294.695,296.52,608965
#2019-07-23#,298.34,310.87,296.91,309.26,992058
#2019-07-24#,310.87,314.29,303.59,313.63,1144997
#2019-07-25#,311.12,311.515,302.92,303.42,679629
#2019-07-26#,304.35,309.73,300.61,309.18,956719
