"Date","Open","High","Low","Close","Volume"
#2018-01-01#,107.86,108.7,107.27,107.31,1370891
#2018-01-02#,107.99,109.21,107.99,108.69,1412062
#2018-01-03#,109.06,109.48,107.58,108.02,1519844
#2018-01-04#,108.1,109.76,106.5,108.86,1825534
#2018-01-05#,109.59,111.23,109.29,111.14,2055498
#2018-01-08#,110.76,111.63,109.05,109.1,1801721
#2018-01-09#,109.5,109.815,108.66,109.69,1584757
#2018-01-10#,109.16,109.94,108.78,109.63,1048811
#2018-01-11#,109.66,111.69,109.18,111.35,2063706
#2018-01-12#,112.1,115.05,111.64,114.84,2400068
#2018-01-15#,112.1,115.05,111.64,114.84,2400068
#2018-01-16#,115.49,115.89,112.55,112.88,2022778
#2018-01-17#,114.49,114.79,112.57,112.8,2230787
#2018-01-18#,113.07,113.33,111.57,112.9,1566449
#2018-01-19#,113.1,115,112.34,114.73,1908248
#2018-01-22#,114.28,115.04,113.43,115.02,1784611
#2018-01-23#,115.1,116.2799,113.86,114.7,2060136
#2018-01-24#,114.41,115.485,112.72,114.34,1728817
#2018-01-25#,114.68,115.52,113.06,115.07,1562625
#2018-01-26#,115,115.5,113.83,115.43,1632284
#2018-01-29#,115.03,116.58,114.54,116.35,1806100
#2018-01-30#,115.99,116.46,114.34,114.6,1921055
#2018-01-31#,114.77,116.65,113.74,115,1802799
#2018-02-01#,113.6,114.89,111.7445,113.87,1436657
#2018-02-02#,112.53,112.89,108.67,108.83,2159934
#2018-02-05#,108.39,110.44,105.24,105.24,2024747
#2018-02-06#,103.03,108.485,101.071,107.85,2850463
#2018-02-07#,107.07,108.7599,106.06,106.08,2124663
#2018-02-08#,105.74,106.35,101.54,101.58,3005255
#2018-02-09#,102.33,108.91,101.54,107.62,4168825
#2018-02-12#,108.17,108.692,103.6825,104.74,5204155
#2018-02-13#,103.73,106.82,103.72,104.84,2483182
#2018-02-14#,103.79,107.77,103.2125,105.87,2641963
#2018-02-15#,106.02,108.58,105.27,108.57,1975941
#2018-02-16#,108.25,109.57,107.56,107.96,2116775
#2018-02-19#,108.25,109.57,107.56,107.96,2116775
#2018-02-20#,105.71,109.23,104.59,106.81,2430693
#2018-02-21#,106.81,108.26,105.57,105.69,1532838
#2018-02-22#,106.5,107.845,106.11,107,1825679
#2018-02-23#,107.67,107.7,104.46,106.61,2557745
#2018-02-26#,107.5,108.83,106.01,106.22,2825535
#2018-02-27#,106.32,107.41,103.09,103.93,2959335
#2018-02-28#,104.57,105.11,102.61,102.64,3570812
#2018-03-01#,102.94,105.4,102.07,104.09,2790804
#2018-03-02#,103.38,105.59,102.12,104.41,2334426
#2018-03-05#,103.48,103.85,100.2439,102.64,3121900
#2018-03-06#,102.95,104.73,101.17,104.36,4489755
#2018-03-07#,90.25,90.84,86.85,89.25,22028282
#2018-03-08#,91,93.78,90.72,91.32,11477534
#2018-03-09#,91.89,92.75,91.08,92.7,4464309
#2018-03-12#,93.06,94.955,92.695,94.29,5354959
#2018-03-13#,94.48,96.24,94.21,94.42,4922608
#2018-03-14#,94.4,94.59,92.17,92.81,3243996
#2018-03-15#,94.08,95.43,93.45,94.16,2781710
#2018-03-16#,94.39,95.92,93.76,95.75,4172418
#2018-03-19#,95.31,95.74,93.9587,94.57,3122838
#2018-03-20#,94.49,95.0125,93.35,94.94,2837074
#2018-03-21#,94.46,95.91,94.05,94.72,3464388
#2018-03-22#,93.4,94.84,92.61,93.54,4472765
#2018-03-23#,93.7,94.25,91.81,91.95,2707652
#2018-03-26#,95.13,95.96,93.65,95.21,2648546
#2018-03-27#,95.68,95.68,93.06,93.63,1522358
#2018-03-28#,93.53,95.28,93.53,93.91,1983385
#2018-03-29#,94.57,95.47,94.35,94.9,2357783
#2018-03-30#,94.57,95.47,94.35,94.9,2357783
#2018-04-02#,94.74,94.99,93.16,94.4,2603349
#2018-04-03#,95.27,95.67,94.33,94.88,1790165
#2018-04-04#,94.22,97.8,93.7,97.56,1938216
#2018-04-05#,97.94,100.07,96.69,99,2853430
#2018-04-06#,98.07,99.76,97.28,98.72,3015936
#2018-04-09#,99.7,100.24,98.65,98.74,1642727
#2018-04-10#,100,100.3,97.93,99.07,2434828
#2018-04-11#,98.45,99.03,97.92,98.25,1624665
#2018-04-12#,98.52,99.53,98.01,98.1,1493375
#2018-04-13#,98.69,98.8,96.66,97.13,1649424
#2018-04-16#,97.43,97.88,96.3001,97.55,1727634
#2018-04-17#,98.18,99.25,97.97,98.87,1419419
#2018-04-18#,100.43,101.75,100.19,100.52,1705220
#2018-04-19#,100.16,100.38,97.92,98.9,1868707
#2018-04-20#,98.67,98.8,96.92,97.56,2376729
#2018-04-23#,97.43,98.02,96.47,97.51,2184534
#2018-04-24#,98.39,98.39,96.01,96.52,1851776
#2018-04-25#,96.34,97.52,95.115,96.91,1519106
#2018-04-26#,96.86,97.58,95.58,96.93,2998485
#2018-04-27#,96.75,97.76,96.465,97.36,1863935
#2018-04-30#,97.81,98.1,95.89,95.89,1749728
#2018-05-01#,95.83,96.34,95.02,95.93,1373255
#2018-05-02#,95.49,97.02,94.8,96.21,1524831
#2018-05-03#,95.68,96.075,94.39,95.56,1124746
#2018-05-04#,95.15,95.15,93.02,93.61,2933641
#2018-05-07#,93.62,93.98,92.2,92.8,2308769
#2018-05-08#,92.92,94.45,92.51,93.68,1944679
#2018-05-09#,93.29,93.95,92.08,93.55,1923238
#2018-05-10#,93.39,93.92,92.34,92.62,2737856
#2018-05-11#,91.88,93.95,90.21,93.89,3140190
#2018-05-14#,93.93,95.24,93.8,94.86,2659452
#2018-05-15#,94.01,96.08,94.01,95.29,2293504
#2018-05-16#,95.01,96.66,94.2,94.49,2716145
#2018-05-17#,94.71,95,93.8,94.29,1526656
