"Date","Open","High","Low","Close","Volume"
#2010-01-01#,62.21,62.63,61.8,61.96,433589
#2010-01-04#,62.5,62.6,61.43,61.63,954343
#2010-01-05#,61.43,61.73,60.72,60.79,1544990
#2010-01-06#,60.71,61.185,60.45,60.9,1324120
#2010-01-07#,60.96,61.54,60.64,61.16,938052
#2010-01-08#,60.9,61.79,60.42,61.21,942411
#2010-01-11#,61.28,62.73,61.28,62.43,787453
#2010-01-12#,62.39,62.68,61.93,62.49,836238
#2010-01-13#,62.57,62.9,62.27,62.61,603288
#2010-01-14#,62.35,62.45,61.94,62.15,481550
#2010-01-15#,62.16,62.16,60.682,60.76,819990
#2010-01-18#,62.16,62.16,60.682,60.76,819990
#2010-01-19#,60.89,61.67,60.89,61.64,664208
#2010-01-20#,61.56,61.94,60.02,60.84,673498
#2010-01-21#,60.75,61.23,59.08,59.24,943640
#2010-01-22#,59.2,60.37,59.08,59.49,1093506
#2010-01-25#,59.92,59.92,58.88,59.23,765763
#2010-01-26#,59.22,59.22,57.44,58.04,2129295
#2010-01-27#,57.98,58.23,57.39,57.85,1110858
#2010-01-28#,57.87,58.22,57.35,57.82,871471
#2010-01-29#,58.03,58.69,56.97,56.98,1082313
#2010-02-01#,57.22,57.61,56.4,57.18,832186
#2010-02-02#,57.18,58.14,56.9,58.03,513992
#2010-02-03#,57.78,58.17,57.55,57.86,870529
#2010-02-04#,57.43,57.63,56.03,56.18,1227801
#2010-02-05#,56.31,57.56,55.97,57.47,2029424
#2010-02-08#,57.37,58.96,57.33,57.87,1234882
#2010-02-09#,58.51,59,57.9,58.2,829755
#2010-02-10#,57.98,58.281,57.16,57.51,709700
#2010-02-11#,57.65,57.97,57.09,57.88,884098
#2010-02-12#,57.65,58.375,57.54,58.26,931563
#2010-02-15#,57.65,58.375,57.54,58.26,931563
#2010-02-16#,58.52,58.99,57.85,58.9,752794
#2010-02-17#,59.25,59.29,58.58,58.92,618740
#2010-02-18#,58.77,59.24,58.77,59.14,525385
#2010-02-19#,59.02,59.1,58.36,58.78,507938
#2010-02-22#,58.82,61.54,58.21,59.22,2077581
#2010-02-23#,59.12,59.57,58.6,58.71,792561
#2010-02-24#,59.04,59.56,58.89,59.31,732466
#2010-02-25#,58.84,60.01,58.05,59.91,1074424
#2010-02-26#,60.03,60.25,59.15,59.66,968401
#2010-03-01#,59.97,62.22,59.92,61.7,1426120
#2010-03-02#,61.96,62.43,61.55,62.08,820987
#2010-03-03#,62.1,62.93,61.84,62.24,751383
#2010-03-04#,62.05,62.49,61.35,61.62,861067
#2010-03-05#,61.89,64.45,61.7,64.21,2026732
#2010-03-08#,64.03,64.1,63.48,63.6,807561
#2010-03-09#,63.42,64.75,63.15,64.04,1392735
#2010-03-10#,63.94,65.21,63.73,65.07,1304681
#2010-03-11#,64.99,65.71,64.83,65.33,1083781
#2010-03-12#,65.47,65.57,64.39,64.84,705611
#2010-03-15#,64.83,64.96,64.3,64.55,823536
#2010-03-16#,64.59,65.24,64.38,65.07,725328
#2010-03-17#,65.29,65.67,65,65.42,811657
#2010-03-18#,65.66,66.61,65.54,66.01,1489806
#2010-03-19#,65.98,66.19,64.93,65.06,1538766
#2010-03-22#,64.97,65.97,64.75,65.45,727692
#2010-03-23#,65.63,66.82,65.4,66.82,1084931
#2010-03-24#,66.49,66.93,65.89,66.91,1182217
#2010-03-25#,67.25,68.26,66.88,66.98,1187475
#2010-03-26#,67.04,67.51,66.53,66.79,610408
#2010-03-29#,66.88,67.64,66.88,67.55,588316
#2010-03-30#,67.48,68.33,67.32,67.89,621366
#2010-03-31#,67.62,67.75,67.04,67.54,495132
#2010-04-01#,67.73,68.64,67.21,67.85,570973
#2010-04-02#,67.73,68.64,67.21,67.85,570973
#2010-04-05#,68.16,68.44,67.81,67.99,727665
#2010-04-06#,67.85,68.02,67.52,67.82,616085
#2010-04-07#,67.81,67.81,67.08,67.34,540829
#2010-04-08#,67.1,67.73,66.296,67.73,981735
#2010-04-09#,67.67,69.57,67.39,69.23,1307487
#2010-04-12#,69.27,69.52,68.63,68.8,649468
#2010-04-13#,68.62,69.14,68.355,69.14,865349
#2010-04-14#,69.23,70.1,68.96,70.05,860769
#2010-04-15#,70.06,70.78,69.58,70.65,634558
#2010-04-16#,70.5,70.87,69.94,70.48,868499
#2010-04-19#,70.14,71.32,70.14,70.93,908219
#2010-04-20#,71.16,71.61,70.89,71.09,1164302
#2010-04-21#,71.26,71.32,69.721,70.06,1072881
#2010-04-22#,69.81,69.81,68.61,68.85,1403549
#2010-04-23#,68.85,70.04,68.44,70.03,1018448
#2010-04-26#,69.94,71.06,69.77,70.05,897512
#2010-04-27#,70.25,72.58,70,70.33,1596311
#2010-04-28#,71.19,73.78,70.74,73.13,1915171
#2010-04-29#,73.5,73.72,72.94,73.13,664406
#2010-04-30#,73.25,73.51,71.96,71.99,735902
#2010-05-03#,72,72.98,71.85,72.97,857985
#2010-05-04#,72.25,72.31,70.6,71,1070351
#2010-05-05#,70.15,71.41,70.09,70.81,912536
#2010-05-06#,70.64,70.78,64.03,68.42,1329286
#2010-05-07#,68.12,68.44,64.87,66.11,2196761
#2010-05-10#,67.94,70.16,67.94,70.01,1197332
#2010-05-11#,68.88,70.7,68.88,70.2,845030
#2010-05-12#,70.44,71.69,69.91,71.6,541549
#2010-05-13#,71.69,71.69,70.23,70.37,545453
#2010-05-14#,69.83,70.06,67.47,68.18,1453430
#2010-05-17#,68.35,68.77,67.23,68.14,878863
#2010-05-18#,68.65,69.46,67.54,67.77,959938
#2010-05-19#,67.22,67.615,65.67,66.61,1970370
#2010-05-20#,65.04,65.3,63.82,63.86,2349270
#2010-05-21#,62.6,65.5,62.02,65.5,2712760
#2010-05-24#,65.25,67.58,65.25,66.21,1791289
