"Date","Open","High","Low","Close","Volume"
#2005-01-03#,29.6,29.65,28.51,28.55,737700
#2005-01-04#,28.56,28.78,28.25,28.68,1415300
#2005-01-05#,28.58,28.85,28,28.09,802300
#2005-01-06#,28,28.75,27.81,28.64,817600
#2005-01-07#,28.68,28.74,28.22,28.35,1210000
#2005-01-10#,28.42,29.08,28.27,28.94,1230100
#2005-01-11#,28.94,28.99,28.33,28.41,803000
#2005-01-12#,28.52,28.76,28.2,28.72,495100
#2005-01-13#,28.72,28.85,28.15,28.27,828300
#2005-01-14#,28.24,28.67,28.24,28.63,491700
#2005-01-17#,28.24,28.67,28.24,28.63,491700
#2005-01-18#,28.4,29,28,28.92,496700
#2005-01-19#,28.72,29.09,28.66,28.72,790500
#2005-01-20#,28.55,28.96,28.47,28.71,677300
#2005-01-21#,28.86,28.89,28.33,28.46,792200
#2005-01-24#,28.47,28.84,28.47,28.66,734800
#2005-01-25#,28.75,29.04,28.63,28.9,886000
#2005-01-26#,29,29.26,28.37,29.09,1033500
#2005-01-27#,28.96,29.85,28.93,29.6,1299100
#2005-01-28#,30.75,31.17,29.03,30.17,3613000
#2005-01-31#,30.39,30.7,30.28,30.34,1400800
#2005-02-01#,30.1,30.35,29.44,29.78,2881400
#2005-02-02#,29.75,29.75,29.28,29.51,1330400
#2005-02-03#,29.48,29.48,29,29.17,1295400
#2005-02-04#,29.1,29.15,28.76,29.06,1834600
#2005-02-07#,29.21,29.53,28.81,29,1927200
#2005-02-08#,28.88,29.22,28.7,28.9,812300
#2005-02-09#,28.97,28.97,28.44,28.55,782900
#2005-02-10#,28.67,28.96,28.37,28.77,981900
#2005-02-11#,28.77,29.25,28.66,28.85,890500
#2005-02-14#,28.78,28.82,28.37,28.48,726600
#2005-02-15#,28.39,28.71,28.24,28.42,1021500
#2005-02-16#,28.26,28.68,28.11,28.47,451200
#2005-02-17#,28.4,28.55,28,28.05,601000
#2005-02-18#,28.11,28.22,27.92,27.99,600900
#2005-02-21#,28.11,28.22,27.92,27.99,600900
#2005-02-22#,27.97,28.05,27.47,27.49,807400
#2005-02-23#,27.42,27.67,27.25,27.61,880300
#2005-02-24#,27.64,28.72,27.49,28.65,929600
#2005-02-25#,28.6,29.14,28.16,29.1,780300
#2005-02-28#,29.11,29.31,28.83,29.17,905500
#2005-03-01#,29.16,29.3,28.66,29.21,779600
#2005-03-02#,29.15,29.25,28.9,29,500800
#2005-03-03#,29.01,29.01,28.23,28.64,1316900
#2005-03-04#,28.68,29,28.55,28.77,627400
#2005-03-07#,28.71,29.22,28.71,29.01,528200
#2005-03-08#,29.08,29.35,29.05,29.27,496800
#2005-03-09#,29.11,29.12,28.12,28.23,691300
#2005-03-10#,28.32,28.58,27.8,28.22,435800
#2005-03-11#,28.3,28.5,28.2,28.26,306100
#2005-03-14#,28.42,28.77,28.3,28.59,476600
#2005-03-15#,28.55,28.55,27.48,27.73,839700
#2005-03-16#,27.62,27.65,27.17,27.28,783500
#2005-03-17#,27.35,27.99,27.15,27.67,501400
#2005-03-18#,27.6,27.8,27.43,27.63,1241300
#2005-03-21#,27.6,27.83,27.33,27.68,273500
#2005-03-22#,27.58,27.81,27.35,27.47,657300
#2005-03-23#,27.46,27.74,27.16,27.48,357200
#2005-03-24#,27.53,27.53,26.76,26.76,790100
