"Date","Open","High","Low","Close","Volume"
#2013-01-01#,91.26,92.68,90.75,92.48,335225
#2013-01-02#,93.75,95.16,93.46,95.16,488611
#2013-01-03#,94.94,96.14,94.48,94.93,362252
#2013-01-04#,95.5,96.06,94.774,95.44,391946
#2013-01-07#,95.2,96.91,95.2,96.4,298064
#2013-01-08#,96.28,96.4277,95.38,96.04,319292
#2013-01-09#,96.45,97.3,96.04,96.54,372722
#2013-01-10#,96.9,97.98,96.33,97.8,343428
#2013-01-11#,97.6,98.7295,96.63,96.88,471664
#2013-01-14#,97,97.81,96.67,97.11,225445
#2013-01-15#,96.92,97.2,96.31,97.2,363815
#2013-01-16#,97.17,98.2,96.83,97.83,259055
#2013-01-17#,97.96,98.35,97.33,97.33,239560
#2013-01-18#,97.56,97.78,96.89,97.33,342188
#2013-01-21#,97.56,97.78,96.89,97.33,342188
#2013-01-22#,97.33,98.476,97.31,98.4,362988
#2013-01-23#,98.59,99.75,98.0901,99.64,335436
#2013-01-24#,99.51,101.43,99.12,100.73,466120
#2013-01-25#,100.78,102.08,99.73,102.08,344368
#2013-01-28#,102.09,102.475,101.18,101.78,218294
#2013-01-29#,101.38,101.97,100.92,101.51,193884
#2013-01-30#,101.24,101.69,100.82,101.05,181697
#2013-01-31#,100.95,101.44,100.14,101.35,262560
#2013-02-01#,102.04,102.33,101.2,102.19,160379
#2013-02-04#,101.54,101.54,100.2401,100.65,275974
#2013-02-05#,100.95,101.41,100.75,100.86,189308
#2013-02-06#,100.39,103.03,100.39,103.03,464987
#2013-02-07#,103.15,103.33,102.44,102.87,493929
#2013-02-08#,103.01,105.2,103,104.26,309118
#2013-02-11#,104.09,104.74,103.75,104.05,141705
#2013-02-12#,104.15,104.72,104.15,104.61,282991
#2013-02-13#,105.03,105.75,103.89,104.25,287580
#2013-02-14#,104.21,104.42,103.59,103.79,208787
#2013-02-15#,103.85,104.53,103.5701,104.01,112034
#2013-02-18#,103.85,104.53,103.5701,104.01,112034
#2013-02-19#,103.89,105.19,103.38,104.66,184969
#2013-02-20#,104.62,104.665,103.04,103.14,205527
#2013-02-21#,103.11,103.12,101.57,102.59,285806
#2013-02-22#,103.05,103.42,102.64,102.91,113679
#2013-02-25#,103.31,104.83,102.33,102.33,252581
#2013-02-26#,102.82,104.34,102.14,103.96,265207
#2013-02-27#,104.07,106.14,104.04,105.5,181765
#2013-02-28#,105.49,106.75,105.49,106.06,191665
#2013-03-01#,105.68,105.97,104.41,105.08,360016
#2013-03-04#,104.83,105.53,104.19,105.19,233711
#2013-03-05#,105.81,106.31,105.53,105.87,483572
#2013-03-06#,106.21,106.52,105.11,105.55,346419
#2013-03-07#,105.69,105.905,103.88,104.7,701502
#2013-03-08#,104.3,109.56,103.57,108.23,881040
#2013-03-11#,106.54,106.98,105.875,106.25,373071
#2013-03-12#,105.67,106.37,104.96,105.4,415372
#2013-03-13#,105.39,105.39,104.92,105.25,290016
#2013-03-14#,105,105.75,104.44,104.82,276026
#2013-03-15#,104.66,104.93,103.46,103.82,373806
#2013-03-18#,103.42,104.42,102.72,104.09,242434
#2013-03-19#,104.34,104.76,103.65,104.42,246906
#2013-03-20#,105.06,109.82,104.43,105.48,303459
#2013-03-21#,104.92,109.65,103.68,103.98,169599
#2013-03-22#,104.37,104.49,103.73,104.16,128873
#2013-03-25#,104.64,104.97,103.68,104.39,215952
#2013-03-26#,104.28,104.99,103.87,104.93,262887
#2013-03-27#,104.37,106.79,104.2,106.74,312668
#2013-03-28#,106.74,108.04,106.48,107.88,333885
#2013-03-29#,106.74,108.04,106.48,107.88,333885
#2013-04-01#,107.8,108.25,105.76,106.55,203155
#2013-04-02#,107.2,108.29,107.2,107.71,235546
#2013-04-03#,107.7,107.935,106.65,107.05,323800
#2013-04-04#,107.22,108.01,106.74,107.98,288908
#2013-04-05#,107,107.55,105.76,106.17,532867
#2013-04-08#,106.21,106.55,105.39,106.39,207421
#2013-04-09#,106.31,106.98,105.95,106.61,193283
#2013-04-10#,106.7,108.48,106.4,108.17,330970
#2013-04-11#,108.5,109.93,107.94,109.89,313517
#2013-04-12#,109.63,109.792,108.31,108.95,308279
#2013-04-15#,108.74,108.76,106.64,107.08,419759
#2013-04-16#,107.64,108.81,107,108.63,375115
#2013-04-17#,108.25,108.38,107.2,107.88,391881
#2013-04-18#,107.9,108.48,105.39,105.86,173999
#2013-04-19#,105.8,106.91,104.235,106.25,160377
#2013-04-22#,106.45,106.45,104.93,106.08,115957
#2013-04-23#,106.66,108.48,106.385,108.2,283068
#2013-04-24#,107.99,108.0499,107.02,107.62,183421
#2013-04-25#,105.3838,110.45,105.35,107.29,174672
#2013-04-26#,107.18,107.72,106.09,107.72,176913
#2013-04-29#,108.21,108.94,107,108.76,164869
#2013-04-30#,108.56,110.85,108.295,110.4,348529
#2013-05-01#,110.4,110.57,108.53,108.67,143741
#2013-05-02#,108.92,109.93,108.19,109.86,366657
#2013-05-03#,110.64,112.0299,110.51,112,320460
#2013-05-06#,112.23,113.5,111.75,113.32,282036
#2013-05-07#,113.32,113.71,112.66,113.53,219508
#2013-05-08#,113.62,115.17,112.86,115.06,304308
#2013-05-09#,114.98,116.1,114.96,115.34,203046
#2013-05-10#,115.63,116.642,115.28,115.97,187671
#2013-05-13#,116.01,116.46,115.71,116,308451
#2013-05-14#,115.85,116.79,114.87,114.97,319521
#2013-05-15#,113.89,113.89,111.385,111.93,739914
#2013-05-16#,111.93,111.95,110.39,110.52,349257
#2013-05-17#,111.08,111.61,110.8,111.22,253837
#2013-05-20#,111.25,112.15,110.65,111.07,320318
#2013-05-21#,111.16,111.98,110.57,110.99,189329
#2013-05-22#,111.11,111.45,106.6025,107.22,603894
#2013-05-23#,106.84,107.66,105.71,107.12,371327
#2013-05-24#,107.05,109.85,106.29,109.04,939216
#2013-05-27#,107.05,109.85,106.29,109.04,939216
#2013-05-28#,109.88,111.64,109.28,110.94,563831
#2013-05-29#,110.55,111.13,108.57,110.79,442748
#2013-05-30#,110.57,114.37,110.3,114.3,401109
#2013-05-31#,113.69,115.325,112.96,113.01,349354
#2013-06-03#,113,114.1,112.93,113.2,573776
#2013-06-04#,113.2,113.99,111.69,111.83,414985
#2013-06-05#,111.42,112.33,110.75,111,236152
#2013-06-06#,110.63,113.22,110.33,113.13,392192
#2013-06-07#,116.61,120.56,116.61,120,1143256
#2013-06-10#,120.22,122.765,119.6,121.63,674532
#2013-06-11#,120.46,122.08,119.06,120.96,253719
#2013-06-12#,121.92,121.95,119.92,120.41,186775
#2013-06-13#,120.5,121.43,119.72,121.22,269813
#2013-06-14#,121.22,121.78,119.97,121.53,341400
#2013-06-17#,122.17,124.08,121.71,122.8,359506
#2013-06-18#,123.09,123.29,121.57,121.69,236765
#2013-06-19#,121.85,122.2,120.61,120.75,195980
#2013-06-20#,119.51,119.92,116.91,117.31,220888
#2013-06-21#,117.97,119,117.48,118.6,325314
#2013-06-24#,117.48,119.05,116.75,117.85,233790
#2013-06-25#,118.96,119.39,116.2679,116.84,311565
#2013-06-26#,117.92,118.58,117.18,117.66,241003
#2013-06-27#,118.38,118.49,117.3,117.8,314355
#2013-06-28#,117.7,120.92,116.81,119.05,583546
#2013-07-01#,119.64,121.07,119.23,120.89,232614
#2013-07-02#,120.96,122.54,120.83,121.93,238757
#2013-07-03#,121.1,121.97,120,121.65,150013
#2013-07-04#,121.1,121.97,120,121.65,150013
#2013-07-05#,122.56,123.78,121.81,123.64,268129
#2013-07-08#,124.1,124.73,123.17,123.34,366980
#2013-07-09#,123.62,124.248,122.61,123.79,189499
#2013-07-10#,124.01,124.9,122.96,124.42,256134
#2013-07-11#,125.47,125.6,123.65,123.7,296605
#2013-07-12#,123.61,125.49,122.03,125.36,304636
#2013-07-15#,125.18,127.46,124.55,127.07,396869
#2013-07-16#,127.39,128.37,124.59,125.07,304078
#2013-07-17#,125.8,126.7699,125.68,125.78,133788
#2013-07-18#,125.97,127.21,125.885,126.62,129671
#2013-07-19#,126.5,127.01,125.82,126.84,209422
#2013-07-22#,126.88,128.31,125.67,128.31,389955
#2013-07-23#,128.15,129.06,127.01,127.5,332684
#2013-07-24#,128.09,128.4499,126.4,126.89,223301
#2013-07-25#,126.84,127.46,125.36,126.22,177948
#2013-07-26#,126.18,126.18,124.665,125.79,150822
#2013-07-29#,125.47,126.34,124.075,125.72,236129
#2013-07-30#,126.39,126.39,124.404,125.32,266228
#2013-07-31#,125.83,128.29,125.67,127.35,326377
#2013-08-01#,128.47,130.37,128.05,129.61,356790
#2013-08-02#,129.17,129.17,127.65,129.05,132074
#2013-08-05#,128.75,130.47,127.48,130.47,185118
#2013-08-06#,130,130.69,128.22,130.15,295324
#2013-08-07#,130,130.83,127.998,130.14,214841
#2013-08-08#,130.85,131.94,129.91,131.66,180549
#2013-08-09#,131.2,132.29,130.47,131.61,132633
#2013-08-12#,131.13,132.73,131.13,131.72,152029
#2013-08-13#,131.65,133.53,129.85,131.5,162899
#2013-08-14#,131.99,131.99,131.11,131.74,116128
#2013-08-15#,130.83,130.91,129,129.42,196776
#2013-08-16#,129.44,130.21,128.02,129.43,201218
#2013-08-19#,129.28,130.36,128.06,128.94,180867
#2013-08-20#,128.76,129.85,127.54,129.74,195906
#2013-08-21#,129.47,130.24,128.53,129.22,155900
#2013-08-22#,129.49,130.42,128.4,130,91353
#2013-08-23#,130.05,130.86,129.21,130.16,201061
#2013-08-26#,130.09,130.76,128.78,129.63,178917
#2013-08-27#,128.74,130.28,128.03,129.53,323358
#2013-08-28#,129.77,131.14,128.6,130.42,213677
#2013-08-29#,130.45,132.17,129.39,131.73,211765
#2013-08-30#,131.73,132.206,129.76,130.61,320895
#2013-09-02#,131.73,132.206,129.76,130.61,320895
#2013-09-03#,131.79,132.99,129.81,131.82,479528
#2013-09-04#,131.76,133.58,131.76,133.36,266856
#2013-09-05#,132.7,134.2,131.42,133.25,360432
#2013-09-06#,131.9,131.9,126.79,130.92,667490
#2013-09-09#,131.33,133.27,131.33,133.12,280915
#2013-09-10#,133.95,135.01,133.32,134.97,231401
#2013-09-11#,135.06,135.41,134.13,134.47,158735
#2013-09-12#,134.54,134.77,131.793,132.03,370466
#2013-09-13#,132.2,132.74,131.55,132.07,190242
#2013-09-16#,133.8,134.4,132.8,133.32,151348
#2013-09-17#,133.32,134.52,133.27,134.41,133190
#2013-09-18#,134.2,134.75,132.49,134.72,123628
#2013-09-19#,134.76,135.22,131.47,131.99,263029
#2013-09-20#,131.72,132.62,130.76,131.31,365936
#2013-09-23#,131.11,131.27,129.02,129.25,208464
#2013-09-24#,129.24,129.25,127.61,127.79,304436
#2013-09-25#,127.96,129.665,125.88,129.24,484680
#2013-09-26#,129.58,130.74,128.64,129.98,304315
#2013-09-27#,129.66,130.775,128.48,130.53,234487
#2013-09-30#,129,130.365,128.44,129.69,377475
#2013-10-01#,130,131.99,129.37,130.76,461726
#2013-10-02#,130.29,130.29,128.03,129.47,365916
#2013-10-03#,129.2,129.93,126.83,126.86,836207
#2013-10-04#,126.95,128.06,126.23,127.07,395426
#2013-10-07#,126.21,127.21,124,126.41,390014
#2013-10-08#,126.75,127.72,124.88,124.96,343763
#2013-10-09#,124.99,126.34,124.04,125.51,468008
#2013-10-10#,126.67,127.43,126.08,127.27,340028
#2013-10-11#,127.63,129.76,126.87,129.68,345029
#2013-10-14#,128.99,129.96,127.92,129.6,305719
#2013-10-15#,129.77,129.78,127.63,127.86,346247
#2013-10-16#,128.19,128.95,127.545,127.91,303716
#2013-10-17#,127.68,127.845,126.92,127.13,548920
#2013-10-18#,127.7,127.84,125.49,125.92,411437
#2013-10-21#,126.19,127.58,125.29,127.37,306133
#2013-10-22#,127.04,129.08,127.04,128.4,273275
#2013-10-23#,128.1,128.66,127.07,128.35,168338
#2013-10-24#,128.8,129.15,127.83,128.77,193793
#2013-10-25#,128.64,129.28,127.61,129.18,266500
#2013-10-28#,128.93,129.87,128.271,129.64,201863
#2013-10-29#,130,131.16,130,131.16,268258
#2013-10-30#,130.92,132.1499,129,129.75,162304
#2013-10-31#,129.95,130.26,128.03,129.21,192927
#2013-11-01#,129.44,130.51,127.53,128.35,206370
#2013-11-04#,128.25,129.1775,127.33,129.05,203811
#2013-11-05#,126.4701,129.11,126.4701,128.49,224197
#2013-11-06#,129.24,129.24,127.71,127.88,179307
#2013-11-07#,128.28,129.04,125.64,125.72,179630
#2013-11-08#,125.67,127.58,125.48,127.07,129501
#2013-11-11#,127.39,128.49,126.71,127.16,158250
#2013-11-12#,127.02,128.1099,126.04,127.85,99362
#2013-11-13#,127.11,128.82,127.11,127.6,222827
#2013-11-14#,127.63,128.49,126.49,126.98,248803
#2013-11-15#,126.7,129.41,126.51,129.35,184619
#2013-11-18#,129.23,129.27,127.23,128,229650
#2013-11-19#,127.75,128.56,127.33,127.96,174622
#2013-11-20#,127.96,129.21,127.7,128,162549
#2013-11-21#,128.46,132.23,128.46,132.22,321612
#2013-11-22#,132.49,134.47,131.87,133.61,410243
#2013-11-25#,133.56,133.965,132.595,132.83,243789
#2013-11-26#,132.56,132.81,130.6,130.64,309317
#2013-11-27#,130.72,131.87,129.99,131.79,460407
#2013-11-28#,130.72,131.87,129.99,131.79,460407
#2013-11-29#,132.12,133.4199,131.45,131.74,91486
#2013-12-02#,131.64,132.72,130.68,132.26,231427
#2013-12-03#,131.4,133.06,130.42,132.79,432984
#2013-12-04#,133.52,133.52,130.64,131.88,218132
#2013-12-05#,134.38,135,132.19,133.73,368128
#2013-12-06#,126.665,127.4,125.02,125.76,1923851
#2013-12-09#,125.34,126.86,125.1,126.58,544780
#2013-12-10#,126.06,127.172,123.68,123.74,710749
#2013-12-11#,123.08,124.4,119.6,119.89,914115
#2013-12-12#,119.56,121.33,118.575,119.53,1140346
#2013-12-13#,119.64,124.23,119.64,121.21,1105453
#2013-12-16#,120.84,122.07,120.42,120.56,512148
#2013-12-17#,120.34,123.53,119.31,122.14,754084
#2013-12-18#,122.93,123.87,119.9,121.43,786440
#2013-12-19#,121.13,122.89,121.0225,122.6,704769
#2013-12-20#,122.62,127,122.52,127,1084930
#2013-12-23#,126.93,128.05,125.49,126.09,495589
#2013-12-24#,126.23,127.19,125.56,126.66,224855
#2013-12-25#,126.23,127.19,125.56,126.66,224855
#2013-12-26#,126.66,127,125.3901,125.65,265617
#2013-12-27#,126.01,126.44,125.46,125.58,303025
#2013-12-30#,125.88,126.99,124.91,124.99,344120
#2013-12-31#,125.37,125.84,123.35,123.84,451118
#2014-01-01#,125.37,125.84,123.35,123.84,451118
