"Date","Open","High","Low","Close","Volume"
#2018-01-01#,3295.246,3308.225,3292.77,3307.172,14156629320
#2018-01-02#,3314.031,3349.053,3314.031,3348.326,20227838628
#2018-01-03#,3347.743,3379.915,3345.289,3369.108,21383516624
#2018-01-04#,3371,3392.826,3365.295,3385.71,20695392356
#2018-01-05#,3386.464,3402.069,3380.245,3391.75,21305720081
#2018-01-08#,3391.553,3412.73,3384.559,3409.479,23616005857
#2018-01-09#,3406.112,3417.228,3403.587,3413.899,19148616757
#2018-01-10#,3414.113,3430.214,3398.842,3421.834,20906608048
#2018-01-11#,3415.585,3426.483,3405.639,3425.345,17373789813
#2018-01-12#,3423.879,3435.424,3417.98,3428.941,17365334701
#2018-01-15#,3428.951,3442.501,3402.312,3410.488,23187330693
#2018-01-16#,3403.469,3437.583,3401.961,3436.594,21137701204
#2018-01-17#,3438.576,3465.205,3430.511,3444.671,26096939048
#2018-01-18#,3449.881,3476.546,3448.789,3474.754,21996777486
#2018-01-19#,3481.62,3498.434,3474.292,3487.864,24753484839
#2018-01-22#,3476.994,3503.386,3475.673,3501.362,21748209917
#2018-01-23#,3504.344,3547.222,3504.344,3546.505,23866939151
#2018-01-24#,3553.479,3569.489,3527.112,3559.465,25139410044
#2018-01-25#,3555.168,3571.48,3528.035,3548.307,24222312389
#2018-01-26#,3535.493,3574.905,3534.195,3558.129,22161014958
#2018-01-29#,3563.64,3587.032,3510.269,3523.001,23506715199
#2018-01-30#,3511.5,3523.051,3484.656,3488.009,18553335278
#2018-01-31#,3470.509,3495.453,3454.726,3480.833,20713283908
#2018-02-01#,3478.67,3495.093,3424.419,3446.98,26031868658
#2018-02-02#,3419.225,3463.164,3388.86,3462.081,20793931129
#2018-02-05#,3411.67,3487.721,3406.24,3487.497,21754986067
#2018-02-06#,3418.01,3440.124,3364.216,3370.652,28049813467
#2018-02-07#,3412.744,3425.538,3304.007,3309.26,26043852656
#2018-02-08#,3281.046,3307.162,3225.712,3262.05,19940811788
#2018-02-09#,3172.851,3180.11,3062.743,3129.851,25492658413
#2018-02-12#,3128.371,3168.126,3113.605,3154.125,15210907482
#2018-02-13#,3176.107,3219.217,3176.107,3184.959,15009400564
#2018-02-14#,3188.248,3203.497,3171.384,3199.159,9987981502
#2018-02-15#,3188.248,3203.497,3171.384,3199.159,9987981502
#2018-02-16#,3188.248,3203.497,3171.384,3199.159,9987981502
#2018-02-19#,3188.248,3203.497,3171.384,3199.159,9987981502
#2018-02-20#,3188.248,3203.497,3171.384,3199.159,9987981502
#2018-02-21#,3188.248,3203.497,3171.384,3199.159,9987981502
#2018-02-22#,3237.569,3269.916,3234.115,3268.559,13841191257
#2018-02-23#,3275.429,3294.134,3258.488,3289.024,14555015159
#2018-02-26#,3307.295,3335.986,3281.615,3329.574,18832182587
#2018-02-27#,3328.672,3328.672,3284.629,3292.068,17404822731
#2018-02-28#,3264.059,3277.833,3239.844,3259.408,15076850323
#2018-03-01#,3235.089,3280.149,3228.585,3273.755,15881724591
#2018-03-02#,3248.446,3269.938,3242.267,3254.528,15067407934
#2018-03-05#,3255.871,3269.4,3236.717,3256.926,14225550211
#2018-03-06#,3266.487,3290.253,3243.654,3289.642,19386277099
#2018-03-07#,3288.865,3308.406,3264.764,3271.668,16535732950
#2018-03-08#,3268.347,3289.497,3261.552,3288.406,14796836558
#2018-03-09#,3291.426,3309.715,3283.559,3307.166,16639318121
#2018-03-12#,3319.209,3333.561,3313.555,3326.699,20418848167
#2018-03-13#,3324.122,3333.875,3307.376,3310.239,17534401078
#2018-03-14#,3298.666,3304.979,3287.356,3291.382,15650464047
#2018-03-15#,3277.514,3297.098,3273.201,3291.112,14850897283
#2018-03-16#,3290.209,3300.565,3269.283,3269.882,14120364667
#2018-03-19#,3264.928,3280.567,3251.047,3279.252,13795498040
#2018-03-20#,3257.219,3292.574,3252.433,3290.64,13988108147
#2018-03-21#,3299.731,3314.209,3268.878,3280.952,16839827746
#2018-03-22#,3281.265,3288.797,3242.762,3263.48,15043297674
#2018-03-23#,3172.772,3188.235,3110.664,3152.761,27553201346
#2018-03-26#,3117.319,3134.276,3091.458,3133.722,18636548535
#2018-03-27#,3164.798,3172.778,3143.57,3166.649,18907253608
#2018-03-28#,3130.571,3165.213,3117.534,3122.29,16349927456
#2018-03-29#,3127.263,3174.509,3098.247,3160.531,17031101926
#2018-03-30#,3161.786,3177.721,3152.889,3168.896,15464201465
#2018-04-02#,3169.779,3192.34,3159.986,3163.179,17772239253
#2018-04-03#,3130.013,3144.332,3119.132,3136.633,15220921084
#2018-04-04#,3147.049,3163.34,3128.867,3131.111,14696859445
#2018-04-05#,3147.049,3163.34,3128.867,3131.111,14696859445
#2018-04-06#,3147.049,3163.34,3128.867,3131.111,14696859445
#2018-04-09#,3125.441,3146.093,3110.302,3138.294,13959247757
#2018-04-10#,3144.257,3190.649,3139.081,3190.322,16814972683
#2018-04-11#,3197.372,3220.845,3191.586,3208.082,17586055805
#2018-04-12#,3203.278,3205.252,3177.049,3180.158,14822733642
#2018-04-13#,3192.042,3197.896,3155.506,3159.052,12754677594
#2018-04-16#,3152.888,3153.106,3096.1,3110.649,15422646977
#2018-04-17#,3112.975,3118.76,3064.028,3066.797,14721197833
#2018-04-18#,3091.909,3096.889,3041.625,3091.399,15899899833
#2018-04-19#,3094.274,3127.439,3090.287,3117.376,15978811917
#2018-04-20#,3105.462,3111.171,3065.921,3071.542,15491286104
#2018-04-23#,3063.443,3085.057,3045.937,3068.012,13146425971
#2018-04-24#,3069.746,3136.04,3069.746,3128.927,16226309270
#2018-04-25#,3112.398,3122.908,3107.001,3117.974,12730329103
#2018-04-26#,3119.496,3121.933,3067.929,3075.03,13395434915
#2018-04-27#,3082.415,3088.035,3049.914,3082.232,13096787732
#2018-04-30#,3082.415,3088.035,3049.914,3082.232,13096787732
#2018-05-01#,3082.415,3088.035,3049.914,3082.232,13096787732
#2018-05-02#,3087.409,3097.604,3064.763,3081.177,13359848709
#2018-05-03#,3074.517,3105.66,3056.157,3100.859,13932055622
#2018-05-04#,3093.117,3104.093,3086.784,3091.033,11838202861
#2018-05-07#,3094.899,3136.836,3091.658,3136.645,13871444123
#2018-05-08#,3135.296,3169.701,3134.062,3161.498,14685458320
#2018-05-09#,3160.138,3165.373,3145.657,3159.15,12225720989
#2018-05-10#,3169.05,3176.138,3155.533,3174.413,13268447065
#2018-05-11#,3179.797,3180.756,3162.212,3163.263,13031716091
#2018-05-14#,3167.042,3183.816,3163.476,3174.032,12901835947
#2018-05-15#,3180.425,3192.807,3164.518,3192.118,12454588292
#2018-05-16#,3180.226,3191.948,3166.811,3169.565,13052053737
#2018-05-17#,3170.006,3172.766,3148.621,3154.282,11399058442
#2018-05-18#,3151.082,3193.453,3144.776,3193.303,13648283832
#2018-05-21#,3206.176,3219.74,3203.336,3213.84,16437674403
#2018-05-22#,3211.247,3214.589,3192.228,3214.35,14390902241
#2018-05-23#,3205.437,3205.437,3168.964,3168.964,15780713392
#2018-05-24#,3167.939,3173.531,3152.069,3154.651,12408558141
#2018-05-25#,3148.41,3156.726,3131.067,3141.303,12861043231
#2018-05-28#,3136.809,3149.665,3115.958,3135.082,12875483953
#2018-05-29#,3129.621,3143.208,3112.153,3120.46,13571603291
#2018-05-30#,3081.142,3085.397,3041,3041.443,15511120567
#2018-05-31#,3061.829,3098.076,3054.269,3095.474,14047526006
#2018-06-01#,3084.754,3102.088,3059.786,3075.137,12987133524
#2018-06-04#,3083.427,3098.402,3076.994,3091.191,11459319502
#2018-06-05#,3088.008,3114.769,3080.046,3114.206,11873475399
#2018-06-06#,3109.175,3117.525,3103.533,3115.18,12019540074
#2018-06-07#,3121.184,3128.715,3105.578,3109.499,12778313131
#2018-06-08#,3100.604,3100.685,3053.288,3067.148,13466675472
#2018-06-11#,3057.339,3063.61,3037.914,3052.783,10854375876
#2018-06-12#,3053.028,3081.447,3034.101,3079.802,11312945492
#2018-06-13#,3071.464,3071.464,3044.12,3049.796,11327285973
#2018-06-14#,3038.07,3066.047,3032.406,3044.16,11197356769
#2018-06-15#,3037.452,3048.797,3008.732,3021.901,14237896748
#2018-06-18#,3037.452,3048.797,3008.732,3021.901,14237896748
#2018-06-19#,2982.65,2984.971,2871.355,2907.822,22840074848
#2018-06-20#,2889.984,2925.561,2872.163,2915.731,14226009579
#2018-06-21#,2912.003,2940.586,2872.619,2875.81,15188626591
#2018-06-22#,2855.585,2891.969,2837.144,2889.76,12362961941
#2018-06-25#,2903.449,2908.624,2857.871,2859.336,11905506202
#2018-06-26#,2829.995,2850.24,2803.785,2844.508,12402486372
#2018-06-27#,2842.396,2854.258,2798.8,2813.177,12455117448
#2018-06-28#,2799.904,2825.987,2782.446,2786.896,11641713113
#2018-06-29#,2789.811,2848.372,2782.381,2847.418,12403069971
#2018-07-02#,2841.58,2845.68,2756.815,2775.557,13574468701
#2018-07-03#,2774.57,2786.888,2722.448,2786.888,14136045825
#2018-07-04#,2776.632,2793.179,2754.155,2759.126,12293280865
#2018-07-05#,2755.339,2777.523,2727.94,2733.882,12882190007
#2018-07-06#,2731.353,2768.874,2691.021,2747.229,13606485489
#2018-07-09#,2752.447,2815.79,2752.447,2815.11,12122032940
#2018-07-10#,2819.712,2828.493,2800.625,2827.625,11610202507
#2018-07-11#,2780.704,2794.36,2752.435,2777.771,12632750663
#2018-07-12#,2771.041,2844.193,2771.041,2837.659,14696988789
#2018-07-13#,2831.428,2835.463,2818.848,2831.184,11768159321
#2018-07-16#,2827.082,2837.509,2804.493,2814.042,10775354395
#2018-07-17#,2806.885,2806.919,2774.762,2798.126,10540371104
#2018-07-18#,2801.777,2818.395,2786.04,2787.257,12095707664
#2018-07-19#,2791.016,2805.01,2764.486,2772.545,11447729788
#2018-07-20#,2769.754,2837.862,2753.84,2829.271,14586548333
#2018-07-23#,2815.201,2863.571,2809.616,2859.542,17338149060
#2018-07-24#,2862.267,2911.465,2862.267,2905.562,22957674467
#2018-07-25#,2911.453,2912.313,2894.039,2903.647,16779741191
#2018-07-26#,2905.794,2915.297,2875.701,2882.225,16842407815
#2018-07-27#,2879.69,2889.694,2864.11,2873.594,14636807947
#2018-07-30#,2871.94,2896.011,2850.296,2869.05,15164482519
#2018-07-31#,2866.898,2884.68,2854.32,2876.401,11856433333
#2018-08-01#,2882.506,2897.4,2823.929,2824.534,14923535762
#2018-08-02#,2815.344,2815.344,2726.482,2768.024,17397592756
#2018-08-03#,2763.396,2777.657,2740.432,2740.443,12700506691
#2018-08-06#,2736.526,2760.474,2692.322,2705.156,12975004215
#2018-08-07#,2711.736,2779.374,2696.039,2779.374,14957727663
#2018-08-08#,2771.129,2779.912,2741.067,2744.07,14768542316
#2018-08-09#,2729.579,2801.659,2726.215,2794.382,15147801813
#2018-08-10#,2791.402,2806.115,2777.506,2795.31,12137220443
#2018-08-13#,2769.017,2789.798,2742.56,2785.872,12752921136
#2018-08-14#,2780.736,2789.444,2766.569,2780.965,10956835931
#2018-08-15#,2777.249,2777.703,2721.24,2723.258,11615928331
#2018-08-16#,2691.426,2732.949,2672.741,2705.192,12027129318
#2018-08-17#,2723.887,2730.333,2665.592,2668.966,11243812460
#2018-08-20#,2673.066,2698.466,2653.112,2698.466,11078416367
#2018-08-21#,2700.342,2739.173,2696.292,2733.826,11358683926
#2018-08-22#,2731.958,2731.958,2709.062,2714.608,9366463953
#2018-08-23#,2714.867,2736.01,2700.804,2724.625,9844646980
#2018-08-24#,2717.081,2748.824,2705.324,2729.431,10051626861
#2018-08-27#,2736.319,2780.899,2736.319,2780.899,13276206511
#2018-08-28#,2782.293,2791.39,2769.401,2777.981,11874881316
#2018-08-29#,2774.865,2778.539,2762.35,2769.295,10015647814
#2018-08-30#,2769.332,2780.527,2736.346,2737.737,10605992388
#2018-08-31#,2730.113,2744.631,2710.537,2725.25,10975009677
#2018-09-03#,2716.404,2722.852,2692.365,2720.734,10197007942
#2018-09-04#,2720.648,2756.607,2712.376,2750.58,10884244862
#2018-09-05#,2741.38,2745.467,2704.337,2704.337,10481467548
#2018-09-06#,2697.578,2719.406,2683.744,2691.593,9868479414
#2018-09-07#,2696.677,2728.546,2683.719,2702.301,10724139517
#2018-09-10#,2698.011,2703.428,2667.317,2669.485,10343673762
#2018-09-11#,2668.487,2680.573,2652.704,2664.8,9967722789
#2018-09-12#,2659.744,2672.073,2647.17,2656.11,8786273167
#2018-09-13#,2679.208,2689.063,2653.189,2686.578,10579012232
#2018-09-14#,2688.779,2694.92,2675.29,2681.643,10000354383
#2018-09-17#,2671.291,2671.291,2647.915,2651.789,8810374281
#2018-09-18#,2644.296,2700.193,2644.296,2699.95,11566608983
