"Date","Open","High","Low","Close","Volume"
#2013-01-01#,62.61,63.54,62.44,63.53,399099
#2013-01-02#,64.31,65.23,64.13,65.23,554208
#2013-01-03#,65.06,65.13,64.71,65.01,515533
#2013-01-04#,64.85,65.25,64.85,65.25,358436
#2013-01-07#,65.42,65.42,64.56,65.08,346987
#2013-01-08#,64.97,65.13,64.63,65.04,495315
#2013-01-09#,65.01,65.47,64.63,65.47,597754
#2013-01-10#,65.52,65.52,64.4,64.68,1051761
#2013-01-11#,64.85,65.07,64.39,65.07,588274
#2013-01-14#,65.08,65.58,64.95,65.3,504765
#2013-01-15#,64.99,65.51,64.99,65.37,490222
#2013-01-16#,65.18,65.53,65.13,65.44,380234
#2013-01-17#,65.63,66.5,65.56,66.29,477660
#2013-01-18#,66.35,66.65,65.97,66.65,647530
#2013-01-21#,66.35,66.65,65.97,66.65,647530
#2013-01-22#,66.53,66.95,66.07,66.5,490093
#2013-01-23#,66.58,66.645,66.07,66.59,636794
#2013-01-24#,62.96,63.1,60.82,62.37,3963716
#2013-01-25#,62.32,62.55,61.64,61.87,1538765
#2013-01-28#,61.7,61.7499,60.82,61.23,1280693
#2013-01-29#,61,61.965,60.88,61.87,1305287
#2013-01-30#,61.78,62.47,61.62,62.34,1249610
#2013-01-31#,62.37,62.61,62.1,62.35,1219962
#2013-02-01#,62.97,63.41,62.72,63.38,931837
#2013-02-04#,62.97,63.37,62.73,62.78,717024
#2013-02-05#,63.32,63.5099,62.98,63.38,551368
#2013-02-06#,63.13,63.14,62.54,62.75,846948
#2013-02-07#,63.38,63.79,63.08,63.37,1076420
#2013-02-08#,63.66,63.84,63.33,63.63,514283
#2013-02-11#,63.69,64,63.52,63.94,453844
#2013-02-12#,64.09,64.2,63.6701,64.09,517231
#2013-02-13#,64.5,64.5,63.84,64.09,362148
#2013-02-14#,64.25,64.92,64.23,64.39,1003324
#2013-02-15#,64.44,65.08,64.43,64.69,527063
#2013-02-18#,64.44,65.08,64.43,64.69,527063
#2013-02-19#,64.88,65.31,64.66,65.01,778010
#2013-02-20#,64.88,65.56,64.76,65.29,651981
#2013-02-21#,65.08,65.78,64.97,65.35,997858
#2013-02-22#,65.57,66.2,65.41,66.2,481904
#2013-02-25#,66.32,66.38,65.42,65.42,660404
#2013-02-26#,65.64,66.81,65.64,66.61,990919
#2013-02-27#,66.53,67.44,66.35,67.32,640758
#2013-02-28#,67.31,67.66,66.92,67.27,1342332
#2013-03-01#,67.15,68.48,66.59,68.39,937410
#2013-03-04#,68.25,69.26,68.11,69.22,650717
#2013-03-05#,69.37,69.9886,68.87,69.9,715509
#2013-03-06#,70,70.07,69.38,69.77,1128030
#2013-03-07#,69.96,70.44,69.84,70.15,751478
#2013-03-08#,70.44,70.44,69.72,70.2,537941
#2013-03-11#,70,70.4,69.84,70.15,670035
#2013-03-12#,69.96,70.429,69.7,70.35,421111
#2013-03-13#,70.35,70.69,70.16,70.34,866909
#2013-03-14#,70.51,71.11,70.395,71.01,557153
#2013-03-15#,70.71,70.97,70.5199,70.75,848111
#2013-03-18#,70.4,70.87,70.15,70.6,372044
#2013-03-19#,70.75,71.08,70.451,71.01,321271
#2013-03-20#,71.4,71.73,71.195,71.71,644532
#2013-03-21#,71.66,71.79,71.18,71.26,394914
#2013-03-22#,71.15,72.245,71.15,72.19,381776
#2013-03-25#,72.39,72.45,71.57,71.79,342196
#2013-03-26#,71.95,72.57,71.82,72.41,366750
#2013-03-27#,72.03,72.73,71.88,72.65,630091
#2013-03-28#,72.98,73.69,72.84,73.55,754112
#2013-03-29#,72.98,73.69,72.84,73.55,754112
#2013-04-01#,73.21,73.21,71.955,72.71,816334
#2013-04-02#,72.42,73.7,71.66,72.62,761071
#2013-04-03#,72.47,72.73,71.47,71.6,840289
#2013-04-04#,71.98,72.39,71.41,71.68,692770
#2013-04-05#,71.13,71.2,70.47,70.9,784141
#2013-04-08#,71.02,71.2,70.42,71.11,504619
#2013-04-09#,70.85,71.27,70.38,70.89,709269
#2013-04-10#,71.24,71.59,71.2,71.49,1006281
#2013-04-11#,71.32,71.85,71.1,71.25,511068
#2013-04-12#,71.12,71.8,70.94,71.72,571535
#2013-04-15#,71.46,71.63,70.54,70.54,651544
#2013-04-16#,70.96,72.07,70.8,71.9,978519
#2013-04-17#,71.48,71.83,71.04,71.41,754989
#2013-04-18#,71.45,71.92,71.34,71.46,546581
#2013-04-19#,71.75,72.6,71.69,72.3,901105
#2013-04-22#,71.86,71.94,71.27,71.77,680805
#2013-04-23#,71.79,72.33,71.25,72.11,545121
#2013-04-24#,72.17,72.33,71.53,71.6,692071
#2013-04-25#,71.79,72.16,71.6,71.74,477032
#2013-04-26#,71.77,72.01,71.12,71.2,433643
#2013-04-29#,71.3,71.78,71.1,71.64,363490
#2013-04-30#,71.5,72.08,71.26,71.94,456308
#2013-05-01#,71.9,72.65,71.72,71.79,422580
#2013-05-02#,71.81,72.85,71.81,72.67,408613
#2013-05-03#,72,72.94,72,72.68,575502
#2013-05-06#,72.57,72.7,72.1,72.24,340091
#2013-05-07#,72.34,73.14,72.26,73.13,349703
#2013-05-08#,73.03,73.42,72.5564,72.99,385577
#2013-05-09#,73.05,73.3564,72.63,72.83,621104
#2013-05-10#,72.74,73.28,72.67,73.08,349392
#2013-05-13#,73.26,73.9,72.94,73.67,499373
#2013-05-14#,73.68,74.77,73.68,74.74,473716
#2013-05-15#,74.65,74.86,74.46,74.76,702088
#2013-05-16#,74.58,74.99,74.44,74.51,463649
#2013-05-17#,74.35,74.87,74.19,74.68,777549
#2013-05-20#,74.68,74.89,74.28,74.36,512584
#2013-05-21#,74.33,74.63,74.08,74.34,359061
#2013-05-22#,74.29,75.26,73.86,74,381977
#2013-05-23#,73.65,73.96,73.3,73.71,508474
#2013-05-24#,73.53,74.03,73.17,73.83,404943
#2013-05-27#,73.53,74.03,73.17,73.83,404943
#2013-05-28#,74.22,74.65,73.54,73.69,452221
#2013-05-29#,73.42,73.48,71.78,71.88,899593
#2013-05-30#,71.95,72.02,71.15,71.17,767356
#2013-05-31#,70.51,70.87,69.08,69.08,1113842
#2013-06-03#,69.04,69.99,68.75,69.5,826265
#2013-06-04#,69.25,70.0099,69.09,69.47,596259
#2013-06-05#,68.93,69.38,68.75,68.84,484753
#2013-06-06#,69,69.7,68.68,69.7,912906
#2013-06-07#,69.84,70.96,69.73,70.92,558264
#2013-06-10#,71,71,70.16,70.78,691237
#2013-06-11#,70.62,71.37,70.12,71,472388
#2013-06-12#,71.47,71.75,71.14,71.37,963154
#2013-06-13#,71.51,72.31,71,72.13,523760
#2013-06-14#,72.17,72.54,71.87,72.25,359690
#2013-06-17#,72.6,73.1426,72.48,72.8,607933
#2013-06-18#,72.71,73.43,72.61,73.36,317223
#2013-06-19#,73.48,73.49,72.02,72.02,980604
#2013-06-20#,71.59,71.71,69.9,70,824973
#2013-06-21#,70.5,71.53,70.435,71.44,1445413
#2013-06-24#,70.85,71.83,70.54,71.2,516939
#2013-06-25#,71.775,71.775,70.6,71.17,551492
#2013-06-26#,71.62,72.35,71.59,72.03,583446
#2013-06-27#,71,71.94,69.6,70.59,1204228
#2013-06-28#,70.4399,70.92,69.66,70.36,791967
#2013-07-01#,70.61,70.91,70.25,70.54,742168
#2013-07-02#,70.45,70.53,69.69,70.1,787772
#2013-07-03#,68.11,69.68,68.11,69.17,612422
#2013-07-04#,68.11,69.68,68.11,69.17,612422
#2013-07-05#,69.59,69.81,68.81,69.68,389645
#2013-07-08#,69.99,70.5,69.71,70.16,510649
#2013-07-09#,70.75,70.85,70.12,70.3,438558
#2013-07-10#,70.04,70.59,70,70.49,584297
#2013-07-11#,71.34,72.21,71.13,72.04,829176
#2013-07-12#,71.86,71.99,71.45,71.63,514885
#2013-07-15#,71.59,72.22,71.59,72.12,322387
#2013-07-16#,71.97,72.2,71.452,72.05,513612
#2013-07-17#,72.35,72.45,71.57,72.08,637648
#2013-07-18#,71.94,72.42,71.69,72.25,406299
#2013-07-19#,72.24,73.08,71.85,73.07,715824
#2013-07-22#,72.68,72.86,72.14,72.46,589748
#2013-07-23#,72.6,72.67,72.02,72.45,303765
#2013-07-24#,72.55,72.63,71.44,71.6,290710
#2013-07-25#,71.41,72.29,71.36,72.21,330174
#2013-07-26#,71.92,72.19,71.11,71.95,264901
#2013-07-29#,71.83,72.57,71.76,71.85,281164
#2013-07-30#,72.32,72.79,71.5065,71.6,390478
#2013-07-31#,71.71,71.94,71.261,71.61,327698
#2013-08-01#,72.06,72.64,71.97,72.54,520075
#2013-08-02#,72.35,72.77,71.86,72.74,277447
#2013-08-05#,72.61,72.67,71.9,72.53,318366
#2013-08-06#,72.46,73.79,72.42,73.34,531490
#2013-08-07#,73.16,73.39,72.5,72.56,371008
#2013-08-08#,72.69,73.34,72.41,73.11,347559
#2013-08-09#,72.91,73.08,72.44,72.8,460635
#2013-08-12#,72.6,73.17,72.12,73.1,356363
#2013-08-13#,73.39,73.4985,72.87,73.22,223013
#2013-08-14#,73.05,73.25,72.1,72.1,398244
#2013-08-15#,71.8,71.8,70.67,70.84,355836
#2013-08-16#,70.8,70.88,70.29,70.69,366443
#2013-08-19#,70.53,70.81,70.37,70.67,314350
#2013-08-20#,70.69,71.03,70.38,70.65,274317
#2013-08-21#,70.5,70.62,69.765,69.85,306944
#2013-08-22#,69.96,70.61,69.58,70.31,210596
#2013-08-23#,70.62,70.73,69.765,70.16,515756
#2013-08-26#,70.05,70.49,68.76,68.77,587980
#2013-08-27#,68.41,68.78,68.02,68.07,480548
#2013-08-28#,68.07,68.16,66.92,67.09,903850
#2013-08-29#,66.98,67.74,66.67,67.61,418140
#2013-08-30#,67.72,67.73,67.19,67.65,475990
#2013-09-02#,67.72,67.73,67.19,67.65,475990
#2013-09-03#,68.11,68.43,67,67.46,353930
#2013-09-04#,67.34,67.73,66.945,67.67,410322
#2013-09-05#,67.57,67.69,67.18,67.39,273740
#2013-09-06#,67.49,67.83,66.76,67.42,288379
#2013-09-09#,67.41,68.15,67.41,68.15,369467
#2013-09-10#,68.14,68.35,66.9,67.33,506236
