"Date","Open","High","Low","Close","Volume"
#2016-01-01#,101.98,103.13,101.66,102.59,659571
#2016-01-04#,101.12,103.06,100.17,101.81,2042842
#2016-01-05#,102,104.46,101.595,103.93,2227988
#2016-01-06#,102.51,105.27,102.37,104.38,2671123
#2016-01-07#,102.16,103.64,101.43,101.98,1776287
#2016-01-08#,102.21,103.07,101.37,101.55,1622573
#2016-01-11#,101.69,102.29,98.62,99.8,1578996
#2016-01-12#,100.68,103.42,99.89,102.87,1840540
#2016-01-13#,103.5,105.29,100.87,101.2,1974261
#2016-01-14#,101.43,103.74,100.95,102.7,1184164
#2016-01-15#,100.23,102.31,99.25,101.08,1516108
#2016-01-18#,100.23,102.31,99.25,101.08,1516108
#2016-01-19#,101.79,101.93,98.07,99.24,1872148
#2016-01-20#,97.88,99.07,94.85,98.28,1704137
#2016-01-21#,98.52,98.88,97.21,98.18,940542
#2016-01-22#,99.27,99.77,98.21,99.15,921587
#2016-01-25#,98.47,99.79,98.47,99.06,1072317
#2016-01-26#,99.58,102.1,99.37,101.74,1469625
#2016-01-27#,101.89,103.7,100.94,101.64,1970843
#2016-01-28#,103.01,103.94,97.1,97.55,2306972
#2016-01-29#,98.28,99.4199,97.32,99.26,2242571
#2016-02-01#,98.28,99.76,97.76,99.03,1561584
#2016-02-02#,98.43,99.37,97.8,98.04,1204823
#2016-02-03#,98.73,98.86,95.852,97.26,1418090
#2016-02-04#,97.67,98.58,96.94,97.55,1561932
#2016-02-05#,96.06,96.49,94.71,95.01,3952411
#2016-02-08#,94.95,95.14,90.31,92.03,2825845
#2016-02-09#,91.61,92.93,90.76,91.9,1750579
#2016-02-10#,92.09,94.55,92.09,92.91,1279105
#2016-02-11#,91.83,92.42,90.82,91.68,1507447
#2016-02-12#,88.45,92.34,88.27,91.78,1215017
#2016-02-15#,88.45,92.34,88.27,91.78,1215017
#2016-02-16#,91.92,93.67,91.52,93.62,1316241
#2016-02-17#,94.11,95.845,93.94,95.37,1284474
#2016-02-18#,95.37,95.98,94.69,95.09,849329
#2016-02-19#,94.94,95.09,94.085,94.79,717470
#2016-02-22#,95.64,96.04,94.61,95.14,1112154
#2016-02-23#,94.79,95.4899,92.93,93.56,1445740
#2016-02-24#,93.47,94.62,92.88,94.35,872170
#2016-02-25#,95.03,96.89,94.63,96.89,1453446
#2016-02-26#,96.9,98.24,96.56,97.53,1063748
#2016-02-29#,97.5,98.22,96.66,96.81,1495610
#2016-03-01#,97,97.727,95.44,97.39,1484214
#2016-03-02#,97.43,98,96.14,97.44,1068419
#2016-03-03#,97.02,99.065,97.02,98.89,1202226
#2016-03-04#,98.08,99.83,97.84,99.29,1134129
#2016-03-07#,98.46,100.72,98.39,100.68,1932433
#2016-03-08#,100,101.215,99.42,100.55,1255876
#2016-03-09#,100.65,101.23,100.06,100.38,747947
#2016-03-10#,101.55,101.55,100.42,100.86,1849990
#2016-03-11#,101.86,104.6,101.86,104.6,2302853
#2016-03-14#,104,105.48,103.76,105.05,1962403
#2016-03-15#,104.39,105.05,104.1,104.31,1299775
#2016-03-16#,104.1,105.09,103.33,104.26,921995
#2016-03-17#,104.01,104.94,102.9,103.59,758198
#2016-03-18#,103.65,104.72,103.22,104.51,1381832
#2016-03-21#,104.16,104.73,103.29,104.38,702615
#2016-03-22#,103.35,104.82,103.17,104.41,942308
#2016-03-23#,104.58,105,103.78,104.43,921766
#2016-03-24#,103.58,104.31,103.07,103.74,852416
#2016-03-25#,103.58,104.31,103.07,103.74,852416
#2016-03-28#,105.26,105.93,103.76,104.34,783586
#2016-03-29#,104.43,105.95,103.95,105.84,986521
#2016-03-30#,106.41,107.01,105.93,106.7,1356145
#2016-03-31#,106.88,107.215,106.25,106.63,1322771
#2016-04-01#,106.31,107.64,105.825,107.37,1658605
#2016-04-04#,107.72,108.62,106.55,106.86,1525683
#2016-04-05#,106.07,107.17,105.53,105.98,1348467
#2016-04-06#,105.86,108.57,105.65,108.09,1370074
#2016-04-07#,107.81,108.2,107.17,108.15,1694367
#2016-04-08#,108.5,109.17,108.5,108.96,1319198
#2016-04-11#,109.06,109.71,108.67,109.3,1396002
#2016-04-12#,109.69,111.74,109.38,111.57,1898801
#2016-04-13#,111.83,114.52,111.66,114.45,2541992
#2016-04-14#,114.3,115.76,114.06,115.43,1548371
#2016-04-15#,115,115.05,112.08,114.03,1806302
#2016-04-18#,113.66,113.945,112.95,113.61,1145926
#2016-04-19#,114.12,114.59,113.44,113.84,1169401
#2016-04-20#,113.84,115.41,113.36,114.84,1298472
#2016-04-21#,114.51,115.94,113.73,114.4,1230499
#2016-04-22#,114.62,115.21,114.21,114.76,987620
#2016-04-25#,114.11,115,113.74,114.66,1020256
#2016-04-26#,115,115.55,114.46,115.21,931609
#2016-04-27#,115.54,117,115.32,115.89,1378736
#2016-04-28#,116.01,117.77,114.51,115,2483645
#2016-04-29#,115,116.44,114.35,115.77,1969499
#2016-05-02#,115.77,116.13,114.5,115.93,1632685
#2016-05-03#,115.69,115.94,114.54,114.9,1150755
#2016-05-04#,114.46,114.98,113.74,114.69,1317023
#2016-05-05#,114.9,115.97,114.27,115.94,904524
#2016-05-06#,115.91,116.075,114.39,115.4,851616
#2016-05-09#,115.83,117.29,115.595,116.43,1276480
#2016-05-10#,116.52,117.48,116.31,117.38,922366
#2016-05-11#,117.25,118.56,116.89,116.93,903227
#2016-05-12#,117.23,117.95,116.12,117.44,1284089
#2016-05-13#,117.09,118.61,116.61,117.44,1667020
#2016-05-16#,117.48,119.99,117.45,119.6,1545862
#2016-05-17#,119.06,119.84,117.85,118.5,1060197
#2016-05-18#,118.25,119.72,117.85,118.82,929394
#2016-05-19#,118.23,118.94,116.93,118.19,1003004
#2016-05-20#,118.78,119.71,118.37,119.33,1650727
#2016-05-23#,119.38,119.97,118.96,119.43,1150431
#2016-05-24#,119.75,120.9,119.43,120.76,1616929
#2016-05-25#,121.2,122.27,120.91,121.93,1592999
#2016-05-26#,121.79,122.63,121.03,122.49,1302073
#2016-05-27#,122.34,123.43,122.06,123.07,1022708
#2016-05-30#,122.34,123.43,122.06,123.07,1022708
#2016-05-31#,122.91,123,121.27,122.11,2028868
#2016-06-01#,122.22,122.41,121.02,122.15,952986
#2016-06-02#,122.15,122.91,121.67,122.91,862247
#2016-06-03#,122.72,122.77,121.225,121.82,1246827
#2016-06-06#,121.81,122.29,121.15,121.54,2121741
#2016-06-07#,121.05,121.12,116.22,119.43,4130676
#2016-06-08#,119.43,120.08,118.11,119.76,1648596
#2016-06-09#,119.3,120.13,118.81,119.4,1115027
#2016-06-10#,118.96,119.27,118.215,119.23,1098841
#2016-06-13#,118.47,119.96,118.17,118.24,1578051
#2016-06-14#,115.04,116.83,115.04,116.82,6192030
#2016-06-15#,117,117.15,116.13,116.42,1842203
#2016-06-16#,116.08,116.78,114.95,116.71,2138462
#2016-06-17#,116.67,116.88,115.45,116.48,2234644
#2016-06-20#,117.51,119.04,117.33,117.65,2626610
#2016-06-21#,118.59,119.05,117.82,118.59,2469931
#2016-06-22#,118.4,119.53,118.23,118.63,1431352
#2016-06-23#,119.38,120.92,119.155,120.92,1941892
#2016-06-24#,117.78,118.9,116.4,116.69,6623793
#2016-06-27#,116.51,116.72,114.11,115.34,1726846
#2016-06-28#,116.62,117.42,115.52,117.32,1379301
#2016-06-29#,118.24,119.33,117.87,119.15,1309527
#2016-06-30#,119.67,120.38,118.68,120.38,1498957
#2016-07-01#,120.63,121.06,120.25,120.68,863285
#2016-07-04#,120.63,121.06,120.25,120.68,863285
#2016-07-05#,120.59,120.6187,119.22,119.95,1189373
#2016-07-06#,119.82,121.87,119.33,121.78,1837830
#2016-07-07#,121.6,122.8,121.58,122.02,1483580
#2016-07-08#,122.93,124.98,121.89,124.89,1370353
#2016-07-11#,124.79,125.49,124.37,125.08,1220278
#2016-07-12#,125.12,126.18,124.85,125.46,1085675
#2016-07-13#,125.34,125.63,124.92,125.57,1055334
